Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Nov 24 2009 	 Quaint Comfortable 	 stay one night way HNL via sfo.room comfortable small anticipated . would try swing cat long tail . ( hard get sense size line pic ) handy Union Square & amp ; cable car system . lot good eat side street . H 
 Nov 21 2009 	 masterclass customer service 	 fourth visit San Francisco ' ve previously stay big , business hotel book Trailfinders UK . however , trip bring sister mother - never USA - decide Chancellor central , positive review tripadvisor , reasonable rate ten night . like many other stay hotel , impressed . hotel right Union Square , whilst might expect noisy , find surprisingly quiet . old - style hotel , tastefully decorate , clean comfortable . find room adequate ten night bed really comfortable - fact , not sleep well age . we eat hotel restaurant breakfast every day , , think excellent value ; also like cozy bar , great drink go dinner evening . really set hotel apart quality customer service ; request deal efficiently quickly everyone - reception staff clean staff - helpful throughout stay , seem determined make sure enjoy visit . mother sister ask take back San Francisco visit ' friend ' Chancellor Hotel ! 
 Nov 20 2009 	 great value location 	 recently second stay Chancellor . like well first stay , ' m happy say actually improve time . bedroom recently refurbish new furniture flat - screen tv . , bedroom bathroom compact , everything immaculate , well functioning , comfortable cozy . amenity room safe mini - fridge ( latter upon request ) much appreciate . slight problem slow , somewhat unreliable free wi - fi room ; however , bring netbook lobby , internet access work great . even though pay rock - bottom room rate ( $ 67 / night Expedia package ) , request upper - floor room Union Square view promptly courteously honor . not much interaction hotel staff , not need help direction , dining recommendation , etc . , interaction , staff consistently friendly professional . servers Luques , hotel restaurant , especially lovely ; breakfast delicious . solo female traveler , feel safe well care Chancellor , definitely plan stay future SF visit . 
 Nov 18 2009 	 fantastic hotel great location 	 originally book chanceller two night . arrival deal proffesional friendly manner .Rooms clean well equip .booked two night follow week return san francisco street face room great view union square.the standard hotel fantastic location ideal shopping site see . definately stay 
 Nov 17 2009 	 second stay year . 	 another wonderful stay Chancellor . positive review absolutely right . spotless room , wonderful shower , comfortable bed , friendly staff , great value . why would stay anywhere else . love . 
 Nov 17 2009 	 good decision 	 book hotel base rating TA , great price get , location . usually prefer business hotel try find another place last minute . however , hotel seem offer good value money decide stay . good decision . read great review service hotel disappoint first . feel need make initiative get service , i.e . ask everything nothing explain begin ( coffee , breakfast , bar , fridge room .. ) . however , soon , apparent review correct . get good personal service . everyone work hotel polite easy approach . tourdesk downstairs well . book ticket , buy Muni Passes get tourist information need . stay hotel two different occasion visit SF . time room clean nice good pillow , flat screen tv , good sized closet well free internet . room ’ air conditioning , ' bother we . open window ceiling fan job . bathroom bit old side , perfectly usable ( clean ) . say early , standard business hotel , hotel character . one negative aspect noise room next door second stay . first room quiet second one could hear neighbor talk night , snore . feel room . noise come street ' bother we – nice hearing streetcar pass ring bell . breakfast four six morning stay downstairs Luques Restaurant . cost abt 35 usd ( tip tax include ) 2 definitely worth . ' see point go restaurant next door pretty much menu price . Service Luques good friendly . location hotel perfect , right next Union Square . addition shopping restaurant , excellent place public transportation . hop cable car get Fisherman ' wharf walk two block Market Street hop tram / bus get Ferry Building ( go way - Castro District ) . also easily walk Chinatown Financial District . overall hotel character , offer great service good location . would definitely recommend friend look value money . 
 Nov 13 2009 	 excellent location 	 choose Chancellor recommend be happy ther advise . hotel centrally locate downtown San Francisco , not need rent car . room small side like european hotel space enough we . like closet luggage safe deposit box . room quiet , clean bed comfortable . free coffee / tea delicious homemade cookie apple available 24 hour lobby add nice , homey touch . staff friendly especially Susan concierge help we book trip point we good reasonable restaurant give we helpful tip tour city . recommend hotel friend definitely stay Chancellor . 
 Nov 13 2009 	 great find ; super cute ; comfortable ! 	 historic Chancellor Hotel Union Square ( much surprise ! ) reasonably price , especially give 's location beauty premise . be get old world charm without go over - the - top tacky . drawback may room airconditioned ( fit ceiling fan ) - really not issue we since October night cold , may sore point anyone visit summer . also , make take issue keep window open bit noise street . can not beat location , though ( close everything ) ; staff warm friendly . HIGHLY RECOMMENDED ! 
 Nov 11 2009 	 Great Location Wonderful Staff 	 stay three night Chancellor last week . love location . hotel close public transportation , use everywhere go . helpful hint would include stocking drink water soda Walgreens corner also not shy ask front desk need anything . staff extremely professional . room get warm hot outside . one window room , limit amount air circulation . ask fan second night help tremendously . know go hotel air conditioning adjust abnormally high temperature time year . worth location . also love helpful staff clean room . maid service great hotel . 
 Nov 10 2009 	 great hotel great location good value 	 title say . room large spending time visit , need huge spacious room ? ! ! clean , hotel although centrally situate noisy - always bless city . 
