Nov 	 good hotel great location 	 good clean hotel excellent location two minute pier 39 
 Nov 18 2009 	 location 	 everyone say great location . inside old kind yucky small elevator typical crap bathroom . good part proximity Wharf fire pit outside . 's gas let hang even weather brisk . far drink go , 7/11 kind store right around corner way water ... work we ! pool outside heat nice landscaping . reunion deal w / the parking price pretty high . 
 Nov 16 2009 	 Great Location 	 Hotel great location able everything want long weekend . staff great ! room small side , good bed window open make . move first night alot noise Street . trunk unload 2 am 6 am light sleeper might want ask inside room . also Restaurant Bar . Great Fire Pit without drink fun . safeway 2 block away find cheap way glass wine . 
 Nov 12 2009 	 Radisson Fisherman 's Wharf 	 nice Hotel , normal wear tear overall , price reasonable location unbeatable ! 
 Oct 30 2009 	 location location location 	 hotel wonderful stay want wake see city . step fisherman 's wharf San Francisco nightlife , shopping , great food , entertainment , scenery . centrally locate . stay hotel many time . San Francisco always stay . parking , fitness center , continental breakfast , great service . highly recommend hotel everyone due 's economical price . whenever town business pleasure stay . 
 Oct 28 2009 	 one miserable stay hotel 	 staff great condition building make stay miserable . air - conditioning would work hour day . could stay room past 9am heat . try get window open window old end two person job get open deal street noise . sleep number bed terrible would not work . miserable stay . need major work hotel 
 oct 22 2009 	 great location ! 	 recently stay four night . room nice slightly stale odor . usually travel small size Febreeze suitcase spurt - room ok . sleeper number bed good , slight problem set number . call engineering adjust bed . come within 15 min . reset . , everything alright . staff nice esp . housekeeper greet we everytime hallway . bathroom good sized . nice toiletry . issue toilet . one night would flush someone use within 5 minute . wait least 20 minute . however , next evening problem ( something wrong water system night ? ) not need contact front desk . there problem internet connection - esp . log in- sometimes work , sometimes didn't . the good part location hotel . close Wharf site . : Boudin bakery ( great breakfast , like roll coffee ) , Pier 39 , Ferry Bldg , Ghirardhelli Square , many restaurant . manage hill , walk anywhere within 30 - 40 minute . stay 2 year ago ' m sure would stay next time give sporadic problem . visit 2 year ago also stay another nearby hotel nice . consider hotel price range , would probably stay facility return area again . also , state review , parking expensive here- include tax , etc . come $ 42 . one night . rent car , would consider rental timing carefully . , car sit parking lot $ 42 . would waste money . San Francisco pedestrian friendly public transportation easy use . rent car last day visit Napa Valley drive Pacific Coast follow day . 
 Oct 13 2009 	 [ -- ] hole 	 OMG , £ 130 1 night TIP ? . suck bigtime would housed dog place ! ! tip stay away tip . 
 Oct 10 2009 	 great stay Great Location could not ask much 	 stay 2 night Jan / Feb 2009 . great location , Friendly Staff . room look Fishermans Wharf . 
 oct 9 2009 	 Radisson Fishermans Wharf 	 hotel comfortable , quiet , clean , free wi - fi , helpful concierge , near F line trolley take way thru central area & amp ; end castro . could say anything negative hotel . Radisson Europe tend modern , new & amp ; minimalist . hotel european standard chain however , still good standard decor , cleanliness comfy bed . 
 Oct 8 2009 	 conveniently locate especially love ocean sourdough ! 	 hubby business trip , tot go along . wonderful little get - away ; glad opportunity stay within walk distance much see ! across street Boudin 's Bakery Cafe / Store / Restaurant short walk away Pier 39 glory ! 
 Oct 8 2009 	 Great Location ! ! ! 	 hotel middle attraction restaurant fisherman 's warf area San Francisco . hotel old good condition room clean great view bay window . the problem wifi connection . work well spend lot time phone technical support person try get work . 
 oct 8 2009 	 Wish could stay long 	 hotel perfectly locate , make everything within walking distance ! love accessibility many thing , recommendation make concierge little local restaurant breakfast perfect , entire trip end trip alifetime ! 
 Oct 8 2009 	 OLD HOTEL 	 poor room ! ! peel paint , door ding , old carpet , dusty tv expensive parking ! 
 Oct 7 2009 	 Great Location -- - Average Hotel 	 wife stay 2 night part tour -- -- travel large group -- -- give various room type -- - room standard room view car park . room 2005 second floor balcony see room balcony pool view anyway room small ok 2 night one thing mention air - condition room filthy noisy see lot dust inside -- - bathroom also small bad . hotel restaurant on - site easy get around perfect location -- - look good breakfast go ihop next hotel leave hand side . location hotel absolutely perfect whatever want -- -- 's close Cable car station , Pier 41 Alcatraz etc .. back entrance hotel towards fisherman 's wharf many bar restaurant around -- - especially Pier 39 go Fog Harbor Fish House dinner 's 2nd floor nice meal & amp ; service good view -- -- also eat Neptune Palace Pier 39 nice beautiful view Alcatraz .. overall average stay look well standard hotel try Sheraton Fisherman 's Wharf opposite Radisson -- - go look room nice . come back San Francisco try well hotel next time . 
 Sep 30 2009 	 good hotel expensive parking slow internet 	 Good hotel , excellently locate tourist trap around Pier 39 . , comfortable bed nicely appoint room . $ 37.50 charge per night parking make big dent budget internet connection slow virtually unusable . 
 Sep 28 2009 	 Good Location excellent value 	 read several review Radisson expect alot clean functional room . somewhere shower sleep . friendly check pleased find room cupboard bed fairly spaceious , clean well appoint . bed extremley comfortable problem noise . stay 5 night find location excellent . side pool spend alot day shade ample quick splash swim . tip first visit San Francisco . book tour trip Alcatraz line go , really worth trip . ` worry taxis airport leave departure area share mini van . cheap good . find great place breakfast less two minute walk hotel . Tuen right hotel main entrance walk two block Taylor Street . Cross turn right . Darrens Cafe leave great breakfast coffee really good . David Kim owner / cook egg perfection . I would really recommend open bus tour within first couple day . give great overlay city get chilly go Golden gate Bridge . brilliant city visit , hotel ideally locate ` know review & quot ; & quot ; hotel quiet undeserved . everyone meet friendly helpful . finally three thing must , ride cable car shop Levi store forget say hi Sea Lions Pier 39 5 minute away hotel . 
 Sep 27 2009 	 beware credit card rip 	 ' m sorry say even though find hotel quite nice , good location particularly . dismay find accident ( go line check ) checked take $ 150 credit card incidental . not tell we time , expect take imprint card case incidental ( intention incur ) hotel prepay arrive nothing pay . ring accounting department next stop find go . take week money credit back . 
 Sep 26 2009 	 leave heart san fran 	 great location right water attraction could little cheap hotel san francisco bad 
 Sep 22 2009 	 Good Location ... 	 stay 1 night . use Goldpoints account . room look bit date spacious . excellent location make good stay people not want travel day . staff helpful . no restaurant hotel use IHOP restaurant next door breakfast . 
 Sep 21 2009 	 Location Location Location ! 	 could not well location first - time visit San Fran . right Fisherman 's Wharf lot see within walking distance ! also buy sightseeing 2 day pass & quot ; Hop Hop & quot ; tour bus great ! room roomy sleep number bed . could use little bit update decor pay location . besides , much time really want spend room anyway ? 
 Sep 20 2009 	 convenient location room comfortable 	 stay three night 11th 12th 13th September . get room use point . work well . conveniently locate like wharf area , plenty interesting thing see especially night area buzz people walk right onto street . room think good , not get one balcony room room actually look directly car park could see tower city skyscrapper . overall meet need comfortable . parking expensive $ 40 per night convenient . we eat breakfast Ihop next door two day good walk Pat 's cafe excellent third day . 
 Sep 19 2009 	 great View expensive tatty 	 hotel key position Fishermans Wharf . stay bay view room balcony , view bay good glimpse bridge fine day . room ' tired ' could do modernisation , little tatty . not get view room would stayed Hyatt much well facility , cheap , two block back Fishermans Wharf . 
 Sep 19 2009 	 Basics Great Location 	 would actually rate hotel somewhere Average - Good . hotel great location feel safe . room clean front desk staff nice . problem 1 ) mattresse extremely uncomfortable fact fix nice linen provide 2 ) hotel parking lot sit Wharf - do not understand hotel face Wharf probably reason , like noise Wharf , experience since parking lot buffer ! 3 ) room teeny tiny . find hotel hotwire pay around $ 120 / night , anything high would feel little overpriced . would stay simply location . feel close tourist attraction . find Union Square area & quot ; happening & quot ; evening feel like miss something near Wharf . 
 Sep 14 2009 	 sure Fisherman 's Wharf 	 nice stay hotel not really sure location . location convenient Fisherman 's Wharf , Pier 39 , F Streetcar cablecar , however , Labor Day weekend mean Fisherman 's Wharf street surround total mayhem not endear we . the hotel comfortable clean basic . pleasant stay ' m sure well hotel money . 
 Sep 8 2009 	 Great View 	 hotel foot wharf nice view . rate good area . try hotels area full . would stay could find something else new . little old look like point inside remodel . hotel probably close wharf San Francisco . many time love , next time going stay Union Square shopping . negative long line front desk ; go numerous time 4 day stay would say wait always 20 minute . room small . 
 Sep 6 2009 	 Excellent location across street Fisherman 's Wharf ! 	 stay Radisson Fisherman 's Wharf vacation northern CA . first time stay Radisson nice place stay . hotel appear date outside inside room nice clean modern amenity . can not beat location since walk swimming pool / courtyard area right onto Fisherman 's Wharf ! room water view instead look onto street could see bus / trolley station . not bother we since keep curtain close walk sightseeing time anyway . excellent view Alcatraz Radisson parking lot . rate hotel competitive location AAA rate $ 125.10 per night plus $ 38.90 per night parking . Hotels San Fran overprice deal ! free wi - fi enjoy . bed clean comfortable . fact comfortable not even try Sleep Number feature already ideal setting . bathroom clean recently redo floor lot counter space . would definitely stay ! 
 Aug 27 2009 	 great value hotel terrific loation 	 get hotel deal Hotwire , pay $ 50 night . perfectly good clean hotel . great location , staff friendly helpful need know public transport system . 
 Aug 25 2009 	 Hotel need help . 	 upon arrival front desk staff friendly helpful , even though we book 4 room instead 2 . resolve show confirmation paperwork , take along check issue . gold point Radisson member , find odd front desk attendant ask several question program work .... maybe new . 1 night town , promptly drop bag room upon arrival , hit street . hotel great location . much later return get bed , realize room reek mildew , airconditione vent cover black dust / dirt , actually afraid turn go sleep . thank God wharf cool night . toughe since 1 night stay , long , definitely would change room hope well . hotel close saying & quot ; get pay & quot ; expect little nice , since not cheep Radisson . remind we dive hotel Jersey shore would stay teenager , unfortunately be . perfect place need crash pad night decent price wharf . 
