excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Nov 20 2009 	 Superb location . great price ! 	 stay hotel twice . it absolutely clean . bed high standard . Modern wallmounted LCD tv & amp ; nice furniture room . only thing ware ! do not ask reception call cab , ei , early morning flight ! arrangement & quot ; private & quot ; cabdriver , whoom charge overprice . taximeter nothing ! . ask YELLOW cab ! nice stay : - ) Mike : - ) 
 Nov 12 2009 	 brillant visit nyc 	 fantastic location good affordable price . be not ritz clean room every day suite heat floor renovate room brill . coffee machine reception select time pain long day want hot drink room . empire state building stone throw away .. Definatley would stay fantastic budget hotel . 
 Oct 30 2009 	 great little hotel 	 arrive hotel 10 day 3 bedroom 2 bathroom lovely villa florida child disappoint saw room especially realize be not room see website ! ny know expect . room little oldfasione , bathroom tiny , wardrobe tiny t.v top wardrobe ! that s negative , plus outweigh ! room clean , clean new towel every day.bathroom clean , problem shower . plenty channel tv kid . staff friendly helpful , receptionist morning great , draw we little map diagram morning . give special mention AZIZ helpful ! give kid sweet , help luggage say need taxi airport help we that - we end lovely car great price ! thank aziz , great asset hotel ! hotel close everthing , especially important us 2 11 year old we . couple morning get breakfast sandwich wendys ( corner left ) get free drink downstairs give kid relax breakfast room . ( great budget ! ) . rip couple meal find great cheap place eat.when come hotel turn leave , wendys turn leave onto 5th , walk . inbetween burgerke starbuck little place call miau . serve mexican , starter ( nachos , cheese etc . ) meal , beer soft drink ( free refill ) 4 us $ 47 . bargain , staff lovely aswell.we stay ny budget expensive hotel find hotel probably good location / value . free safe room bonus , mention other safe hotel . would recommend budget hotel.did usual touristy thing , aware want go close statue liberty crown need book online go otherwise walk around garden . 
 Oct 28 2009 	 lovely ! 	 young traveler not picky book hotel , want something cheap bed bug , blow away get herald square . much expected.the lobby bit tacky room lovely , clean ! bit small , issue me.the bathroom clean , new ! location incredible , walk place stay need catch train practically doorstep ! staff really nice , ! would really recommend hotel ! 
 oct 22 2009 	 great hotel staff good allway friendly helpfull 	 stay hotel 3 time central location good value staff friendlywill stay tell friend frill clean 
 Oct 14 2009 	 Clean Cosy hotel great location 	 husband visit NYC Sept 2009 come across hotel via tripadvisor.com . cab driver hard time find hotel ( 's 3rd generation New yorker ) even joke might dodgy place . initial apprehension put rest minute step hotel . staff courteous friendly , entertaining husband chatter ask water safe drink tap ( say ) felt welcome . lot emphasis place safety - 1 keycard issue ( drop front desk be worried lose be ) also front door hotel security feature lock automatically would open one staff press button office . room also safe ( albeit , kind old - set password try first use lock without set password first ! ) room toilet clean , pleasant smell ( MOULD ! ) sheet clean comfy . room small , enough room move around queen sized bed chuck bag floor run walking room . check website fire - escape floor plan , seem room differ size room unique . short , do not get room feature picture website , satisfied room nonetheless . location wise , close 5th avenue ( though 5th avenue long walk bit along 5th ave get shop ) street away think empire state building . husband really love close harold square station subway , quick easy we get ( less 5min train ride natural history museum ! ) . many subway line go town real convenience . 's pharmacy across street , restaurant downstair Koreatown around corner ( korean restaurant behind 31st street call Mondoo ripoff ! ) . also , Macy 's block away , near harold square subway entrance . intend ship back shopping , 's post office right downstairs , right hotel exit . rain lot , call sandwich ( Speedy 's ) brochure place room ( $ 1 per local call ! ) . neighborhood wise , 's street away quieter area be cautious sort will good pay attention . street hotel safe busy day , evening walk irish pub 5min walk . the thing unsatisfactory trip carpentry work room floor - hear electric see rip 6 am morning . take 26hrs get New York suffering terrible jetlag noise appreciate . overall , aside issue , pleased hotel would definitely stay reason go back NYC . 
 Oct 13 2009 	 really good hotel midtown 	 stay husband week Herald square hotel begin september . first offer small room , staff realise staying week come big one . clean quiet.positive : near metrostation , nice central neighbourhood , quiet street , nice staff.negative : free coffee/ tea nice , certain time ? allway early late . to take shower really challenge : difficult get temperature like , allway hot . like reviewer suggest : mostly take bath . but price relation quality good , would certainly stay . 
 Oct 13 2009 	 happy hotel 	 ' ve return nine day stay Herald Square Hotel two son age 16 12 . get good price book direct Hotel . make booking compare room get cheap price room , duration etc . call Hotel ask difference price person speak tell & quot ; price subject change , see cheap price , cancel original booking re - book & quot ; . save AU $ 1000 ! arrival room , two double bed room thrill , room & quot ; tiny & quot ; everyone assure nearly room Manhattan . wall mount flat screen tv , decent sized bathroom bath incredibly comfortable bed . room clean although hotel foyer , hallway etc not impressive care ? ? not sleep hallway ! ninth floor look windows Empire State Building right . another great thing ability open window ! ! hate air conditioning , nice sleep fresh air come get little warm switch individual air - con . staff friendly helpful . couple day due check suddenly discover money leave travel card Hotel double charge stay . speak Manager handle matter swiftly professionally , call bank mine get money refunded . first trip US could not happy Hotel , nice somewhere clean comfortable go back walk street fantastic city day ! many people say also can not beat location , close action , Penn Station , Empire State , Times Square , Macy 's etc little noise ( save ever - present car horn ! ) sleep comfortable . 
 Oct 10 2009 	 value money 	 city spend time daughter stay friend . transportation nearby , room peaceful ; noise hallway . get really rest end day . restaurant close acce meal time . need get something wash , quickly well appoint laundry room . use common expression & quot ; get bang buck & quot ; Herald Square . 
 oct 9 2009 	 good return visit ever . 	 hotel awesome ! even previous stay still impressed anew . never well stay New York Hotel . magnificent entryway , cute cherub door , art gallery wall everything demonstrate care detail beat . room , absolutely magnificent ! bathroom outfit period hardware , immaculate . bed comfortable ever find hotel anywhere . top staff responsive , cooperative , helpful . many instance anticipate need even express . incredibly reasonable price . book directly , find web , read review internet rely recommendation friend spot place . top location perfect explore find way around city definitely stay visit New York . 
