great 	 quaint hotel right Union Square far trolley car busline . staff always helpful . room keep clean maintenance clean people great . four time ask room away elevator stair go relax enjoy . get king size bed last time comfortable even write ask type pillow bed ! one thing San Francisco exclude hotel bothersome we , panhandler . without exaggeration , take walk block away , approach minimum six time money . love King George talk maybe stay next time find hotel similar , away Union Square area . not dangerous aggressive , not afraid , bothersome . love King George though . Lori 's restaurant right next door , great american food , nice old fashion 50 - 60 's diner , people great also . would suggest stay highly . be really lovely hotel . 
 Nov 22 2009 	 staff helpful 	 great location . friendly staff . conciege helpful ! original room pretty tired HORRIBLY loud air conditioning unit right outside . wall paper thin could hear people hallway room . however , request room change , staff accomodate follow night we move comfortable quieter room . grateful ... 
 Nov 17 2009 	 nice location - staff good 	 stay hotel November 09 4 night friend . room little compact two single bed , bathroom safety deposit box . hotel Union square location good easy access shop pub ( irish pub right beside hotel , two irish girl , good ! ) macy close - by also . receptionist , Atilio , approachable answer question ease . book day trip friendly professional . 
 Nov 9 2009 	 GREAT LOCATION COMFORTABLE NIGHT SLEEP . SIMPLE STRAIGHTFORWARD 	 Read review booking . look negative see , , clearly specific bad isolated experience . front desk nice , attentive , fast . room small , simple , old , clean . comfy bed . perfect location cable car , plenty food , walk union square . 20 min Candlestick Park ... perfect 
 Nov 8 2009 	 great hotel great location . 	 stay King George Hotel July . good location , price great . booked easyclick travel . got room around $ 70 night . close square cable car line . not spend much time room , work great purpose place change / sleep . front desk friendly helpful , really complaint experience . prepare thin wall . could hear everything go next door . good price though . kind remind we european hotel ( size , amenity , cleanliness etc ... ) Loved San Francisco . 
 Nov 6 2009 	 not care stay leave 	 review unsatisfactory service . never get around actually stay here . my fiance end think book stay Travelocity . hotel record reservation , turn Travelocity 's mistake , hotel , understand ( case be curious , Travelocity make put we different place night , not great , suspect not bad place ) . King George staff impatient inattentive , even obstructionist . attempt help we get bottom problem , offer rebook we , even offer phone call . pull lap top lobby look travelocity number demand internet access code . mystify . actually want we stay ? mean , even snafu booking , could least try get we spend money anyway , right ? maybe 's 's low cost frill place . someone previous mention feel like european hostel . 
 Nov 3 2009 	 Excellent staff ....... sub par hotel ! 	 first staff top notch location amazing ! unfotunately that s hotel 's side . room 2nd floor stay 2 long night . room tiny , old , LOUD . could hear pipe rattle toilet flush random noise keep we night . room look sound like hotel hold together thick layer paint . room window look onto tin roof pigeon eye level . feel first night find another hotel . stay weekend would hassel worth . elevator lobby impossibly slow stair spiral staircase death choose walk they . do not let picture fancy lobby fool ..... 3 star hotel ! ! ! ! 
 Oct 31 2009 	 make sure get renovate room 	 look reasonably price room rate 3 star . would check Trip Advisor review website room look cosy clean . check inand give room think 4th floor . room tiny could not believe . literally room put 2 suitcase . bathroom size shoebox bench space . never see room small . also look nothing like photo decor old wear . look like room hostel - 1 star rating well . without doubt bad room ever see . husband go downstairs see could do change room say would move we follow day hotel full . start ring hotel say could stay one night room . say room available first loor one renovate room . went look like photo website . newly renovate 3 time size room . clean renovate expect . staff friendly diner next door excellent . hotel ina great location lot homeless people front . the review Trip Advisor seem really mixed hotel . conclude different type room hotel . favour make sure get newly renovate large room . 
 oct 22 2009 	 Small Digs Heart Union Sq . 	 room small , elevator slow , take shower somewhat frustrating , would say hotel worth money . stay San Francisco , reason spend time hotel room unless be sleep . room tiny bed large comfortable . one elevator hundred room mean prepared wait long time take stair . not surprise shower suddenly go blister hot ice cold . great location sightseeing nightlife , tolerable . be fairly old hotel one would expect certain inconvenience . 
 oct 22 2009 	 tiny room Great Location Dull Hotel 	 proscleangreat location - right near Union SquareBar acceptable24 hr din next doorbathroom cleansheet cleangreat crash padconsroom small would htinkbathroom small would thinktv sd - ( be almost 2010 - get flat screen ) elevator tinyNo view form hotel roomparke cost 30 buck day across street garageNo help front doorthe decor tacky 
 Oct 16 2009 	 quaint comfortable great service 	 room small remind european hotel ' ve stay . conceierge helpful direction . love overall look hotel . would definitely stay . 
 Oct 5 2009 	 exceed expectation ..... 	 hesitant reading review must say , one best experience San Francisco , courtesy King George hotel . check super easy person work desk extremely helpful personable ( can not easy 10 pm ) . time take listen itenerary make recommendation like 5 star hotel . extra point smoking room entire smoking floor ..... business ..... upon check , call cab service ( not easy since NFL game town weekend ) make pleasurable trip .... price , truly exceed expectation .... definitely thick thing would definately recommend stay King George ( not try climb stair 9th floor - 's definite workout ! ) 
 Oct 1 2009 	 definitely ' Best Buy . ' 	 stay week Sept. ' 09 thoroughly enjoy stay . response several recent complaint hotel read review : bed bug ; room , small , perfectly adequate ; one elevator small , never wait minute two . many review mention friendliness staff . overemphasize true . arrange tour , recommend restaurant , give direction ( even trolly take ) make uncomplicated visit . one feature hotel perhaps receive little note location : one block Union Square three block transportation hub Market Powell . King George well worth stay . 
 Sep 28 2009 	 Perfect location 	 choose stay King George mainly location . husband attend conference Moscone Center walk distance . one thing bear mind though be stay central location 's bind noisy ! hotel staff friendly , courteous helpful . good diner around hotel will not go bed hungry . issue breakfast not continental breakfast menu available anywhere . 's 3 - 4 egg omlette , pancake , steak etc . Howevery San Francisco wonderfully diverse city . always something new around corner even not get breakfast satisfiye lucn & amp ; dinner guarantee . Muir Woods & amp ; Sausalito unmissable . 
 Sep 25 2009 	 perfect 	 stay King George sept 9th till 12th right moment walk hotel everything pefect check take minute room 9th floor everything need internet work fine bed comfortable sleep well every night trouble outside noise whatsoever room clean reallt could not ask anything 1st visit San Francisco couple drink hotel bar last night hotel staff drink engage polite cheerful conversation really honestley nothing bad say hotel really please stay situated price ideal thank much make stay San Franciso nice time ever go back 1st hotel shall look one 
 Sep 16 2009 	 incompetent service malfunction tv 	 hotel mediocre hotel Union Square . cheap terrible finish . service terrible though -- wait 20 minute check , though line arrive ! apparently spanish speak biker walk need attend first , complete laugh story old time . check need help billing problem Expedia ... 3 call later , night manager company still not resolve . infuriate ! & quot ; yes confirm check comfortable tell expedia & quot ; . Wha ? ? ? finally , every 90 minute night -- tv would randomly turn . finally , around 4 am realized not fault figured unplug TV . poor night 's sleep . 
 Sep 14 2009 	 sincere little hotel ! 	 concierge reservation staff greet we upon arrival sincerity warmth . provide outstanding advice service throughout stay . room King George remind room Rome Paris -- small , charming . despite fact neither room view , much enjoy hotel would stay . 
