Staff 	 wait guest room become available , hotel desk housekeeping staff go & amp ; beyond duty ( expectation ) make we comfortable happy . not get service like even Ritz ! 
 great location service 	 spend one night hotel enjoy . location convenient everything . service excellent . leave bag hotel follow day explore city checkout . problem make easy convenient . the downside -- paper thin wall . not normally complain noise , able hear neighbor . compound loud group next door . commend staff complain . get group next quiet immediately . sure , much appreciated . take earplug , especially bother city noise . even 12 story , will able hear street noise . the room comfortable . nicely decorate . all good stay money . would not pay $ 300 rate give thin wall . , $ 125 , well worth . 
 Nov 12 2009 	 Perfect explore foot 	 stay 5 night Hampton Majestic - start break go Jersey Boys , right next door - beautiful theatre ! room quiet ever , bed extraordinary - slept like log . breakfast surprisingly nice , great coffee , would set day . could walk everywhere vicinity Loop , stop metro line , around corner . not think hotel could conveniently locate . first trip Chicago , stay Hampton allow we make visit . 
 Nov 11 2009 	 good eat 	 travel group 12 fun & quot ; Social & quot ; convention : 8 we stay Hampton & amp ; 4 stay Convention hotel , Palmer House across street . 1st security great . elevator & quot ; keyed & quot ; get lobby not access guestroom unless room key ! hot breakfast surprise . 3 us room ; problem get extra towel / soap / coffee / etc . concierge / door man make we reservation italian village & amp ; receive appetizer courtesy hotel . ( another surprise ) not like : check & amp ; split bill 2 roommate pay cash , still & quot ; held & quot ; debit card account full amount stay entire week ( end week take amount owe & amp ; take hold ) . specifically ask clerk & amp ; say would not charge full amount . unfortunately not find home & amp ; check bounce . hotel would anyhte make right fact . 
 Nov 9 2009 	 Location Location Location 	 Hotel perfect spot downtown . unless go near - north side , walk distance everything necessary . if look hotel dining room , room service , ammenitie , not place , Hampton . , want excellent room , great front desk service , free breakfast excellent downtown location none well cost . 
 Nov 9 2009 	 great weekend Chicago 	 Excellent location purpose . room size excellent need , would small family . staff helpful friendly . complaint lighting could well . 
 Nov 5 2009 	 Par Hampton Inn 	 Majestic hold ' ve come expect Hampton Inn : comfortable , clean , value , good service . practically first trip Chicago not exactly sure part town would good hotel . turn , majestic great location . easy walk Majestic Mile , Hancock Tower , Navy Pier . lot restaurant store immediate area . hotel comfortable respect . lobby ( breakfast ) room comfortable decor . room roomy consider old building adapt large downtown area . think price reasonable compare hotel area . breakfast typical : nothing outstanding will get day start . want good breakfast , visit one & quot ; Corner Bakery & quot ; restaurant . several within couple block majestic . I find park Chicago ( like city ) expensive . get cost effective way parking car hotel 's valet parking good could find trip . especially true want come go car since valet allow flat rate . garage parking cost unless park leave 24 hour . 
 Nov 1 2009 	 Best Location Downtown Chicago 	 hotel superb value center Chicago . Located Loop , smack middle theater district , occupy upper floor Majestic Theater , art deco high rise . room reasonably size comfortable , staff friendly , helpful well inform , cleanliness / hygiene top notch , be quiet , despite location . Art Institute , Grant Park lake couple block away , & quot ; Magnificent Mile & quot ; Michigan Avenue easy walk . public transportation readily available place Chicago , Blue Line O'Hare around corner . price not bargain basement , location , be great value money . would recommend anyone purpose . 
 Oct 27 2009 	 great location -- clean room 	 Hampton Inn Majestic locate around corner Blue Line lead Ohara reason pick hotel . also centrally locate train make get around Chicago easy . remember get map train station first ride . not make get around much difficult . hotel connect theatre therefore lobby actually 4th floor . must use key card access floor hotel room . old building well maintain . room average size normal amenity Hampton Inn . face office building not close blind see right room . the breakfast pretty standard -- muffin , cereal , danish , fruit ( form fruit salad ) egg ham cheese , biscuit . overall enjoyable stay -- staff eager please roll way request deliver within first 5 minute room . 
 Oct 24 2009 	 excellent value base Chicago 	 stay two night business September . pay £ 60 / night modern , comfortable spacious room Expedia ( ' bother pay extra breakfast rate Expedia way free breakfast buffet available guest anyway ) . buffet offer quite good choice pastry , cereal , fruit , yoghurt hot item well think . hotel also offer ' business centre ' ( two computer printer etc ) , internet access bedrooms fitness centre . location good – close Millennium Park area – staff friendly . ' also close Monroe ' EL ' stop easy get airport ( get around ' go walk distance ) – lot luggage though might worth walk bit Jackson lift . happy choice would definitely recommend hotel , especially price . 
 oct 22 2009 	 great experience . perfect location . 	 Location , location , location . find hotel perfect stay . next door LaSalle Bank theater , block italian Village -a block Union Station . tight security . staff expecially helpful friendly . room - maybe little dark - clean . wall must especially thick ( old , historic building ) quiet . noisy neighbor , slam door . nice breakfast . plan another theater trip next May . return Hampton Majestic . 
 Oct 8 2009 	 wonderful experience 	 stay Hampton Inn Majestic 6 night glad choose hotel . location perfect utilize CTA , service outstanding , room clean update , breakfast perfect , value price unmatched . wish Hampton Inn location could take lesson one . Bravo ! definitley stay next time visit Chicago . 
