glad 	 reading disturb review decide cancel stay even mission , 10 minute hold rude person end line finally go speak someone ! lucky escape 
 Nov 22 2009 	 good place .... 	 not Shaunda , would ask refund . first room MOLD grow side wall ( serious health department violation , hope fix ! ) ... ask different room tv 2nd room not work . Shaunda definitely take care we , though ! Burnie , however , need serious attitude adjustment ! rude we checkout question parking exit . obviously need get another job . almost ask manager unacceptable treat we . upgrade need make room . small feel little cramp . old outlet , fixture , rusty toilet paper dispenser , old light fixture . yes , manager reply review say 's & quot ; historic charm & quot ; place ... charm also require update , . however , price 's almost worth value . location well horrible either . Perfect be go see WICKED , walk 4 block huge mall shopping center San Francisco . all , ' m wary staying . least Shaunda turn & quot ; absolutely & quot ; & quot ; possible & quot ; ! ! ! would get special next visit , would certainly try . 
 Nov 15 2009 	 bad location nice hotel 	 well not pay hotel - would recommend people would like stay - good location business purpose . 
 Nov 15 2009 	 BED BUGS 	 lovely stay hotel , however get good case bedbug must deal itching worry bring home ! 
 Nov 13 2009 	 convenient locationhelpful / friendly staffold - style room 	 visit partner conference 5 day . hotel remain classic example early 20th century urban hotel architecture . room small bathroom shower stall only,18 ' ceiling , adequate closet space . like : price , location public transportation , staff / service , historic ambiance old S.F . hotel . dislike : shower head fall adjust ( fix ) , cramp bathroom space , wear hole bed sheet , old toothpaste cap stuck sink drain . cocktail restaurant , utilize free wifi and/ pay internet cafe , enjoy small hotel museum , door staff attentive ( outside inside lobby ) .Hotel secure luggage 7 hrs . day departure without fuss . hotel historic without great deal modernization renovation ... many like remain northeast disappear traveler demand amenity command much high price . the hotel lucky employ chamber maid -- hard worker friendly . 
 Nov 6 2009 	 bit letdown 	 not entirely happy stay , get book cheap last minute Travelocity screwup , fiance , propose night , spend engagement night manage decent experience . the lobby hotel really look lovely . also talkative personable porter . front desk staff ok , not need anything except check we , would not know usually service . reason not thrill hotel room hall pretty old shabby . 's , seem remember expose pipe ceiling hallway ? remind awful dormitory stay college . funky smell air . must carpet ventilation system . furnishing sparse room tiny . spot carpet always feel cold wet , first thought must track water shower spill drink , whole night morning , make think reason not really want know . little natural light room . bathroom really disconcert long shape seem like awful use space , ever . random area nothing behind bathtub . believe wall slant ? anyway , wtf ? really dislike pan handler harass get taxi across street night . know , last minute book cheap price got , city sky - high hotel price , . 
 Oct 28 2009 	 nice look photo 	 book hotel thru expedia . photo website decieving . hotel old even minor reno , still look like haunt house . description say be locate union square , 11 block union square . area ghetto well . let us say little afraid walk back hotel night . price cheap compare other , can not complain . 
 Oct 27 2009 	 need help 	 stay Hotel Whitcomb past Sunday evening , one night . love historic place . use description & quot ; historic & quot ; hide behind . place downright run . room creepy . patched plaster underneath cheap paint job , bathroom toilet roll holder rust inside , overall bathroom feel unclean - bathtub area mould ( surprisingly enough , shower pretty decent - debate take shower place feel grubby ) . & quot ; Lace & quot ; curtain close privacy . pillow bed lumpy ( ! ! ! ) . top , concierge close early - point one ? question , whilst go dinner approx 7:45 - 8pm . concierge . ask front desk guy , smile pleasantly wander , say & quot ; sorry - concierege closed & quot ; . oh really .... ? 's shame - see place history . need renovate enhance truly historical element hotel , get rid scary element ( really feel like could get bed bug room - ' m sure wrong assumption - feel not make one feel comfortable ... ) . many place less expensive - nice . sorry go ... 
 Oct 26 2009 	 will stay . 	 head San Francisco , read review Whitcomb not get . great room , quiet ( hotel busy ) , room clean , bed comfortable bed home , location fine . see homeless people Fisherman 's Wharf Whitcomb anywhere else . actually hassle homeless person Wharf whereas one two Whitcomb never bother we anyone else could tell . StarBucks attach hotel 's lobby awesome ! staff friendly ( especially Larry constantly singe humming ) always make point say hello we whenever pass hall lobby . a plus 's foot Bart station Muni stop 's easy get hotel anywhere city . 
 Oct 26 2009 	 Major Flaws 	 hotel one thing go : pretty lobby . several major flaw . first , room cramp desperate need update . water pressure terrible air conditioning old , not cool loud . & quot ; free internet & quot ; not work ( super slow drop connection every two second ) front desk staff incredibly rude simply tell use business office , computer pay use . absurd . another big problem hotel locate bad neighborhood . harass every time walk door . & quot ; fitness center & quot ; small room virtually nothing . parking $ 28 / day . bottom line : stay elsewhere . 
 oct 22 2009 	 Win lose 	 stay Open World , without realize would edge TL . quite experience , clearly something hotel alter . tag - along , day ( evening ) . orpheum across street make matinee snap , see wicked extra treat . step Civic Center stop make Bart Muni easy grab well . downtown , ... plenty wildlife , mainly human variety . this hotel history , room unique quirky - bath may small odd angle , sometimes door not close true . ceiling high , room quite new comfortable furniture . general enjoy room stay , although would look different area future , ( female ) comfort level . the WIFI provide 3rd party , support hand , make issue major hassle . 7th floor ( lovely quiet ! ) almost coverage . spend 1 - 1/2 hour lobby send postcard iPhone , since keep drop connection room . , strictly hotel 's & quot ; fault & quot ; brusque point we 3rd party support - challenge iPhone connection , frankly . front desk assistance either friendly helpful , short obstructionist - depend completely talk . majority pleasant . echo bit previous comment concierge - 2 time request help amount information available cursory . try get info Golden Gate Park , give good info get Muni , nothing get back ( not think leave ! ) information / map Park . bit local information non - business traveler might welcome . we one dinner restaurant , success . different review one . the manager marvelously helpful , certainly everything could make stay comfortable . ultimately location poor wifi big complaint , one addressable management . 
