good 	 husband 2 year old son stay three night Thanksgiving weekend . get excellent rate priceline front desk staff upgrade we superior room 33rd floor . big room fantastic view hudson jersey city . small fridge room put milk yogurt son . hotel standard marriot room rather large Manhattan hotel . the 85 west restaurant decent menu bit pricy ( $ 20 burger ) . breakfast starbuck one day morning go diner block away ( Georges ) excellent . can not compalin hotel except would stay downtown sightseeing shopping . also many restaurant around . the hotel one block ground zero general lot construction area sidewalk block traffic divert . subway station close get town . 20 minute ride midtown 25 - 30 uptown / central park . , great hotel convenient location midtown sight , especially child stroller . also prefer come back hotel naps inconvenient midtown taxi ride $ 30 . plus side , ferry liberty ellis island 10 minute walk hotel . 
 Nov 18 2009 	 small issue spoil potentially well hotel 	 stay wedding weekend immediate area pretty quiet dull . great location business traveler though - short stroll Wall Street subway connection need . little thing credit hotel . need urgently print 4 page document Sunday . business center close front desk staff uncooperative put mildly . business hotel , unacceptable . get irritated , concierge agree email document print . certainly can not rely front desk help business request . otherwise , room well average ( great flat screen tv ) , lobby pleasant although beware huge construction next door WTC site . starbuck hotel wonderful brunch / breakfast Roy 's restaurant hotel absolutely excellent recommend . unfortunately , internet free disappointment business hotel . want Wall Street , pretty good . make sure business center open otherwise might find little help anyone . pity . 
 Nov 3 2009 	 great upgrade 	 apparently recently renovate hotel show . staff friendly courteous . 
 Oct 28 2009 	 Great Hotel w / lot construction vicinity 	 husband stay hotel one night . room nice small ( NYC ) . 18th floor back building view . not matter since get hotel Priceline excellent deal . many subway line nearby ( 4/5/1 / r / w ) take anywhere quick cab . thing not like amount construction go area . course go construction around WTC site , seem like everything else around build scaffold sidewalk detour . however , room completely quiet ! business center 2nd floor let print airline boarding pass free . 
 Oct 26 2009 	 Gorgeous hotel wonderful staff good view Hudson River 	 love hotel ! room perfect , modern , clean , roomy window huge . hotel good hotel gym ' ve ever see . pool construction want swim time year ? also believe 's indoor . staff really lovely helpful come ask 's area . also , resturant hotel seem popular really pack throughout entire day . would stay ' near everything interested stay Downtown . 
 Oct 12 2009 	 Breathtaking Location 	 breathtaking location block two away Ground Zero Hudson River downtown Manhattan , find Marriott Downtown clean , staff helpful pleasant , overall quality hotel excellent . example , second day stay run late wedding town , leave room key back room frantically try take many sight could . front desk friendly courteous , quickly provide duplicate smile , " problem . " find room exceptionally clean provide every possible convenience include spacious refrigerator , flat screen hd television , iron , safe . view room classic New York . try take elevator 33rd floor bird - eye view construction take place Ground Zero . nestle within bustle financial district , typical Manhattan building : narrow high rise . find drawback minor . example , definite inconvenience high rise hotel wait elevator could little long , especially peak hour checkout , although normally ' . ' expect extra might normally expect hotel complimentary newspaper , coffee , centrally locate computer station check email . despite minor drawback , location convenience make Marriott Downtown gem . 
 oct 9 2009 	 Best downtown hotel far 	 4th time hotel would not stay place . Marriott good location could ask . take 5mins walk Ground Zero , Century 21 Battery Park . the hotel large room excellent view Statue Liberty , staff pleasant helpful . stay 3 night , check Sep 25th . I love hotel mainly within walk distance Ground Zero , Century 21 ( NYC well keep secret ) do not know ' m talk , department store every designer item reduce include clothe , perfume , bedding shoe . first afternoon get spend 3 hour still do not get round everything ! ! also walk get subway Canal Street ( fake real designer heaven ) make sure follow chinese bag people do not afraid haggle negotiate price ! Canal Street never disappoint fake / real ( never know ) Tiffany , Coach Louis Vitton bargain . bag still original price ticket they . you also catch subway Times Square 5th Avenue easily , buy daily sub ticket cost $ 8.50 day well worth consider will take Manhattan day . favourite deli also round corner Marriott . Cordatos 's working man deli honest good food ' ve taste . make everything fresh anything fancy menu . 4 table 4 sit always busy , lunch dinner special . elegant place will not find cheap good NYC meal anywhere else nearby . value money . Downtown NYC come since last time 4 year ago . lot new bar restaurant , new hotel lot memorial centre 's visit , be busy . still can not see be happen Ground Zero still mark peek . still gape whole construction work always on - going . good see downtown NYC back foot ! ! stay hotel everytime want bargain good sightseeing , Times Sq etc overate , nothing tac shop yellow cab ! say downtown everytime ! 
 oct 9 2009 	 Great Location Great Service Great Hotel 	 stay long sightseeing weekend , location great would reccomend downtown area , although obviously rebuild still . Ground Zero round corner tour visitor centre . Statue Liberty ellis island ferry right doorstep . service great hotel several place eat although never use , plenty place near . check quick simple easy staff welcome helpful . the room large , bed comfy , bathroom well lay out . hotel e - check major airline leave airport , nice bonus . 
 oct 9 2009 	 good accommodation work 	 travel downtown NY business trip Marriot downtown location perfect . be right across ( world financial center ) . downfall location around area ton construction go . world trade center site everywhere . first go room , look clean check bathroom second thought . look like someone replace bathroom toiletry not bother clean anything . call front desk get another room none due convention something . make due have . I can not say much area hotel not use hotel amenity much . everything seem like typical Marriott hotel . after come home trip , someone call issue hotel room cleanliness fill review checkout . tell happen award point issue apologize . think great service . make small blemish room . it be BEST accommodation area work term location , price , follow - up service . 
 oct 4 2009 	 5 Star hotel 3 star price 	 visit NYC four time good Hotel stop ! Book online get good price , room really nice clean book reading review Trip Advisor .Down side taxi ride Time Square Etc . 
 Sep 22 2009 	 wonderful Wedding Weekend 	 book block room daughter 's wedding hold Battery Gardens . from time check , till end stay , staff Marriott treat we royally . room spacious , beautiful view low Manhattan . Kerry , sale department entire staff help make wedding Weekend memorable occasion . 
 Aug 22 2009 	 Liked Downtown location lot ... '' 	 visit NYC handful time , concerned location New York Marriott Downtown would inconvenient . since use Marriott Rewards book stay , hotel allow we stay long number day few number point spend . good stay . mention celebrate anniversary , give corner room spacious junior suite , small living area . high enough see Statue Liberty ( other mention ) , nice river view . Starbucks lobby great perk ; eat hotel restaurant , pick food delis near - by . woman check - we kind enough send we hand - write note wish we , & quot ; Happy Anniversary . & quot ; great ( informal ) anniversary meal outdoors Adrienne 's Pizza Bar Stone Street Historic District , 15 minute walk hotel . several restaurant also table set cobble stone street . wife thought & quot ; charming & quot ; pizza good . surprised person help we direction front desk not heart area . finally , access subway easy , minute walk hotel . take subway everywhere never take cab . seeing play Broadway one night , glad stay crowd noisy Theatre District / Times Square area could come home quiet New York Marriott Downtown . would definitely go back . 
 Aug 10 2009 	 true room view -- -can meet Ms. Liberty window 	 marriott always dependable one life 's word ! 's clean well - maintain . staff friendly helpful . concierge get ticket reservation dinner . $ $ upgrade 's available room view . see Statue Liberty window ! amazing . bed comfortable lot pillow ! restaurant downstairs nice hearty breakfast hotel connect Starbucks . want final nightcap get drink bar ! lovely . 
 Aug 10 2009 	 Good Hotel - Ideal Location 	 stay 3 night July ' 09 - family 4 . find hotel good . nice sized room room allocate 35th fantastic view across river ! . room well appoint , comfy mod con expect Marriott Hotel . staff friendly & amp ; helpful time . request late check morning departure do without problem whatsoever . good bar / restaurant front nice food - little noisy hey NYC ! yes - construction within location hotel please remember literally within yard Ground Zero WTC . Breakfast Starbucks ( building ) far well value Roy 's Restaurant . find location ideal - particularly Battery Park , Staten Island Ferry / Statue Liberty , Ground Zero downtown NYC . around 20 minute walk Broadway China Town & amp ; Little Italy . Plenty subway stop close hotel get quickly & amp ; easily mid & amp ; uptown problem cheap . overall everything would expect Marriot good location explore Manhattan & amp ; beyond . 
 Aug 9 2009 	 would not stay 	 find hotel disappointing . room okay , soundproof not wonderful , hotel bit shabby . ask quiet room ( usually Marriott Rewards elite member get decent room ) ; arrive long delay flight , give room directly across ice machine , clean staff room , service elevator . room key card original room number -- corner room -- cross , new room number write beside . clearly another guest complain alloted bad room , give guest room originally assign . tell room available . 
 Aug 2 2009 	 great hotel 	 hotel clean staff overly courteous attentive . parking expensive park car 4 day use public transportation . downstair bar pretty good munchie . pool , much hotel NY never sleep ! 's deli around corner ( beside 911 Museum ) serve food . delis fantastic food budget wise . 's little breakfast place around corner well - breakfast hotel pricey . hotel right downtown good location subway . buy pass take everywhere ! first day , bus tour - 3 - choose preference . will show 's give idea location interest . try get try restaurant . shop dine Pier 17 . Uno ( one restaurant ) ok . try ninja neat dining experience . bit pricey fun . wear comfortable shoe carry umbrella wherever go . people sell water bottle everywhere buck , thankfully ! city unbelievably clean people undeniably kind . even young worker great attitude actually want help serve ! - sorry 's hard come Ottawa ! ! homeless people street safe time . if teen girl - go 5th Avenue browse ! Abercrombie Finch - will love - get pic take model du jour ! ! free charge ! Central Park must - 's large beautiful . check Gugenheim museum . want go Empire Stage bldg . prepare stand line ! ENJOY ! 
 Jul 26 2009 	 awful 	 weekend shopping accidentally throw away garbage ... oksecurity make feel awful , almost say like be not end world complain . say reimburse money back extra 50 usd , consider humilliate . also , one day take like hour close door , next one plumbing problem , fix day mention it . location good . concierge , check , etc ok well . 
 Jul 26 2009 	 Awesome hotel ! 	 hotel clean ! staff extremely helpful polite . 
 Jul 23 2009 	 great location great price 	 although financial district NYC , find location excellent . several subway station close ride mid town 10 minute . read usually weekend area crowd , surprise find lot tourist walk around day , feel safe walk around well . perfect place stay wake early visit Statue Liberty take five minute get Battery Park . challenge key stop work two day ( 3 day stay ) request copy f / d , girl ask three time not additional key not want cancel . Front Office person , understand reason behind question , first time tell & quot ; , 2 key & quot ; , give new key . besides , everything excellent . 
 Jul 20 2009 	 bad hotel ever misfortune stay - please stay elsewhere 	 rude abusive staff bully assault . concierge service ruin $ 400 worth ticket tour mis - information laziness . staff properly deal complaint ask leave , course hotel prepay . build site outside front door , dirty window - awful , terrible staff . 
 Jul 18 2009 	 Business hotel ok tourist 	 stay hotel partner 2 night July . choose price want pay much plan spend much time hotel . aware pool close bother we . the hotel good location financial district also good tourist see low end Manhattan . particularly convenient Battery Park , Wall Street ferry Statue Liberty . even walk back Central Park hotel - take couple hour . we arrive around midnight find reception staff helpful friendly . able arrange checkout 2 pm although would prefer later . despite construction work close WTC site find disturb we 9th floor . we allocate disabled room order king - size bed . find bathroom door difficult open / close shower temperature lukewarm time . we one breakfast Roy 's hotel find good value money . next morning similar breakfast starbuck fraction price . one dinner noisy sport bar - large portion plenty choice . overall hotel suit need reasonably price room two night . 
