awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Nov 25 2009 	 absolute let - down 	 location fantastic , staff great , thoroughly ' fawlty tower ' experience . first room send make - appear occupy room give access . send 8th floor different room , find bathroom not clean - towel floor , someone check . 3rd room break TV remote - phone guest service send someone twice - turn either time . 4th room okay , old sash window chatter bang night . would expect well Travelodge , never mind suppose 5 star hotel . awful experience . 
 Nov 24 2009 	 great hotel excellent location helpful staff 	 stay Waldorf last week stay great . location great , close eveything staff really helpful . really enjoy . will definitely come back . 
 Nov 24 2009 	 perfect ! 	 stay Waldorf party friend start finish perfect . welcome smily face front door , follow charming gent reception make we feel like superstar start . room lovely , dark furnishing amazing comfy bed , bathroom bath shower . hotel right central london thought would noisy . breakfast super , great variety cold hot item , waffle amazing ! leave smily friendly staff . great hotel perfect location , choose stay London . 
 Nov 23 2009 	 Surprising Bargain 	 husband round world trip early year savvy money . would never think hotel sale include daily buffet breakfast part package , end well value stay anywhere else time . big hotel many many room , grant feel like room furthest end hotel feel little isolating , downfall . room spacious , comfortable clean . buffet breakfast GREAT , fantastic variety service , feel posh every morning . location excellent , fall love Covent Garden around corner , beautiful atmosphere . Drury Lane around corner , see play Oliver . hotel husband comfortably walk Trafalgar Square , Westminister Abbey , Big Ben / Parliament , London Eye , etc . hotel make stay London wonderfull bring back pleasant memory . 
 Nov 20 2009 	 Disappointing room Funky feature 	 book hotel use point stay Hilton Hotels extensively diamond member reward program - mean spend lot money Hilton . take wife daughter take west end show book 2 room . arrival ask would like adjoining room daughter 16 say yes . turn mistake . handed & quot ; welcome letter & quot ; front desk - tip usually welcome letter already wait room - mean someone put think room ( ) assign value frequent guest . - 's letter . get room first floor right elevator overlook busy Aldwych - bus stop right outside . usually would go get room change - travel day less hour get ready theatre . lump - room face street noisy - basically guarantee bad night sleep end day primary function hotel would even give room 2 star rating reason . room could sound proofed bit cheesy double glazing room nothing bathroom mean noise constant . bathroom window large mean cold bathroom well . glass door bathroom bedroom large opening top bottom noise spill bedroom . heat towel rail - nice touch - except not work . US 120v outlet US plugs - nice touch - except not work . room design weird London - tile floor small strip carpet around bed . hotel provide slipper FOC tile floor England ? ? ? maybe Carribean England ? needless say floor exactly comfortable . oh way - decide change carpet tile forgot consider bedroom door would sit proud tile allow noise light corridor come - fact could push sunday newspaper door . use bath towel block . , another sign lack think front desk room also handicap room - tub . insufficient closet space - mirror room - mirror one bathroom . Geez even basic hotel put mirror room ? feature hotel proclaim & quot ; 5 Star Luxury & quot ; sale literature . disappointing - actually insult put name Waldorf hotel . Hilton Garden Inn like stretch area . bad - concierge helpful game bellman . executive suite serve decent free breakfast - can not speak evening service run late breakfast choice service 4 star quality polite efficient service - good . taxis easy plenty help bag . but compare negative positive even though burn bunch point feel worth . Location A+ go theatre - that s . disappointing sum . 
 Nov 18 2009 	 upgrade worth pay 	 Whilst arrive early keen prepare room priortise room preparaton . decide opt upgrade available option book direct far disappoint . the suite spacious , well equipped design relaxation busy city . great open plan design , huge bath shower area , real oasis . recommendation would add Sky tv iPod dock . staff friendly helpful . bar well stock great cocktail . would stay . 
 Nov 18 2009 	 comfortable wonderful location - 's bathroom ? ! ? ! 	 service slick atentive , one would expect Hilton , one quite clear top luxury hotel name ' Waldorf ' might imply . nonetheless , clean , quiet ( least , ) , efficient good . however , room small not like bathroom bedroom , separate glass partition badly fitting door , might well elsewhere . functional stay West End overnight , excellent . luxury long break London , probably . say , superb last - minute deal we , value money . 
 Nov 16 2009 	 wonderful staff wonderful room 	 go London one night , girlfriend impressed doorman sprint side taxi umbrella ! staff check desk helpful . check time 3 pm surprised let we check lot early . the room wonderful , modern comfortable bed . we room service night food amazing . probably par restaurant . breakfast serve buffet , food excellent . lot variety . would definitely stay , hopefully one night ! 
 Nov 4 2009 	 Excellent 	 Excellent service . excellent guest Relation Manager ( Kerstin ) excellent Rooms Complete Travel Group . 
 Nov 1 2009 	 good hotel good location 	 hotel typical old , elegant hotel central London . lobby not anything special , rather small disjointed , main ballroom quite something ! room not quite nicely renovate , still decent shape . Washroom update - modern , functional . could use counter / shelf space put toiletry , though . chandelier room keep go hour time , big deal . get inside room , want quiet , view speak . Hotel south Covent Garden , right theatre district , lot see within walking distance . 
