great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Nov 23 2009 	 great hotel small package ! 	 stay somewhere else NYC night friend refer & quot ; dress pig & quot ; . right . Chandler hotel nothing like ! great ! staff really friendly , lobby nice room , small , clean well put together . even hallway room nice . really like place . ' ve stay different place NYC past several year far , favorite one . highly recommend anyone look 4 - star hotel hugely touristy area . room small 's nice trade - off use another hotel get large nice room . thank rescue trip ! 
 Nov 19 2009 	 friendly helpfulwelcoming . 	 friend stay hotel Chandler shopping / sightseeing trip could well service . everyone polite , make effort welcome we personally ever see we . one doorman even go end block rain hail us cab . room comfortable welcome relief shop til drop ! ! ! location ideal , round corner Empire State Building central shop attraction . would definately stay . 
 Nov 19 2009 	 three star hotel three star service four star amenity 	 take 10 - year old daughter NY first & quot ; girl 's getaway & quot ; choose hotel central location , easy access subway , reasonable rate . read review go stay NY frequently . average NY boutique hotel . service average . take bag room , one offer help take thing downstairs way leave . sixteen dollar breakfast worth . go around corner one many bakery coffee place . paint lobby ceiling business hour drop cloth & quot ; CAUTION & quot ; sign . ny panache pizzaz experience . free coffee morning . room small , really par would find W Chambers SoHo Grand . think bathroom fine . clean , small , GIGANTIC yummy soft FRETTE TOWELS could take beach ! frette sheet comforter . bed comfortable , comfortable Waldorf , whole world , yardstick comfortable bed NY . nice Aveda toiletry . turn service happen night 2 , night 1 ( ? ) . chocolate . room quiet even though 6th floor . back hotel . front desk upgrade we well room arrival without ask , woman desk ball . overall , service inconsistent . one smile reason & quot ; flat & quot ; atmosphere entire staff . elevator fine work well . staff helpful direction , little else . three star hotel inconsistent service four star amenity . stay NY lot need comfortable affordable place stay mid town fine . probably try something else next time . going take cab whole time spend time uptown , well pay extra dollar night save cab fee . use subway , work well . 
 Nov 19 2009 	 great 	 wonderful stay Hotel Chandler , exellent location quiet street , near Empire State Building . room small nice clean staff great . I would highly recommend hotel go New York , make hotel hotel travel New York . 
 Nov 16 2009 	 Nice Surprise 	 recent resident NYC , familiar local hotel . get ridiculously overprice trendy / new boutique hotel hot neighborhood ... classic ' famous NYC ' hotel , too - good - to - be - true hole wall horrific tourist trap . since live CT commute city work , need stay Manhattan business event . even ' corporate discount ' , hotel still $ 350 - $ 550 night range budget cap . decide look hotels.com see 4 star boutique hotel call Chandler . homework , look review , check website , map , etc . not crazy staying midtown , figure $ 219 night , could not go wrong . close Park subway need , importantly , room look clean update . laugh review tourist never NYC ... complaint street noise , thin wall , narrow hall , tiny room . sound like old apartment ! know expect regard , shocked walk modern , immaculate lobby greet doorman front desk person right away . slight issue reservation make hotels.com , error . send reservation Chandler , still room . even upgrade we deluxe room . walk hall , thought & quot ; first time ' ve NY hotel not smell smoke , mold musty odor get walk old building . & quot ; carpet new ( stain ! ) room small , normal NY standard . bathroom clean new fixture . aveda product , always nice . bed comfortable sink pillowtop mattress soft sheet like 's big marshmallow . street noise , nothing norm city . not keep night hear anyone next door walk - something never get use old apt . issue $ 16 continental breakfast downstairs . opt eat library area , read paper , cup coffee fruit . waiter staff serve coffee ( pot less ) choose order egg something menu , offer well . coffee , scone slice fruit buffet $ 16 . think either comp make $ 10 ( unless someone pig take 1/2 baked good table ... would reasonable ) . old computer need use internet library stock local paper . nice atmosphere . concerned location would ' dead area ' mean industrial / everything close 6 pm , several restaurant around corner coffee shop . get cab easy , need subway . can not say enough staff though . attentive , helpful friendly . something not see lot . already recommend Chandler friend co - workers family friend come town not want stay Times Sq overprice downtown . 
 Nov 3 2009 	 comfortable cosy two block Empire State Building 	 great time New York 16 & amp ; 18 year old kid , small part due great little boutique hotel . select internet mainly use review anything well hope . 's perfectly locate right slap bang middle Manhattan . Empire State around corner , walkable Times Square perfect transport everywhere else . family , use cab economical - easily half price would pay back home London . use lot . room not huge plenty big enough comfortably furnish , terrific bed , & amp ; warm fluffy white towel bath robe . housekeeping service thorough . tea / coffee make facility room tend expect back home not seem common USA - complementary tea & amp ; coffee lounge job almost well . know would restaurant house one next door - want go explore New York breakfast elsewhere anyway . staff attentive helpful anyone look tourist travel advice . room rate competitive give location . would certainly come back would recommend without reservation . 
 Oct 31 2009 	 Fantastic Hotel great location 	 book hotel basis review trip advisor also work cheap usual hotel ( Intercontinental Berkley ) time year . we check without problem put room 4th floor , 425 ( smoking floor ) , room smell litttle smokey phone reception say could move room would provide free breakfast next morning due inconvenience . our new room 825 lay way smell fresh course clean . fantastic 6 night stay , free tea / coffie reception nice free internet communal lounge / tv room . the location hotel good quiet side street , around corner ' tacky central ' ( empire state building ) . 10 min stroll Macys 15 min Times square . the near subway Park avenue 33rd street ( entrance 32nd street ) make 3 block walk ( 2 East 1 North ) convenient 5 minute . I stay Waldorf , Regency Intercontinental hotel ( 4 star ) New York would stay next time visit . much small / friendly hotel other level comfort less money . 
 Oct 29 2009 	 welcoming reasonably price hotel 	 expect , arrive early room ready , walk get theatre ticket tkts . return , discover room bath ( tub ) - something value assume would commonplace . although full , suggest use allocate room night would review situation morning . meantime , would please enjoy free breakfast next day . next day , Mille arrange upgrade ( extra cost ) room tub . the hotel staff friendly ( concierge book we Sardis Anne check reservation Walter hand evening arrangement . ) courtesy kindness we unexpected one hear story New York hotel . door staff forever get bag opening doors- always cheery smile : also able get cab rainy morning quite feat . overall , much well stay hotel ( include Waldorf Astoria ) . 24 hour self service coffee / tea arrangement also ice- charge- much appreciated . thank staff . would unhesitatingly recommend friend . 
 Oct 23 2009 	 Nice Stay 	 have never hear Hotel Chandler , nice stay . one block toward Broadway ( go west ) Dunkin donut subway around corner head east tasty cafe place sort like EuroPan find around Times Square surround area . Chandler offer complimentary tea / coffee computer use day ( 1 computer ) breakfast bar area ( pay ) . short walk Broadway , Macy 's , Manhattan Mall , 34th/35th street shopping district . close also cool bar call Tonic ( east location , Times Square ) . cool roof top , beware inside Tonic dark go day Sunday dark , not wear shade ( sunglass ) . Chandler 's bathroom small , style / decor nice offer great light . bed comfy in - room safe nice addition . give Chandler try . 
 Oct 20 2009 	 clean comfortable stay helpful friendly staff . 	 can not say enough great thing Hotel Chandler . great bed , clean , friendly staff around pleasant stay . 
