bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Nov 24 2009 	 bad - stay area London want . 	 ' cool ' , edgy bit London fine good holiday maker visitor would wish elsewhere . hotel fine need friend brave go taxi . there pool , room fine , , unlike far well hotel , wait Breakfast . astonishingly enough , restaurant excellent . almost everything involve key , payment , billing check wrong . staff young exclusively foreign need check absolutely everything - go taxi alone . having say , Old street underground 10 minute stroll expensive stay . warn . 
 Nov 21 2009 	 not bother .......... 	 stay one Saturday night part Daily Mail theatre break . location hotel quite unbelievable , right centre big council estate , therefore feel comfortable walk hotel tube get taxi everywhere . general location hotel central anything disapointe . arrival take we forever check ( sure receptionist find task difficult ) give room 2nd floor . apart marble reception hotel drab room well . book three room , tiny ( bed take whole room ) poor decor , view internal roof , really need refurb . couple encounter staff , really unhelpful , everything ask much trouble . breakfast include rate , cook breakfast bland , would cried pay £ 15 . not time use pool can not comment . hotel definitely 4 * ( stay far nice travelodge ) . 
 Nov 17 2009 	 BETTER place stay LONDON 	 book deal super break , 2 night bed breakfast first evening meal free ! come £ 240 2 we , book day would £ 40 cheap ! still want see Lion King think Barbican represent good value . stay many hotel London past not daunt distance away west end . plus handy Lord Mayors parade . make long story short , suffice say , let concierge get taxi , cahoot ' private hire ' company , apart unable speak good english , charge inflated price . car responsible make we 20 minute late theatre . require taxi , black cab available near entrance hotel hour day . reliable honest main ! aside negative aspect : - location , tired room bathroom . organisation check , many encourage queue jump , find enfuriating . the plus plentiful good quality food dinner first night . would cost we excess £ 67 without wine , include ' the deal' . breakfast could well , ok ! 
 Nov 14 2009 	 Honest Review 	 hotel little way , clean tidy here worry we hotel . arrival give room pass , open door find room occupy , one thankfully . hand bag , jewellery , clothe perfume etc easily accessible around room . we leave room go reception tell do not seem concerned , obviously reservation get room make sure valuable leave room . go around Islington late night never feel threaten , small local pub 1 minute road find friendly . 10 minute walk underground everything want see London easy enough get to . would go back ? probably , would go central , food , breakfast buffet style first day bacon leave second day wait 10 minute egg tomato enjoy food place , bland . 
 Nov 13 2009 	 bad holet world do not even think rat would stay 	 first room bad move thing , stained sheet , wallpaper hanging , draw broken , window break , dirty toilet , stain wall , hole wall , heat apart small radiator , aircon , bath rotten lamp fall apart etc .. room bad ask move refuse upgrade lot fuss finaly move second room proble dirty tap , bath , toilet , light , fire instruction ! ! ! ! ! ! ! ! electrical test hairdryer 6 year due , wall thin hear everything , basicaly terrible hotel old office block convert well stay away please 
 Nov 12 2009 	 do not beleive everything read ! 	 read review hesitant book , however check pleasant , room main building surprisingly spacious especially London unlike reviewer find way easily ! eat restaurant evening breakfast next day , reason question service food . overall consider city think hotel represent good value , experience clean well appoint present hotel polite courteous staff . 
 Nov 11 2009 	 4 star quality 	 bedroom need decoration . bathroom tired . pillow towel require replacement . tube far walk inclement weather , especially carry luggage . 
 Nov 11 2009 	 must another Thistle City Barbican ! 	 read majority review , must stay different hotel ! staff reception always polite & amp ; accommodate . bar & amp ; restaurant staff likewise . ' ve stay hotel quite lot & amp ; room ' ve stay always spacious , light , airy & amp ; clean sufficiently large bathroom . service excellent bar & amp ; restaurant & amp ; standard food good . hotel particularly helpful Concierge service . I admit surround area bit intimidate dark 
 Nov 10 2009 	 shocking 	 think hotel awful - especially consider price . room damp , cold dark . remote tv not work could not get anyone reception ask question . 
 Nov 8 2009 	 stay away ! ! ! 	 moment colleague arrive , shock poor level service receive . speak complete disregard receptionist go room allocate . horror room already occupy ! ! ! arrival back receptionist explain happen - look force heartless apology . informed would another room make avalible we . long wait second room allocation , couple return reception desk say thing happen ! please leave belonging value room next people may honest ! Dulux Suites basic would expect all . if plan stay , without expectancy actually go sleep - bed shockingly uncomfortable noise hotel night exceptional ! 
