excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Nov 20 2009 	 Deluxe room costly terrific ! 	 wife go back Grafton week , night . thought would upgrade deluxe room change make stay comfortable . room pricey , absolutely excellent . need specify not want front noisy road London . room really spacey - well appoint would expect 4 - star hotel 's Deluxe . well do Grafton - will definitely back ! 
 Nov 20 2009 	 beware booking 	 although colleague book several week , arrival ( travel New York ) advise hotel overbooke unable accommodate , however , fifty pound room find hotel 20 minute away . protract discussion involve travel agent , airline staff office Australia , room eventually find we . my colleague observe number people - booking - turn away . aside , hotel excellent . however , would never choose stay Radisson . 
 Nov 17 2009 	 fantastic stay would recommend 	 book deluxe room one night stay , arrival inform upgrade suite . lovely surprise , room fantastic ! bathroom extremely spacious bedroom amenity one could want , wish stay long ! staff helpful friendly , park car us rate £ 36 24 hour . tube station Warren Street situate next hotel allow easy access London . I would definately recommend hotel would definately stay . 
 Nov 16 2009 	 well worth 	 weekend away friend birthday . have stay suggest friend stay . ideally position , Tottenham Court Road , right near Warren Street tube station . staff courteous efficient . room compact , enough room table , coffee making equipment , safe plenty wardrobe space . shower great . breakfast bit noisy hectic . Sooo many people , problem getting serve . want hot milk coffee expect wait , come really quickly . even check super efficient . would hesitation stay recommend . 
 Nov 13 2009 	 comfortable room close Warren Street tube station 	 stay one night stay whilst business pleasant stay , comfortable room . not get view get quite small room ( solo traveller OK part couple would think 's little bit small ) , not good still comfortable ok . nice flat screen tv lovely bathroom , shower , etc although bit small side . breakfast tasty stay trip London , would count lucky would great place set base . be right next Warren Street tube would able explore London easily , even Euston Square Great Portland Street tube station not far away either . 
 Nov 11 2009 	 Excellent service good location 	 first night hotel great - small room 2nd floor , front building , noisy . next day ask could move somewhere quieter . find lovely room back hotel , move bag day , sleep wonderfully well night . service hotel excellent find everyone really helpful . breakfast buffet wonderful - plenty selection - really enjoy rare treat full english breakfast ! thing not like light dining room night - really weird , fluorescent lighting not welcome . dinner ok probably would not eat . apart , good experience . location terrific - next Warren St tube station , within walk distance Euston , plenty bus main attraction London . , nice place would go again . , 
 Nov 10 2009 	 5 star service 	 stay hotel mid October . room single bed spacious easy sleep . room locate & quot ; back building & quot ; reachable glass bridge , quiet away main road . like fool leave two book room . room service quickly find book since return additional cost . good service ! 
 Nov 5 2009 	 Quiet hotel big city 	 hotel situate 10mins one big shopping area 's London close theatre land . 5min walk underground station . hotel quiet room well furnished . not want eat hotel varied choice within walk distant . price good value - would certainly use 
 Nov 5 2009 	 top hotel top location 	 first moment step front door right time departure , staff could enough you . this top quality hotel , perfect location get top site around London . 
 Nov 4 2009 	 great value excellent service fantastic location 	 Excellent service check - in check - out - hotel manager outstanding accommodate short notice request colleague business trip . well look bar staff , enjoyable stay 
