fabulous 	 chic , everyone friendly , service amazing room large comfortable . restaurant great bar , good meal , breakfast excellent . night fun select window color illumination . business center well appoint well fitness room . wholeheartedly recommend Hotel G anyone stay Beijing . enjoy time , sure . 
 Nov 18 2009 	 great boutique hotel central beijing 	 new hotel great central location beijing . small - ish large room stay . think stay room 1 standard fantastic , luxurious trendy , huge bed decadent bathroom . bar cool feel food good , although plenty nearby restaurant nearby . manager friendly accomodate really make we feel welcome without pain . small business centre 2 girl help we tremendously flight problem , phone airline behalf . also excellent value money , compare Westin Shanghai oour hong kong hotel . 
 Nov 17 2009 	 cold 	 go Beijing snow night , heavily . soon walk frozen hand toe receptionist welcome we warm cup tea . sit slowly de - frosting look around see cool Hotel G . interior design really think , cool , trendy inviting . stupidly take photo pose various chair . when enter room first word WOW ! interior amazing , soft welcoming . not feel like be modern art museum , even though look like one . later venture outside see cool place really . every window light different colour . ( later find change colour flick switch room ) great time , service helpful , quick point . we even get meet manger nice person meet beijing . the side 5 minute walk tube station snow . 
 Nov 16 2009 	 Oasis Beijing 	 perfect place stay Beijing . soon enter Hotel G , forget polute city enjoy bohemian european chic style hotel bring . perfect personel , great management great room , facility , restaurant , chefs business center . FLAWLESS ! not search anymore , stay G ! 
 Nov 16 2009 	 new favourite place ... 	 spend week hotel recently absolutely love every second ! elegant chic , without cold - everything perfect , delicious , French - inspire food , plush room fabulous staff . location also ideal - close enough nice thing , main road 's quiet authentic - opposite awful , bland , corporate place feel like be still airport . contrast , Hotel g truly feel like home home - General Manager team wonderful make everyone feel incredibly welcome . would recommend Hotel G anyone hope return soon . 
 Nov 15 2009 	 Book 	 often use Trip Advisor help make hotel decision , never motivate write recommendation . hotel g not everyone - 's hip know - level service attention design detail one expect excellent hotel , regardless target market . location somewhat outside centre , happy mooch around North Chaoyang district day , be great restaurant nearby . go - 's rare type website image really not room justice . use ' G Spot ' offer website book ' great ' room : be . the let - down slightly slack service bar night . 
 Nov 14 2009 	 ideal short business leisure trip 	 G stand gorgeous room lovely . g stand great staff incredibly helpful organising excursion give useful advice . hotel good location - Beijing incredibly sprawl north - east corner ideal close restaurant nightlife ( include Beijing 's local gay club ) easy enough get around metro taxi . 
 Nov 14 2009 	 great boutique hotel - great non - tourist location 	 stay 3 time already . great hotel welcome staff , personalize service ( far away impersonal service get everywhere else Asia ) . great food restaurant hotel proposing tapas , wine , cheese cold cut platter . 2 week chinese food seem like heaven ! room big , comfortable ( even pillow menu ! ) plenty goody ( ipod dock , little sweet nigth , etc . ) . definitely place ' m Beijing . 
 Nov 11 2009 	 can not go wrong ! 	 Wether newcomer beijing someone live ( like ) hotel g definitely good quality - value hotel Beijing probably Asia . expect find friendly staff , beautiful lobby lounge , great atmosphere bar , amazing location comfortable bed stylish room . half price similar hotel town . 
 Nov 10 2009 	 Great Service comfortable bed 	 young staff helpful tour guide question make reservation private car , direction taxi 's make reservation stay various location . sushi restaurant attach hotel excellent , pizza parlor next door perfect delivery long day tour city . alex general manager restaurant manager premise daily greeting make sure guest take care . room cool vibe one comfortable bed hotel . service , location , comfort price can not go wrong . 
 Nov 9 2009 	 Excellent experience 	 greet welcome upon check General Manager hotel staff well - groom style . really enjoy stay G. room nice layout feel comfortable . nice cozy . l'occitane toileterie big plus ! one thing find entertaining could choose ur favorite window lighting ( give colorful lighting building ) . lift bit dark , enter room forget . confuse signage say different name restaurant . great burger & amp ; breakfast selection ( also get choose main course addition continental b'fast buffet ) Scarlett Restaurant . free internet goody , even setup Wii room need exercise bit room . stay g glad . one favorite hotel Beijing . easy access night life & amp ; place - to - be town . the PR Manager Jessica exceptionally attentive could pamper & amp ; accommodate need . two thumb ! ! 
