review 	 reading review decide share opinion . 2nd time stay fitzpatrick manhattan good remain good mediocre remain mediocre . bad part stay desk . agent good girl give we attitude first stay repeat second time . put regular room suppose two bed suite would say would pay extra could not find confirmation . explain forget say nothing could . speak reservation manager explain book 5 room one room suppose 2 bed suite . minute say mistake hotel end apologise everything fix . we start trip bad note problem have . the positive note stay besides brilliant room concierge Michael book we 3 show restaurant we include load time guide we right place . make stay excellent time always smile . bar staff also great especially David always great . new special Fitz light wallet . back month hope see good stay good bad become good . 
 great value perfect location 	 ' m back 5 night stay . not usually write hotel review think one really deserve mention . got great value deal , expect small room huge one 2 double bed 2 people . little noise nice cool room . staff lovely location perfect ( 5 min walk subway 59th street ) not use restaurant ( would 're New York ? ! ) get good bargain not think could much well . 
 Nov 12 2009 	 great location 's 	 hotel disappointment start end . room small cramp could barely move bathroom . room upgrade literally see layer paint . hotel aware three we staying room , despite many request , supply we two everything – annoying ask extra set three day row ignore . service good . review seem guest stay suite seem fare well . eat bar / restaurant time . dark , bit 80 full tv . breakfast stodgy irish fry – even good one – meal pretty average . pop year stay elsewhere Shepherd ' Pie ( dish like ) find hair food – great ! good point location Lexington . however Waldorf = Astoria , stay year , even well location surprisingly cheap fitzpatrick ! hotel overprice underwhelming . 
 Nov 9 2009 	 Luxury Charm Hospitality Location ! 	 wife book de Valera suite 25th wedding anniversary trip NYC . upon arrival could tell make good choice staff welcome suite spectacular . bedroom wonderful , bathroom floor ceiling italian marble everything work perfectly . drink lively Fitz Bar head dinner base recommendation staff . bici , upscale italian bistro excellent . throughout stay utilize staff recommendation reservation handle ease , critical , especially busy Sunday Brunch Rue 57 . location Fitzpatrick Manhattan get one good Midtown . walk everywhere much fast taxi , traffic , even weekend , quite congested . ' good shape ( wife 50 ) easily walk way Macy ' ( 34th 7th ) , Theater District ( walk back hotel midnight , show dinner ) Bloomingdales , Trump Tower , Tiffany ' Plaza block away . for money ' pay hotel ' renovate age , stay Fitzpatrick Manhattan experience true luxury , charm signature Irish Hospitality . highly recommend ! 
 Oct 19 2009 	 great location even well staff 	 recent holiday NYC decide stay Fitzpatrick Manhattan - hotel location corner 57th Lexington hard beat - shop weary partner dispatch uber trendy buzz hotel bar break allow half escape adjacent Bloomingdales many nearby 5th Ave shopping meccas . suite spacious New York hotel standard service several time daily - lovely bathroom , comfortable king size bed seperate sitting room joy joy windows actually open room ! ! ( ' m fan US obsession central air conditioning ) .Where hotel really win however staff - without exception friendly , helpful prepared go extra mile make sure stay memorable . we back ! ! ! 
 Sep 27 2009 	 Thank Fitzpatrick Staff 	 daughter discover Fitzpatrick Trip Advisor . incredible stay Manhattan Fitzpatrick thank kind , caring , thoughtful , friendly staff management hotel . decide make connection staff try make day little bright find staff go way make stay New York memorable one . Merima get we wonderfully settle enthusiasm , positive energy , greeting every day , great suggestion place breakfast ( Fresh Co. ) much appreciate . Mike Ray incredibly helpful , friendly , professional knowledgeable every day . Simon great young manager joy talk . not meet owner sure appreciate welcome message & quot ; touch & quot ; friendliness hotel staff portray . thank one Fitzpatrick hope see know family friend visit well . 
 Sep 18 2009 	 adequate bland hotel midtown 	 hotel fine -- rate three star find extremely average . location pretty good -- east part mid - town . Lexington pretty charmless street , 3d 2d Streets nearby want neighborhood , be also within relatively close walking distance 5th Avenue . hotel , one room suite , 8th floor , stay four night ( price $ 399 per night include tax ) .This perfectly decent business option . modern stylish place . furniture room quite bland charmless , suite large ( sleeping room separate livivng area , tiny & quot ; kitchenette & quot ; ) . kitchette fridge , coffee maker -- nothing else ( i.e. , microwave , utensil , plate ) . want use mini - kitchen 's equip much . room clean arrive continue clean well . equip everything would expect ( nice toiletry , blowerdryer , iron , bathrobe ) . toiletry replenish , like . free access mid - range sport club street , decent gym . newspaper deliver room , although could sometimes snag one lobby . room two flat screen tv , work fine , ipod docking station . the lobby small ( couch along one wall main seating area ) smell bit musty . place would like spend much time . staff average , mean rude , warm welcoming either . real complaint restaurant . ' ve seldom poor service : ( ) water serve , even though request twice ; ( 2 ) coffee serve w/o cream ; ( c ) oatmeal come without raisin order , none came request twice . eat . 
 Sep 10 2009 	 will not stay 	 stay part honeymoon August ' 09 stay hotel bad . when book request suite tell check suite go . get small poky room 2 light order . cam back later evening key card would work . porter try blame we say card near something magnetic . follow morning complain day manager get move big room - offer we suite 1 night . much use 3 night . evening wife shower towel use rip almost half dry . dry hair fuse blow room leave total darkness . rang reception manager come stink cigarette smoke try blame we problem ! evening come back lock door completely jammed . another call reception maintenance man come fix it . we complain quiet profusely stage get 2 drink breakfast vouchers.for pay stay near worth money 2 positive would take form stay bell boy excellent Breakfast nice bar ! 
 Aug 18 2009 	 nice great location 	 nice hotel Manhattan . room really clean quiet big plus NYC . room proper shower ( shower tub ) really nice . would stay . 
 Aug 14 2009 	 Disappointing hotel great location 	 book hotel 2 night part treat girlfriend go stay friend rest trip . irish hear Fiztpatricks . get hotel , bit surprised . not like have imagine . long sign procedure go room . go room feel disappointed . thought would spacious room instead cramp . bed comfortable wear ear plugs appear sound insulation . someone knock door nearby , sound like door could hear people walk outside room , never mind maid cleaning . view , look wall next building do not much natural light either . not like thought would . find staff quiet standoffish , 1 female staff member particular seem little interest interact guest . irish feel attitude . try hard irish hotel ( almost little top ) picture president well know irish people not much . look bit like kind place parent might stay . we decide eat hotel many place nearby try comment . pay alot get , probably bad value ever get hotel . save stay though location . walk distance many attraction fantastic friend live way uptown get use subwaye everywhere great able walk want go nice part town . ' m sorry stay would stay would recommend friend . well value hotel well room . Sorry Fitzpatricks feel disappointed . 
 Aug 8 2009 	 Margaret Farrelly know good Hotels 	 stay Fitzpatrick , Grand Central ManhattanThey truly great hotel , big city like New York difficult get personal touchsean Fitzpatrick manage property -- really caregreat location -- perfect restaurant -- friendly staff personalise letter leave -- Dublin New York -- love return ! book easy Deirdre Sunway Travel -- flight etc arranged ease -- everything ake could wish do ! ! many mistake way go ny several time year visit daughter work ! ! 
 Aug 8 2009 	 Great Location actually clean update . solid ' ' 	 try come NYC year stay different hotel . ( mostly boutique ) Thanks TripAdvisor user photo turn W 's decide Fitzpaterick Manhatten . close park , close Rockefeller close store . arrival : forget call early check - in baggage claim Laguardia . call , hotel rep nice say could accommodate request . hotel easy cab find easy catch cab second walk door . check brief , pleasant problem whatsoever . room : LOT hotel stay claim update modern ( read TripAdvisor ) seem corner cut , bug , dirt , mold etc . let face , NYC old ( America ) get lot old hotel slap coat paint and/or new furniture call ' renovate . ' honestly say room clean room ' ve stay . bathroom , bed , furniture , nice , new clean ! musty , dusty , moldy , buggy experience . -- amenity good : flat panel tv , ipod compatible clock radio , big closet , pant press mount wall nice furniture . second set ' black - out ' drape awesome sleeping . far room size , would say big standard NYC boutique room , small room large old hotel . reasonably fast internet access available $ 15 / day . problem checkout . 
