refuge 	 stay hotel reason lot traveller - conveniently locate train station . hotle moderately price , seem even bargain pay New York . our room recently refurbish lovely . bed spectacularly comfortable good sleep whole trip . unlike other , think room definitely large enough . view nice . room service ok , drink lounge downstair good quality , reasonably price accompany great service snack . surprise free wifi , pay , whereas 2 * hotel New York able provide it . the location ok , able find good restaurant use metro system ease . would definitely recommend . 
 Nov 9 2009 	 Hotel Character 	 wife Montreal 2 night visit family . stay hotel past , intrigue character Queen Elizabeth , try . hotel large , locate top main train station . ( would not know , meet family member arrive train . ) seem like one old ' destination ' hotel everything happen . spend one day shopping pour rain , huge network retail shopping accessible underground hotel . venture rain , seem close everything dinner family block property . service good ( outstanding , good ) , room good . overall , good experience . 
 Nov 7 2009 	 Great Hotel 	 beautiful hotel great service . room bit small comfortable . great location especially walk . 
 Oct 31 2009 	 fairly good hotel 	 husband stay Fairmont Queen Elizabeth October 24 - 28 , 2009 Fairmont Room . king bed , small room , small bathroom . bathroom small accommodate toiletry necessary . ninth floor fantastic view dome cathedral across street . location hotel central walk Rue St. Catherine shopping Old Montreal tour . dinner Europea would highly recommend restaurant . try get Beaver Club Restaurant hotel , book solid . Rue St. Paul main street shop , gallery restaurant Old Montreal . city walkable cab plentiful need . 
 Oct 24 2009 	 Comfortable Hotel Great Location 	 take train Montreal Albany , New York foliage season . book Queen Elizabeth locate right train station lot good restaurant nearby Peel Street . disappoint . room clean comfortable , little bit small side . busy hotel lot business traffic . big complaint check little 7:00 event -- not member Fairmont Presidents ' Club probably would wait half hour , wait five six minute . ( hint : cost nothing join president Club . ) hotel inexpensive able get acceptable rate pay advance online service . even though not like pay advance general , able save 25 % versus Fairmont 's pay advance rate , count lucky . 
 Oct 23 2009 	 poor customer service 	 even though room pre - booked month advance , & quot ; Fairmont & quot ; feel acceptable give room away say party people come unexpectedly . , opinon unprofessional . 
 Oct 19 2009 	 ordinary 4 star hotel downtown Montreal 	 part long weekend trip Canada ( stop Montreal & amp ; Quebec City ) , wife stay Fairmont Queen Elizabeth hotel two night early October , 2009 . general , tend stay traditionally decorate 4 & amp ; 5 star hotel reputation quality convenience ( i.e. , traditionally decorate & amp ; clean hotel bar , restaurant , locate within walk distance local attraction & amp ; historic city center ) . except modern décor , Queen Elizabeth fit typical need requirement ( i.e. , clean 4 star hotel bar , restaurant , locate within city center , within walk distance local attraction / historic city center ) . overall impression hotel , though , Queen Elizabeth non - descript average . we , hotel character charm normally distinguish Fairmont property average 4 5 star hotel North American ( example , ' know Queen Elizabeth Montreal would think Hyatt , Marriott , Sheraton high rise hotel ) . enjoy stay Queen Elizabeth ( room quiet king size bed comfortable ) , recommendation would research hotel option Montreal choose Queen Elizabeth . prior book room Queen Elizabeth , typical research reading review TripAdvisor , gather hotel detail hotel website , search internet information regard hotel , etc . base upon result research ( i.e. , mixed review Queen Elizabeth ) , concern stay hotel . research rate compare option , decide reserve room Queen Elizabeth one ' gold ' room ( locate 18th 19th floor hotel ) . opinion , choose stay Queen Elizabeth try get good deal ' gold ' room appear good room hotel offer . addition , part ' gold ' room package receive several convenient amenity complimentary snack / non - alcoholic drink happy hour & amp ; daily complimentary breakfast ( light buffet coffee / juice ) .We fly Montreal US arrive via airport ( YUL ) . airport , present several different option travel hotel ( i.e. , bus , taxi , town car ) . originally choose taxi last minute switch town car option ( taxi town car option fix rate city center town car $ 10 taxi ) . sure good overall choice , we work well ( flight arrive late night clear customer / immigration 11:30 pm - want take convenient transportation hotel ) . town car fancy , clean , comfortable , get we hotel midnight . town car drop we side entrance hotel ( seem typical hotel ) check relative ease ( front desk staff pleasant assign we room 1961 ) . note - stay ' gold ' room check concierge 19th floor long arrive prior 11:00 pm ( convenient option peak time ) .We leave Montreal Quebec City via train . location Queen Elizabeth ( right central train station ) make trip Quebec City even convenient ( simply take elevator hotel lobby two flight train station ) . train perfect . reserve Business Class ticket ( slightly expensive coach option ) receive complimentary lunch drink three half hour journey ( three course meal hot main course complimentary wine / beer ) . 
 Oct 17 2009 	 Great Character Hotel 	 Good Location . nicely appoint room ( recently update ) . good without car , hotel right top central train station , car valet service efficient . complaint hotel attitude ( ) service staff . unfortunately see staff give snobby attitude towards guest.other good choice . 
 Oct 10 2009 	 amazing one bedroom suite stay @ Queen location 	 stay Queen e couple time past , come know different room style . last stay , pick one bedroom suite totally worth price . suite mini suite view , i.e. , view parking lot loading area , somehow smallish well design . anyways , stay suite end 13rd floor hallway memorable . nicely furnish distribute , view city mountain gorgeous . foie gras room service delicious , twice . got wrongly charge two night parking checking - out , staff accounting dept . refund credit card quickly . careful parking charge , second time problem . 
 oct 9 2009 	 convenient luxurious 	 great Montreal location ( train station metro ) ; within walk distance downtown Montreal ( McGill campus ) ; lot shopping restaurant nearby . great service , renovate room 
 Oct 8 2009 	 Perfect location ... convenient ! 	 usually shy away stay conference hotel ' m town conference somewhere , case , could not find well deal figure would give try . the location perfect , connect & quot ; underground city & quot ; train station . 's step shop , dining , vieux - port , everything . hotel great service . room quaint , bit small , happy . really glad stay . 
