San 	 average overall fine need . Thought would japanese hotel really refurbish hotel 80 's japanese decor . still , staff pleasant . room good size great big bath - probably good thing room ) twin room plenty space . 10 min cab Union Square 20 min bus ride outside . room idea restaurant like . Filmore St min walk roab interesting shop + restaurant . 
 Nov 18 2009 	 Great Place Kids 	 husband stay Hotel Kabuki - formerly Hotel Miyako - during chilly July 07 3 month old mother . first family vacation wonderful . first hesitant stay Japantown , ignorant really , nice surprise ! find hotle snap , parking valet $ 35 / day time . check - in take 5 minute , really quick , elevator whisk we room . stay Deluxe View Corner King room beautiful view - instead curtain shoji scren window covering excellent blackout screen . mom across hall King room view . visit construction phase , would never know . seem separate guest , think guest floor , fine us - peace quiet baby ! provide crib we , basic drop side , since not move around , worried crib recall . king bed huge , big normal king - maybe California King : ) sleep peacefully nice bedding pillow . tv nice , think update LCD TV 's since trip . bathroom huge / deep soak tub treat . even baby enjoy japanese bath ! restaurant / lounge open construction , go mall eat BennyHanna 's Sushi Boat Miyako Mall . area outdoors nicely manicure : Peace Garden Koi Pond . several shop , restaurant ( Pizza , Denny 's ) , art gallery within walking distance , aware hilly steep , 4 - 6 block feel like 10 incline ! amenity scarce , spa room service , pool - still pool , wireless internet morning paper . very kid friendly hotel : always greet we ask need anything baby . end buy formula / diaper local japanese market - just like local Dallas maket japanese variety , carry Similac Pampers . walk lot trip San Fran general great stroller city . wine country / Napa much . take baby wine tour anyway ? ! ? be right , ok.all , would love go back see update version property . nice clean steep japanese decor , would like see new amenity room improvement . 
 Nov 16 2009 	 lovely hotel Japantown 	 choose Kabuki short visit San Francisco away noise confusion central city area . choose room club floor , extremely pleased- room large , clean , quiet . japanese screen cover window give intimate feel , could open let sunlight daytime . rate club floor include continental breakfast , add value receive . parking underground garage easy access decently price $ 16 . staff pleasant accommodate . definitely stay hotel . 
 Nov 16 2009 	 Room size layout view furnishing excellent location . 	 stay several San Francisco hotel past 15 year visitng daughter , ' ve settle Kabuki good choice , particularly since renovation expansion couple year ago . cleanliness , size , furnishing genial service well location , reasonable rate , make pleasure we three - to - five - day visit . importantly , although hotel charge parking , ' ve never fail find free overnight street parking within block two hotel , often stay park several hour street next morning charge . 
 Nov 15 2009 	 always pleasure 	 stay last week birthday . front desk upgrade big room without ask . parking reasonable safe 16.00 night . perfect location walk Filmore , Polk russian hill , beautiful part SF . Japan town wonderful place explore . many shop delicious place eat . always happy stay Hotel kabuki . room stunning service outstanding . beat amazingly romantic view window . place like stay ' m San Francisco . 
 Oct 30 2009 	 First many Future Stays Hotel Kabuki 	 charming japanese style hotel charming Japan Town . paint screen create huge mural wall , roll back reveal huge window . love deep japanese style tub bath salt - make relax bath pound SF pavement day night ! yes , spend vacation inspect every inch room , may see hotel show age . half cost downtown hotel , much unique ( central ) neighborhood , well worth ! also not get welcome tea agree breakfast buffet forgettable , still appreciate friendly service great value . do not miss amazing restaurant Bushi - Tei across street . expensive worth splurge incredibly fresh , delicious creative dish . many charming little restaurant , shop , bookstore discover area . strenuous much need Thai massage nearby . mention area charming ? ! : ) 
 Oct 30 2009 	 Fantastic hotel 	 great hotel , close enough action . japanese - style hotel great room . everything spotless staff extremely helpful courteous . 
 Oct 28 2009 	 Loved ! 	 first trip San Francisco pick hotel get great deal . love neighborhood ( Japantown ) , busy city , quieter , safe , surround great japanese restaurant , always least 3 cab wait outside wisk we away club . next trip SF definitely stay ! 
 oct 22 2009 	 Hotel expect . 	 Hotel 's website state hotel recently remodel update . room look nothing like photo website . first room smelly , small , broken fixture bathroom , smoke detector fall ceiling . complain . second room big smell , peel wallpaper , break closet door , sink faucet leak , break thermostat either cold hot , extremely noisy even window close . dresser put clothe ( stay week ) table ( eat sit bed ) . hotel yet respond letter complaint . book Hotel recommend place one . 
 Oct 18 2009 	 wonderful Stay Kabuki Hotel 	 wonderful 5 - night stay Kabuki . room quite large beautiful shoji screen . get booking.com $ 109 night . like location since right bus line & quot ; noisy busy & quot ; center San Francisco . car park next door $ 16 day decide use public transport city . one morning buffet breakfast quite good . dinner , excellent chinese restaurant across street , call San Wang low price , large portion , excellent food . 
 Oct 17 2009 	 Bring expectation notch 	 Thought would nicer place around . restaurant hotel close open ... forget room service . attention detail room spotty . location hotel great quiet feel comfortably small . 
