nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Nov 18 2009 	 locationlocationlocation ! ! 	 great location close tottenham ct rd tube - theatre accessible . I think slightly overprice classed 3 star . adequate enough though 1 night stay & amp ; breakfast go ( danish , drink & amp ; fruit ) include price . room small fine short stay - would want stay summer aircon ( room extra cost ) . 
 Nov 14 2009 	 good value hotel right middle need ie shopping show 	 good hotel , grade room get , staff helpful , would stay , 2min walk oxford street would recommend friend family . 
 Nov 10 2009 	 Perfect location 	 stay oct 09 , weekend getaway friend . hotel be not spectacular . room small bit shabby clean comfortable . bathroom need update clean . bar really nice buffet breakfast brilliant everything . do not go morning ten everything fresh , could not fault . good thing hotel location . perfect . right next underground right main shopping area . musical ' we rock ' right across road , must see ! ! central everything . look basic hotel right centre thing , hotel perfect ! ! ! 
 Nov 9 2009 	 Perfect location shopping 	 surprised hotel not get high review . it perfect location Oxford st . Rigth beside Tottenham Court rd tube station . the hotel basic enough reception always busy ' m surprised 's busy fab price city centre . staff helpful advice restaurant / get cab / general friendliness . I definitely stay next time visit London . 
 Nov 9 2009 	 Excellent Location 	 arrive Heathrow Dublin , get underground hotel , one change , cost £ 4 one way . get Tottenham Court Road , cross Oxford Street & amp ; hotel right . check ok , room TINY ! ! ! ! clean , would not spend much time . excellent location , Oxford Street , 10mins walk China Town , 15mins walk Leister Square & amp ; Picaddily Circus . get breakfast early pack . busy hotel , book early . would recommend hotel , location , next time might try Thistle Hotel , Marble Arch , end Oxford Street . 
 Nov 6 2009 	 well situate 	 stay St Giles one night , pleasantly surprised location , staff , accomodation + value money . yes room small tell someone want spend time sleep , location hotel mean easy access site , shop , landmark + theatre tube station 50 metre away . first visit hotel definitely back another visit + long stay ! recommend hotel friend use business London . 
 Nov 2 2009 	 great location terrible bed 	 stay 12 night put extreme pressure back terrible bed . room small spot sleep . location great easy access tube city site . lovely stroll soho great restaurant . breakfast ok , need get early . breakfast choice seem fairly limited 12 straight day . noisy room siren Tottenham Court Road night . would recommend hotel summer room stuffy even stage autumn . 
 Nov 1 2009 	 Excellent location 	 come back London stay St Giles . location excellent sight west end . we upgrade hotel executive room superior room leave room excellent , large great city view . we take advantage complimentary breakfast include upgrade , however service restaurant terrible waiting age someone take order . glad pay it . friend stay standard room small , however price , hotel excellent location small room generally expect location budget . 
 Oct 29 2009 	 Fantastic Suite 	 reserve hotel several time . time standard room .The smal clean .It good location hotel keep we go back .But last march surprise , blue book executive suite verry decent price .When arrive could believe , view London every window , even bathroom .Luxury verry warm nice , spacious , every room flatscreen Tv etc .. sightseeing day london pleasure return .In short nice price lovely room .Will go back April 2010 , book room . 
 Oct 29 2009 	 Appalling 	 foyer constantly full coach trip arrive , breakfast room like student canteen without enough table , heating room not work barely enough room tun around room . needless say space room suitcase time . 
