great 	 upgrade 3 bedroom apt fabulous : stylish , roomy modern . issue kitchen quickly set right helpful staff . bed comfortable plenty hot water well appoint bathroom . staff go way friendly helpful , especially Francesco . great little restraunt bar ; adjacent shopping arcade good gym pool . could want ? 
 Nov 26 2009 	 want move 	 Dolphin House lovely place stay trip London . ' ve stay hotel twice really enjoy visit , problem . ' ve find staff nice helpful . room lovely location ideal . 
 Nov 21 2009 	 Peaceful Location wonderful bed gem ! 	 read couple review tripadvisor make decision book property , must admit little concerned . however arrive must say , fantastic place . pool , lovely gym , super garden even shop arcade . room excellent line egyptian cotton bed die . ask see small ground floor room read interest , compact , tell though room give guest book Run House room type reduce rate . say , clean , modern excellent value money . apartment hand stay , spacious indeed much well London hotel . conclusion place hidden gem . carry Dolphin House , great time hope many people ' discover next visit . 
 Nov 17 2009 	 poor service poorly manage 	 have recommend friend read review sound good . rang book two night , though seem bit pricey . recommend ask garden view ask high room would quiet picturesque . also rang day say would arrive early ( hour ) could prioritise room possible . arrive find room ready tell would ring we . return 5:30 , phone call tell ready . show room notice garden view , look side street apartment opposite . also think place look less luxurious . hurry though , unpacked start iron crease suit . , notice iron dripping water , carry girlfriend tell baseplate iron fall . notice almost fully water dripping near iron 's element . basically death trap . rang report discover phone do not work . go corridor report fault ( apology ) ask another iron quickly . never receive new iron time leave look crumple 30 minute later . consider iron lethal well order . return new iron , leave old iron health safety . also iron pet test label . discover hot water shower go report discover phone still be not work . next morning report go . come back neither fault fix rang report . eventually ( 2 hour later ) workman turn decide ignore Disturb sign door rang bell wake we . needless say go time dress . time upset . go demand see manager . wait see one , wait . eventually manager turn explain situation unacceptable . still shower ( bath take 30 + minute fill ) phone . one apologise iron break one still room . room comment also dusty utensil miss . manager offer free night come hotel 's guest another time night . unimpressed thus far , elect free night . manager also say would move we room , 6 pm last night going shortly decline . ask manager assure would investigate failing particular ensure iron incident could never happen anyone else let know would . promise would . beleived . 20 day ago ' ve hear nothing . hence review take matter iron relevant health safety people . , terrible place . swimming pool always seem use organise class restaurant decidedly unappeale . drink champagne bar remember price ( expensive ) . say ring reception multiple time one point even one receptionist argue . time one chasing . seem overall management one apologise . place road also build work do , currently noisey . also appear way turn heating . one avoid like plague . far expensive . bed big room spacious ordinary stay could kill . 
 Nov 7 2009 	 Excellant accomadation lovely area 	 stay dolphin wih colleague due work LondonThe room excellnt staff helpful , room upgrade arrival .It excellant place stay home , need shop restaurant beauiful surrounding . whether room ground floor elsewhere comfortable bed clean room excellant fascilitie . ( many place give pint fresh milk ) . 
 Oct 15 2009 	 not accept ground floor - 's trap 	 see great deal Dolphin House , make absolutely certain one 10 ground floor room set aside cheap online deal . these room supposedly & quot ; renovated & quot ; mean new head - board flat screen ... be really bad shape . bed - spread stain , handle fall wardrobe top brown water came gush faucet bath - tub 30 second ( turn ) . tell unusual let run least 2 minute . only raise objection loudly reception area appease we decent room main part hotel . room fine , be clear simply upgrade avoid fuss . I stress enough ... service poor clear sort room be actually go get . 
 Oct 11 2009 	 Comfortable Dolphin House place stay 	 stay Dolphin House London 's Pimlico area like seperate room child . 's good way save money travel usually get much nice place stay get apartment . location Dolphin House ideal seeing sight London , enjoy walk subway ride 's comfortable place stay , great way see city . bed well experience 14 Hotels stay trip Europe . overall amenity good spacious lounge , well equip kitchen nice bathroom modern date decor . near hotel many shop restaurant . thing think good hotel small sign point reception main door right another door offer get someone help many bag , ask . 
 oct 8 2009 	 Hidden Gem London 	 splendid 6 - night stay clean , comfortable one - bedroom apartment . friendly , helpful staff assist we master unfamiliar electrical arrangement . breakfast plentiful excellent . pool gym need want . nearby tube stop bus stop make theater , opera , concert engagement easily access . need extra reading light sole complaint . pre - booking taxi Saturday night necessary . wonderful walk hotel along river Parliament , Tate Britain site . staff help find good manicurist . great prepaid rate . highly recommend . 
 Oct 6 2009 	 great location would return 	 husband spend 5 night Dolphin House want go back immediately ! LOVED . hotel perfect location Victoria Tube line Pimlico station . 's short walk station hotel / apartment . room perfect size . cook kitchenette use take away cereal snack . get 2 setting plate utensil , fine short stay . bathroom huge towel warm ( nice treat ) ! a//c not mind , area quiet enough sleep window open . short walk away numerous restaurant shop ( mostly food ) . feel safe walk station restaurant day night . school directly across hotel , issue . laundry service free ( bring detergent ) , nice long stay . WiFi available . see people complain pay additional fee upon arrival true . take credit card info express check case additional fee card charge . great place ! highly recommend . 
 Sep 22 2009 	 excellent home away home 	 stay Dolphin House 3 night September one bedroom apartment . read bad review Trip Advisor , admit bit apprehensive - however , much great delight , fear unfounded ! Dolphin House easy get - fly Venice Gatwick Gatwick Express get Victoria station . ' ve get luggage , easy way get Dolphin House via taxi - quick 5 min trip ! staff check really helpful polite . put 50 pound credit card addition room price case extra expense - however refunded check . far ' m concerned , uncommon practice , particularly bother it . the room 5th floor - high enough little outside noise , even window open . apartment great spacious living area / kitchenette large bedroom . bathroom compact everything need - bath shower , toilet , basin enough shelf . problem apartment : 1 . hall light fluorescent make loud buzzing sound - however , easy fix - not use light ! enough light bedroom living room light ! 2 . bedroom tv not plug digital tv poor reception . however , living room tv excellent . tell reception checkout not really bother stay3 . computer not work apartment - hope get internet hotel . however , end use BT Openzone voucher ( could pick BT openzone WiFi laptop - bit cheap anyway ! ) . point reception staff check - log get fix tell they . the room really well maintain - clean every day ( extra charge ) . shop downstairs lobby good necessity little overprice . book online foud Bed Breakfast price actually cheap room alone price - end breakfast - english breakfast fairly standard good value since include . friend go restaurant dessert drink Sunday night excellent service . the champagne bar also good although fairly quiet ( although 12:30am ! ) . p ; ity not open Sunday night . the tube ( Pimlico station ) 5min walk away , although whilst stay , Victoria line close make thing little hard . however , 24 bus take right action . also good restaurant nearby not want stray far , option . all , Dolphin House great place stay London would definitely stay ! 
 Sep 22 2009 	 great round 	 great weekend London watch band show .Was fab location clean 3 bed suite apartment nice sized live area kitchen . lovely breakfast include price , bar price fair shopping mall convenient staff friendly courteous do not even charge we late check . visit .only negative thing taxi reception order leave 3 time fare hackney catch apartment , unless fare triple Sundays 
