FAB 	 Excellent value hotel great location . call negotiate great rate bed breakfast . good size room ( studio ) large bathroom . clean comfortable . good food especially room service curry ! ! staff come contact helpful , efficient friendly . take 15 minute walk Eye along river pass Houses Parliament great location . pleased hotel would stay . 
 Nov 19 2009 	 great location 	 attend conference event organiser also book us hotel . layout hotel little different would expect reception tuck away main entrance . room spacious , bed comfy bathroom great . the downside dirty look carpet absence iron ironing board room . 
 Nov 13 2009 	 let detail 	 spend night business unable give real detailed observation thought Park Plaza Riverbank . first impression hotel look great , light - up exterior ultra modern reception bar area . , like Park Plazas ' ve , prone extreme darkness inside windowless atmosphere could get not really find problem . check fine staff meet friendly happy help - have leave scarf bar area previous evening chap reception actually leave post go didg , top mark ! dig bit deeply though problem . room , whilst nice , simply clean properly . massive stain carpet window pretty much unacceptable four star so - call & quot ; luxury & quot ; hotel . could get either light tv work poperly ( light would not go tv would not come ) - would normally put inability work simple technology learn number colleague ( stay evening other stay early ) exactly problem . also unlucky enough window face main line railway woken number time early next morning first train run , aware checking try get room away line . all , bad hotel disappoint really could much well eliminate minor detail . 
 Nov 4 2009 	 dirty room conflict service 	 first check , excited .... look like great hotel check friendly . , see room ( apparently not one concern ) . room tidy , together clean .... specifically carpet . not know last vacuumed steam clean carpet . wear sock , within one minute , black . note three night , carpet clean priority ( piece paper hair leave vaccuum . day staff fine actually quite good . night staff horrible . Rude , smile one gall ask tip rude . night concierge attitude not send bell hop request assistance . will not go back ..... shame . 
 Nov 2 2009 	 lovely hotel 	 return weekend break hotel . accommodation excellent even although river view ........ long stay room break London anyway . bathroom walk shower wa particularly nice . complaint concerned service hotel bar . Saturday evening return night cap waere confront agressive demand know resident . say barman demand see room key - agressively . apart incident rhe service exemplary . would return 
 Nov 2 2009 	 look deceive 	 website , Park Plaza give aura comfy , contemporary hotel fab view Thames . afraid , afraid . check , look relax weekend full sleep shopping , minute get room know . room little 10 ft tube line could wave pass passenger - NICEI turn heel head straight back reception ask different room . one could offer 11th floor receptionist say much quieter . thus march , yes quiet expense roast half death . a / c useless window lock . also discover vent right window constantly go give low annoying hum . alternative head find earplug , even stuff ear could still hear drone vent night . bathroom , light remain even night ' close wardrobe properly light shone like Blackpool illumination . bath half bathroom shelf shower cubicle like wash goldfish bowel . find staff standoffish unfriendly maid wake stupid clock loud crashing & amp ; bang . relax ! 
 Oct 29 2009 	 Aims high fall short still bad 	 have pay walk price £ 200 night would disappoint . hotel obviously try give impression high class establishment devil detail : - stuck side desk next bed sticker & quot ; Embankment Stores 99p & quot ; - bathroom mirror strange paint marking , - window downlight make noisy creak noise cool long switch ( i.e . try get sleep ) - meal order miss one component list menu- drap iron whole iron board permanently attach batthroom fill water - etc ... detail give impression management culture whose heart job living standard hotel superficially boast . however ( company ) pay negotiate rate £ 125 - price hotel good ' ve stay London . 
 Oct 25 2009 	 nice room - disorganise 	 travel business look hotel decent room , edible breakfast , efficient front desk . hotel room fine , bathroom particularly good , breakfast also good . let front desk - could not find booking - even show confirmation - hang phone book agent . good bit say - give room pay myselfca not sir fully bookedwell point phone agent ? well make booking will not fully book ! nice view Westminster room tourist part London would select - well away west end , museum etc - apart Tate across river 
 Oct 20 2009 	 well present contemporary hotel 	 stay one night , certainly city hotel would return to . the room bathroom spacious , separate bath shower cubicle ( wet room style ) . downside room need earplug do not want hear train come past window ! light bedroom quite subdued , lady need put makeup definitely need use bathroom ! reception area bar area well design clever use lighting . breakfast follow morning great , load choice hot cold food . overall nice hotel well situate westminster / waterloo area . 
 Oct 19 2009 	 need Alarm Clock ! ! ! 	 stay two night Park Plaza October 2009 say bad stay ever London . regular traveller London Business pleasure stay variety Hotels none bad this . the web site show magnificent view River Thames . show lot room look onto Main Railway line south London ! ! ! . train run 0500hrs morning 0100hrs next day . add toilet room break . breakfast hotel also poor queue 10 minute wait seat . complain , move different room . hotel business people need good night sleep 
 Oct 16 2009 	 design sleep washing 	 clean smart hotel good location staff pleasant . could not sleep , really want . strange random light stash room . orange one , green one , flash lilac one . bathroom light not go . bedside light , horribly bright ceiling light bed . much night spend wander around dark fold bit cardboard try isolate cover . ( disappear switch main floodlight although admittedly point disorientate due sleep deprivation . ) desperate little expedition punctuate howl scream time foot ankle collide vicious divan base bed . one point roll bed , drum fist , sob agony frustration .... would room design way ? bedroom ? ' m willing overlook half bath bathroom shelf . could live extortionate £ 5 tray charge hand breakfast tray mine ( though sadly deep fried vegetarian breakfast - inedible ) , fact take 25 minute fill lukewarm bath , fact request smoking room hotel entirely non smoking ( warn booking make would ok not ) . yes , fabulous long sleep hot water top list creature comfort . stay long night would stay somewhere else . never . 
 Oct 13 2009 	 absolutely fantastic top class hotel service 	 book hotel surprise partner birthday . previously stay park Plaza County Hall also impressive want try Riverbank . hope book room river view unfortunately unavailable time booking . explain borthday tell would upgrade , upon arrival , one become available . arrive hotel , implressed interior wonderful staff reception . ask special occassion note leave booking . offerre upgrade room river view . room clean comfortable . view amazing ! ! ! ! take bag room , go bar couple drink serve high standard . decor ambience bar want . staff also arrange balloon buy room morning breakfast . room service quick staff polite could enough you . the hotel good location , walk along river take major attraction , London Eye , Houses Parliament etc . we really could ask pleasant experience wish stay long . definately go back . 
 Oct 12 2009 	 Contemporary Chic oh fabulous 	 Fantasic hotel Albert Embankment . good check ever , staff friendly , polite helpful . I offer breakfast reduce price £ 10 per person jump . room massive , super furnish great size bathroom . book hotel last min.com pay £ 69 double room . fantastic value money . Chino Latino bar really relax great staff really know drink , te drink come dish japanese rice cracker , wasabi peanut hot wasabi pea ever taste . also tempura prawn come creamy chilli sauce delicious . room service quick order two meal deliver within ten min . upon check go bill happen mention do not make breakfast overslept refund £ 20 ! ! ! ! ! ! never ever happen fault miss , really nice touch make break even enjoyable . 
 oct 9 2009 	 absolutely wonderful experience 	 always want stay hotel overlook Thames , book Executive Room riverview also include price use Executive Lounge 6.30pm 8.30pm free drink ( lag , red / white wine soft drink ) snack ( day 1 calamari , crudite dip , day 2 meatball , fish , pitta bread dip ) . staff Lounge friendly efficient , soon glass almost empty someone ready top . would definitely recommend book Executive Riverview room view Houses Parliament Big Ben absolutely stunning . want wake view , able sleep curtain open overlook anywhere . cost room justify Executive Lounge able much little wanted eat drink little surprised people 1 drink everything & quot ; free & quot ; .The staff breakfast welcoming . Saturday breakfast choose menu good variety choice . also able help anything continental table ( smoke salmon , cheese , ham , pastry etc ) . Sunday , breakfast self service table include bacon , sausuage , egg etc along choice continental table . side breakfast coffee extremely strong thick tea extremely weak tasteless . the Park Plaza Riverbank definitely one good hotel stay would definitely recommend anyone go amazing experience . 
 Oct 8 2009 	 London Glasgow 	 fly late Heathrow catch Dot Dot bus hotel River , Park PLaza . London fabulous late MArch ! walk Thames Eye , see Big Ben Parliament first hour there . our first full day friend arrive , check , breakfast set . take bus right front hotel Churchill 's Museum , office war . well worth small entrance fee . walk St. Paul 's , gorgeous ! ! ! lunch London Pub , ride bus Westminister Cathedral , Abbey . little sad shabbey beautiful nonetheless . friend come back mass evening dinner pub recommend hotel concierage . great local vibrant . follow morning Glasgow 10 day drive Scotland . can not wait return ! ! 
 oct 2 2009 	 really accommodate . happy ! 	 book room via lastminute.com husband 's birthday . want tourist city . 7 year old also we , hotel happy bring rollaway bed room , free charge . call couple time verify , also call check day . funnily enough , lastminute.com give grief . room modern lovely , also cosy . room service reasonably price . staff international ever - so - friendly , always happy help . in short would LOVE stay recommend hotel family , friend collegue . I book travel business definitely use hotel reason also . thank lovely weekend ! 
 Sep 30 2009 	 Nice hotel 	 mum stay hotel 2 night . locate 10 minute walk Vauxhall Underground Station Vauxhall Bus Station . the hotel easily accessible London Eye , Southbank Big Ben etc . get place London bus station frequent bus take almost anywhere . the hotel nice aesthetically pleasing . generally clean tidy , nice lobby . staff friendly helpful . room spacious everything need comfortable stay . the breakfast package nice dining hall always busy . try well accomodate everybody put people conference room ( dine day ) quiet comfortable . the sort apply lift also , every morning struggle get lift breakfast , everytime call one full time get we 2nd floor . overall pleasant hotel would stay . 
 Sep 25 2009 	 Wierd light loud noise ... 	 read review site bit apprehensive staying , afraid would give one room overlook train track . much dismay ! however ask change room decide see noise really bad . much relief hearing train go decide really not bad . however soundproof inside hotel horrible ! could hear person next door walk around bathroom ... run water ... etc ... morning wake early maids gossip outside door ... pointedly put & quot ; disturb sign & quot ; however deter ! 8 am point try sleep every minute different set maid ( maybe one ) would come loudly gossip outside door . Arg ! lighting room terrible . like read bed boyfriend like go right sleep , bedside lamp ! overhead light , light all . and ... strange light bathroom corner turn ever . ? waste electricity ? get spend lot time think light listening maid ... goodie gumdrop ! 
 Sep 25 2009 	 Excellent Hotel 	 stay hotel 1 night September . arrive late evening ( 10 pm ) receptionist helpful efficient ( helpful 5 hour train journey ) . give upgrade riverside suite fantastic view Thames House Commons . use Gym fairly basic - bike treadmill . breakfast fine area think could improve . 
 Sep 20 2009 	 good location enyoye stay ask change room 	 wife stay 3 night Sept ' 09.We attend wedding hold hotel . first impression hotel clean , modern inviting . staff friendly could enough we . on arrival bag bring room initially room seem fine two min later realise main train line pass directly room 10 floor . room also , carpet replace reason do professionally nearly fall enter room . look ragged especially around door . also shower curtain definetly need change . that evening ask change room ( never ask hotel ) staff gladly say yes would stay first night room . not get much sleep first night due train pass every 5 min so . the next morning change room end quiet location view Thames side . room finish high standard complaint . breakfast good good selection hot cold dish . use gym adequate hotel gym . wedding fantastic . reception hold room overlook river Thames . set amazing . food good staff accommodationg . overall good hotel would recommend other happy first room end stay first night . 
 Sep 13 2009 	 one word ..... perfection ! 	 stay many 4 star hotel London year , none compare Park Plaza Riverside . bit worried booked location want central child ..... nothing worry , lovely 10 minute walk along bank Thames Big Ben , London Eye house Parliament . near tube station 5 minute walk . book family Riverside View room , certainly exceed expectation , love . room spacious child sleep sofa bed lounge separate bedroom husband . view amazing overlook Big Ben Houses Parliament . robe Slippers provide everyone , chocolate arrival room , bowl fruit little finger puppet child think lovely touch . bathroom modern spacious bath separate shower area . Shampoo , shaving cream , toothpaste ..... name , provide . the flat screen tv work properly lounge area , rang report within 5 minute gentleman fixing problem even get follow call reception ask everything fix work ok . rang housekeep extra pillow , within 5 minute door ....... staff helpful friendly , service second none . the restaurant & quot ; Chino Latino & quot ; certainly place eat ...... miss , food service fantastic . all say enough wonderful thing 's hotel , everything perfect . I would stay hotel London . look forward return soon . I would definitely recommend hotel anyone . 
 Sep 13 2009 	 FAntastic Hotel .. Best London 	 stay several London hotel year say good deal town . location fantastic hotels exterior fool enter meet stunning reception swish slick.the staf genuine helpful never feel formal . they help do . I pay les 3100 double room breakfast say modern stylish comfortable ggod value . bathrrom shoer cool . one drawback internet connection quite slow , Thee radio alarm room tv subscription Arab base station . apart sincerely think bestdeal ton can not waitt stay 
 Sep 12 2009 	 Modern Classy Hotel 	 stay whilst London , able check early leave luggage , room modern , flat screen tv usual amenity . interior hotel quite dark bedroom inside building never see daylight ! room service efficient good quality , staff polite helpful . as place stay business would recommend , along go somewhere Waterloo / Westminster / Vauxhall / Pimlico area , although bus tube take part London fairly easily . 
 Sep 12 2009 	 Close Vauxhall Station 	 modern look hotel , however maintenance keep unfortunately . carpet hall dirty stain not seem clean . a / c break arrive , drain shower plug need call front desk 3 time get unlock refrigerator room . it 10 minute walk Vauxhall train underground station make easy get around London . many restaurant choose location . small pub street restaurant hotel . the hotel locate south Lambeth bridge Albert Embankment ( across Tate Britain museum ) 
 Sep 5 2009 	 Excellent Service 	 pleasant stay Park Plaza Riverbank . wonderful view Thames walk distance Parliament London Eye . drawback distance tube station , especially rain ! recommend become familiar bus system bus stop front hotel , much convenient . concierge staff extremely helpful ( thank Thom ) room beautiful , spacious , clean . would recommend hotel friend would love stay location , 
 Aug 30 2009 	 comfortable hotel great location 	 recently stay husband hotel . booked hotel direct phone . great location South Bank , right heart bustle , short walk away . good bus route waterloo . room reasonable size London , clean , comfortable staff friendly . would stay . 
 Aug 27 2009 	 Excellent Service 	 great stay , book standard ' superior ' , room get say free upgrade . take special reception area check luxury suite , wow Luxury , live area kitchen large flat tv , clean tidy . posh bathroom walk show Marble Glass . bed comfy . probably get free upgrade like lifetime well worth experience . have stay standard room , good , quite Breakfast excellent too . will stay , always hope get another upgrade supose . 
