wow 	 girlfriend spend 9 wonderful night hotel must say one good hotel every in . very close union square view 10th floor beautiful staff friendly try cater ur every need . room clear neat bed big soft comfort level die coffee maker fast . tea sherry afternoon lobby great long day out . the problem leak bathroom sort pretty quickly . resturant diner stone throw away food great , shopping u want designer store macey square . 
 Nov 22 2009 	 absolutely divine hotel- class way 	 husband stay week , return morning . repeatedly say could not fault hotel . agree amazing value money location - step Union Square - simply could not bettered . the decor stun sad come time check ! accommodate staff lovely little touch afternoon sherry , complimentary morning coffee . chic experience . we would hesitate stay next San Francisco . thank KENSINGTON PARK ! : - ) 10/10 . 
 Nov 10 2009 	 Perfect weekend getaway 	 husband return long weekend San Francisco . stay Kensington Park Hotel stay if / when return city . location perfect - 's literally heart Union Square . Union Square , , definitely touristy really favorite part town , central location perfect . husband love walk around explore city allow we easily . also , be new San Fran , feel really safe always lot people around . additionally , great amenity ( Walgreens , coffee shop , breakfast place , etc ) right around corner . arrive Kensington Park Hotel , impress immediately cute lobby also friendly staff . early arrival give we several choice room ( explain front vs. back building ; choice king v. queen bed , etc ) . room not disappoint . face building , not care - room great size ( definitely city hotel size ) bathroom pretty large well . bathroom shower ( , give we choice upon check ) suit we fine actually really large . Kensington staff tremendous . everyone incredibly friendly helpful definitely want make sure great stay . hotel perfect & quot ; boutique - y & quot ; hotel definitely stay . 
 Nov 5 2009 	 Excellent hotel great location 	 stay 4 night first trip San Francisco . front 9th floor . quite bit road noise early hour trash lorry , 1'st night close window put fan OK . room clean bed comfortable location perfect close many restaurant cable car . would definately stay . 
 Oct 16 2009 	 romantic beautiful room . 	 gorgeous hotel . room look newly re - do modern plush decor . surprisingly quiet right near Union Square . complaint hotel parking fee expensive . staff helpful professional . clean . would love stay ! 
 Oct 15 2009 	 Lovely stay 	 stay Kensington Park part honeymoon & amp ; upgrade Royal Suite fab room great view . travel L.A. refreshing change close amenity . hotel Union Square & amp ; great location catch tour bus & amp ; walk distance shopping area , restaurant & amp ; night life . regret not stay long ! lovely hotel & amp ; would like give special mention helpful staff . 
 Oct 13 2009 	 Charming hotel great location 	 lovely hotel , close transport Union Square . mention reviewer , old hotel add charm . room small modernise inviting . Bathroom small 's real bench space , minor inconvenience . mention street noise annoying - hear siren etc window close , not issue . we take train airport walk three block hotel . not far , lot luggage , might bit struggle . check - in quick hassle - free . seem like good area feel comfortable walk around . restaurant look next hotel look nice not chance go . be also little cafe side hotel breakfast one morning , ok nothing special . 
 Oct 13 2009 	 Fantastic Hotel great location ! Book ! 	 could not decide stay SF definitely pick right spot ! right union square shop , restaurant & amp ; bar right doorstep without need taxi , public transport etc . room v.spacious , extremely comfy bed & amp ; modern look also free wifi . great rate generally available comparison hotel seem dingy old fashioned ! ! definitely recommend stay Fishermans Wharf fine afternoon & amp ; burger nowhere enjoy nice meal & amp ; btl wine etc . downside parking $ 35 per day can not escape u want stay central area . would recommend anyone go SF ! 
 Oct 10 2009 	 great value 	 consider lucky find hotel . location superb , short walking distance Union Square . hotel charming , room spacious , clean , would even say luxurious . minus side , breakfast include , find trouble find nice place breakfast area . 
 Oct 8 2009 	 great Stay ! 	 great stay . super modern . new . clean room look like picture internet . location perfect . would definitely go back . 
 Oct 6 2009 	 Nice hotel great location 	 Kensington Park great hotel good location SF close shop , restaurant transport . catch BART airport Powell Street block walk Kensington . vincent front desk friendly welcoming arrival . tea / coffee room available 9th floor use takeaway cup wish . room reasonable size - slightly noisy central hotel ! clean , comfortable bed . one small thing would say seem difficult shut door without force ... noise ! struggle think next door , hence wake couple occasion . get tour bus 2 day pass Union Square $ 20 get many time like . David driver hilarious - fantastic guide great story tell . if want reasonably price hotel heart Kensington Park perfect ! 
 Sep 28 2009 	 Best Customer Service enjoy long time 	 stay 5 night vacation spouse , daughter mother - in - law . request two adjoining room able assist 91 year old family member . neglect request separate bed daughter / mother - in - law . Desk clerk , , see reserve room one bed ask we would prefer separate bed . find new room , move we top floor could get well view quiet side building . extremely cheerful , helpful , proactive ask need help / info / reservations/ etc . fact , desk clerk conciere extremely friendly , helpful genuinely interested provide help could . use muni pass navigate around several time ask desk staff help ... go online research bus route / connection helpful appreciated . housekeeper greet we smile & quot ; good morning/ good evening . & quot ; Kudos management assemble train excellent staff ! afternoon sherry nice touch . room fancy clean , quiet comfortable bed . free internet nice business office printer . location 1/2 block Union Square - close mulitple muni transportation alternative . visit SF every two year . next time go back Kensington Park . 
 Sep 26 2009 	 Great Location - price right ! ! 	 old hotel recently update . bathroom small clean . bed comfortable . one old hotel offer two full size bed one room . room fairly well appoint cramp two bed . however , location great price low ( San Francisco ) ! 's 1/2 block Powell St cable car Union square . rental car two block hotel . we able ride cable car day . cable car ride Fisherman 's Wharf , Ghiardelli Square . walk distance shopping , dining , SFMOMA , Chinatown . spend one night tour SF 2 day . consult tripadvisor know wife 's love fresh air , request corner room 5th floor book . move 6th floor corner room check - in extra $ 10 charge . please note guest room locate 5th floor anyway end close window temperature drop 50 degree night . the staff courteous excellent ! doorman especially day great . arrive early stay late Amtrak connection . able check - in early store luggage checkout well evening . 
 Sep 25 2009 	 small quality hotel excellent service . 	 hotel old side , add 's charm . service first class friendly . staff seem attentive need . Tea & amp ; sherry lobby every afternoon nice touch . side , AC , definatly need . big ceiling fan window open . would go back . 
 Sep 23 2009 	 Loved ! 	 book vacation package SF Montreal via Yahoo travel . decide Kensington Park Hotel base review TripAdvisor price comparison . Kensington Park Hotel value money consider room comfortable clean , fact 's middle action . actually , surprised rate affordable . staff friendly helpful , bed comfortable , room clean ( pay special notice bathroom ' m finicky thing ) . 's true air conditioning ( ceiling fan ) , not need anyway stay weather cool . read review complain street noise , experience problem department . travel , request king size bed and/or room upper floor possible , able accommodate we thing . disturb outside noise 9th floor . , expensive city full tourist time , felt get great deal hotel , will likely stay next time visit San Francisco . 
 Sep 21 2009 	 great location 	 book stay Kensington Park reviewing trip advisor research different rate availability various hotel . great decision location hotel perfect everything want . situate Union Square ; hub activity downtown San Fran . cable car stop end block many restaurant , coffee shop nearby get meal quick snack . boutique hotel perfect size , big feel like another guest . staff friendly quick answer question helpful . concierge friendly find easy ask staff question . room comfortable nicely decorate . would definitely stay . 
 Sep 7 2009 	 great boutique hotel value 	 Kensington Park terrific boutique hotel conveniently locate proximity restaurant , shopping cable car . hotel air conditioning ( uncommon San Francisco ) , 1 day warm enough issue . staff friendly room clean comfortable . 
 Sep 2 2009 	 Great Location 	 lovely hotel helpful staff great location . room clean , great bedding . negative realize air condition book hotel . Texas , want air conditioning . weather little warm usual work we . 
 Aug 28 2009 	 location great ! 	 hotel staff friendly love location around corner Union Square . 
 Aug 26 2009 	 ok hotel . ok service . great location . repeat visit we though . 	 location great . front desk service fine however 2 occassion ask concierge assistance , treat rudely dismissively . fact find concierge treatment quite upsetting . 1 query Alcatraz tour rudely tell & quot ; sell & quot ; effort make suggest alternative . second query , ask certain street guy looked say & quot ; idea talk & quot ; . rude . 's shame helpful front desk staff can not also concierge work . room exactly picture describe many part hotel ie ) hallway , show sign wear tear . occassion wait age lift use maintencance staff . something right place , could not put finger . be like mediocre hotel pretend exclusive . not get street side room - noisy . 
 Aug 15 2009 	 can not wait come back ! 	 brother first trip San Francisco stay Kensington Park one week . agree totally post service give staff always attentive friendly . stay room # 46 , eight floor , two double bed really nice clean . nice cafe right next hotel call Cafe Taza quick breakfast meal . hotel 4 block North Powell St. Muni & amp ; BART station great use BART San Francisco Airport . 
 Jul 28 2009 	 Perfect hotel perfect location ! 	 room hotel simply beautiful ! bed one comfortable ever stay ( ) decor beautiful . everything huge flat screen tv , king size bed , cute bathroom , spacious closet storage space perfect . heat also great cool weather . guess ( tiny ) gripe pressure shower head really weak , lack bar fridge ( although ice facility close ) . location fantastic , 5 minute walk Macy 's Union Square 10 minute Westfield Shopping Mall . would definately stay recommend anyone consider stay San Francisco . 
