excellent 	 stay Wolcott , would recommend anyone . room large clean . Maid service everyday . staff friendly . locate 2 block away Empire State Building , conviniently place . bathroom little small side . otherwise room clean . the entrance foyer particularily impressive budget hotel . complimentary coffee muffin breakfast well . this hotel make great base explore Manhattan . far Macy 's , Herald Square . 
 locationlocationlocation great price 	 location important be try impress anyone stay interested see site spend hard earn cash enjoy rather swish hotel , place need . quite low expectation read review , fine . old school hotel - like bit character . staff friendly helpful - location make - price , not think could well - literally around corner Macys , Empire State , Madison Sq Garden , Jack Demsey 's pub ( man watch english soccer match . live ) couple block Time Square subway close travel afield . hotel also locker available 50 cent store luggage last day late flight . make criticism small bathroom - cares - New York ! 
 Trustworthy hotel good price 	 new york - hotel - research internet find one . first trip Big Apple expectation , price seem extremly reasonable consider location hotel go . experience nut shell positive . tidy look lobby corridor sympathetic room everything basic visitor need . & quot ; life & quot ; hotel room anyway ? next line som + - : + nice tidy look interior+ enough fresh - look room ( corridor smell like 5 - star hotel ; ) ) + tv + safe+ price easy payment methods+ Location- staff seem bit bored way rude ( don´t let affect stay ) give hotel 8 10 . 
 Great Location 	 hotel suit need perfectly . book twin room ideal need ( spend sleep time ) . bathroom large , clean tidy yes shower work perfectly . ideally situate staff helpful pleasant . complaint whatsoever would use . 
 Nov 24 2009 	 great find Midtown NYC Great Price . 	 along brother , 21 year old son , girlfriend visit NYC Oct , 2009 . find NY hotel less $ 250 night , give go San Antonio , TX instead . say silent prayer , search ORBITZ one time Wolcot Hotel come . first glance tell hotel bit old , add pre - war New York ambiance . stay junior suite absolutely spacious comfortable . twin bed bit firm , full day busy NY walking & amp ; sightseeing , sleep like baby . wolcott literally heart Midtown . put good walking shoe , be minute Empire State , MACY 's Times Square , Madison Square Garden sight . 
 Nov 23 2009 	 lovely little hotel ! ! 	 stay wolcott hotel 6 night complaint all.when arrive greet friendly staff give we lovely view empire state building room .hotel clean cosy clean towel every day.we tripple room comfortabe three twin bed one little archway room . problem water temperature bathroom little tiny problem all.the hotel great central location staff really nice helpful.in morning coffee muffin provide hotel nice.would definatley return hotel infact look return next year can not wait . 
 Nov 13 2009 	 excellent hotel range opportunity ! 	 excellent location , almost next Empire State building , load restaurant eatery al around hotel . say website . Gym Business Centre . room comfortable safe . bathroom large ! concierge good service experience trip . overall , excellent place excellent price . stay ! 
 Nov 7 2009 	 great location 	 Near Empire State Building , good , clean central hotel . coffee muffin breakfast great ! ! think expensive look hotel double price . 's fancy hotel , need fancy hotel New York ? be much hardly hotel room . 
 Nov 3 2009 	 never ... 	 boyfriend travel NYC frequently try new hotel time know option . decide stay Wolcott hotel time totallllyyy wish not . first get , employee behind desk unhelpful . want leave bag check aware pay .50 time open locker bag store . never pay leave bag . trouble centry old locker system ask help 3 time recieving . follow .. finally check room , ready time , disgusted . decor 70 's . decor , comforter . 's digusting think long thing ! room average size , bathroom near average . 5 ' 120 lbs turn sideways get toliet ! bath tub tiny fill water shower . water pressure unbelievable . feel like horrible sun burn could make easy without bath tub flow ! ! ! ! ! ! ! ! ! bed hard rock pillow , crap . barely sleep night . paint come wall paper sign room say & quot ; excuse appearance & quot ; . total waste money . call room serive bring towel replace entire day go , call . deliver look electrician ? ? ? never return hotel ever give good review anything . oh -- -The lobby beautiful , judge book 's cover . 
 Nov 1 2009 	 pay get . average / good 	 go New York school trip October half term 5 day stay Wolcott . first impression : nice area , central , literally road Macys clean rather grand reception area . .... ARRIVED already 2 SCHOOL party warn .... favourite large youth group . room 3 immediatley door bed . bathroom doorway large room 2 bed , table , t.v . dress table . prehap new modernest interior clean . bathroom smallish bath / shower toliet sink satisfactory clean . hotel offer free coffee muffin morning due large number school group , could not get near . honestly though , tale bed bug cock roach rubbish . room throughly clean daily towel laundry fresh clean . hygine freak honestly issue . location wise , think difficult beat . Macys literally strole away empire state . 10 minute walk time square easy access subway station . round corner superb 24hour breakfast place call SPEEDY 'S . actually brilliant anc pricy . self seleection cook breakfast , continental well frozen youghart smoothie beverage imaginable . get bagle large juice $ 5 ! ! ! ! great . hotel also shop connect , accessable inside hotel water pick cheaply start end day . view wise , front room get , big deal could walk hotel anywhere quickly . friend room break lavatory , return day , fix . do not interact alot staff seem pleasant , willing help . organise room store suitcase day night flight . honestly though , I m fussy teenage girl think absolotly fine definately clean & amp ; & amp ; anyway , New York , pretty sad spend alot time hotel . day pack tiere literally place wash , sleep change . especially go school trip take word fine clean actually rather nice surprise . also last time go nyc ii stay embassy suite ( part hilton chain ) low manhattan parent do not know what s nice what s . also lock latch every door safe every room never time feel unsafe friend within hotel . enjoy trip : ) x 
 Oct 28 2009 	 Great City great hotel . 	 good thing Wolcott Hotel location close many otf tourist attraction , hotel old , noisey dire need makeover , intend go hotel make sure take earplug wall paper thin vibrate room door shut , seem like many guest take delight slamming door 330 morning . the reception staff indicative general attitude many people live work New York , sullen little manner friendly , check hotel do silence , even & quot ; thank & quot ; & quot ; hope enjoy stay & quot ; offer . use yellow cab get airport driver shuttle bus company use hotel know one speed & quot ; pedal metal & quot ; scant regard comfort passenger road safety . we would go back NYC back Wolcott 
 Oct 20 2009 	 cheap cheerful little date 105 year old ! ! 	 stay Wolcott 28/9 - 7/10 junior suite ( room 624 ) room clean bed bed good . hot water bathroom temperamental plenty it . Muffins O.K . morning little stodgy , well go diner ( heap nearby ) .laundry good easy use gym O.K.My main complaint free WIFI , quite good price ( $ 185.00 we / not ) .hope help . oh , ps location excellent 1 block empire state,2 block Madison sq . subway stop 5 ten minute away . 
 Oct 20 2009 	 would fix water problem would perfect 	 stay Wolcott three day October . stay two twin room . size room fine clean comfortable . hotel lot character desk clerk willing accomodate early check in . my issue water shower sink . sink would get hot water cold tap cold water hot tap . figure , not big deal . big issue shower . water would either randomly stop flow ( reduce flow trickle ) would become extremely cold . adjust hot cold usually result another burst cold water scald . stay long would problem . assume one quirk old hotel . no , not Marriott . hotel build 1904 not luxurious brand new . affordable , clean , close subway stop , location allow walk back forth TImes Square theater district choose . coffee muffin lobby really good , . would definitely stay even water issue . 
 Oct 18 2009 	 cheap great ! 	 travel hotel wolcott last minute trip friend . great time Wolcott . room big expect bathroom big enough one time . room smell look dirty . problem staff breakfast terrific . defintely stay else anytime come back NYC ! ! ! ! ! ! : ) 
 Oct 17 2009 	 great location value money 	 friend stay 5 night . arrive late Saturday check smooth swift , staff reception helpfull even print information us computer . we room three , twin one room little room single bed . room clean make every day , bathroom small sufficient much hot water need , clean towel every day . the hotel build 1904 , yes look close enough crack full character , coffee muffin morning great bonus . it well place city everything shop , subway , Empire state building etc . could fault hotel , ideal fit purpose base New York . 
 Oct 16 2009 	 beautiful historic hotel centrally locate NY fair price ! 	 Wolcott Hotel 100 year old piece art beautiful lobby , large room , two block Empire State Building , walk distance theater , central park , Broadway Times Square . nice staff , good theater ticket price fron hotel . Donut - Coffee shop , pizza , handy store across street around corner 5th Avenue . price locatiion reasonable area . window air / heat unit , shower tub , flat screen tv , large room large separate bath . Quieter Times Square area relax . highly recommend hotel future visit NY . 
 Oct 13 2009 	 great location room disappointing . 	 place feel dirty - like need good scrubbing . window , see outside building cover soot dirt . mind small room , bathroom horrible . barely enough room turn around sink toilet ! toilet would stop run middle night ... fix paperclip . impossible control water temperature shower . hotel wonderful potential architectural beauty detail . unfortunately , someone cut corner go cheap last remodel . 
 oct 9 2009 	 cheap brilliant ! ! 	 go 2 friend 10days stay hotel . love , room big clean . excellent location,15mins walk time sq , would deffiantly recommend anyone stay ! 
 oct 9 2009 	 centerally locate .. friendly staff ! 	 centrally locate hotel close time square . room always clean free muffin te / coffee provide guest morning . 
 oct 8 2009 	 great First Experience 	 Hotel great , location even well , right next Empire State Building . family come Italy impress . read review regard hotel , turn even well . staff great , always available room clean well keep . 's old hotel lot history charm . look something past , ! 
 Sep 24 2009 	 pleasant staff Good Price Good sized room NYC 	 stay hotel last month hotel job fine . staff friendly even remember name would say goodnight we would come hotel go bed 4 am . lol . Realy nice guy . hotel good size NYC standard ( city standard room would consider tiny NYC really good size ) . room bathroom clean . really enjoy stay , although be not much . would stay next time NYC . 
 Sep 23 2009 	 good compromise 	 hotel good compromise new York room price expensive . it locate 5 minute walk Empire State Building quiet street . the room spacious bed comfortable . unfortunately , people not care night wake almost every night people come back party . the breakfast real breakfast since hotel put Muffins coffe table entrance . table , chair , ... 
 Sep 20 2009 	 good 	 front desk helpful . Room poorly maintain -- plumbing , water temperature vary . internet must pay extra . although cheap , value . would recommend . computer ( business center ) slow thus require constantly feed dollar . 
 Sep 16 2009 	 Fab location excellent price 	 hotel great place stay people want spend odd Times Square , 10 block away , 10/15 minute walk . room spacious actually view Empire State Building room . free coffee , OJ muffin lobby breakfast great start day . 
 Sep 13 2009 	 nice central 	 girlfriend start round world trip . hotel clean tidy lobby area really helpful staff . breakfast coffee muffin orange juice well . room old clean . entrance nice marble everywhere . stay 4 night smack bang middle everything . short walk take main attraction need train metro 2 block . good place stay couple night long 2 week holiday . 
 Aug 4 2009 	 great value location ! 	 ' ve return NYC stay 9 day Wolcott Hotel friend 6 y.o . daughter . stay room 1124 . get hotel open door Junior Suite 2 room , first impression way small since good price Manhattan could find awesome location not upset . spend little time hotel . be always something good something good hotel though completely satisfied Wolcott want share thing look hotel NYC . know tip would brought conditioner . : ) like Wolcott:1 ) great location . 's close Empire State build one side street Penn Station , Macy 's 5th Ave . lover korean food 's lot korean restaurant 32nd St right next 31st St Wolcott locate . 's Subway & amp ; Dunkin donut side street Wolcott.2 ) 2 tv Junior Suite , one room . one queen bed one room 2 twin bed ( one bed roll - away bed hide underneath another bed ) . Junior Suite 2 closet plenty hangers.3 ) iron safe room.4 ) coffee several kind muffin breakfast morning . ( be much room lobby breakfast always take breakfast room ) . 5 ) towel change daily even not leave floor.6 ) 's tour agent lobby 8 am 8 pm offer great one day trip Washington D.C. , Boston Philadelphia . go Washington D.C. Boston absolutely love tours.7 ) sheet clean bed comfortable . thing could well ... 1 ) shampoo bathroom . conditioner shower gel.2 ) coffee maker room.3 ) fridge room4 ) hotel not pool not think gym either.5 ) air conditioner room work well . always mine 75f keep night get room temperature 75f morning turn air conditioner day get warm room.6 ) free high speed internet . free internet find NYC 5th Ave ( near Times Square ) Information Center use 15 min line always long there . overall , like stay Wolcott ever go back NYC will definitely stay since location great price unbeatable . would recommend hotel look budget hotel not plan spend much time room NYC . 
 Aug 2 2009 	 take Bad Good 	 husband stay honeymoon last year . stay many different hotel New York try husband first trip . price right location good . enjoy entrance old feel hotel . staff incredibly helpful nice we . help we find wonderful place eat call transportation limos we . big problem remodel stay find quite noisy day want sleep . also find smell plaster paint could overwhelming time bit unbearable even day need breath ... prove hard time . however , issue last probably stop remodeling point . great stay need anything , willing make sure stay well ! 
 Jul 28 2009 	 great location ! 	 stay 11 night July hotel absolutely perfect we . make reservation read many rewievs since want find perfect , afordable hotel first trip New York . location absolutely perfect many sight within walk distance room spacious clean . satisfied hotel ! 
 Jul 24 2009 	 Pleasant surprise 	 stay son God daughter two wonderful day . stay triple room much large nicer expect . hotel service prompt courteous . price pay ( 150.00 night tax ) could go wrong . return next trip . 
 Jul 13 2009 	 enjoyable stay Wolcott 	 stay 3 night school party 25 . staff helpful check slick . room satisfactory budget hotel centre city . good size clean . limited breakfast muffin coffee offer ( free ) . offer lobby separate dining room find seat rather tricky . hotel excellent need location perfect explore city . would problem take school group . 
 Jun 10 2009 	 Hidden Gem 	 1st visit would definatley stay . 
 Jun 2 2009 	 could 	 disappointment hotel . Wolcott situate fantastic location sight New York city Empire State building around corner . unfortunately leave much desire . room small , dingy clean . actual room smell moth ball place bed cover wardrobe ! sheet towel clean room look feel dirty . even shower day still feel clean . room lack shelf , tea make facility , good enjoyable t / v channel . pay use internet poor . hotel entrance elegant even though carpet could done good clean ! free coffee cake morning nice touch long day sight see tea coffee make facility room would appreciate . staff helpful friendly . all hotel need complete re - furbishment also owner need look comfort need client money make . happen might get good write . sorry Woolcott impression , wish could well ! 
 May 28 2009 	 Location price can not beat 	 get , ' ve hear room NYC small pricy . hotel 's cost , room nice , clean large . noise busy holiday season stay . view great room location hotel close Macy 's , walk Times Square . bad ! 
 May 26 2009 	 Great Location sightseeing ! 	 many people moan price - fact thing cheap hotel New York . wolcott reasonably good value money - right Empire State building easy get around . room big spare bed ! two tv 's , hairdryer , iron , phone . bathroom spacious clean problem water run cold boiling people say . coffee / tea muffin every morning - 's amazing least not go empty stomach ! stay seven night everything great - went see New York though not spend much time hotel . 
 may 5 2009 	 Great Hotel - NYC 	 back NYC stay Hotel Wolcott could fault hotel , room spacious actually extra single bed , room tv , air conditioning need weather really warm high 80 's , iron , iron board hair dryer . shower bath separate room towel clean daily basis also room clean . morning could go reception coffee muffin nice touch . location great block Empire State Building , Macy 's , Madison Sq Gardens Broadway . great time NYC hotel great would . 
 Apr 15 2009 	 clean comfortable 	 & amp ; husband spend easter weekend Wolcott & amp ; great time . room clean daily , fresh towel every day & amp ; bed comfortable , staff helpful & amp ; attentive . coffee muffin ideal get ready day ahead . view window great not go stay room . I would definetely stay . 
 Apr 9 2009 	 dns : Dirty Noisy Small 	 want stay hotel close center NY find Wolcott Hotel advertise renovate clean . well , entrance hall indeed nicely refurbish pompous old style . entrance hall sleep take shower . room small , exactly dirty grubby , bed quite unconfortable . claustrophobic take shower hotel . prefere take warm shower go spa somewhere NewYork . even water comme shower head either ice cold burn hot . flush toilet lead blockage almost every time . quality service differing . room maid friendly give we extra blanket two we could sleep least hour micro bed . checking , concierge didn´t want find reservation finally find printout online booking could proof . still give single room though book room two bed . Hotels NY obviously choose guest . breakfast consist muffin american coffee ever taste ( know mean ! ) . restaurant seat case occupy kid run around hotel night . couldn´t bother though window let noise NYPD blue inside . serious : choose hotel don´t find cheap one ! 
 Mar 8 2009 	 pricey basic hotel . 	 stay September 08 weather cooling . location close Times Square . staff reception quite friendly . hotel old building . room large clean though . tidy washroom everyday . close main road quite noisy window open . Breakfast ( muffin ) include morning , 1st day , get bore muffin coffee / tea every day . consider price pay , worth . 
 Feb 24 2009 	 Fab Hotel ! 	 stay Wolcott thanksgive 08 . room large expect view Empire State Building ! ! tad worry let reading review major issue . room & amp ; bathroom clean , towel change daily staff polite helpful . downside tempremental shower ! ! mind sometimes cool shower need first thing morning ! location superb - 5th Ave Broadway three block away esb . perfect ! would definately stay ! 
 Feb 23 2009 	 Great Value fab big room 	 sister stay Wolcott 2 week celebrate fortieth birthday 2 week fun NYC . get twin room cheaply hostels.com fantastic big room - big ' ve ever stay major city . room clean every day bathroom serviceable good powerful shower -towel change daily . first day discover safe room not work receptionist send someone look right away . could not fix give we free safe behind reception . awkward times one guy behind reception extremely unfriendly perk point never meet rude man ! rest staff friendly helpful pass various message tour company book leave we . location could not well right midtown near choice subway station . free muffin coffee morning great tide we go brunch . great budget hotel - ' ve previously stay Pennsylvania prefer one . would definitely go back ! 
 Feb 5 2009 	 great location ! 	 husband pick hotel base affordability location . lobby gorgeous room clean comfortable . surprise we quiet . budget , would definitely recommend ! 
 Jan 6 2009 	 Good Budget Hotel 	 stay start bad hotel could find record pre - pay travelocity reservation . however , travelocity fax reservation front desk remainder stay good . three we travel limited budget Wolcott able offer room 3 twin bed 4 night stay . room reasonably price large NYC standard . room clean arrival clean daily . course , location great . the view room back another building . ( not come NYC see room anyway ! ) big problem experience ( finally check ) temperature control room . Heat control adjust valve radiator . room always hot cold . overall , good stay . would stay . 
 Jan 3 2009 	 enjoy stay 	 partner stay wolcott hotel enjoy stay , go explore new york city use hotel base sleep hotel perfect . stay partner do not experience problem everyone friendly helpful good location hotel close everything subway get around find cheap way explore nyc,5th avenue macys empire state building etc ... would definately stay wolcott cheap holiday new york 
 Jan 1 2009 	 Great Location 	 great location , one block Empire State . great budget . clean large room , friendly staff . 
 Dec 31 2008 	 never ! ! 	 book Walcott weekend shopping break Mum birthday . agree hotel base sleep long clean , warm comfortable quite happy . case , list issue : - provide twin bed request double put bed . - radiator main room leeke badly turn result cold room . - central heating system make loud bang noise night keep we awake . - shower water temperature could regulate either froze get scold . - put bed flea ( bite several time ! ) - Air conditioning unit work . after one night , sleep , flea bite freeze cold , pack move Radisson one block far superior every way actually cheap end Walcott . would never go back hotel recommend , definately false economy . 
 Dec 26 2008 	 hotel ok use concierge 	 recently take family 5 first time holiday NY , hotel excellent location , room clean tidy quite well price . whole experience however spoil exhorbitant price charge concierge book anything . time budget , rely hotel assist service , quickly find overcharged service . challenge price , concierge hotel hide behind old & quot ; seperate business & quot ; line , take responsibility concierge . I recommend hotel reasonably price hotel , not circumstance use concirege service pay way much 
 Dec 18 2008 	 minimalist everything price ! ! ! 	 second visit New York year hotel book we friend . situated West 31st Street Wolcott Hotel specifically gear towards tourist . operate principle management team appear evolve round fact within walk distance Macy ' ' need . stay Queen ' suite 7 Nights December 2008 . 2 room large enough basic . feel need supply tv room yet facility make tea coffee strange say least . coffee muffin supply lobby breakfast time nice come across attempt appease otherwise general lack facility ' assume norm day . day check check drawer dresser see clothe fall behind . substantial selection people ’ underwear appear time probably indicative room service standard . tap bathroom leak , heating noisy , bed particularly comfortable bathroom extra keep absolute minimum . one reviewer describe hotel ' Shabby Chic ' ' sure ' chic ' bit come . one final word warn anyone think book hotel . original quote stay omit three different taxis require hotel city . add $ 50 night onto already overinflate hotel bill . summary much well hotel New York price range although ' definitely go back New York ' stay Wolcott . room may large location reasonable problem establishment think ' need justify take hard earn cash . 
 Dec 18 2008 	 cheap Hotel .. one pretty good ! 	 boyfriend stay Wolcott 5 day , travel across America budget accommodation . hotel get pay really . hotel ok .. quite fussy stay cleanliness actually think hotel quite nice . room small common hotel room NY , one downfall air conditioning , not work well give weird smell . honest site see shop etc hardly ever hotel literally place sleep . staff reception great helpful , also get free coffee muffin breakfast . wolcott brilliant location , right Empire State Building ! not find concierge helpful , try book tour tell tour want fully book , also happen ticket Broadway show , however manage get ticket place . watch one ! student definatly bring student card get ticket quarter original price . see Little Mermaid $ 30 , original price seat £ 160 . another recommendation take Greyline bus tour get see whole Manhattan great tour guide . 's good get see everything lot stop main attraction . want good NY steak go Smith Wollensky 's , pricy worth ... steak amazing ! budget would definatly stay Walcott , cheap hotel , one pretty good ! 
 Dec 17 2008 	 look great BEDBUGS GREAT ! 	 friend stay Wolcott Hotel one week May ' 07 . book hotel since get many good review , good location , affordable . arrive , happy pick . lobby gorgeous , nice bagel a.m. , room small nice , etc .. however , first night , begin notice red blotch creep arm . go lobby show blotch . know bed bug . receptionist say would talk management , would call I . management call say not know blotch , quite itchy , would send someone room strip bed . thought think might something sheet wash . management offer move we another room floor . advise shake clothing take new room . think odd , . new room make , chat maid . tell report see bug change bedding . my friend talk management . person speak stand - in manager , reportedly funeral . time , friend also bite -- though nowhere badly , bites torso , arm leg , begin creep face . agony . ask money refund , give partial refund . also assume responsibility problem due bed bug , keep suggest topical allergy . take aback treatment receive management . by next night , bites bad go Emergency Room treatment . consider legal action medical fee excess $ 1,000 -- insurance . however , since live far away , would costly pursue law suit . return home see medical doctor , said never see anyone bite badly . picture take , day , amaze I . it seem , many even many people , escape fate . share not lucky , really awful . 
 Dec 8 2008 	 get Pay ! ! ! ! 	 two girlfriend stay Wolcott stay Manhattan . first impression pull great , right 5th avenue broadway lovely look hotel . within 2 minute meet first receptionist , happy bunch ! think afraid smile thi face might crack ! ! ! smoking room new would good standard non smoking . first impression room , clean bed comfy . triple room three single bed . first bed literaly doorway trouble shut door bedclothe catch ! ! anything metal would give we electric shock ! mention reception say we walk carpet cause static electricity , walk ceiling ! ! ! ! freeze weekend go heating . radiator make awful bang noise night , keep we awake . the concierge helpful chocolate teapot ! good point , location great want check flight line computer we . 
