great 	 arrive Hotel early afternoon decide move previously book Hotel . staff great find we room 19th Floor view Nob Hill partly Bay . rate good value include Executive Lounge access 2 day . the public area ground floor large well furnished . our room King large certainly adequate , view mention quite good downtown San Francisco . room well furnish , almost new , clean smallish bathroom . suffer somewhat noise room , bathroom anything go bedroom . the whole Hotel seem well adapt 4 star accomodation . every member Staff come across warm helpful , Bar Staff , Door Staff Reception Staff . the Hotel 5 min walk Union Square , one block away corner Powell Street , therefore easy access Cable Cars . could walk Market Street Trolley bus 15 min easy . never use Bart say far be . we dinner Hotel , try breakfast Executive lounge find Lori 's Diner opposite side Powell Street preferred choice . I know not pay Exec Lounge , probably good job , stay many similar Hotels Marriott chain chain , find Executive lounge poor value . open breakfast evening , yes get access computer internet free ( internet otherwise quite expensive ) , breakfast complimentry wonderful selection available , evening snack small size small quantity yes could free soft drink coffee glass wine come cost $ 8 per glass . we use bar evening , quite unusually , seem relax great attentive staff . there parking valet parking available hotel not use , not know cost . overall , excellant , 4 star accommodation good rate close popular part San Francisco . to get airport end stay , private limo hire ( Town Car , call ) $ 38 plus tip . take 30 min . 
 Nov 22 2009 	 Great Stay SFO 	 good hotel stay quite . staff attentive , room immaculate , linen clean , bed extremely comfortable . 
 Nov 20 2009 	 Great Place stay 	 excellent location Union Square , conveniently within walking distance many place interest . cable car Fisherman 's Wharf right outside hotel . nice respectful staff , clean hotel . free internet . 
 Nov 19 2009 	 good hotel - rude staff 	 pro : stay several night . room stay small , clean comfortable king - size bed . restaurant selection somewhat well would expect hotel restaurant . reasonably price menu item . restaurant open late . comfortable lounge , possible hide decide , one bother . modern look . con : extremely rude front desk conceirge staff ( reply rudeness show attitude , become somewhat polite ) . parking $ 55 per day ( think would able find anything cheap downtown ) . free wireless access . 
 Nov 16 2009 	 new favorite place SF 	 travel business fair amount , generally try stay place preferred company . bay area , include hotel Park 55 , JW Marriott , Hilton , Oakland Marriott . watch transformation Crowne plaza/480 Hotel Marriott early guest hotel spring . fully function really quite perfect business traveler follow reason : close access BART ... five minute walk ; nice function room .... Coit tower / bay view room outstanding ( small well appoint comfortable ) ; executive lounge fine ... top staff friendly selection food beverage good .... breakfast average ; bar lounge outstanding solo traveler .... drink food outstanding price quite reasonable ; staff courteous , friendly , respectful ; design decoration modern appealing ; location shopping restaurant excellent . stay Palace , Ritz , St. Francis , many other historic big room , Marriott Union Square money good value town highly recommend . 
 Nov 12 2009 	 refine way without pretension 	 undeniably good location city hotel shortcoming . doorman graciously greet staff intelligent competent . would stay whenever give opportunity . 
 oct 22 2009 	 US west coast highlight 14 day 	 great location Union Square , surround hotel spread shopping centre like ; Macy 's , Bloombing Dale 's , easy catch train go Fisherman Wharf , spend several hour Union Square till midnight , waitte count change New year 97 
 Oct 19 2009 	 San Francisco 	 Marriott San Francisco absolutely fabulous - make trip San Francisco worthwhile service , comfort excellent style . standard well . 
 Oct 18 2009 	 good location 	 hotel update present well . check smooth staff accommodate . Rec would paper morning ( ' m stickler ) . not use room service comment . complaint noise wake morning 5:15 - 5:30am ! loud bang , could not tell come . ask ( nicely ) front desk give bit attitude . tell would check never hear anything . stay 3 night let go , would gotten discount room , certainly would speak manager ! would reccommend hotel location central personally , will check accommodation next time ' m area . 
 Oct 15 2009 	 Best Hotel San Francisco 	 one good hotel San Francisco . take Bart train airpot Powell Union Square station within walk distant hotel . never worry rental car parking , great service , close shopping center . 
 Oct 12 2009 	 Great Hotel ! ! 	 newly renovate hotel wonderful . feel like W Hotel Marriott . room huge San Francisco location great . decor wonderful , bed super comfy , bathroom luxurious . great hotel , great location . 
