seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Nov 25 2009 	 enjoy stay Harrah 's 	 first trip Las Vegas husband . Australia come SEMA & amp ; APEX trade show . book accommodation sema.it surprise book accomm . see negative comment Harrah 's . do ? pleasantly surprise 1 . wait time booking , 2 . room ready 3 . room clean comfortable 4 . location excellent close everything want see end town . 5.next door Dennys Restaurant -good value , McDonalds . 6 . cheep beer Casino Royal ( next door ) . meal Cafe downstairs good . never room day come back sleep night . bed comfortable . really good time would stay . 
 Nov 24 2009 	 Harrah 's great place stay 	 recently stay Harrah 's pleased . room locate Carnival Tower face Mirage could see valcano show night room . first pleased room direct view Las Vegas Blvd . quickly adapt loved view . bed incredibly comfortable , clean room new carpet , housekeep great job stay . 's bonus be smoker - bottom window room actually open room smell smoke . smoker , great bonus surround cigarette smoke . casino pack 24/7 crap table always full . great location - within walking distance everything , Star Bucks inside , nice gift shop , fast food place next door , buffet leave little desire taste wise chinese restaurant inside excellent . maybe upscale many new casino hotel would definitely go back . comfortable place ' ve ever stay honored comp without question . be look excellent sandwich , walk across street Mirage eat Carnagie Deli , step away Harrah 's . loved ! great visit Harrah 's . 
 Nov 21 2009 	 stay many time Harrahs disappoint time . 	 always stay Carnival Tower , average room view cool / heating system . talk Mardi Gras Tower room upgrade , still view metal contraption , tell would view strip . compare room average vs average . would not pay extra tv cause usually do not stay room watch . Coffee Service ? ? ? pot , coffee . be not happy stay . 
 Nov 20 2009 	 great overall 	 always stay Harrah 's Vegas , love everything - location . food , room service . one side shuttle service Rio . Lat Sunday mom spend HOUR waiting shuttle come , freeze cold ! know , would definitely take cab , driver tell we next shuttle way , turn simply lie we . People angry , right . think management something keep good reputation wonderful hotel . 
 Nov 18 2009 	 Fabulous Stay 	 read bad review Harrahs , not sure whether make good decision book vacation . well , right moment walk hotel great . check fast , wait , room ready right away . room large spacious * almost * everything need . room & quot ; convenience & quot ; refrigerator , could access pay huge deposit able open fridge ! , Harrahs ... please room fridge would great daily use guest . also , pillow hard like soft pillow , might want bring . issue stay would go back stay . affordable friendly staff ( always important ! ) two starbuck : - ) 
 Nov 17 2009 	 Great Value 	 stay Harrahs 4 day great time ! ! hotel deliciousbuffet ( flavor ) well Toby Keiths Country Western Bar alot fun . would skip cafe - food pretty terrible . room clean spacious , bathroom big . Great Value strip location whilst Harrahs do not & quot ; attraction & quot ; within walk distance hotel attraction . would definately stay again . only side pay internet wall pretty thin ! 
 Nov 17 2009 	 first trip Vegas awesome ! ! ! 	 blast Las Vegas stay Harrah 's . let say first , food , incredible ... every restaraunt ... love Flavors Mings Table well . try couple place eat outside Harrahs , good . staff awesome ... 2 dealer stand friendly fun ... Carlos Jonna . 
 Nov 16 2009 	 well expect -- great location ! 	 stay Harrah 's Las Vegas 10/28/09 - 11/3/09 5 6 night compe . line check upon arrival 4 pm Wednesday . check hostess friendly helpful , would upgrade room without additonal fee per night -- worth it . we give non - smoking two bed room next travel companion -- request honor problem . room Mardi Gras Tower , one newly refurbish room . room small , clean . appreciate fact hotel get rid traditonal bedspread favor blanket duvet - like sheet -- least feel clean . view Mirage Volcano .... rooftop air conditoner . would advise pay extra & quot ; view & quot ; .housekeepe skip room first day . call extra towel . bring we promptly . , housekeep good job . leave tip envelope every night housekeeper actually thank money -- polite first ! casino enjoyable , favorite . ok slot , happy play five dollar let ride table while . try Flavors Buffet breakfast one morning suprisingly good . go late night snack 24 hour restaurant incredibly displeased length time take get bowl soup -- 30 minute ! waiter apologize delay ... state & quot ; get , get & quot ; . poor customer service . Location could beat . stay 6 strip hotel year loved fact could room , casino , strip five minute . mirage directly across street one spot actually cross Las Vegas Blvd . street level . I would chose hotel first choice luxurious mean . convenient , economical , clean spot base operation . room safe free easy use , feel safe room . hallway loud . would choose stay price right . 
 Nov 15 2009 	 Room Nice - Resturants awful 	 stay Harrah 's first time friend big Smoke Cigar convention Venetian . Vegas time Harrahs Las Vegas hotel . Harrah 's great location strip . room 29th floor Carnival Tower Strip view . nice room could see Mirage volcano , etc . room nice bed comfortable . excellent value term room quality price . easy check , problem room service . elevator more fast . casino okay . happen next door Imperial Palace well place Mirage across street . Toby Keith Bar ( good live music cover nice . good night life place age . bar drink reasonably price vegas . really disappoint Cafe Harrahs . hotel / casino staple resturant meal 24 hour moderately price . breakfast lunch Cafe time . time food awful service slow . mean 30 minute get breakfast order , take 15 minute get order . definte impression organization really care quality resturant delivering . server pleasant , hostess manager could care less . bad food , Bad Service . still Vegas price . walk acrosse street breakfast Mirage deli location . much well quality service . recommend Harrahs managment improve Cafe Harrahs . customer pay good food service . 
 Nov 15 2009 	 recommend - watch wallet - Scams abound 	 experience 3 money grub scams hotel . arrive Tuesday morning 11am tell could get access room would ready 4PM , however $ 50 dollar room upgrade could get room right away . drive Las Vegas park luggage car come back 4pm check ( another wait line ) .tuesday morning room available ? ? doubt . always arrive 11AM Hotels strip first denial room ransom . second scam : $ 16 additional bill refreshment take mini bar . never use stuff remove charge bill . Third Scam : one night arrive parking lot dark park car end aisle away car prevent ding etc . turn lane marking impossible see night not paint many year , assume good parking spot , base car park . miss diagonal stripe designate spot Parking . could see lane marking night . put boot car , demand $ 50 remove . ask talk head security , show site would forgive unintentional mistake , guess $ 50 important customer service future business . tell take picture would last time would see Harrah 's hotel . if want internet $ 12 24 hour period . local call $ 1.25 first 15 minute . this establishment ought ashamed . 
