vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Nov 17 2009 	 call hotel 	 bad place stay around world . first time Las Vegas travel husband family . family book hotel Expedia , get good deal , decide stay . hotel dirty , bed bad , bathroom horrible , light , room not anything . odor discuste inside hotel . management hotel please please not make Las Vegas look bad , fault place close forever . 
 Nov 12 2009 	 bad 	 stay Plaza 3 night November 4 5 & amp ; 6 , 4th floor North Tower , room large , fridge , sofa ( would sit , dirty ) table 2 chair king bed , two single bed push together . room bad , clean . shower good pressure always hot water , room quiet , hear anything , room big fridge , room compe , nothing really complain . pool area another story , pool area dirty one maintain , towel place , nothing pick , attendant anywhere . yes , Plaza wierd dirty smell . also stay Four Queens , Binions MSS , see review . get room free okay , pay anymore $ 25.00 forget . 
 Oct 26 2009 	 would rather stay motel 	 bad place ever stay . read review Plaza book realize would not much , least cheap . besides , Vegas right ? stay room much ? , even go expectation low , actual experience even bad . get front desk service slow one girl watch baseball game instead help people behind we . finally get room key , get elevator break beer bottle beer floor head room . wallpaper hall peel mystery stain carpet . room lack say least . a / c run freezing , pull couch - bed shower . sink shampoo next wash clothe . light not work back one chair fall . problem door lock leave one night get back got lock go front desk twice get fix . first time , remagnatize key send we way . second time talk manager send maintenance guy wait 20 minute . wall also paper thin . room next we tv really loudly entire time room clean staff loud inconsiderate . first night stayed realize bad place , ask front desk could upgrade say booked weekend , could not believe . people would recommend Plaza people strictly look place sleep cheap expectation limitless disappointment establishment . next time will stay one motel want pay much room . least will get real bed shower . 
 Oct 25 2009 	 gross 	 hotel filthy ... bathtub yellow white scum soap dish .. dingy towel hang towel bar ( thank god bring ) .. call blue towel dirty fade .. go 2 turn AC marker pointing 2 handwritten temperature ... bedsheet yellow speck ( god know thank god 2 bed room ) also u can not miss smell u open door ... smell funky ... last least bring drink casino 2 room leave table ... stay 2 day spot ... tell u well housekeeping dep't work ... wonder nothing clean ... overall customer service pretty good ... front desk 2 dealer blackjack table .. would not return ... 
 Oct 20 2009 	 stay away worth ur money /terrible SERVICE 	 pay non smoking room online , yet arrive check rude person front desk say non smoking room refuse help . room old look like motel hotel . carpet old sink , toilet tub . never stay even pay . 
 Oct 14 2009 	 old stylish good bargain 	 clean , great location inFremont St , cheap restaurant 
 Oct 8 2009 	 plaza hotel 	 get comp would ok cheap spent lot time casino recommend golden nugget 
 Oct 8 2009 	 get pay 	 hotel old . room wear . price right . stay South Tower . ice machine floor work . elevator garage work one day . good thing hotel Restaurant & quot ; Grill & quot ; , food make order.so always hot . counter couple table . last day , water South Tower , none ! ! shower , flush toilet washing hand . First Hotel say would fix one hour , three four hour . check , know water come back .. Recommend Hotel friend yes , get great deal room . would let know OLD Hotel anything could go wrong . 
 oct 8 2009 	 ok money 	 Old hotel end strip . room clean staff nice . pool available COLD . need Vegas bed time hit money can not beet ! pay $ 51 Friday night ! 
 oct 4 2009 	 great stay Plaza 	 travel Vegas buddy mine stay nine night . room 21st floor south tower great view Stratosphere Tower , hotels strip , , course , mountain south west . keep mind place 38 year old , withstood test time thousand guest well . room little bit date adequate . would similar room might expect day Inn Super 8 . thing think rough shape carpet cigarette burn , obviously not vacuum often . quite honestly , time see vacuum lobby main floor casino . pool little small size hotel , clean well maintain never crowd . even poolside bar open Thursday thru Sunday , something not expect price hotel . casino average size excellent variety slot table game low minimum . bartender friendly accomadating , always comp drink play video poker . hotel employee matter seem friendly helpful . location directly across Fremont St. experience outstanding , access Strip airport location quickly cheaply bus . 50 60 tv channel room , go Vegas watch tv ? ! downside hotel buffet , look cheap throw together . & quot ; steak & quot ; thinly cut piece roast beef ! food remind day military chow line high school cafeteria . would recommend buffet Main Street Station street , offer much well food price . , good experience would gladly stay . ' m 28 year old single male hotel seem popular lot people age , well old retire people , frequent Vegas visitor , , like downtown hotel , Filipino hawaiian people . 
