nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Nov 20 2009 	 Good Deal Downtown Hotel 	 big fan stay downtown SFO fine choice ( especially $ 79 Hotwire special ) . adjacent Embarcadero stop right across street waterfront many may find appeal . lot go weekend area however . the building huge one well know atrium hotel US . check quick efficient . room generally nice modern high quality bed , tv furniture . doorwall open scenic 6th floor view . shower bathroom pretty basic however shower nozzle break stand directly beneath . weight room average good hotel size , believe process move facility may upgrade near future . hotel connect Embarcadero Center many shop restaurant generally limited weekend hour . overall good choice stay downtown especially discount price . 
 Nov 15 2009 	 cavernous impersonal amazing balcony 	 hotel exactly expect - cavernous impersonal . mention celebrate 30th wedding anniversary birthday bring flicker reaction . want view balcony without break bank Hyatt Regency give we great location wonderful outdoor space . AAA rate make balcony suite affordable . space suite , separate living room , two bathroom 30 ' balcony enjoyable . outdated decor , stain carpet $ 10 per day internet fee , much . bus , BART , cable car F - line right outside , make easy get anywhere . ferry building right across street provide nice restaurant shop tired trek anywhere else . not care personal service get reasonable rate , good choice . 
 Nov 14 2009 	 huge business - orient hotel 	 well - run , even oil machine conference hotel . surprise ; get pay ( ok , little , Bay view ) . romance , pretty much good every kind travel . often come Priceline ( get room ) . fitness center little disappointing , know ' m picky regard . fair number aerobic machine 
 Nov 10 2009 	 Bargain 	 stay two night Hyatt Regency Embarcadero Center . ezxcellent location across Ferry Market , near great restaurant ( ozumo , Slanted Door , Tadich Grill , Yank Sing , among other ) . $ 235 executive king junior suite bay view . much less expensive Hotel Vitale , around corner . 
 Nov 5 2009 	 '' get RENT CAR ( parking parking ticket cost much ) 	 stay August 09 impressed . book stay Expedia phone verifying info verbally ask cost park parking garage ... expedia guy say . tell cost park ( stay two night downtown S.F . ) would like delay pick rent car not want pay park take public transportation whole time . assure parking fee stay hotel agree go ahead take rent car two day . husband get late night pull valet guy tell we like $ 35.00 plus per night park 's like two morning tell expect pay parking tell us park right across street front Walgreen Pharmacy street make sure get early like 6:00 7:00 put money meter would much cheap . next morning husband get run outside put money meter everything go good come back room get ready day look window street say hey 's cop rent car . laugh continue get ready . ( oh way 8th floor look street Walgreen 's also ask expedia guy room view view get ... Walgreens ) husband get rent car start first day San Francisco notice nice little piece paper windshield wiper . yes , get parking ticket $ 73.00 parked loading zone Walgreens . next night decide go pay parking parking garage . approx $ 54.00 night . not get car staying city . as far hotel date bathroom think get Hyatt Hotel . look like Holiday Inn bathroom small . hotel seem cold . welcome . 
 Oct 25 2009 	 Great Location comfortable room 	 wife stay 2 night . real easy get . take BART San Francisco Airport Embarcadero Stop , right . staff personable check . room , far elevator , spacious obstruct , good view Ferry Building . receive great deal Priceline , not expect view . room clean . sink side bathroom area , always good . great bagel place , Noah 's bagel Starbucks outside want relatively cheap breakfast , mention entire Ferry Building short walk away . F street car also close , take along pier Fisherman 's Wharf Civic Center area . also , Cable Car turn - around outside . everything go smoothly ! 
 Oct 23 2009 	 expect price room 	 stay Hyatt Regency 8 day ( mixed pleasure business ) ; & quot ; conference rate & quot ; $ 249 / night high , opinion . room size 9th floor adequate , bathroom poor quality expect hotel - small , old - look , toiletry nothing write home ; great floor ceiling window actually slide door , allow get fresh air enjoy partial view Bay Bridge . 2 night , ask another room due rattle HVAC vent & quot ; whistling & quot ; pipe wall behind bed . also give $ 20 / night discount ask . move 14th floor straight - on view clock tower Ferry Bldg . - gorgeous view ! ! ! staff friendly helpful , pleasant stay . 
 Oct 23 2009 	 steal jewelry 	 first impressed hotel . look great inside . start worry main come every morning 8 try enter room without knock door . the last day leave forget jewelry desk drawer return part . steal valuable one ( platinum ) give husband last anniversary . decide stay lock belonging safe case make sure not forget anything room check . 
 Oct 23 2009 	 's hype Hyatt ? 	 choose stay hotel suppose great resturant . get ready go dinner resturant open Monday sport bar ! needle say quiet dinner 's Monday night football ! post nice resturant Thursday , Friday , & amp ; Saturday would stay somewhere else ! oh , staff friendly ! 
 oct 22 2009 	 lovely view large room perfect location 	 stay 2 night , pretty much perfect . location Embarcadero great we , want visit Saturday morning market Ferry building , want dine Boulevard ( 2 block away ! ) .Our room & quot ; Embarcadero suite & quot ; . large , big sit area -- 2 couch , coffee table , desk , large flat screen tv -- king size bed another flat screen tv dresser . incredible view ferry building , bay Bay Bridge . room slider along long wall , open fresh air tremendous view ( real balcony , concrete rail open door ) .The breakfast buffet bit expensive , top notch . room service dinner really good . 
 Oct 21 2009 	 Good Value 	 good value good location . stay 2 night trip Napa be quite satisfied . 
 Oct 21 2009 	 great hotel get deal 	 girlfriend stay hotel last weekend really enjoy . advice read previous review really help . way save money .... booking : book Priceline would ' ve cost we around $ 300 night end cost we $ 95 night . get hotel , reservation agent ask we want bay view additional $ 40 night . say still killer view ( see pic ) .transportation : instead rent car pay outrageous parking fee , take BART instead . drop we front hotel . taxi ride would ' ve cost we around $ 40 one way . BART $ 16 we one way . internet : Use & quot ; Business Center & quot ; instead internet room . be cheap need short time ( print boarding pass , etc . ) minibar : need , not touch fear activate . charge . anyway , staff friendly room clean . outside noise come window , know middle financial district . oh , one last thing , would recommend use public transportation get around . 's inexpensive seem local take advantage . 
