work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Nov 26 2009 	 never stay ! ! ! 	 stay strand 5 day decide pay high extra fee upgrade room one assign arrival old , dirty , small , maintenence make ! go reception , welcome unfriendly stage show we othe 5 room worst first give ! end say : & quot ; ok , upgrade room pay extra cost way get well room ! ! ! & quot ; reply : & quot ; comment & quot ; . decide pay midnight tired manager duty time.the day ask speak manager 3/4 time , & quot ; ghost - manager & quot ; meet ! ! ! 
 Nov 25 2009 	 Strand Palace PERFECT place stay London ! 	 wonderful week 's stay last week Strand Palace , love explore London hotel perfectly place right Strand , minute Trafalgar Square , Whitehall , Embankment , etc etc . room 1st floor brand new , clean , comfortable modern decor . staff department could helpful , husband walk difficulty nothing much trouble staff came help we . english breakfast good indeed , great little coffee shop excellent Carvery . boy ! efficient ! hotel could like . ........ definately back Strand Palace annual week London next year . big Thank , well deserve ! 
 Nov 25 2009 	 excellent friendly welcoming hotel 	 arrival greet doorman , reception area spacious clean . stay club room fair size comfortable everything need stay ( complimentary bottle wine provide add bonus anniversary ) . staff deal friendly polite . restaurant use excellent food high standard . bonus hotel minute walk tube station theatre also good reach shopping area market . I would definitely use hotel future 10/10 . 
 Nov 24 2009 	 small room huge hotel .... old 	 stay hotel 2 day roundway East Horsly . my room ( standart - old ugly ) be not ready .... staff give superior room .... hotel like labyrinth .... door , door , door ( 700 room hotel ) .... modern . superior room good ... small problem noise insulation - fill middle Strand street ( hopely room window look strand street , noisy ...... fill like room .... window frame old woody ... many homeless people around .... comfortable late evening ... cose bar shop put food be not sell day directly street .... good - want help people thay would not put food ... way ... always stay City Inn Westminestr .... business trip company book .... never .... City Inn choice ! 
 Nov 22 2009 	 great except expensive wi - fi 	 club room , british hotel standard great . course , bar fridge , spacious good bathroom ( uncomplicated shower ) . position ! Central London seem small , use Hotel walking base . nearby London Eye , Convent Garden , Soho , Trafalgar Sq . ( Admiralty Arch , Pall Mall Buck House ) , Embankment take Houses Parliament + Westminster Abbey . Charing Cross underground 5 min away , theatre around . consierge really helpful . breakfast varied , vision logistic : wait , long . complaint : stay B & amp ; Bs across Britain , free in - room wi - fi . , give free hour lounge , pay extortionate price , room . solution : go starbuck nearby , be free ; rate ? like EVERY hotel ' ve stay world , wash laundry every day spite ask we . 
 Nov 22 2009 	 poor maintenance level great location 	 Hotel old well maintain . switch room twice ( problem flush water toilet , could hear people snore next room ) . room small . location great , nothing else say positive . 
 Nov 18 2009 	 Position reason stay 	 Strand like million hotel , nothing really make hotel stand . choose convenience business meeting morning West end evening . one tip stay , skip hotel breakfast book road Simpsons , still one good place London breakfast . even visit we another country , Simpson 's British ; glad try . 
 Nov 17 2009 	 must good location central London 	 location Strand Palace ideal visitor bend leisure business City law east theatreland doorstep . bus Strand seem reach every part London , tube station fairly handy constant supply taxi .The hotel bring date , restaurant good plentiful . everything need hotel . 
 Nov 17 2009 	 Strand Palace well ever ! 	 stay hotel twenty year . recent refurbishment become tired move Strand Waldorfe Hilton . however well ever . wife stay twice year pleased occassion . club room well furnish comfortable . breakfast good general ambience hotel warm welcoming . comfotable hotel good standard , helpfull service good value money premier location . James . Yorkshire , England . 
 Nov 17 2009 	 Fantastic 	 Excellent value money . room beautifully prepare refurbish , nothing much trouble , staff friendly , treat like royalty . fantastic stay hotel tophatte doorman price . convenient theatreland . happen mention aside daughter 's 16th birthday ( purpose trip ) card bowl fruit deliver room . 
