Great 	 wonderful stay wife 1st Anniversary hope stay ! Got town early Friday , staff extremely nice helpful even though not room ready early . store luggage we even let we get item back already store . go sightseeing come back check - in breeze find give we free upgrade suite anniversary . room nice clean lot room spread relax . later stay , realize forgot shaving gel call front desk see help since run late dinner reservation someone room time flat shaving cream . one great thing hotel location . right middle everything Michigan Ave ! ! shopping could want ability run bag room drag town . quick access numerous restaurant short walk lobby , well bus stop across street take various museum point interest city . thing could see someone fault place noise Northwestern Hospital right next door . 27th floor noise bother we wife light sleeper . , Avenue Hotel great place stay enjoy Chicago look forward return soon . 
 Nov 23 2009 	 Great Business Trip Avenue Hotel Chicago 	 Avenue Hotel great business hotel unbeatable location great amenity . room top - notch everything visit go smoothly . hotel short walk Magnificent Mile shop restaurant could want . business trip personal time available would ideal . must make point make back relax trip near future . my room clean , comfortable great view . amenity great bed unbelieveable . ' remember ever good night ' sleep hotel much less business trip . staff Avenue hotel wonderful . front desk staff bellman , guest service housekeeping , entire crew go way assist plan inside outside hotel , hotel bar wait staff expert serve business group -- attentive overbearing . in general , stay Avenue Hotel exceptionally smooth productive . business meeting go smoothly , room comfortable date equipment presentation . would recommend hotel business group , also tourist look hotel convenient many popular downtown Chicago spot ! 
 Nov 18 2009 	 terrific hotel extra friendly staff 	 bring family along Chicago conference Hilton . Chicago many time & amp ; hate stay convention hotel -- enjoy try new place . avenue perfect we . Location could beat -- able spend way much time American Girl Lego store . weather unusually mild , 1 - 1/2 mile walk Hilton pleasant . $ 48 per day parking fee little steep ( although Chicago standard ) , able take car many time need . bed EXTREMELY comfortable , shower pressure okay , staff always greet we smile . kid give small stuff zebra check , big hit . problem bathroom , able hear conversation room next door though people sit right next we . predictable siren traffic noise , 4 - yr - old find exciting able block sleep thank nice loud fan air conditioning unit . overall , pleased & amp ; would stay ! 
 Nov 16 2009 	 4 star hotel . location can not beat though .... 	 let start say Chicago weekend international convention , thus hotel price roof ! ! never trouble get excellent hotel steal Chicago , weekend exception . got & quot ; great & quot ; deal weekend Avenue . average price per night $ 225.my first impression : room HUGE -- could fit 4 queen bed comfortably . problem tv far bed , could not read baseball score ! perfect vision . also , random medical grade hospital seat room , even though not handicap accessible room . good : location die , would stay know expect love location . bed comfy . curtain block light : - ) 's clean comfortable ( exceptional ) hotel . the bad : water pressure NON existent . green , shower head abysmal . safe room , lock box front desk . incredibly inconvenient . ' m carry queen 's jewel , like put jewelry safe go , along ipod camera , even wallet carry whole thing . lock box pain , constantly wait line people check in / out access . also , several thing room break -- slide door closet vanity light not work ( nice light , magnify mirror though ) . even mention terrible water pressure lock box , kind get shrug & quot ; sorry & quot ; be nothing do . summary : , good hotel prepare consider 3.5 star experience . would stay , staff nice , pub great shepherd pie , importantly , bed comfortable great pillow . location fantastic . expect 4 star hotel , would stay elsewhere . lastly -- know reviewer complain siren / street noise , etc . hear sirens noise , opinion nothing use hearing stay major city . 
 Nov 13 2009 	 Great Location Nice Hotel 	 stay February - complaint . room large , clean , update . staff friendly location great shopping restaurant . 
 Nov 12 2009 	 Sun Chips Balloons 	 land Chicago first time see bear play . end Avenue Hotel research . hotel right heart want ! staff friendly E & amp ; c downstairs great place pint start morning breakfast forget ! room spacious well appoint . across hall little noisy group travel Bears game also door close could not hear Canadians Snore . although point hear term & quot ; Blue 42 blue 42 Razor Razor & quot ; ! bed comfortable roommate state could spend day lie . highly recommend Avenue Hotel Chicago ! 
 Nov 6 2009 	 Amazing Location ! ! 	 ask high floor . view room window Tiffanys one way Lake . Beautiful & amp ; large room & amp ; clean . location step Michigan Ave & amp ; shop . helpful staff . would return go back Chicago . 
 Oct 27 2009 	 Great Hotel Location downtown Chicago . 	 nice boutique hotel . look little spartan first walk . alot fluff like chain . quite dark entry . staff pleasant , helpful . ask recommendation restaurant , direction , map etc . Met expection . room clean , comfortable queen bed pillow . fluffy towel . only complaint shower head . round rain type , alot pressure . restaurant top hotel limited hour . night spot go drink . Buffet breakfast $ 25.00 . go West Egg well deal . location awesome . walk distance Water Tower shopping MI AVE . $ 7 - 8 dollar cab Field Museum , Navy Pier , Old Chicago Shopping - Original Marshall Fields , club Hubbard . look Limo service - call Mr. James Limo . reasonable group rate great guy . 
 Oct 14 2009 	 comfortable ! ! 	 stay 26 September - 30 September 2009 . efficient , slight problem room reserve we King size bed girl not want share bed . like charge change . like , clearly say paperwork double double require . Manager sort . problem water drain away shower , sort straight away ! good stuff house keeping . bath room bit small , one person bathroom one time not know fuss people past 's ! bed comfortable nice 4 pillow , feel home home . reception staff friendly always speak past matter time day ! Door man sort taxi last day . ready we 5 am ! ! could not fault stay would gladly stay . love Chicago mainly two reason people view city ! ! not bother firework Navy Pier one hit wonder ! ! not eat Hard Rock Cafe Chicago food awful , fajita cold . also not eat Pizzeria Uno real one Ohio St . totally recommend Corner Bakery Cafe , leave hotel , edge block turn right end block bout 3 min walk ! ! good breakfast trip ! Cinnamon roll die , plus mate enjoy Oatmeal . Sear aka Willis Tower brilliant especially twilight . hancock tower good also . please go Millennium Park see Mirror Bean awesome ! ! could go amazing time Chicago , enjoy New York ! ! feel free contact like know anything . 
 Oct 13 2009 	 overall good service 	 stay hotel 2 night oct 1st 3rd , book priceline expect get small room near noisy lift , however , rang ahead ask non - smoking room mention special trip -- arrival offer upgrade corner suite partial view lake ! ! ! GREAT . bed really comfortable , enjoy stay . hotel minute away michigan avenue -- shop , also easy walk ( less 10minutes ) Wendella boat tour eat elephant castle attach hotel -- basic food , price o.k . service good . busy evening there . have breakfast corner bakery around corner -- lovely , would definitely stay . 
 oct 9 2009 	 great locationnice roomsreasonable restaurant 	 get room Hotwire . really well appoint , free wireless , ist floor British theme restaurant reasonably price 3 meal . would recommend parking block away vs $ 48 next door fee ( unless in / out service important ) . staff helpful . 
