awesome 	 hotel staff fantastic , location slap bang middle times square absolute awesome 
 Job 	 stay two night past weekend Renaisance Times Square . NYC dozen time past 10 year , however stay Times Square hotel . certainly faint heart . would recommend location anyone except enjoy pushy , loud , touristy crowd child . part city location convenient , not deal people inexperienced city walking sidewalk etiquette . say , hotel nicely modernize renovated boutique hotel . lobby good size update furnishing . guestroom high floor nice view TKTS booth . like king bed settee seating . love bathroom , expecially sink shower . negative thing room quite musty smell , almost like mildew . eat breakfast restaurant one morning . completely overpriced ! ! ! $ 60 total two people egg bacon . eat breakfast another morning block away half cost . staff great ! Oscar check super nice ! , never interact anyone else , fine we .... would recommend famile travel child , not mind crowd mayhem . 
 Nov 16 2009 	 Nice hotel - like location 	 hotel good , however fould times square ( literally behind coke advert ) busy , therefore ' pop ' back hotel exhaust experience ! want stay Times Square perfevct . 
 Nov 4 2009 	 Excellent Hotel - Helpfull Staff - Great Location - expensive ! ! 	 go NY state Renaissance New York Hotel Times Square October 28th 2nd November . great hotel , nice room two double bed 26th floor ( club class ) , room clean , great view meet expectation . location superb could pop back kip tea point want , Erick concierge fantastic . see want anything restaurant booking direction free pass . order Piza pepsi 's fry $ 70 . bloody expensive , good standard . spend £ 3,000 4 day do everything empire stare , Basketball , Chicago show , Helicopter flight , ground 0 ... work ! ! 
 Nov 3 2009 	 overall great hotel ! 	 hotel great location Times Square . 's smack center Times Square like Marriott , good thing . housekeeping fast bring extra towel . room good size nice bathroom . clean . definitely would stay . 
 Nov 2 2009 	 Excellent Hotel heart City 	 hotel large room , excellent facility , great friendly staff - & amp ; could not well position , right top Times Square . view restaurant amazing - miss . 
 Nov 1 2009 	 Overall Good Hotel Funny Smells 	 Manhattan business last week stay Renaissance Times Square . facility good . gym decent equipment . room nice carpet desparately need cleaning . white socks brown bottom first hour room . also , elevator ground lobby consistently smell foul ( like use diaper ) . breakfast gold / platinum member good , staff range fantastic ( esp Michael ) marginal . also , want bathtub , need request room one . positive note , view room ( 1617 ) great . 
 Oct 30 2009 	 amazing city great hotel 	 come new york lifetime holiday that s exactly get . moment arrive staff could not enough we , arrange theatre ticket provide bottle warm baby milk . hotel wonderful location heart time sq although mean get bit noisey rush hour . bell boy great talk often partner would come back room ciggeretteoutside tip place see . example do not pay $ 50 grey line bus empire state , macys statue liberty get city bus $ 10 take route . room perfect type stay big enough two us , baby , pram etc . reception staff friendly , bell boy great guy call JJ really good guy ever meet , funny , NYC . 
 Oct 27 2009 	 heart 	 husband celebrate birthday New York choose Renaissance Times Square heart . hotel nice , room small , view really nice . not use restaurant hotel think expensive many option step front door . would not recommend hotel family 's & quot ; kid friendly & quot ; stuff . street really crowded line tkts booth hour long . 
 Oct 27 2009 	 OUTSTANDING LOCATION UPGRADED SUITE ! GORGEOUS ! restaurant AWESOME VIEW TIMES SQUARE . 	 hotel beautifully decorate , staff friendly . manny front desk manager delight ! plan return ! ! walk short distance everything ! ! 
 Oct 24 2009 	 FABULOUS INTRODUCTION NEW YORK CITY . 	 monent walk thru door , service Renaissance terrific . everyone everything make stay NYC wonderful experience . room spacious , view great , concierge great . save we time money help we plan activity short time see . really seeit . long day sightseeing , nice comfortable bed luxurious amenity wait we . thank Marriott . 
 Oct 21 2009 	 great splurge ... 	 overall complaint ... staff nothing short fantastic ( sign reward point ) valet sense humor quick consider 's site . room average size , look lounge amount time , get suite stay somwhere else ... , be ther reason stay . 's middle times square . get live little . couple draw back experience hotel . first drive little odd new pattern ... get good map follow . online map not catch fully . second resturant ... view great , literally end times square . food overprice , even time square . $ 32 two egg easy ham toast include coffee juice ... will pass next time . also , traditional ' sub ' lobby little annoying safety , can not complain . 
 Oct 14 2009 	 Fantastic Hotel 	 stay lovely hotel September 09 . staff always friendly helpful happy help plan outing give good advice use subway etc . stay room basis eat hotel one evening fantastic meal restaurant overlook times square . room good size really comfy bed large bathroom great shower / toiletry . check time 12 noon hotel happy keep luggage leave free want time pick flight home also arrive room ready . would certainly recommend visit hotel . 
 oct 9 2009 	 great location 	 Perfect location fun romantic weekend . room nice great shower . would nice free internet . 
 oct 9 2009 	 Comfort great location service . 	 first time property hotel would definitely list future consideration travel NYC . although stay 1 night , hotel make great impression we . check - in staff courteous housekeeping staff prompt deliver additional toiletry request . room spacious comfortable . hotel clean class fully meet expectation 4 - star hotel . 
 Oct 8 2009 	 fantastic location - right heart Times Square 	 come back long weekend NYC , stay hotel 3 night . excellent . staff friendly make we feel right home moment check . room 10th floor , great view overlook side Times Square ( Hershey 's ) . bed sooooooooo comfy , room great , expect . we meal one evening hotel restaurant , view amazing ! be like sit big box 3 4 wall glass , get see Times Square , glass ball drop smack bang front . fantastic ! restaurant window actually part lghte advertising billboarde north Times Square , much middle Times Square get ! previously stay Millenium Broadway hotel , Marriott Marquis Times Square , Renaissance definately well . be intimate , understated hotel . hidden gem , madness Times Square . definately place stay want quiet oasis luxury , right midde Times Square 
 Oct 7 2009 	 great view ! 	 room 21st floor view incredible ! overlook heart times square ! ! 
 Oct 4 2009 	 love place 	 many time porter , reception etc recognise family . amazing place , doorstep Times Square suit like little hussle . hotel everything could want include New Years reserved section see Ball drop restaurant inside direct view Times Square . if theatre goer , stay . TKTS booth outside . tour bus round corner Port Authority . Hells kitchen round corner , eat . stay away theme restaurant Times Square . Hells kitchen bargain every kind food could imagine . the hotel room clean fresh , hotel go refurbishment programme number year complete . staff great handle emergency turn . father big problem tooth , within 40 min doctor room ! alot respect staff hotel , really take care . not look upgrade though - enough business place usually 90 % occupancy . enjoy ! 
