Good 	 Staff friendly , room nice great view Chicago River close House Blues Harry Caray 's Resaurant , well , far Magnificent Mile . hallway dark elevator bit scary , overall great hotel . bar , Crimson , locate hotel great . bartender nice waitress like talk wall . 
 Nov 23 2009 	 Nice hotel good location great deal ! 	 stay 5 night $ 129 / night include parking ( usually $ 39 / day ) . room nice , bathroom spacious . nicely appoint comfortable overall . request quiet room refrigerator get exactly . hotel staff friendly accommodate -- Rich , one parking attendant , kind enough drive we show ( run late ) park rental car . complaint morning coffee service lobby . first , coffee not good ( freshly brew cheap / slightly sour -- roast bean home may pickier ) . second , importantly , coffee take away 9 am ( seem early , 10 am sleep late ) , one day arrive 8:50am find already remove . third , allow coffee cream / milk run . guest not notify hotel staff 's coffee cream . say , would stay Sax Hotel heartbeat anywhere near price . recommend ! P.S . 's Einstein 's Bagel place less block away well coffee ( slightly ) , usual bagel , yogurt w / granola ( quick easy breakfast ) , etc . 
 Nov 3 2009 	 good hotel good rate = good time 	 nice hotel . & quot ; close & quot ; lot category get good rate choose possibility . close mean . hotel close good , close good neighborhood close good service . would first choice - close . pleasant hotel . room nice . neighborhood 3 block nice . House Blues 20 foot away close quiet . overall like hotel pay $ 160 night would stay rate low . hotel great , great service , great heighborhood , great sound proofing would stay $ 200 . hope help . 
 Oct 27 2009 	 Miss House Blues ... 	 first time stay Hotel Sax since convert House Blues . vibe hip location great , room par price pay . major chip tub , burn light bulb bathroom ( not change 4 - day stay ) go plug laptop , outlet plate fall hand leave outlet completely expose . many great place stay Chicago , will not back Sax . 
 Oct 20 2009 	 nice deal great amenity cheap affordable quality 	 room modern trendy . lot cool decoration , 32 & quot ; Plasma tv . high quality minibar , although not touch fortune ! careful though even take something minibar automatically charge ( cool sensor pad ) . get pretty good deal , think 25 % room go April ( busy season ) .Other pro : -great Location ! within walking distance major attraction - Fun & quot ; Game room & quot ; Nintendo Wii , X - Box 360 , etc - right next door House Blues ! -Staff friendly , although not think single problem ! -bathroom nice robe , heating lamp help dry fast everything datecon : -It almost trendy , even though ' m fairly & quot ; hip & quot ; 23 year old ! : D - parking not free , not think ever around . actually somehow end employee parking section pay $ 10 day ! 
 Oct 17 2009 	 Excellent Hotel Great Price 	 wife stay Hotel Sax 1 night visit Chicago ... overall wonderful experience , stylish boutique hotel . pro : * great price due economy * $ 42 parking include deal expedia.com * nice aesthetic throughout hotel , lobby , room , etc . * room nice stylish , comfortable bed . victorian meet Modern . * right next House Blues , 10 - pin Bowling Bin 36 * Crimson Lounge nice , though ' m big drinking * right Michigan Ave . * Right Shaws Crabhouse dinner ( excellent , excellent place eat ) * interactive entertainment lounge every current video game system hook LCD / plasma tv , include rock band instrument set beer available ... con : * give double room , instead one single bed book ( tired get not care ... ' m sure could fix ) . * baths standard room , shower , case care want relax one . * kind dim hall , not know mean ambience . * interactive game room close early ( though ' m sure wife would not want we play video game hotel ) . * much else say honestly . for average guy like , nice hotel , great location , good price . definitely return future , recommend other , especially want catch show House Blues right next door . 
 Oct 11 2009 	 funky decor decent location free Reese 's Pieces lobby 	 spacious room , beautifully decorate , courteous staff . would definitely recommend friend . expensive Parking ( $ 49 ) . 2 block walk subway . 
 oct 8 2009 	 Nice Hotel 	 surprise . stay priceline love every minute . many Chicago hotel one top 5 . room nicely decorate . lobby hallway awesome well . front desk guest service employee nice interact . nothing bad say place . the building old . toilet run water twice window could use fix overall can not complain . we try Bin 36 Mano good place eat . 
 oct 8 2009 	 Funky decor fab service 	 hotel sax wonderful treat . see mixed review go , really enjoy stay . since drive , hotels.com free parking offer tip scale . arrive early ( 10 am ) able let check early . location central . room unusual decor , bed comfy . free internet also nice plus . gym small , offer enough . another conference side Chicago , definitely return . 
 oct 8 2009 	 Fabulous Sexy Downtown Chicago Hotel 	 everything hotel outstanding . service beyond expectation - bellman take great care car , help we get taxi , give direction even remember name whole stay . room , although small lovely window could open fabulous bed . whole hotel swanky sophisticated . not try bar inside hotel great steakhouse across parking lot , serve steak lobster 11 pm Cubs game . definitely back ! ! 
 Oct 8 2009 	 Chic Eclectic 	 visit Chicago stay Sax Hotel friend 's referral . ' m California , welcomed & quot ; swanky & quot ; feel hotel . walk lobby , modern lounge music play smell incense background . staff young chic , probably hire model hotel . LOL one floor business center wall size flat panel , laptop gaming console . think gaming console little strange , guess cater young clientele . nonetheless , chic Chicagoans fit right make interesting place network even 's check email . room snake skin chair , 70 's look bed ( huge ) , small radio also look like 70 's . turn though , be blaze Bose system rock room ! Mini bar cut bottle Patron Tequila , think nice touch .... night , visit Crimson Lounge downstairs . great music lot nooks hang friend . need dress pretty hip mingle crowd ! lot fun , love . across parking area outside house blue . stay Sax get visit free . also get visit private foundation room HB , pretty neat place , make sure book concierge advance , otherwise , will not let ! around corner fantastic european style restaurant . good healthy . walk riverwalk great steakhouse Dick 's last resort . hope visit , love ! oh room X - box ! think weird , think would mention . 
 Oct 6 2009 	 great stay 	 stay 3 night Sax treuly enjoe every minute . receive upgrade Junior Suite spacious trendy design . 2 huge flat screen , fabulous movie selection ( great suffer jet lag ) spacious bath room incredible feature hotel . bar ground floor hot spot game roo 6th floor great idea . concierge knowledgable helpful . 
 oct 1 2009 	 Great Hotel Service - Parking Rate HIGH 	 spend one night Hotel Sax great experience . room large , well furnish chic . bathroom large , well light great shower head . fitness center date lot space . hotel Sax pretty trendy place 's adjacent House Blues . 's right heart great restaurant , theater , shopping attraction . service excellent too . my complaint parking charge ... $ 49 overnight ! would definitely stay either take public transportation park street less half cost . 
 Sep 18 2009 	 Unique ( think swanky ) decor friendly staff 	 husband check Hotel Sax Friday night Labor Day weekend . booked room Priceline , check - in effortless . dramatic , red lobby set tone hotel -- dim , moody lighting . assortment live betta fish inhabit glass vessel front desk nice touch , Hot Tamales free taking . upon check room , love decor . bathroom might little dated ( maybe entirely redone conversion take place ) , generously - sized . guest room also roomy , bed comfortoble . love chandelier decal wall ( mention varied wallpaper pattern -- metallic -- throughout hotel ) . really , life feel glamorous sit faux snake skin upholstered chaise louge . nice might find sort thing tacky , maybe lighten little . hehe . Crimson ( hotel bar / lounge ) beautiful -- find comfy couch Sunday night stay mood relaxed , music right . walk & quot ; Technology Experience & quot ; room interesting idea , not stay long . really , can not think single complaint . view good , location great , hotel like . one caveat , valet parking $ 49 day . 
 Sep 7 2009 	 another visit Sax ... not dissapoint ! 	 fifth annual visit Hotel Sax although review , feel compel . book trip travelocity extremely reasonable fly stay Labor day weekend . always , concierge , front desk , bell man helpful friendly . stay 10th floor room king bed . room clean , spacious bed comfortable . complaint bathroom sink tiny room set anything top without fall sink floor . maid service slow would imagine full long weekend . wine cheese purchase Bin36 room two night stay awesome . people friendly , helpful , quick getting order go . never do definitely next year . hotel close everything great location . breakfast , many option since room service expensive ( starbuck , einstein bagel accross street , huge mcdonald road ) . love hotel sax ! 
 Aug 19 2009 	 great spot romantic getaway 	 wife first anniversary chicago stay Sax . room nice , location great . close train make rest city readily accessible . also w / in walk distance lot cool shop , restaurant , etc . staff helpful direction map get around city completely unfamiliar . 
 Aug 17 2009 	 Urban classy iffy reservation even confirm 	 stay bachelorette party . check - in bit stressful . confirm reservation 2 adjoining room ( large group ) , get tell room long available . first say could get we room close , not go work gift - opening , etc . eventually upgrade we suite , fit . huge clean great view city . check - in other around we trouble reservation 3rd party discount site ( make directly hotel ) . hotel give room away , people , not able accomodate . , even confirm reservation , would still recommend back - up maybe take chance , even though hotel overall amazing . : 0crimson Lounge near lobby fun start night . dim lighting , sexy , upscale stuffy , great drink friendly bartender . hotel close everything . walk dinner party location . 
 Aug 15 2009 	 worth price 	 good thing hotel view . arrive take 15 minute get valet even recognize we give we ticket car . room ready early let we check hour standard check time . room disappoint , except view . headboard practically fall wall , nightstand actually lean wall , attach anything . staff come contact valet helpful accommodating , especially bellhop . 
 Aug 11 2009 	 great location great room 	 stay three night Sax everything well expect . room big , clean modern . bathroom huge , big plus wife . elevator fast , staff exceptionally helpful , pleasant stay . location could well , close Michigan Ave . , within walk distance great bar restaurant . really figure Hotel rate low . need check statement departure problem , hotel make adjustment . reviewer problem . , would stay next visit Chicago understand hotel rate low . 
 Aug 8 2009 	 careful checkout charge 	 purchase room 2 night Priceline . print confirmation bring we . last night get bill hotel door $ 300 & quot ; promotional room rate & quot ; question charge tell purchase one night priceline . call credit card indeed purchase 2 night . take print confirmation 2 night already pay front desk initially remove charge . however , receive credit card bill 2 week later , charge $ 190 ( besides $ 80 charge housing car 2 night ) call talk manager say & quot ; investigate purchase 1 night , & quot ; charge we leave credit card $ 190 . say oh , purchase 2 night show front desk clerk receipt . ask confirmation email prove ( priceline ) long story short , take awhile convince manager pay 2 night priceline . make feel like try fraud hotel . originally good experience hotel , end sour note . and manager never offer anything headache put we . 
 Aug 3 2009 	 GREAT SERVICE GREAT deal fabulous place stay ! 	 nervous booking b / c mixed review read , location perfect INCREDIBLE package deal ... & quot ; Windy City package & quot ; . $ 203 night , stay superior king room , $ 50 gift certificate hotel restaurant , plus valet parking ( $ 42 per day ) include . could not beat price . ( stay Thursday Saturday night ... deal not weekend exclusive like ! ) Book hotel site deal ( think 's offer Dec 2009 ) . 's available throught & quot ; bargain booker ' site & quot ; . lobby Hotel Sax beautiful . hotel staff member incredibly helpful , kind , considerate . read complaint review dark hallway ... not neon 's issue . wallpaper pattern silver nice reflective quality ... yes wood dark , never problem see . the superior king room plenty big comfy bed & amp ; clean ample bathroom . of course mini bar expensive , complain . stop 7 eleven street grab snack . be room service people either ( really , Chicago ? ? ? ) ... much see . shower small tub ( half conventional size tub . look soak , probably will not happy . absolutely complaint . room exactly appear hotel website . hotel quiet , even club downstairs . 11th floor could not hear noise . great meal Harry Caray 's lunch Bin36 hotel . hummus bin great ... service slow . go right opening lunch though . Crimson Room seem like hop place , husband not club scene . find hotel convenient walk almost everywhere . not & quot ; chain hotel feel & quot ; , be love . coffee maker room , serve Intelligentia coffee lobby morning , excellent . Loved Hotel Sax ! ! * * * Architectural Boat Tour Ogden Slip great , well night shoreline cruise view firework Navy Pier Saturday night ( summer ) . love Chicago style pizza , check Giordanno 's ... also recomment Portillo 's Ohio great sandwich .. 
 Aug 3 2009 	 Great Young Vibe 	 staff really kind , room clean , might & quot ; youthful & quot ; old guest . arrive Thursday night lobby bar & quot ; bumpin & quot ; like club , not bode well long journey . whoever design renovation must fresh school many trend throw . snake - skin high - back chair mirror nightstand ? ouch ! much counterspace bathroom though . we get good promo time $ 119 w/ free parking . great location , might want stay another subdued place next time . 
 Jul 15 2009 	 love first visit 	 make first trip Chicago 12th anniversary . study agonizing hotel choice online - book we Hotel Sax Expedia . get good enough rate . hotel need - good location , close public transportation , nice friendly helpful staff , room CLEAN , decor somewhat eclectic - want old hotel - stay one major chain . thoroughly enjoy 4 day trip ! nice comfy robe , good quick room service - fantastic shower , nice toiletry . 
 Jul 14 2009 	 not get reserve room type room dirty ! 	 book hotel hotels.com prepay Superior King room . check get room , room small bed look like full size . call front desk takle manager . say unfortunately book third party vendor Expedia Hotels.com , guarantee room type sell night . ask could get discount say . indicate view view parking garage say room view parking garage . the hotel room small walk around barefoot , someone 's hair pin stick bottom foot along hair . bathroom shower stall , bathtub . hall super dark gloomy . vend amenity hotel buy bottled water , soda etc . recommend hotel stay somewhere else next trip Chicago ! 
 Jul 14 2009 	 long worth ! 	 husband spend weekend year Chicago love hotel House Blues . stay weekend , disappointed . reserve king room give incredibly small , dark room queen bed . speak guest service change room meet reservation expectation , treat well . willing / able honor book seem think problem . room light dim , able see apply make sun set . wall behind bed section fall overall look pretty shabby . experience previous visit House Blues . friend stay hotel nearby . fabulous room ( spacious well - light ! ) treat well . look forward next wonderful visit Windy City , will not make mistake booking room . 
 Jul 13 2009 	 Cool hip comfortable 	 Loved hotel . small enough boutique feel large enough provide amenity nice big hotel , wireless internet ( free ) , gym , room service , etc . hotel decor really cool hip personally , really appreciate change sterility hotel . everyone may like , find welcome change . room clean well keep , big flat screen tv , nice alarm clock / radio plug iPod ( adapter cable ) , nice big bathroom . great view Chicago River . downside lack coffee maker room ( although free coffee lobby morning ) , not much way able store clothe travel item . in - room bar seem bit overprioritize over - price may come bit expense able offer bureau store clothe , minor thing . bed nice comfy really soft sheet . free wireless internet nice touch make feel like not competely nickel dim . location could hardly beat . warning : night place hop prepared consider stay elsewhere might bother . 
 Jul 9 2009 	 great hotelamaze bar ! 	 great hotel , great location . room modern funky . good thing hotel though bar ! nice bar ever see ! well worth visit . location short walk Michigan Ave , close river cruise . would definately recommend hotel . 
 Jul 9 2009 	 Dark smell like Rot Personal Items Stolen 	 Decor rock - star side thing - interesting look live 3 day . hallway dark navigate anything room key - case be business . bed comfy . shower drain well ; unusual . hallways smell morning stagnant water - not help enjoyment breakfast hotel restaurant . steal item - 's ' value ' ' service ' take downgrade rating . 
 Jul 7 2009 	 Great Location 	 Good standard Hotel , right river walk centre Chicago . room adequate size clean . view room ok , large window allow lot light make room airy . staff v helpfull . would recommend price good also . do not eat restaraunt price standard food awful ! 
 Jul 6 2009 	 Chic Trendy Sophisticated ... Clean 	 Hotel Sax exceptionally locate River North area downtown Chicago , ideal concertgoer House Blues Chicago , within easy walk distance Michigan Avenue shopping , many restaurant , activity within Loop . room divine view Chicago River . hotel lobby bar luxuriously decorate sophisticated yet modern vintage decor , appeal eye . love decor room , -- different standard hotel decor , trendy fun . unfortunately , service substandard . stay one evening know Chicago fairly well , problem we ; however , experience much well service hotel area . bathroom need thorough cleaning , crud stick wallpaper . not major inconvenience , certainly sour experienced report five - star hotel . recommend stay discount -- find room half normal rate -- look elsewhere area . like cozy comfy coffee morning , hotel . be edgy require little way service , check . overall , be cool hotel . 
 Jun 30 2009 	 Great Location try please 	 old hotel recently renovate funky style . relatively small room bathroom , nicely do . good toiletry . pro : Location Marina City , close River North resto 's . great concierge ( Catherine ) door - staff . housekeeping deliver extra pillow 5 minute request . Coffee / tea lobby weekday morning . comfy linen bathrobe . flat - screen tv . technology lounge X - Box , Wii , Guitar hero . 3 computer lobby free . good deal ( incl . parking ) Travelzoo . entire staff super helpful , friendly , knowledgeable -- not know answer , would check internet we . free wireless room . con : small room . coffee / tea maker room . coffee / tea lobby weekend . bathroom room personal washkit / cosmetic . Dresser top full for - purchase drink & amp ; snack , leave little room personal storage . makeup mirror . view parking deck Marina City . Dark , dark hallway ( may hip ? ) room key shut 3 pm , day schedule departure . & quot ; free parking & quot ; show bill $ 42 / day . overall : would stay get great rate , parking include . otherwise , would head Amalfi large room , free continental breakfast . 
 Jun 24 2009 	 Lovely Unique ! 	 get great rate Expedia . hotel lovely unique compare similar option area . nice robe toiletry room , gorgeous wallpaper hall room , comfortable bed linen . sure vibe try send , remind we Disney 's Tower Terror ride - good way ( long hall faux candle light , picture woman w / skull elevator , etc ) . definately stay Hotel Sax ! 
