good 	 second stay . £ 109 book late , day limited availability astronomical cost central London . as tourist hotel 's ideal location surround area bit drab . however , short walk West Brompton Fulham Broadway tube station 5 stop central London . different location would nice hotel . staff friendly efficient . room standard HIX . breakfast reasonable toast pastry , fruit , yogurt etc . surround area look dubious lot nearby restaurant include next door Turkish Vegetarian across road . allmost every type food within 10 min walk . try area around Fulham Broadway tube huge choice pub , Fridays , Starbucks , Nandos , supermarket cinemas etc open late . parking £ 25 per night . business trip use personally have look well price book ahead . otherwise , value alternative central London could good choice . 
 perfect choice look real quality standard 	 Though take time reach Oxford street West Brompton tube station , worth stay , forget ever stay creepy so - call 3 star hotel somewhere near Paddington . Holiday Inn really ok - one good hotel London ' ve ever stay - note never willing pay 70 pound / night 
 Nov 12 2009 	 Bad Location ( need Shopping District ) 	 long way heathrow , long way city center . avg . hotel - free wifi ( like Holiday Inn N. America ) , room avg . worth get really good price , , well hotel similarly price central London . 
 Nov 9 2009 	 bland hotel bland neighborhood bland room 	 total waste space , anything bad say building , question location , lack effort staff bother . long overnight flight , tell could not check till 2 pm . internet 15 Pounds ( $ 23.00 ) day not work first day , one seem care single person front desk speak english well ( xenophobic , work New Delhi Mexico City lot much easy talk people reception desk ) finally make room , drab bland beige slashes red ( think Dorm Room meet CSI ) 1 towel paper towel place card board box label face cloth soap jusgs screw wall offer toiletry ( 210 night one would expect least bar soap ) general advice not bother 
 Oct 23 2009 	 Holiday Inn Express 	 recently stay Holiday Inn Earls Court , job require travel regular basis enjoy take advantage priority club system place Express hotel . arrive tired want shower ! ! aware check 2 pm arrive 11 am prepare long wait ! however check ask could check early ask wait short , , lobby clean bright staff friendly- offer hot beverage . within 20 min room ready make way upstairs , mention travel work ! use pay high charge access internet london hotel . hotel perfect package- pay set price include wifi card also drink dicount free car parking ! excellent ! overall stay fine , yes small hotel - want grand hotel would not pay rate Earls Court , breakfast good- plenty choice keep full lunch time ! bus service outside front door go straight central london .. could ask ? ? think ! 
 Oct 10 2009 	 good buy bargain 	 title ultimate way describe review : able get room hotel bargain price , serve well . able get room bargain , look elsewhere . make typical list pro con : pro : * arrive hotel early due long haul flight arrive Gatwick early . desk clerk offer lock luggage away could go tired way even faint energy make sightseeing walk . allow we sit lobby rest hour , room ready we . feel give great praise front desk clerk get room together we five hour official check - in time . always grateful . * give room twin - sized bed everyone bed sleep , nice crammed plane together need personal space . * bathroom Dove hand soap Lux shampoo / body wash . product great save we money toiletry . * continental breakfast provide morning 3 4 hour . * pay phone lobby . * room include hair dryer coffee maker . con : * frequently feel like give enough supply maid beg front desk become massively inconvenient . run towel , soap kleenex multiple time . * trash can room tiny . throw amount garbage away , can full . * expect room small would say par find Manhattan . room modern furnishing tight squeeze . * bathroom floor slippery , shower stall . fairness , hotel placard bathroom warn people slippery surface . learn hard way first morning room , klutzy tendency catch take bad fall shower . careful bathroom ! * electricity work room key slot door . sure good economical move hotel not care much . one person need leave room room key someone else need stay behind , become ( yet ) massively inconvenient . * AC / heat unit room make loud rattle gurgle noise NIGHT every night pretty annoying . also feel like happy medium -- regardless thermostat set , either roast hot freezing cold . * minor fussy sound , 's layering blanket bed . get one comforter tuck tightly feel like burrito 's . comforter hot , nothing else cover . get one pillow , , well learn fold 100 % flat sleeper . * mattress horrible . ache every morning 28 ! describe feeling like chicken wire wrap Polyfil cover . * & quot ; business center & quot ; 2 computer . order use internet , buy time hour front desk . printer . want print document , must email document front desk ask print . seem like furnish area printer would help thing greatly . * breakfast area get crowd loud give morning . selection item terrible be great either . 's typical cold food selection pastry , cheese , yogurt , cereal , coffee , tea juice . toaster provide would say try toast two piece bread involve wait 10 minute . morning staff run clean spoon think go witness mutiny . * certain hour night , automatic door lock . trip involve come late need leave early , contend . security guard buzz hand full carry heavy luggage , become pain . be even bad be pour rain . * hotel close couple different tube station , maybe five ten minute walk depend pace . never feel unsafe say certain hour , sidewalk roll everything close . people leave linger around , say , 9 pm start look questionable . thing consider , book hotel fabulous price . look total luxury romantic getaway , place . like we travel expensive city tight budget , definitely consider hotel . 
 Oct 1 2009 	 Basic hotel friendly efficient staff . 	 choose hotel 's proximity Earl 's Court . room fine reflect cheap price 's lack extra . breakfast little coffee , cereal pastry bar soulless . however staff nice helpful . area seem bit dodgy first little nervous walking ( particularly Chelsea F.C . play - burly - look fan police van everywhere ) unlike side Earl 's Court dozen well - know retaurant shop choose , seem little choice . however couple day realise although street seem run - down , people meet friendly . go turkish restaurant next door 3 night row ! food fantastic , staff welcome cheap . highly recommend . refreshing change usual over - price restaurant chain & quot ; nicer & quot ; area . also brilliant old - fashioned hardware store opposite anyone forget supply exhibition . sure will stay , bad option area . 
 Sep 24 2009 	 welcome great value service ! definitely come back . 	 stay 5 night thoroughly enjoy stay . London , room good size , bathroom . spotlessly clean nicely decorate . service front desk outstanding ; staff efficient , friendly helpful . breakfast good continental type breakfast , offer yogurt , toast , fresh baked pastry , juice , coffee , tea , cappuccino , latte , hot choc , fruit , cereal inc muesli , etc . food constantly replenish staff friendly efficient . bar lounge ground floor , relax , use internet watch news . evening , movie could watch . comfortable . the location describe Earl 's Court close West Kensington tube stop . 5 min . walk tube , although frequent bus take , include night . take 40 min get airport Picadilly line , get Central London . solo traveler time , feel safe neighborhood . amenity pretty basic , suited need well . need anything extra , term toiletry , iron / ironing board , umbrella , thing available . one time need something deliver room , within 3 minute . thing miss mini - fridge room . overall , extremely happy hotel , give get excellent rate Hotwire , even well . back ! 
 Sep 10 2009 	 well use holiday inn - much well 	 Hotel - shiny new hotel modern style typical room , bar breakfast holiday inn . however good mile bit Earls Court entrance speak man regularly walk back street London night , not one want go back . street quiet frequent sort people nothing discuss , seriously , be pleasant dark . food outlet area rip prey tourist price display wuite often one use average quality , top price overly clean . there bus road outside west end , get Kensington change close Notting Hill guess 2 mile walk museum . at £ 90 pay , expensive , even without use Hotwire , much well money pound more . not fan - go back 
 Aug 29 2009 	 Excellent Hotel excellent location 	 stay 10 night August non - smoking room , clean comfortable . service hotel excellent breakfast satisfactory . could reach many attraction Central London foot . also bus tube station 5 minute walk . neighborhood quiet many small shop restaurant . will definitely come next time London . 
 Aug 14 2009 	 Ideal hotel location value money 	 stay ten year old daughter 2 night Ausgust . want somewhere safe location since femaile child also far attraction . pay £ 119 2 night empolyer 's staff discount website think excellent value London Ausgust . hotel easy find- either use West Kensington West Brompton Tube Stations . like Holiday Inn Express hotel good value provide want hotel- somewhere clean rest head good shower . breakfast also bonus though must admitt choice thisone not good Dunfermline Hol Inn Express stay week not leave hungry ! Staff friendly not problem wuth personal belonging . room service whilst everything still get back . air con windows not open find switch one minute hot next cold restuarant nearby Tesco Express need anything will not go without . daughter feel safe late 9 pm . pay £ 4 use WIFI extend hotel room . £ 4 cover we 2 hour could use within 72hr period . good nail bar round corner treat manicure since girly trip ! whole would definitely stay - provide good value base explore London . love Westfield Shopping Centre Shepherds Bush 5 min overground train West Brompton tubestation- run every half hour . 
 Aug 11 2009 	 Fantastic Hotwire value 	 stay four night less $ 50 / night Hotwire rate . priceless . within easy walk distance West Kensington tube station District line ( change Piccadilly District Line Acton go Heathrow ; get embankment easy stroll theatre ) , spotless , perfectly adequate continental breakfast . service depend staffing desk , helpful friendly , struggle English , one male staff member deal phone plain rude . room bathroom cookie cutter Holiday Inn Express : frill , functional , spotless . solo female traveller never feel unsafe ; hotel next council estate group apartment block , definitely South Kensington , find neighbourhood busy friendly , get great service local Carphone shop recommend hotel staff ask could get local SIM card . leave valuable room ? not . staff perfectly happy keep valuable hotel safe , extra charge . would stay ? definitely . 
