Top 	 mother stay weekend , get great deal Lastminute.com . 's fantastic hotel ( atrium area particular quite stunning ) , wonderfully attentive staff , comfortable bedroom literally stone 's throw away St Paul 's . room even view St. Paul 's , although suspect not . small niggle smell paint permeate part hotel bathroom deluge - type shower head , hair get wet every time shower . price breakfast would extortionate ( £ 23pp ! ) discover lovely Cafe Rouge road provide we reasonable option well view . but niggle - whole , thoroughly enjoyable experience . service impeccable friendly , porter reception concierge chamber maid . room pleasant , well stocked mini bar , tea make facility , comfortable bed black blind . bedroom divide across two building , could not comment room main complex , room far enough away hotel bar general bustle noise issue . really could not ask well location - St. Paul 's Tate Modern right doorstep good food option nearby not want pay hotel price . 
 great location - five star 	 stay weekend 27th-29th November . perfect location right beside St Paul 's , , nice hotel glitch . fire alarm go twice first night- apology post say somebody smoke ........ anyhow , reasonable people thing happen . bar busy night atmosphere service slow - major complaint London full good place go . main complaint shower fancy water Sunday morning nearly hot enough- big minus - what s wrong simple efficient power shower ? conclusion - good hotel , five star . staff pleasant , price excellent . 
 modern comfortable hotel 	 well appoint , modern hotel 2 minute ' walk St Paul 's Cathedral . spacious public area . bedroom large well decorate . shower little fiddly , work well . fitness centre advertise , available yet ( although reciprocal arrangement sister hotel 20 minute walk away Holborn . 
 great room great location business 	 price pay hotel , highly recommend ( steal 90 pound per night ) . great location , right next beautiful St Paul 's Cathedral minute walk 3 tube station . low price due fact part hotel build , see hear construction . room new & amp ; trendy , bathroom slightly small , however typical London hotel room . great stay town business . purpose see sight , prepared travel around 10 - 15 minute tube west end area . staff friendly . would stay rack rate . 
 Fantastic Hotel value money 	 great hotel money excellent location next St Pauls . our T.V work , ok sleepy arrive . they send everyone see could fix , could ... manager even come Director phone see could help .... end send we great bottle wine house say pay room service bill , rather large . staff polite really make feel welcome ... apparently open short time . say good luck future & quot ; Grange Hotel & quot ; , go , stay , love . 
 Nightmare ! maybe great day . 	 check - in Nov 27th rude front - desk staff make effort please we . come Paris kind immune staff rudeness big surprise shock hotel London pretend 5 star . despite could visibly see lot people check - out like typical business hotel Friday arrange early check - in . point speculate might relate fact get room via lastminute.com movement front - desk obvious certainly room available time ( ~10am ) .I typical accent work american company speak English every day . even use comprehend every part world lady front - desk show great difficulty understand require listening class give pretension hotel international class business 5 star . the big absurd however yet come . allow rest upon arrival really need rest night . fire alarm rang 6 am cause huge panic stop call reception inform we false alarm . rang 7:40am call reception ( well , think could recognize voice ) … start say inadmissible even allow finish phrase interrupt say would call back check need evacuate . well , write post 30 minute later 6:10am still wait call . differently front desk concierge kind make effort helpfull reason give service rate 2 otherwise would zero hotel average . I see failure rater , bath soak , two towel leave bathroom , etc . all even get via lastminute.com good value money least expect hotel place rest definitely could rest getting stress upset middle vacation . 
 Nov 25 2009 	 great location mobile coverage room 	 say , could get mobile coverage room , window room look hotel ( also quite disconcerting , could easily see room , thus keep curtain permanently draw ) . therefore leave room go outside window make receive call . storage area room clothing , except one small shelf , one cramp closet . one night , suppose would ok . 
 Nov 23 2009 	 slightly Mixed Feelings 	 pay £ 212 executive twin room ( Saturday night ) pleasant whole , let shower door leak , end soak bathroom noise night long nearby lift . not take earplug would complain move . there plenty helpful staff hand- hardly take step without someone appear offer assistance- become quite comical always polite . the hotel modern looking- polished black floor glass , sometimes little disorientating . location good , nice west end mayhem walk morning see cathedral . quick walk bridge Tate , Globe Southbank . checkout bit frosty try charge we mini bar drink not , nice note leave shame effort make create friendly atmosphere . Overall- good would not pay , right money . 
 Nov 21 2009 	 Fabulous Hotel Central Location 	 book four night lastminute.com use sectet hotel option . pay 460gbp total steal . state review hotel yet complete spa , swimming pool fitness centre access another hotel facility charge . business centre free last day charge 10gbp hour free WiFi room . upgrade top floor ( room 710 ) large room . staff friendly helpful hotel clean tastefully decorate . see photo room lovely . gripe bed two single bolt together hard like previous reveiwer , turn service happen . rain shower close wall mean stand plug hole shower bathroom nice . glass elevator wonderful give great view atrium . eat every day ' m sure food like breakfast set back 20GBP . take 200gbp credit card take two week reverse not much problem not let we know . location outstanding . 2 minute walk St Pauls Cathedral , 5 minute opposite direction bank Thames St Pauls Station 5 minute walk away . plenty shop eat place within walk distance well information centre . would return especially get good deal . 
 Nov 20 2009 	 Pleasing accomodation 	 return four night Grange St Pauls , say , hotel superb , 10 minute walk monument tube station & amp ; 5 min St Pauls tube station use frequently , despite hotel advise , close walk hotel . check fine , reception staff pleasant & amp ; happy help , stage request room external facing window avoid privacy issue previously note review , situate within atrium . room beautiful , bathroom spotlessly clean & amp ; well appoint Molton Brown toiletry , one would expect 5 * hotel . free internet access flawless & amp ; digital air conditioning work well . newly build hotel , yet finish , accordingly experience various issue , main lift operate , main entrance door close etc , assure detract stay . issue room flicker light within bathroom & amp ; lack cold water pressure , hot water plentiful & amp ; boiling , lack cold water reduce shower pressure & amp ; make fill bath lenghty process , pity bath & amp ; shower enclosure fantastic . house keeing staff seem efficient regard room servicing , however 4 night bed turn , altough really problem we , also notice many room service tray use cuttlery litter corridor , seem take long time remove . extend check time 12.30pm without charge . would love revist hotel , however note book another trip come christmas & amp ; new year , rate go roof , hence stay Hilton Tower Bridge , fantastic well Grange St Pauls . go treat , doubt dissapointe ! ! ! ! 
 Nov 17 2009 	 Modern hotel good location 	 book two night stay tickettree ticket Phamtom Opera .staye two night november mother 70th birthday . even though arrive two hour check time 2 pm give room also grade excecutive twin , room two double bed comfortable lovely bed linen . bathroom decorate black white modern suite fantastic shower ( water hot ) ! ! ! continental breakfast include deal , sure would pay £ 23 say nice good selection cereal , cold meat , cheese pastry .I feel hotel gear business client excellent conference facility . open plan vast seem load space peopleso lack charm atmosphere traditional hotel . other good location plenty bar restaurant near also near Thames , Millenium bridge Tate modern . there tube station near good conection attraction london . if prefer modern decor lot glass right hotel look traditional charm cosy atmosphere not think Grange St paul . 
 Nov 17 2009 	 First Class 	 second stay hotel . great location right beside St Pauls Cathedral 20 minute walk City . Close South Bank via Millenium Bridge . room modern spacious - 6th floor room fantastic view dome St Pauls . breakfast bit pricey 's London you . well worth try . 
 Nov 16 2009 	 Gorgeous Hotel Friendly Service Molton Brown Toiletries ... 	 really gorgeous hotel . atrium / reception area really impressive get service welcome would expect 5 * hotel . check - in pleasant , treat respect friendly attentive need . my room amazing ! look atrium normally would feel bit odd natural light , do not matter ! wish weekend break , work , could spend time room . curtain bed linen beautiful , thick , luxurious fabric add glamour room . bathroom fantastic - whole heap delicious Molton Brown toiletry ( thought have outgrow take toiletry hotel ... oh ! ) amazing power shower . mini bar average price sort hotel offer good selection . nice choice different herbal tea . leave early next day do not get sample breakfast . slight negative price drink bar . know London expensive - £ 40 three drink excessive . say , bar staff friendly , helpful attentive - experience still good one , perhaps could expense ... ! would hesitate stay hotel . 
 Nov 16 2009 	 stay ! 	 stay one night grange St Paul 's . Lord Mayor 's show day check hotel busy . get deal via Lastminute Secret Hotels room hindsight book via hotel 's website publish room rate price include breakfast . check 45 minute early upgrade executive twin two double bed . room third floor overlook atrium . check staff quick courteous . the location hotel perfect go event near Royal Courts Justice ( 15 minute walk ) follow late dinner Southbank short walk hotel Millennium Bridge . Globe Theatre , Tate Modern , Clink Prison replica Golden Hinde also locate bridge . chain restaurant nearby Southbank include Pizza Express , Real Greek , Wagamamas , GBK . couple pub food include Founders Arms ( patio heater blanket ) Old Thameside Inn . traditional pub recommend food Founders Arms Bankside ( see right Tate Modern cross bridge ) mull cider Old Thameside Inn ( adjacent Golden Hinde Clink Street way London Bridge ) .For breakfast eat Cafe Rouge right hotel . two breakfast include drink £ 17.00 - lot cheap pay £ 23.00 hotel . I look room service menu 5 star hotel reasonable . also room service charge £ 4.00 per tray . the minbar computerise anything remove fridge charge . diet coke £ 2.50 small box Pringles £ 2.75 ! would definitely stay hotel suspect price increase health club finish open business . 
 Nov 14 2009 	 terrible poorly train staff . 	 stay hotel week . conveniently locate modern . however , majority staff , quite simply , incompetent . ' do disturb ' appear mean knock louder . complain , stop later day . order room service individual telephone could hardly speak English ask someone else could speak , tell . order cheeseburger , tell beefburger cheeseburger . enquire whether cheese , . could put beefburger , say could . characteristic 5 * hotel . service improve recommend look 5 * 's look elsewhere . 
 Nov 11 2009 	 shiny new hotel ; excellent location 	 stay 2 night attend Opera conference follow day . rapid helpful check - in . spectacular ascent 5th floor atrium . v comfortable bed ; bathroom compact shower temperature quite hot enough mehad breakfast Paul 's beyond St Pauls Cathedral one morning , hotel next . hotel breakfast overprice £ 23 although quality ingredient ok ( except limp toast ! ) although primarily business area , transport link excellent Royal Opera House conference near Regents Park . Top Secret Hotel via last Minute.com - v good value 
