identity 	 wedding wedding bell chapel Alexis Park . afterwards go bar hotel drink 3 guest identity steal . one hotel pick phone call call back . place horrible watch bank statement people 
 great price 	 resort clean , room large , stay two night can not complain thing . room $ 100 / night new year eve , hard rock hotel across street great location strip . would definately recommend stay . great accommodation . 
 never stay 	 place old try put & quot ; makeup & quot ; , pretty bad . would pack leave unfortunately book room Priceline prepay . arrive late , around 10:00 , wait homeless guy shuffle sidewalk could pull . manager check counter pleasant enough . ask want & quot ; two small bed one big bed . & quot ; note mention king size bed & quot ; big bed & quot ; queen . room . & quot ; resort & quot ; motel drive around park near room . glad carry luggage stair first floor . call , place lot individual walk around particular destination 10 pm , well , seem questionable . room big kitchenette , sit area ( sofa , seat ) , bed desk . room smell musty 70 call ask furniture back ! story ' m sure furniture could tell obvious see quite bit use . flat panel TV really look place welcome . bathroom , big tub , nice Toto toilet , bath & amp ; body work soap , small aged . shower head must 5.5 foot high . caulk around tub pull apart . bug see wander people outside seem meet 1 am start loud discussion . gunplay though , thank goodness . probably sleep total two hour . next morning glad see wheel still car . yes , feel get place . can not speak ground want morning leave . three star place ? please ! ! ! ! 
 Nov 17 2009 	 great hotel super friendly staff 	 hotel book seminar attend hotel great . recommendation would would better lighting bathroom upgrade tub bit 's showing 's age . otherwise , everything else fabulous . room nice , facility superb restaurant great . everyone extremely friendly helpful . will back December ! ! 
 Nov 5 2009 	 great hotel 	 fabulous hotel . love pool , close proximity centre vegas . room layout helpfulness reception staff ! ! ! would recommend 100 % 
 oct 12 2009 	 great place stay strip good service accommodate staff 	 ok first hotel strip , really within walk distance strip . say , excellent place stay want quieter place without stay boondock ( across street Hard Rock Casino Cafe close enough airport strip short cab ride . property nicely landscape ground several pool , nice place sip drink stroll . room spacious , fireplace jacuzzi tub separate sitting area . neat , clean orderly . help staff great , helpful friendly . would recommend good alternative large impersonal hotel strip . 
 Oct 3 2009 	 Good Value Service 	 hold corporate meeting 160 could not happy . resort quiet away noise chaos strip . meet room excellent food superb . low food beverage minimum . banquet staff could not nicer accommodate . complimentary breakfast guest include room rate . avoid set breakfast group . front desk awesome handling copy print we well .... not charge we ! on - site A / v company little pricey require use , preferred . high speed internet price much high , due marketing issue internet carrier , reportedly waive modify . overall , sleep room fine .... update cleaning service excellent . every room inspect housekeeping release guest . room service excellent fast use numerous time day lead event prepare event . 
 Aug 31 2009 	 need work ! ! 	 wife stay Alexis Park part conferance weekend August 28th , 2009.the rate get room great ... $ 55 / night weekend . allow we check early , get settle , since first gathering schedule 7 pm . wife use time use one 3 pool property . unfortunately , 's good thing say property . the whole property serious need TLC . bathroom room cramp , numerous chip tile shower area . mold around tub do half asse , show . paint peel EVERYWHERE ( room common area ) numerous miss tile common area . wife one attendee see 3 bug room .. say not sleep night . on Saturday , room still not clean 1 pm . track maid ask clean room . 7 wake call ask Saturday ? come 6 ... totally unacceptable ! ! ! conferance include 4 meal .... 3 Saturday , breakfast Sunday . pay $ 17 person breakfast Saturday ..... consist 3 pancake 2 sausage link ! ! , great rate room totally erase high catering cost . one attendee 's say excercise room look nothing like online picture hotel website . I would reccommend hotel anyone ! ! ! 
 Aug 26 2009 	 great deal 	 stay alexis park twice first monarch room , perfect husband . new year rate $ 390 weekend . small group six drink head strip . guest love room . second time go wedding sleep crown two child . room perfect family small group . privacy space enjoy hotel . also landscape nice room exceptional . never problem staff . infact new year concierge give we bunch vip ticket different venue . plan trip january wedding , host alexis wedding bell chapel stay crown room . 
 Aug 16 2009 	 Beware Sales Staff 	 talk sale staff hold event hotel go detail agree term . mail contract sign return deadline . contract correct sign spend money send night fax also . get fax , sale person never speak call say would honor contract book another group space already . happen three day . shoddy way biz . leave message GM , Patrick call concern , course never . book 6 event teh next 14 mth Vegas even consider Alexis Park . understand local Alexis Park hill slide anyway . closing , thank poor administration ! get well deal well place ! 
 Jun 23 2009 	 great hotel price 	 great hotel price . grant nice stay strip weekend go cheap room Strip $ 250 vs. $ 100 hotel . cab ride $ 7 Flamingo MGM run across street Hard Rock . room big separate bedroom nice group friend plus couch , 2 chair , fridge , etc . 
 May 4 2009 	 ` ` '' spirit towards service lacking facility fine 	 stay 5 night Smokeout , gay man 's cigar event . the Alexis former condo complex consist numerous small & quot ; block & quot ; around central courtyard green space several pool . double suite , two bed huge living area , plus kitchenette . spacious clean . despite part large group book large number room , feel service little lacking . case point : check - in , request two item room : sharps container syrinx ( take injectable medication ) , supply extra sugar packet in - room coffee find never one two . at hotel work , two request would dealt check - in , likely arrive room soon guest . however , response get paraphrase & quot ; er , , , umm .... well ... maybe could ask restaurant .... 's close come back open .... & quot ; similarly sharps container seem difficult request meet front desk really would prefer press point . despite two phone call maintenance , neither tv suite work throughout stay , drain bathroom sink . internet cumbersome , expensive ( whether in - room business centre ) involve spending lot time desk deal slipshod assemblage wire , router zip tie . even pay cord internet service , not able hook suite . the killer , however , response get comment check . mention , cigar meet , lucky enough get smoking room ; however , many attendee , despite smoke preference confirm advance . ( come on , people - 's smoking event - guy want smoke room - pretty much whole point ) . mention manager checking , say basically since & quot ; lot problem & quot ; year , next year smoking room would assign first - come , first - serve basis ( mean first check ) . & quot ; problem & quot ; refer not error reservation ; guy insist smoke preference ( low demand day anyway give fall occupancy rate Vegas hotel ) .again , work front desk hotel , know not want confirm exact room feature far advance . smoke preference bedding always confirm . Smokeout book large block room Alexis every year , every year , accord attendee , request confirm advance deliver check - in . Smokeout - , like attendee , receive request smoking room , end hotel rest group gather - would sorely disappoint . stand , feel effort make towards meet even simple request lack , group size - return yearly - certainly deserve well . 
 Apr 14 2009 	 think twice .... 	 attend event hotel checking advise & quot ; uncertain term & quot ; smoking room available ; although confirm time booking . say .... first impression count ! point note:1 ) hotel need renovation quality room well ; although size room receive large . 2 ) find majority staff rude misserable . 3 ) swimming pool lack facility tile missing.4 ) good 20 minute walk & quot ; strip & quot ; LV5 ) issue in - room broadband - purchase cable $ 5 work $ 5 / p day accessbetter hotels strip amount money ; would not stay . 
 Mar 26 2009 	 Good Value 	 Alexis Park new fancy hotel LV , comfortable clean . staff helpful professional arrive late Saturday night . travel companion separately reserve three room want build well close conference meeting room . big hotel complex , important us security convenience . manager could not find we three adjacent non - smoking king room right next meeting room , offer we room smoking build bell man take we & quot ; sniff test & quot ; . room clean , smoke free close building . offer let we move next day precede conference check , one night happy stay . want swinge night life , Hard Rock across street strip short taxi ride away . personally , preferred privacy security stay hotel also tourist attraction . bar good happy hour reasonable price rest time , pool area pretty doorman easily whistle taxi we want go . leave note maid ask extra decaf coffee , leave enough week ; one companion trouble shower , maintenance minute . hair salon & quot ; spa & quot ; tiny , certainly spa - like , massage pedicure excellent . room Alexis Park suit great value LV . 
 Jan 13 2009 	 Vegas 	 dupe stay Alexis Park book travel Summer Bay resort . stay $ 15.00 , basically get monie worth . room sub par , walk 7 minute get bag . heat A / C not work get room time leave two day later ( go Bellagio ) still not work . this might work family try save money , . strip , close . not car , prepare cab . Hard Rock right next door look something night , Alex Park pretty much like retirement home . 
 Jan 2 2009 	 Poor Value 	 check Boxing Day 2008 reservation 6 night . stay first night move . location far Strip shuttle service back forth like resort price range . hotel badly need repair maintenance : 3 light suite , 1 work arrive ( 1 bulb 1 broken switch ) . wonder room last occupy . first hour 3 different people work various aspect room heat light TV ... basic make comfortable first night . phone front desk could get reply . the helpful person young security person try help anything could . we move another hotel price remain 5 night . quick walk Strip ; shuttle service every 15 minute ; much close action ; much offer Alexis . 
 Dec 31 2008 	 need improve staying experience 	 weigh pro con resort / hotel skewed favor con pro . pros,1.room sufficient family 4 stay kitchen retractable sofa cum bed2 . room clean spacioushere cons,1 . mile strip pricey location . get well place near strip price2 . place really old & amp ; beat boost spirits3 . attach Casino . mean travel strip not even shuttle drop . usp stay resort come Vegas4 . kitchen utensils ! 5 . AAA falsely advertise place provide free complimentary breakfast6 . lastly since close Airport hear noise flight pass night ! 
