disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Nov 24 2009 	 stay play get pay ! ! ! 	 mother stay Golden Nugget 11/18/09 - 11/21/2009 . arrive mistakenly go check - out line instead check - in line . staff turn we away immediately check we . ask could upgrade comply without hesitation . still Carson ( South ) Tower , refurbish room . room flat screen tv , view Stratosphere , immaculently clean ... single bit dust . food : order room service first evening . friendly staff food fixing door less 15 minute , 's service ! ! ! Texas size fry absolute good . also eat Buffet superb ! check - in receive coupon book buy one get one free buffet , good Mon - Fri . highly suggest go Buffet . casino : first night little $ 800 , play back day . not go Vegas thinking be going hit big one ; go FUN ! ! ! also visitie Binions , Mermaids , Freemont Hotel & amp ; Casino . nothing Golden Nugget . would go back ? ? ? absolutely ! review prior one state bellman offer service ask service . experience . want get away glamour strip want downtown fun , Golden Nugget outshine downtown hotel . 
 Nov 24 2009 	 Disappointed GN Rush Tower 	 stay one night new Rush Tower Golden Nugget . 1st stay downtown book 2 night make plan leave stay somewhere else couple hour . casino area reek badly heavy smoke , machine table practically top . new area big - crap table new area ( game play ) . new restaurant look plain - not eat . eat Grotto excellent . Rush Tower lobby smell like smoke since connect old GN . think room seem small dark - feel like Hyatt Place . mattress seem soft . a / c loud though think everything suppose new . shower nice . towel shed we ( perhaps yet wash ) . hallways dark lighten red light - bring mind Amsterdam Red Light District . we impress pool area - small chair top sun block tall surround building . $ 250 worth coupon seem like bust also . buffet coupon good week ; drink coupon $ 2 draft beer Fremont Street bar serve regular price . find front deak dealer nice friendly . whole atmosphere seem sleazy . not security elevator check room key seem like pool area also open general public one checking room key . 
 Nov 24 2009 	 fabulous place stay 	 go husband 5 night May . always want stay Golden Nugget ( see tv kid ) disappoint . moment arrive minute depart , treat politely respect every member staff meet . be not anything place could fault . food Buffet Carson Street Cafe great . room comfortable . return Las Vegas , book hotel . stay Strip beat hotel hand ( plus ` well value money ) . Freemont Experience see believe . 
 Nov 24 2009 	 Golden Nugget great spot first time downtown 	 Stayed Nugget recently Nov 19 - 22 . staff approach friendly polite . Checkin busy Thursday morning . new clerk train process quick painless . give newly renovate king room 16th ( non - smoking ) floor . nice surprise able go room 11 a.m. ! ice machine not work floor go one floor get ice . sweat small stuff - vacation ! elevator always fast . I slot player hubby play blackjack . neither one us problem get drink glass empty . lunch breakfast Carson St Cafe . meal adequate ( nothing special ) service friendly . first night dinner Vic & amp ; Anthonys . meal remember . Lance take good care we . start lobster bisque lace cognac ( yum ) follow salmon stuff crab gouda 16 oz prime rib steak hubby . yes , finish neither us room dessert . we take Gordie Brown show Gordie Brown showroom - nice venue . buy 2nd cheap seat good view . one sit front great view ' m shorty . Laughed head cover much material buy DVD . would say show relevant age 40 + ( 20 year old might know Wayne Newton , Tom Jones Sammy Davis Jr. be . a nice plus eye candy . weekend Firefighter Combat Challenge go outside Fremont St Fitness America Weekend Nugget . oh . firefighter body builder - oh . woman well . Hubby take turn keep run thing . discount spray tans ghastly shade orange - eek . Checkout do fast painless tv . smoke bit bothersome casino not notice area ' m Alberta ban smoke public place . I would definitely stay Nugget . room clean water hot . new plasma tv work fine episode survivor CSI . everything close Fremont St atmosphere bite friendly Strip . one lady Fitzgerald casino ask minded smoke light cigarette 3 slot machine . fall stool . considerate . 
 Nov 22 2009 	 extremely rude staff ! 	 staff throughout casino hotel rudest ever encounter . front desk staff snooty rude even though stay top suite . bellman not ask help luggage even though ramp cross series stair get level elevator . walk right past luggage not offer hand , reentered area tell husband something interrrupte conversation tell something unrelated try tell husband . tell want help could helped luggage minute ago . replied & quot ; well not ask & quot ; ...... & quot ; whatever & quot ; , guess ask employee Golden Nugget job ? ? buffet subpar Vegas . waitress also try overhear husband conversation try join conversation none concern . rude inappropriate . hard find waitress casino floor playing always dehydrate point mouth bone dry . approach man suit floor explain could find waitress not offer much help go bar pay $ 4 water . slot tight would get one credit back . make round casino find Fremont Casino ( kiddy corner Golden Nugget ) one well pay casino always waitress come around drink . not give Golden Nugget another penny . room average clean minimal accomodation compare hotel . hallway door 2 inch short floor hallway noise would direct room . also call housekeeping forgot give we towel , refill water bottle fridge etc . also first hotel ever stayed charge $ 5 15 minute interent service public pc hallway . husband use spa massage . overprice tack 20 % tip automatically . next day check Bellagio spa not tack tip lot nice classier Golden Nugget . also vend machine hotel guest everyone use gift shop pop $ 3 bottle . seem like could little considerate guest , guess goal Golden Nugget hire cheap worker rude will not job unless ask rip customer . Golden Nugget however one update / modern casino Fremont even though entire place include hallway nonsmoke floor fill smell stale smoke . first time stay Fremont not think stay downtown . never step foot Golden Nugget ever ! 
 Nov 21 2009 	 Pure Gold ! 	 Fab shark pool , little scary first ! nice inside outside hotel . 
 Nov 20 2009 	 Nice Hotel Great Location ! ! 	 stay Nugget Sunday 15th - Thursday 19th November . great stay ! ! clean hotel ! although group , decide get room fantastic rate 49 $ ( Golden Nugget website rate ) comfort benefit sharing bathroom . well worth ! ! get huge room super comfy king size bed ! bathroom incredibly clean nice . amazing pool shark tank / aquarium ! ! beautiful hot tub lounge area . swimsuit model photoshoot also make nice scenery . bring sunglass . Fremont Street right outside , fantastic experience . lot live entertainment thing see . casino nice , staff helpful friendly . parking garage close easy get . rental car available right Carson Tower . got great deal car day Betty ! restauraunt Hotel , deal , go casino escalator elevator buffet restauraunt . big breakfast early every weekday morning 9.99 $ time right get lunch nearly price 3:30pm . classy dining area ! eat buffet neighborhood , nowhere near nice . Book airport shuttle 9 $ 24hrs advance , otherwise cab ride kind steep . 28 $ really far . you find accomodation less Strip , go walk strip dark , Nugget Freemont St feel much safe . spend first night Luxor , beautiful atmosphere , room horrible . dissapointe Golden Nugget ! 
 Nov 18 2009 	 Great Hotel : old skool Downtown charm contemporary Strip - like appointment 	 stay 10/31 - 11/2 . 2nd time hotel , hotel ever stay Downtown . renovation ongoing . Rush Tower open yet . Casino expand since last time April 2008 . casino around Red Sushi restaurant lot lot slot machine small cluster table game near Fremont St entrance . check - in breeze room request . not particularly expect walk long hallway South Tower get room ( room 9120 - 9th floor , room 120 ! ) . comparable walk room large Strip hotel . Hallways new carpet new carpet smell . room decent ... clean , quiet , pretty large standard room . flat screen television remote control not work ( stay room Vegas anyway ) . issue . staff polite . eat mostly Carson Street Cafe ( 24 - hour ) odd time problem whenever eat . like fish chip ! definitely stay ... especially new Rush Tower open . 
 Nov 16 2009 	 nice even Carson South Tower farth Casino 	 Booked package Travelociy pay $ 85 per night tax ( Saturday night ) . check - in easy . Carson South Tower room least expensive walk street little long ( casino , past tank pool , elevator ) , room nice large . easy check - in ( long line ) . also clean . negative - small amount mildew around caulk shower , toiletry provide ( shampoo , conditioner , lotion ) use other , bathroom fan noisy . nice downtown within walk distance many casino provide robe closet closet safe . little cool pool , many still . tube slide shark tank look great like blackjack table outside pool . cot cram closely together . not try restaurant - great breakfast Golden Gate 's coffeee room ( back ) , course shrimp cocktail back Golden Gate ( $ 1.99 rather $ 0.99 ) . 
 Nov 13 2009 	 good hotel downtown Las Vegas ! 	 ' ve stay almost every hotel downtown except one . 1/2 price deal decide try . front desk friendly arrive early take luggage hold ask we check back hour . arrive back hotel 3 hour check time say room ready . also get great coupon book hotels.com , ( think get sign Player 's club ) . room large enough 2 we clean ! large flat screen tv , beautiful view mountain . timeshare people bottom elevator ask we everyday want comp . say , not pressure we like place Strip . eat Carson 's Cafe average price . would not recommend , order medium rare steak $ 11.99 bleeding . rest food cold . husband prime rib special $ 8.99 ok . shark tank great attraction . really nice pool pool bar open 2 poker blackjack table next pool . Fremont Street Casinos empty , Golden Nugget pack ! walk outside door , middle action Fremont Street . location excellent , pay $ 49 per night ! 1 , people polish everything , even Starbucks ( 2 hotel ) move everything clean entire Starbucks night ! casino not pay , not play much . pay way well Strip . buffet price really good 2/1 coupon come $ 5.50 husband . good part Golden Nugget Gordie Brown Show . guy go really big one day . 's incredible impressionist everyone tear comedy . headline Golden Nugget 2/1 ticket good seat cost $ 69 we ! not matter get $ 29.95 seat $ 69.95 seat , be small 600 seat theatre every seat great . see show ! definitely stay Golden Nugget ! 
