Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Nov 18 2009 	 nice hotel 	 book 2 double room - week- priceline arrive room ready give we choice : wait pay get big room - expencive room always ready , remember- take big one . room quite big ( one two big one price ) , clean , confortable bed little date furniture . also small kitchen . service ok . probably whole property little overrated , good choice nyc stay , good location . 
 Nov 17 2009 	 fine hotel really ' boutique ' though 	 overall fine hotel , anything special , give price . stay work , pay , otherwise probably would find something less expensive bit interesting . room adequate size , although bathroom big . also small balcony ( 16th floor ) , nice although cigarette butts duration 7 night stay , obviously prior guest . room clean , though , smell smoke , bed comfortable . room decor boutique , though ( maybe not try ? ) bare wall , temperamental torchiere lamp , oversized tv armoire cut space ( obviously old tv , current LCD flat screen lose inside ) . staff friendly , though , location good need midtown ( also close 4,5,6 line ) . 
 Nov 14 2009 	 overrate 	 hotel not live hype , deserve 4.5 star travel site give , opinion deteriorate markedly year . stylish , high end boutique hotel find fall apart seam . lobby area pleasant , although upon return back one evening midnight overwhelmed smell bacon . enquire tell kitchen prepare breakfast next day . go second floor lobby lounge relax smell quite strongly bacon . good hotel able confine odor kitchen . another complaint two elevator service guest room . often lead long wait over - crowd elevator . choose walk time , get tired waiting . hallway guest room seem shabby , room bit run also . bed comfortable enough bathroom adequate , although find nothing unique special would justify return trip get good rate . 
 Nov 13 2009 	 Benjamin Gone Downhill - stay elsewhere city 	 travel NY frequently business stay Benjamin couple year ago like - mini kitchen , spacioius room , clean , decent gym , good customer service convenient location . recent stay horrible hotel go way hill . room filthy . extremely loud barely able sleep noisy . heat not work room freeze . gym dirty . internet connection terrible computer mess tech disable wireless connection apparant reason . except doorman , one particularly friendly helpful . say would put newspaper outside door - never come . turn service . hotel nearby similar price , sigificantly well like Palace Waldorf even Omni W nearby well Bejamin . 
 Nov 2 2009 	 average NYC hotel 	 recently stay Benjamin business trip NYC . hotel great location elegant yet homey . addition stay hotel , company book meeting banquet room Banquet Manager extremely helpful proficient last minute change . day gruele meeting ecstatic learn hotel actually sleep concierge specialize help guest get great sleep . pillow amazing ! also try hotel bar every night pleased service . last morning go breakfast Manager help we JFK arrangement . great hotel ! 
 Oct 26 2009 	 great location good room 	 find good deal @ bookings.com - fairly last minute . one bedroom suite spacious enough four we , 3 day stay . point note ... - access bathroom suite , whoever stay living room ( sofa bed ) would need come bedroom get bathroom ideal.- Street noise expect give location , airconditione unit also little noisy.- Service could improve slightly , although nothing complain - remind twice sofa bed make .... find Bar staff not friendly.- Fitness Center open 24hrs , although little crowded everything need , ( steam room work men ) .Apart minor point raise - great stay would definitely return right price . 
 Oct 23 2009 	 Four Seasons Ritz different name ......... 	 stay Sept. 2009 . corner suite mini sink full size refridg micro big one bedroom suite stay . hotel easily compare Ritz Four Seasons similar decor . staff friendly helpful . locate next time square ... walk wayz take cab ; go 2nd av , several bar restaurant locate . would stay hotel . oh towel nice ..... Valet slow due location store car block away ... hey , & quot ; New York ! & quot ; 
 Oct 19 2009 	 safe option 	 look short stay central location fit bill . locate E50th behind Westin - friendly particularly forhcome front desk . room fair size NY spoil overlarge desk . excellent bed spotless room . good breakfast include charge people watch position ground floor bar limit space . step subway 
 Oct 17 2009 	 nice room cool mezzanine 	 stay business two night . remember bed comfortable awesome pillow . room big New York standard -- queen bed , armoire , chair , desk night stand one room short hallway bar area near bathroom entrance . mezzanine level registration nice meeting people . location fairly convenient . construction occur outside building . 
 oct 13 2009 	 great location ! ! 	 hear review complaint noise . call ahead ask quiet room , ! ! room clean nice . lobby small 's great location . pillow menu not impressive . room small kitchen area . great business traveler . 
 oct 9 2009 	 Truly Dog Friendly 	 go wife daughter wife birthday . accompanied little cocker spaniel , welcome open arm . one floor folk pooch , staff great . doggie bed bowl . problem New York little grass , walk 2 block every time & quot ; go & quot ; ! 
 oct 9 2009 	 good price 	 ' ve stay many hotel New York hotel far bad . ' m room right . be 1:59 ' m listen hum noise 's annoying 's hard fathom hotel pride sleep . understand ' m big city imply noise ... room seriously ridiculous . overprice ' m awe . truly wonder hotel stay business . also , internet capability lack . ' ve work service industry year ' m shock poor employee performance . need retrain staff well problem solver ... lot problem ! ! ! 
 Oct 8 2009 	 Great Place 	 great place , wonderful service . convenient location major office building town . quiet elegant clean . 
 oct 8 2009 	 great location pleasant staff 	 another couple , spouse travel NYC 4 night trip past Easter weekend . upon arrival Benjamin , promptly pleasantly greet staff . desk clerk provide we upgrade without request one . room clean fun choice ( 12 ) pillow available ! hotel half block subway station , block many activite , affordable restaurant close . return NYC , not know reason would return Benjamin . 
 Oct 7 2009 	 Size matter - small well ! 	 little staff hotel absolutely cause complaint . contrary , personal touch room turn find smooth classical music & quot ; Bose & quot ; return tiring day foot everything go smoothly . twice need direction concierge busy , pop manager ( Andrew ) , help friendly efficient manner . our room compact well lay . sleep well think Benjamin well locate . 
 Sep 30 2009 	 great Hotel ! 	 trip start entirely wrong footing BA long fly direct New York Manchester transfer shuttle flight Heathrow infamous Terminal 5 ( believe everything ' read place ) . arrive JFK , sure enough luggage ' accompany we tell put next flight would arrive 4 pm local time . this mean arrive hotel later would want explain happen manager , William , tell we unlikely see luggage midnight , event , turn true . , however , say upgrade we standard superior room additional charge welcome . the hotel really well - position corner Lexington East 50th Street ' three block walk Fifth Avenue , literally five minute , little Central Park . subway station around corner numerous place eat drink close include ubiquitous Starbucks across way . hotel superb , lobby relatively small beautifully decorate Beaux Arts style , front desk concierge desk obtain information pretty much anything trip . room allocate well - light enormous New York mid - town hotel standard ; king - size bed , 32 " flat screen tv spacious closet safe good - sized bathroom . room also small kitchen sink , microwave fridge freezer . window overlook Lexington Avenue traffic noise wherever stay Manhattan though early hour quiet , holiday , ' want lie anyway . check William ask trip special occasion explain celebrate wife ' recent 50th birthday unpack knock one staff bring card chocolate cake management . later week return evening find ice maker malfunction water escape onto floor room . problem widespread would prevent we continue use room clean William insist give we complimentary drink bar allocate we another room , time suite compensate inconvenience . new room magnificent comprise living room , sofa two chair , bedroom 32 " flat screen tv . mention pillow . hotel menu 14 different pillow different quality choose one say stop snore quite lot wife ' annoyance . use pillow snore single occasion position pillow wrong way roundthe staff without exception extremely helpful friendly nothing much trouble ; instance leave young woman desk helped check on - line print boarding pass . ' hesitate recommend Benjamin anyone look New York Hotel tick box . 
 Sep 29 2009 	 lovely hotel far noisy 	 stay Benjamin 6 night early August 2009 . Benjamin lovely hotel . staff part pleasant helpful . public area hotel nice . Benjamin rank high term room quality , bed comfort , amenity , aspect service . book room Priceline upgrade room King size bed . room spacious kitchenette refrigerator microwave . bed quite comfortable . bathroom nice shower / bath adequate need . Service Benjamin generally good . Benjamin offer number choice pillow sleeping seem promote hotel focus help guest get good night sleep . however , unless planning sleep pillow wrap around head , pillow address fundamental noise problem exist hotel . our room Benjamin unacceptably loud . mention something front desk second night ( serious problem sleep noise ) . front desk say would engineer come follow - up problem , last hear topic . follow - up investigation problem , likely probably hear complaint noise . room internal courtyard hotel . likely room internal courtyard noisy . 24 hour day stay , could hear sound type device ( perhaps air condition exhaust fan type ) room ninth floor . baseline noise room roughly equivalent opinion relatively quiet vacuum cleaner run constantly . although could generally go sleep night , could usually go back sleep awaken noise level typically keep awake , mean always able sleep stay Benjamin . window well noise insulation might help minimize external sound problem . room internal noise problem well air conditioning system inside room even louder external fan . high temperature New York 80 90 stay , air conditioning come quite frequently day night . addition , refrigerator also loud , make noise problem even bad . I use application cell phone measure decibel level sound room . internal room air conditioning run , baseline constant noise room average close 60 decibel . internal room air conditioning run , occur frequently every 10 - 15 minute period 5 minute , depend temperature setting , average decibel level increase 60 - 70 decibel . comparison , average decibel level record walk front hotel weekday morning 75 80 decibel . internal room air conditioning fact loud watch tv come , typically force either adjust room temperature stop air conditioning significantly turn tv volume order continue hear television . the Benjamin lovely hotel would even well less noisy . planning stay , bring set earplug . 
 Sep 28 2009 	 solidly fantastic ! 	 benjamin great location . period . wonderful oasis City . suite afford we luxury wine & amp ; water great . service excellent . staff attentive & amp ; friendly aspect service . room good size NYC & amp ; place great shape nice amenity . love pillow menu ! sleep great pillow like home ! ' ve stay several place & amp ; one smelly age quirky , still charm boutique hotel & amp ; bland mass - chain vibe . even kid love place ! 
 Sep 24 2009 	 Back Westin 	 prepay room Benjamin 3 night , nothing special lot money , leave charge we find check credit card statement 2 week . we call back , give we money back , exchange rate different end pay 25 $ mistake . we call back , talk manager say send statement see give we back money . which big hotel 25 $ , mistake , maybe many customer , maybe cannnot affort 25 $ .They & quot ; care go back ; go pay pocket find much well hotel , plus close everything . last time stay Westin Times Square , much much much well , Nick , Canada . 
 Sep 23 2009 	 BOMB DOT COM 	 Benjamin one fine hotel US . service top notch location well . heart city close attraction . employee well knowledgeable repsectful . everyone greet smile friendly personality ! must stay hotel worth every penny pay ! ! ! ! 
 Sep 22 2009 	 Benjamin Visitors LOVE NEW YORK ! 	 oh God . great location ! Great Staff ! comfortable room ! need meet IMMEDIATELY ! hotel beautiful ! Benjamin Hotel New York .... see 2010 ! can not wait ! 
 Sep 22 2009 	 New York blast . 	 town celebrate cousin 's 50th birthday . staff Benjamin awesome . everyone always smile helpful . woman South enjoy warmth staff show . would stay Benjamin time visit wonderful city . thank . 
 Sep 22 2009 	 Awesome 	 choose New York celebrate 50th B'day . 25 people stay Benjamine include young child . time make reservation check - in check - out , service excellent . treat like royalty . would recommend hotel everyone would visit New York . 
