never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Nov 23 2009 	 excellent clean friendly good value 	 stay family room 4 night . staff lovely helpful . room spotless linen change everyday ! breakfast free kid good value eat like . evening menu restaurant . plenty coffee / milk etc include room . tv . excellent location , central London . bit noisy night , outweigh everything else . use hotel future trip , excellent place stay ! 
 Nov 20 2009 	 need facelift ! 	 book purely location . check poor , long queue disintereste staff . facility leave luggage arrive early want hit site . whole place tired lack professionalism . room adequate , need love care . good thing check 12 noon not head eary . cafe not open 5 pm bizarre . overall , great location second rate hotel need refurb management care . 
 Nov 18 2009 	 great position 	 Read quite review good expect bad . never stay Travelodghe either . very pleasntly suprise although notice another build road night club next door & amp ; maybe one people not like , four we stay couple night - fantastic position - round corner Covent Garden market - near theatre & amp ; pubs & amp ; shop - could want ! ! breakfast hotel nothing special good value £ 7.50 eat much want . only critism coffee machine rubbish . there well machine foyer pay £ 1.50.lot moans nowhere toi leave luggage various people . room quite big claen & amp ; comfortable . would go back & amp ; recommend make sure new building . China town short walk . 
 Nov 14 2009 	 great value heart city 	 partner take 7 year old see Mamma Mia prince Wales theatre , location great - come train king cross get tube covent garden easy , short walk tube station , 5 min , street map case cos widdly route . arrive travelodge , actually 2 hotel , old one new building , stay . receptionist helpful , room clean bright . evening hop tube leicester square ( approx 5 min ) walk theatre . know lot people give travelodge bad write really get pay - basically roof head night - stay lot travelodge , yes , abismal , ( travelodge king cross good ! ) whole covent garden acceptable . ( new building ) 
 Nov 9 2009 	 Fantastic Location 	 Arrival hotel 09:45am , ( have book 12 check ) . buffet breakfast ( bit pricey , could eat much like ) Got check 11 am ( result ) room , clean , tidy basic . pretty much expect . Location fantastic , 100 m Hairspray musical , book UK ticket . half mile restaurant book , couple hundred meter Chicago . Leicester sq road . when go back London , ' m go . 
 Nov 2 2009 	 hotel great value money want good night sleep - not bother ! ! ! 	 hotel ideal location West end , theatre etc offer great value money . the room clean , modern fit purpose except night club adjacent hotel Museum street discharge client 02 - 00hrs onward noise start . this continue circa 05 - 30hrs resume sleep ! ! ! 
 Oct 30 2009 	 Great Location Clean Modern Rooms ( Newer Site ! ! ) 	 get back 3 night Covent Garden Travelodge . two lodge 200 yard . one old corner main road , one stay 200 yard Dury Lane old office building . my room clean modern comfortable double bed , small bathroom shower ( bath ) , flat screen wall mount tv air con . arrive quite late tell room low floor small window . window look underground carpark light 24 hrs not hinder sleep , never know weather like morning ! not bother other may like it . avoid £ 7.50 eat breakfast ! sound great queue get table , queue hang around food replenish ! cereal , teabag , milk , cup , croissant muffin go 9 am . ask cup tea bag - take forever ! restaurant far small cope demand . save money go coffee shop right opposite freshly cook breakfast tea coffee £ 4.50.nowhere store luggage . ridiculous central London Location fantastic ! turn right minute walk Covent Garden , turn leave five minute walk Shaftesbury Ave , China Town Piccadilly . WiFi voucher available reception use computer bar area . iron , iron board hairdryer free charge need return reception within 2 hour . room service menu available - not use price seem pretty reasonable load great place eat hotel doorstep . overall enjoy stay would definatley stay long new Travelodge - seem lot bad review refer old Covent Garden Travelodge ! great price central hotel ! Justmake sure book new lodge . 
 Oct 27 2009 	 Alright central would stay 	 alright 1 night . could not check 3 pm baggage storage avaiable - bad central london hotel . could wak Charing Cross leave bag ta station though ! ! joke . would not stay reason essential carry around luggage central theatreland ! central though easy find walk distance everything especially Waterloo Station . 
 Oct 26 2009 	 Peace 	 ug5 although room little tired bed see well day , room location quiet ideal need place lie head busy night tile . close Covent Garden , Shaftsbury Ave theatre land . shower good powerful , hot water , hair dryer available reception ( free 2hrs ) . cheapish cheerful . 
 oct 22 2009 	 Great Value Great Location stay right hotel ! 	 Travelodge Covent Garden actually two hotel , one side car park dirty horrible old , one side road much well , clean basic great location . stay know one hotel well . also cheap parking central london . if get cheap deal - stay £ 19 teh sale stay right side road , steal ` expect much pleasantly surprised . 
