ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Nov 25 2009 	 could not ask well hotel experience ! 	 friend stay Drake 11/18 - 11/22 . come see Oprah show , also spend weekend shopping . great experience . hotel staff super friendly , especially Tom Marshall checkin . upgrade free room king size bed room 2 bathroom 2 oversized queen bed . staff go way make sure great visit . hotel clean nice , quiet consider Light 's festival weekend . location hotel perfect ... ideal shopping enjoy Mag . mile . highly recommend Drake . 
 Nov 10 2009 	 great overnight stay ! 	 great overnight stay Drake 11/7 . reserve room great price via Priceline . send manager email request renovated room make happen ! pleased follow , especially since pay low rate . yes , room bit date design . look sleek modern , stay W. Parking bit steep $ 49 include & amp ; , utilize pack end stay utnil do shopping . overall , great stay would recommend anyone look night away . 
 Nov 4 2009 	 Perfect Getaway 	 wife & amp ; stay Drake Hotel past weekend first time extremely satisfied experience . celebrate birthday , notify hotel month arrival . upon check graciously upgrade Junior Lake View suite , desk staff member wish wife happy birthday . come surprise wife idea even contact hotel ! room dignified & amp ; charming , good view Lake Michigan ever see . bed meticulously make , extremely soft comfortable . also position bed perfect room could gaze wrap around windows suite ! ! spend day relax enjoy room since rainy outside . top everything get knock room service hotel management send we dessert plate , sparkle water , & amp ; birthday cake ! wife elate truly make we feel special . we definitely stay Drake Hotel would recommend hotel highly base experience . also , Chicago native can not beat location look shop , eat , hit nightlife . everything close proximity ! 
 Oct 23 2009 	 excellent 	 spend 4 night Drake enjoy superb experience . room large andincluded mini fridge . bed comfortable one ever sleep , simply luxurious . check - in check - out quick , hotel staff courteous . I definetly stay visit Chicago . 
 Oct 21 2009 	 Old Tired 	 ' ve always want stay hotel due reputation location . celebrate 20th anniversary book room online . reservation fancy italian restaurant right across street think everything would perfect . checked realize splurge suite ask could upgrade . agent ( read script ) say since book online could . explain 20th anniversary wife look forward special weekend . barely look handed key room touch least 25 year ! bathroom chip tile dull marble . shock state place . spend little time possible room try make good . $ 300.00 ' ve stay nice plush Hiltons Marriotts . would recommend hotel anyone ! doorman nice however . 
 Oct 20 2009 	 Top Ratings across Board Top Hotel - BEST ! 	 friend elated get ticket Oprah show , stay Drake icing cake . location could not well -- step Chicago 's historic Water Tower , John Hancock building , fabulous shop restaurant Magnificent Mile . convenience factor save grace we able walk everywhere , minimize cab fare , could easily stop hotel drop shopping bag relax site . two bathroom , double queen room perfect four we . especially appreciate extra bathroom get early prep Oprah . would imagine room configuration would perfect family -- room spacious even live room area separate office nook ! every corner hotel exude elegance , spectacular floral arrangement lobby recently renovate hallways comfortable , upscale room . staff welcome , helpful , polite . saltwater taffys pillow nice touch . if want make trip Chicago , stay Drake . truly offer good everything . 
 Oct 19 2009 	 good like twin bed 	 hotel beautiful . impressed get room find two bed request TWIN bed . know hotel twin bed anymore . tell phone . three people party go desk talk & quot ; Lorenzo & quot ; would help we . 
 Oct 18 2009 	 check room carefully 	 wife stay Drake early month . first couple night room could interconnect two neighbour . sound proof minimal group tennager arrive room next door . may well room . sleep impossible hotel completely fail shut . relocate second room follow day stay improved . gym leisure service basic . 
 Oct 16 2009 	 Marvelous Stay Drake 	 girlfriend recently stay Drake Hotel visit run Chicago Marathon . book room use Priceline , thrill Drake Hotel pop hotel . however , read review tripadvisor , become bit worried might end small room need renovation . email manager , Tom Thomas , request good possible room stay . within hour , receive email back Executive Assistant welcome we advance assure would enjoy stay . keep finger cross . we arrive bit early stay ( 11:30a ) inquire check - in , current guest check yet . leave bag go bit . call back 1:30p , clerk ( politely remembered ) say room ready . upon enter hotel , truly feel emphasis put luxury . staff incredibly friendly helpful , front desk clerk , concierge bell man . everyone smile face friendly thing say . enormous flower display lobby fill room lovely fragrance . when check room , could please ! enormous room , two large bed good two bathroom . perfect three woman ! bed incredibly comfortable , plenty soft pillow soft sheet . large sit area , nice tv , even two large window view . everything exceptionally clean high standard . if consider Drake Hotel , would suggest book hotel confidence , simply email manager ensure room meet expectation . thrilled stay definitely consider Drake Hotel future visit downtown Chicago . 
 Oct 13 2009 	 Great Time 	 stay several night . grant not spend much time hotel , great experience . reccomend upgrade Executive Floors . 
