Trendy 	 stay last week 4 night great time ! ! & quot ; wonderful king & quot ; 21st floor trendy pretty spacious amazing comfy bed ! ! ! ! ! location fantastic bang middle Times Square ! ! ! staff really helpful friendly ! ! 
 Wonderful 	 spend 5 night W week honeymoon hubby 40th birthday . request room overlook Macys Thanksgiving day parade get one room 2904 . arrive little early check give we voucher free drink bar wait . room great size plenty room storage great flat screen tv . staff great friendly . hotel right Time Square be not noisy night 
 family great stay trendy hotel -- feel like celebrity ! 	 family stay W Times Square July . location perfect -- right hustle bustle Times Sq locate fairly quiet street near cute restaurant delis . doormen friendly ! love walk waterfall - adorn ground entrance . enter lobby , feel like be trendy club , be definitely pretentious . staff nice accommodating . whenever request , respond right away . room decently sized ( New York City ) , quite chic . view amazing . delicious dinner Blue Fin ( restaurant locate downstairs ) . make sure save room warm cookie plate ! be good ( seafood ) . concierge also knowledgable patient lack NYC knowledge could spend load money w store . finally , can not beat Bliss bath product glass - enclose shower ! 
 Nov 25 2009 	 Fantabulous hip hotel right centre thing 	 stay last week can not speak highly enough teh place . got great deal via Hotwire ( & lt ; $ 200 ) really help . that say , entrance hall glass ceiling water tumble onto cool , lobby 7th floor hip , great bar ( expensive , generous pour ) , free wifi , great shop heap attentive helpful staff . we stay 24th floor , room great - possible downside could hear bustle street honking horn , one joy Times Sq ! time square little much bustle next time would probably look stay south , perhaps meat market , truth one good hotel stay money location - thoroughly recommend 
 Nov 19 2009 	 Best Place ' ve ever stay 	 cool , hip hotel ' ve ever stay . wonderful bar restaurant -- superb cocktail seafood . lobby upstairs -- access elevator open onto street . staff great -- friendly courteous . comfortable bed ' ve ever sleep . great amenity -- love tv -- view . spend Christmas last year -- go New York Christmas must spend time relative . Wish could go back ! ! ! 
 Nov 18 2009 	 LOVED HOTEL 	 take daughter NYC 13th birthday . never NYC . WONDERFUL experience . hotel luxury . daughter feel like & quot ; movie star & quot ; . staff unbelieveably helpful friendly . remember daughter 's birthday trip check - in thing amazing . special present room daugher , great view city , birthday cake card ! ! answer every question promptly professionally . say enough wonderful experience great staff . hotel quiet great location . walk WIcked , basically walk everywhere ! ! felt extremely safe . 
 Nov 14 2009 	 Nice hotel bit dark 	 nice hotel business stay , great service amenity . , however , bit dark trendy , people 's taste . also , Times Sq good place stay New York . 
 Nov 13 2009 	 Outstanding Hotel 	 stay one night W Hotel Times Square . come Friday leave Saturday . positive : -Cool / Trendy Atmosphere - fairly quick check in - w Bar nice , good place hang bit - room nice ( king size bed 14th floor ) -awesome soft super comfortable bed - shower head provide delicious shower ' ve ever take ( really not know shower stand compare many different hotel shower ' ve ) much room Hudson hotel ( Sis bf stay big complaing ) -The concierge service exceptional provide information - in addition concierge help tie tux tie.-by far favorite thing everyone answer phone call room call room staff greet individual . feel like another guest , actually feel personalize . end day , get high end hotel , be thing like make difference ( & quot ; sorry wake dream Mr. _ _ _ _ _ , 's time wake , would like call minute make sure be awake ? - wake call ) .Negatives- ipod dock charge iphone / ipod play music ( forgot charger 's really fault ) -my room face Times Square block billboards.- 
 Nov 10 2009 	 not believe hype . 	 excited stay W actually get . experience differ , however , give favorable review . hotel entry area 8th floor lobby sleek trendy rest hotel -- notably guestroom -- dark need updating . paint ceiling bathroom peel away , furniture look extremely worn find art color scheme room little depressing . room cramp offer good storage space clothe article . result lot clutter length stay . tv keep switch whatever watch annoying hotel channel pay per view movie advertise . I NYC marathon look forward soak bath race . unfortunately , room offer shower . room service overprice ( e.g. , $ 50.00 small breakfast , conceal fine print delivery fee , service charge tax ) order anything lobby bar pretty much ( pay $ 33 two simple drink ) . $ 75 buck four night stay , elect spring internet service . $ 400 + night , think W could provide WiFi free . good part W bed . cozy comfortable , be pretty much . nutshell , think W times Square way overrate . money ( $ 1700 four night ) , deserve well w deliver . 
 Nov 8 2009 	 great location great hotel 	 stay 4 night really could not fault hotel , staff room . corner room 56th floor view Times Square Hudson River amazing day night . dine Blue Fin restaurant breakfast day really good , well other nearby mile . also dinner one evening upstairs also good . location beat , walk across road theatre good tourist bus etc stop close , well subway station taxis . definitely stay next visit New York . 
 Nov 8 2009 	 top quality hotel right Times Square 	 perfect hotel want close action Times Square surround quality , peaceful luxury five star hideaway . nothing much trouble concierge locate hard find season local deli source particular vodka local bottle shop . bed huge comfortable ipod docking station great touch . 
 Nov 5 2009 	 SERVICE HOTEL GREATEST STUNNING ROOMS VIEW . 	 stay 4 night 5 day , one good hotel ever stay . hotel beat , clean , comfortable room quiet . staff willing ever ask . concierge get we reservation could get . thouroughly enjoy every momet hotel , great place stay . senior still would go anywhere else except w hotel times square . hotel really take care guest bed comfortable ! stay w hotel make we feel lot young age , love every moment hotel.also blue fin restaurant excellent reputation great match . 
 Nov 4 2009 	 whenever whatever long lotsa WDollars : ) 	 stay wonderful suite wonderful sweet . hotel trendy . loved decor . comfy bed . suite separate living room big enough 10 friend hang comfortably . staff eager help bite stuffy snooty . hotel hope bar . also Acura MDX guest use . tell 's offer guest first come first serve basis . find first come first serve high bidder FIRST . nickle dime hotel , expect hotel NYC much less Time Square . 's unfair rate hotel poorly basis . NYC , expect spend , spend spend . another example husband want fridge water soda , charge we $ 50.00 baby fridge . love stay . decide stay W Time Square , prepare part lot w $ $ $ . 
 Nov 4 2009 	 Brilliant hotel 	 Brilliant hotel . complaint . fabulous room 51st floor . 4 we stay one room . get extra towel toiletry within 5 minute telephone call reception . also get wine cooler extra glass within 5 minute check in . the two concierge deal good restaurant unbeatable . try Benjamins steakhouse great steak great service . door staff extra helpful even let we use hotel car & amp ; driver take we concert . all good experience . 
 Nov 2 2009 	 Great Location decor . poor service 	 choose hotel great location funky , cool decor . girlfriend first time New York want special . firstly really cool hotel lobby area overall ambience fantastic . unfortunately issue leave we less fantastic experience . pay extra upgrade & quot ; cool corner & quot ; room expect 2 window , also specifically ask view Times Square tell reception check . instead & quot ; corner & quot ; room low floor hence 1 window view away Times Square , leave we wonder pay extra money ? complain reception tell ' move day since weekend think ' worth hassle move . offer bottle wine appease pain happy accept since head dinner evening think would nice couple glass room . unfortunately 24hrs ( yes hour ) wine arrive . contact reception tell somebody would contact room dining personally ensure wine send within 30minute ... 2 hour later still wine . contact room dining know nothing request obviously reception forget order . time feel angry , get change physically go reception complain , seem pretty disinterested issue . fortunately girl name Kelly in - room dining send bottle + extra be without even know original problem . whole love hotel location , would stay would make sure ask specific detail room location . 
