would 	 stay Loews hotel November 2009 book non - smoking twin room . arrival give smoke double room . point error tell room type guarantee give little way apology . meet similar response issue raise check . addition poor service , hotel look tired need refurbishment . location good much well hotel area similar price . 
 Nov 15 2009 	 Nice need refurb 	 stay twice fall due Loews First Benefits . time stay Suite . suite roomy queen size bed little master bath sit room couch powder room . the check area fancy enough . staff adequate ( housekeeping issue seem product recession ' m find four five star hotel .. guess cut back ) anyway , room old look need gutte . bathroom shower clogged . bathroom toilet run . stain carpet couch . totally gross clean worth $ 500 plus rate place get . ' ve stay bad NYC ' ve also stay well , nice look room less NYC lately . lot boutique hotel many chain New York Hilton Crown Plaza times square might fancy room clean new . service adequate . love heater bell area outside not freeze waiting cab . also , another note , stay hotel time room service may expensive ' ve ever see . bring food walk around corner Lexington bite will pay big . I would stay location upper east side great . hotel quiet bed comfy sleep great . would stay though could get great rate fade property 4 5 star would like . 
 Nov 9 2009 	 Shabby either star rating price point 	 Loews Regency old school sort property pleasant cozy lobby nicely preserve historical touch public space . meet av service banquet - style food service good stellar : hot water tea serve coffee - contaminate urn , instance , rookie mistake hotel quality not make . room large ( even include small kitchenette space not need ) furnishing reasonably nice . bed comfortable although linen could nice . comfy robe provide . cleanliness okay stellar . bathroom downright depress poorly maintain . loud ventilation system room ( fortunately sleep ear plug ) tv relatively channel . good enough consider star rating price point . 
 Oct 29 2009 	 top notch business hotel excellent location 	 stay several time Regency consistently impress . location excellent border midtown Upper East Side . relatively small size hotel mean convivial feel large impersonal luxury hotel . breakfast room excellent , populate mostly local power - broker . fitness centre definitely superior hotel fitness centre , use mostly local ( personal trainer ) .room could large , common complaint NYC . 
 Oct 14 2009 	 Smooth well - appoint hotel Upper East Side 	 Hotel UES , unless be upscale condo , doctor couple Museums 's lot go . subway prevalent around midtown downtown UWS , may cabbe plan . suggest tip doorman graciously be font good info will never wait second cab car . service top - notch , Loews Hotels . lobby surprisingly small , room decently - sized NYC dead - quiet . try get room face Park Ave . instead school church either side . restaurant downstairs lay claim original & quot ; Power Breakfast & quot ; be uncommon see mover shaker . pricey , great , cheap diner within couple block walk . adjacent nightclub nice want mellow evening jazz crooner / piano bar drink . travel pet easy , be encourage . pet - menu creative funny . 
 Oct 14 2009 	 fantastic hotel location 	 fabulous stay hotel staff exceptionally friendly helpful . mention Abraham concierge make trip we always attentive need , always smile genuinely interested day . Abraham also recommend we great restaurante one ' David Burke 's fine restaurante 's - specialise contemporary american food . would also recommend ' Nougatine Jean Georges great french food . overall definately go back New York amazing City would definately stay hotel . 
 Oct 11 2009 	 AWFUL - recommend 	 completely overpriced ! hotel overbooke arrive ! receptionist extremly unfriendly one apologise mistake . get give smoking room whereas specially request non smoking . smell room horrible ! ! ! room dark spacious ! nothing like would expect $ 500 / night hotel . 
 oct 9 2009 	 Regency mistreat pet dog 	 look spend day city , 3 child small dog- search internet 4 star hotel pet friendly upper east side . accord website reservationist , two bedroom suite reserve would wait arrival little maltese dog bed bowl sort pet ammenitie . also take name child supposedly , upon arrival would receive personal welcome room . arrive nothing room tired -with drabby furniture site dog item kid sized robe amenity . spend day walk city dog come back room - bed turn night . pull bedspread master bedroom nauseate see dry blood stain sheet ! also could not open 3 lamp live room lightbulb miss ! immediately call housekeeping report issue . 20 minute later man knock door hand meet 2 sheets- do not even make bed ! exhausted pile kid bedroom decide deal whole mess morning front desk . 3 housekeeping manager come inspect problem declare oversite someone else shift . world change sheet inspect room new person check ! ! ! keep think offer two clean sheet bed even fresh pillow case blanket ! want sleep bed previous guest ! ! two day later still dog bed- kind give hope , go let Hotel ruin vacation . we d. night ticket broadway show suppose highlight trip . spend day dog take last walk - leave blanket toy , put disturb sign leave theatre . ( note : travel world dog good hotel routine use never ever problem . ) 7:00- 7:30 recieve atleast 6 phone call cell , hotel manager name ROSA . keep tell someone complain dog bark every time manger go door keep bark . tell reason would ever bark someone knock make noise door- would stop bother would stop . explain show start would make thing easy would pay someone pet sit dog room scratch belly get back . proceed tell oh not one would ! imagine hotel advertise pet friendliness ! ! ! 30 minute show ROSA leave message cell enter room & quot ; capture & quot ; 9 lb maltese office downstairs ! needless say hysterical ! ! ! run show break child 's heart ! run back lobby hotel run front desk begging see pet abduct ? dog must recognize voice hear cry yelps -we run behind manger desk find dog tie KNOTTED BED SHEETS- tie foot desk ! ! ! ( dog friendly hotel do not use leash even one ! ) panic stricken - state never see life ! ! ! dog child petrify aghast treat suppose dog child friendly Hotel . immediately pack bag move Ritz carlton - true dog friendly establishment ! ! ! 
 Oct 7 2009 	 Fab stay Loews New york must . can not wait return ' m busy save 	 hi stay Loews Regency four night daughter . great stay , lovely comfortable bed fab room , everything expect . make welcome feel totaly safe . good location sight . could ask . get good deal Thomas Cook would probaly able afford wise . hooked want return a.s.a.p . on return relised daughter leave watch room . report e - mail hotel soon get back U.K contact security member hotel imeadiatley return post . big thank Loews Staff . Susan Rachel 
 Oct 2 2009 	 fantastic comfortable stay however check bill checkout ! 	 wife stay Loews Regency 5 night anniversary . go New York usual sight seeing . I see bad review hotel , believe experience completely unwarranted . agree expensive ( £ 920 5 night ) hotel NYC , decide would push boat bit nice stay , exactly get . Bear mind wife rich , travel world stay 5 star hotel , fussy ... happy clean comfortable room . check extremely quick smooth , staff extremely helpful ask direction , taxis anything else request . stay superior double room ( cheap offer ) , think room huge clean . king size bed massive , comfortable bed sleep hotel . the decor not new contemporary room clean , spacious bathroom . bathroom accessory provide shampoo , soap , body wash , conditioner . little dissappointe lack free wifi room , ' m holiday use internet . beside fast free wifi connection lobby . bit fitness freak , happy fitness facility gym , include good selection cardio equipment , well weight gym mat . the wall hotel slightly thin hear noise corridor , not bad . think locaion excellent , couple block Central Park , block away close subway go straight Times Square , Spring Street , Brooklyn Bridge . honest pretty much walk everywhere hotel ... approx 15mins Times Sq . also load Cafes restaurant area good breakfast dinner . as bill ... make sure check get copy leave . never use minibar hotel due extortionate price . checkout try charge we minibar usage , could tell we drunk . say use minibar assure we bill would correct . however return England find charge $ 7.04 card hotel , drink coke minibar . take four email hotel get money back . NYC ... 's fantastic city sightseeing , eat shopppe . subway cheap quick not want walk , would not advise use 10 pm . breakfast Balthazar , eat dinner public . also want get good view ... rockerfeller much well Empire State Building . 
 Oct 1 2009 	 Service Professionalism Amenities Lacking @ Loews Regency 	 Service -Stayed extend weekend two different reservation ( book first two night consolidator last night directly loews ) . tell reservation desk staff upon check - in party ( friend , wife , young child plus wife ) would & quot ; automatically & quot ; move two room reserve consolidator two room reserve directly Loews since room reserve different class . check reservation desk Monday @ 3pm find - out new room ready yet . go old room find lock - out . go back reservation desk get key card re - enable . go shopping trip come back hotel 5pm -- room still ready . ask speak manager -- clerk go room behind reservation desk come back minute later -- tell person one new room check - out yet -- much back forth & quot ; reassign & quot ; single room two bedroom . professionalism – member staff mistook friend ' wife part hotel ' housekeeping staff admonish drinking coffee make available guest ' room . amenity – furniture baseboard shopworn ; stain one bedspread ; window leave open hard close bent metal frame plus many year oxidation . 
