stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Nov 23 2009 	 stunning hotel superb staff comfortable room ! 	 finish tour California love hotel ! superb staff doorment concierge , front desk restaurant . could not enough help we . loved decor , even though anchor not usually thing . child friendly without lose adult friendliness . really gorgeous , comfy , stylish sociable lobby area enjoy hour fire . we would not hestitate come back anytime . 
 Nov 19 2009 	 EXCELLENT HOTEL NICELY situate 	 hotel situate quieter part wharf . staff excellent , use room service twice . time service prompt food good . room nice twin bed good size . restaurant hotel good wharf . Jack 's bar next door look something lively . find wharf area touristy hotel area immediately around godsend . hotel locate alongside trolley turnaround although want explore city use public transport lot cheap . 
 Nov 18 2009 	 Great Location 	 good place stay , open top sight see bus stop block away , tram terminus next street walk get ferry Alcatraz . walk hotel take right be amongst shop restaurant , great place breakfast Johnny Rockets place make bread kind animal shape . hotel , room spacious nicely decorate : love nautical theme ! lovely warm feeling hotel reception area great place relax lovely big comfy sofas armchair . 
 Nov 17 2009 	 Great Location Fishermans Wharf 	 Close Ghiradelli Square cable car turnabout . wonderful old brick building . room quiet beds linen good . parking $ 40 25 % discount hybrid . rental desk get another discoun Hybrids good deal well . book inside room upgrade we outside room partial view Golden Gate bridge , 
 Nov 12 2009 	 Fantastic Hotel ! 	 fantastic hotel . location perfect . room lovely , three room good size . Alcatraz & amp ; Golden Gate Bridge outside , short stroll . cable car outside . wine taste evening great end day ! highly recommend . 
 Nov 10 2009 	 not stay anywhere else 	 wonderful hotel . friendly homely . book pay hotel leave UK , wish stay whole time . move 5 * fairmont , nowhere near good Argonaut . 
 Nov 8 2009 	 Great Stay 	 return spend 4 night teh Argonaut San Francisco . hotel locate Fisherman 's Wharf . location excellent . Ghardelli square Pier 39 short walk away . service condition hotel superb . free wine lobby 5 6 night , nice . plenty within short walk hotel . hightly recommend , great stay ! .. 
 Nov 8 2009 	 Superior every respect 	 Kimpton property never disappoint , gem Fisherman 's Wharf exception . clever sleek nautical decor , gracious attentive service , selection outstanding restaurant every price range nearby ( include in - n - out Burger ! ) , few three good quality bike rental shop within 9 - iron front door ( 6 mi Golden Gate , 11 peak Marin Headlands ) . one enjoyable hotel stay business many year . 
 Nov 6 2009 	 excellent location excellent service 	 stay 2 night . room cozy . feel like cruise ship nautical theme . complimentary wine taste every 5 pm ( past week show case Francis Coppola cab ) . pretty good . good thing hotel location . close lot cool spot fisherman wharf , dining shopping , chinatown , muni car . also , complimentary WIFI , always good . I would recommend purchase Hotel Package Complimentary overnight parking . parking get steep SF . overnight park Arganaut $ 40 per night . get complimentary parking package not need pay overnight parking . the hotel 4 floor . get room fourth floor . sheet clean , bed comfortable . bathroom clean stone bathroom floor feel clean . overall , enjoy stay Arganaut . definitely would stay . 
 Nov 5 2009 	 nice surprise 	 go check hotel business meeting , would definitely return family . new property north end Fisherman 's wharf completely different feel busy part Wharf . juts park cable car turn around ( never hear one smidge cable car noise ) lucky enough view ( Golden Gate bridge distance one side Alcatrez ) may never leave room . watch bird dive bay fish ton exerciser head along bay run . perfect jumping location experience city , feel like not smack center busy city . the hotel also nice . nautical theme side much , seem work . room large clean , bathroom nice . onsite restaurant award win chowder wonderful . like say ... nice surprise . definitely check . ( splurge Bay view . ) 
