nice 	 planning anniversary trip , want find place away craziness strip . Red Rock Hotel perfect alternative . not gambler change pace welcome . 's flashy noisy typical strip hotel . also plenty site like movie theater bowling . be within 20 minute Red Rock Canyon park 25 minute strip . unfortunately , cool enjoy pool check also nice . workout room little small side everything need get decent workout . we family live Vegas typically try visit every couple year will definitely go back Red Rock . 
 Nov 23 2009 	 Cool Vibe Great Rooms Techno Sound Track 	 really enjoy four day stay . large hotel try South Beach boutique feel . think work well . upon arrival , drive around look self parking . not far could tell . be actually ok , good valet service ever experience . friendly , fast enough staff grab car pronto . always ask need direction always provide two little , ice cold Red Rock bottle water . I like two room . first & quot ; Canyon View . & quot ; nothing wrong view except not quite close Red Rock Canyon promotional picture would believe . side also pool view .... Cherry Nightclub . Cherry Nightclub really serious design execution flaw half hotel , every Friday , Saturday Sunday night , half hotel guest not go get sleep ' till 4 am & quot ; boom boom & quot ; stop pound . may well go club night , since be listen music either way . could not sleep even earplug . day two , move strip view room right across hall 22nd floor . fantastic view entire Las Vegas Valley plus strip front center . contrast Cherry Nightclub side , one quiet hotel room experience . everywhere go hotel casino even elevator , life set techno soundtrack play like 24 hour nightclub . think funny know elevator arrive suddenly hear beat & quot ; doosh , dooosh doosh & quot ; room design amenity exceptional . nice big 42 & quot ; plasma wall . room even Bose Wave radio pretty good Red Rock Casino cd feature techno music . ( case need since elevator ride ! ) pool ultra hip poolside blackjack table . wait staff dealer dress part skimpy bikinis . nicely surprised friendliness pool staff . one little caveat though ... never go bag search order access 4 star hotel 's pool . security ? ok , guess want keep non - guest , nooo want search pool bag . ? & quot ; look outside food beverage & quot ; Kinda tacky almost deal breaker repeat stay . casino nicer local 's joint . although surprisingly smoky even busy . enjoy movie theater decent food court well . do eat restaurant right across road kind mid price place . Thought BJ 's Brewhouse exceptional . island always good lunch several other include Olive Garden . Costco , Albertsons small strip mall right across street . to sum : beautifully design four star hotel lack certain consideration guest would find four star resort . 
 Nov 23 2009 	 great hotel great price Red Rock 	 get great deal Red Rock decide go weekend . resort 20 minute strip drive not big deal . quiet lot go , nice . much smoke , crowded , loud , perfect . t - bone phenomenal , one top 3 steak ' ve ever ' ve damn good steak ! mattress left lot desire , sure get bad one two large crater not complain not want move one night . also , view less impressive look website . mountain , like ant hill not see strip view quite way away . bit spoil though view Mount Olympus front door 180 degree view Salt Lake valley back . pool wonderful room lobby ! 
 Nov 15 2009 	 good value Vegas 	 attend conference Red Rock . banquet food service multiple breakfast , lunch , dinner excellent . conference facility nice . hotel room large , comfortable , nicely decorate furnished , good view . I decide bring wife great time hang around hotel . compare Strip Red Rock offer small crowd , importantly , skanky dirtbag / gangster / meth addict quotient fraction Strip . high quality clientele make nice experience . the casino big enough compete Strip , offer wide range table machine limit , nice sport book . boast number good restaurant sushi steak , italian standard american fare price far reasonable captive restaurant hotel Strip . want go low budget Casino also sport food court Fatburger , Rubios , Panda Express Ben & amp ; Jerry 's desert . great bowling alley 16 screen theater far end Casino boot . the gym ( cost include ' resort fee ' along room wireless Internet ) adequate unfortunately close early 8 pm . overall , facility high quality Strip competitor far reasonable price . rent car get ( 20 mile airport ) give one day car rental cost less even one way cab ride hotel ( $ 50 ) well worth . make sure self park East casino garage ' hotel ' parking valet - need expense hassle ? Strip airport shuttle provide hotel free not run frequently enough useful . overall , really like hotel think absolutely one good Vegas certainly one favorite place stay anywhere . not let negative poster dissuade Red Rock . great experience will not disappoint . like trailer park atmosphere Strip , Red Rock not . however , like tasteful decor , casino fill gambler job home , reasonable price top place . 
 Nov 8 2009 	 Wonderful Hotel Strip 	 Red Rocks great place stay recent conference . located 30 minute Las Vegas Strip , resort spa gem . room clean wonderful view mountain . would like stay hotel amenity want , hussle bussle Las Vegas Strip , place stay . & quot ; Cherry & quot ; nightclub blast nice play $ 5 blackjack nice casino . will visit Hotel future . oh , forget , Buffet awesome , great price . 
 Nov 3 2009 	 Noisy ! ! ! 	 go thursday - hotel fine - room nice ( although coffee maker ) , like bathtub , although would suitable old guest . big problem request canyon view one tell we weekend Cherry Nightclub start 11:30 night even 10th floor -- hear loud clear 's come room - complain , tell first - give earplug second would ask turn music , clearly not since go hour . hotel seem big understaffed - tv checkout not work $ 30 resort fee per person seem bit steep . think hotel could made effort help we noise problem . 
 Oct 24 2009 	 beautiful property inside ........... 	 bit expensive side new hotel ......... great design . do decent job control smoke . business experience good attitude contact leave bit desire . open friendly . group great experience Red Rock . property first open . eat recently ( 2009 ) .... bone actually - good food , expensive nice experience ! 
 Oct 17 2009 	 Hotel insolvent show - atrocious service mediocre food understaffed overprice overvalue .... 	 everything surface seem like top place , every aspect , severely lacking . room look beautiful poorly insulate noise door shut nearby late night music Cherry club fantastically design music penetrate room scenic view , try reach front desk anytime , terribly mediocre food , spa feel like factory relax place unwind , incompetent / poorly train staff generally not seem care follow - up anything . hotel understaffed service level atrocious- hotel parent brink insolvency property suppose one good one . 's reason economy . know Vegas , feel hustle nickle dim treat whole time not care anything try take money without concern experience build long - term relationship ? creditor care short - term get cash out- whether good experience . Caveat Emptor ! ! ! http : //www.lasvegassun.com / news/2009 / aug/24 / station - legal - battle - heat - bankruptcy - case / with many choice well deal , even want strip , go place clearly not seem care customer , much less even try ! ? ! ? FYI , stay property economy Four Seasons , Ritz Carlton 's , etc . price point- well service less place way little get choose stay . 
 Oct 16 2009 	 19 mile strip high quality hotel 	 conference . big , nice room , excellent service , cool decor . pretty quiet casino . tell local come like b / c many tourist . Gym close 8:00 pm ( boooo ) . highly recommend place conference . never need leave hotel . constant access high quality food . attentive staff . watch 48 hour cancellation . give 24 hrs b / c not stay 3rd night , hassle we , eventually decide charge we . 
 Oct 16 2009 	 Red Rock awesome 	 new hotel / casino / resort really nice update room . package book give we $ 50 food / beverage credit $ 20 gas card . although resort fee , pool/ spa/ gym well worth . go club nightime catch nice little performance . 
 Oct 13 2009 	 Expert Las Vegas Traveller- good hotel niche market 	 stay Red Rock three day wedding golf course , less 2 mile away . extend family part country world . vegas 50 - time since lot family live las vegas . usually fly vegas two three time year . little background , business college student extensive world - travel experience . like luxury usually 4 - 5 star hotel travel know get good value overprice . stay range hostel Europe Shangra - la Asia . , overall prefer 4 star high ignorant cost . pay 135 night hotel room , include resort fee . include two free buffet two free movie ticket . hotel strip . much Paris stay good deal Bellagio . expensive side hotel even near Red Rock . hotel really area . hotel stay want go strip . really serve local go Red Rock Canyon . 30 min strip far . plus , traffic street light suck . stay Red Rock , plan go strip much . casino- play & quot ; 21 & quot ; movie sound track everywhere ! techno music try make feel hip like entire place starbuck club . hotel elevator BLARE music . door open hotel floor , music fill entire hallway . loud like club raise voice talk . the decor great modern . new feel . entire design basically minimalism splash sixty color . red , orange , brown , green main color play entire resort . chandelier amazing well place . relate gaming , actual slot pay much ( come family live near hotel ) . mainly play table . triple bet 100 dollar blackjack . irena great . Greece amazing . tell people double . Rooms- use stay 4 star Station Casino call Green Valley Ranch . Red Rock GVR suppose nice Station casino . Red Rock nicer room well furniture . bathroom Red Rock nice fixture kind weird do . give everything need . plenty towel . GVR much big room bathroom . Red Rock room basic small . spend time room , large & quot ; Resort & quot ; room might good investment . hear suite AMAZING ! know choose make small room , especially since suppose nice GVR . tv bathroom kind pointless nice touch . color marble cool . slide door toilet seem like afterthought . main tv nice . a / c great . bed nice pillow great . room set back main hall private hall way room next door . face one door . reduce noise lot GVR , usual hotel design door face main hallway . think good idea really reduce size room . also , elevator casino way one end hallway . room 130 prepared walk . next last room . take 3 min walk one end another . annoying huge disadvantage . Red Rock quiet hotel internal noise , face pool , prepare Cherry . cherry- cherry cool club . mainly local . music modern decent . design really cool room face mountain side thus pool club , potential disaster light sleeper . the club open door pool 1:30 till 3:30 . even hear bass room . 18th floor way end hotel . basically , far could get club . yet music loud . sound like tv . finally call front desk complain . say receive lot complaint . told & quot ; duh ! & quot ; 30 min turn music lot . happen one night stay hear hotel strip turn music , like Tryst Wynn . nice happen begin . feel bad room close club . request city side mountain side sleep night ! customer service- huge plus . housekeeping nice . honestly surprised . spa people kind rude surprised US hotel . stay abroad good 4 - 5 star hotel really spoil know treat customer . America , put hotel staff . surprised nice front desk , casino staff , restaurant staff really . BIGGEST mistake hotel make 45 second rule snack leave room . pressure censor snack sit platform send signal somewhere . sign say snack remove long 45 second charge room . extremely bad customer relation . laugh loud . take trust guest . want move star , must go . know LV hotel inappropriate un - needed . know also senor fridge try charge entire fridge move stuff around water buy . whole idea come across try scam guest get everything . entire idea must go ! know someone management read hope comment . take effort housekeeping look snack . spa pool- one strong point hotel . main pool area huge . much shade plenty swimming space . like tan , place . pool area gorgeous . spa another strong point . gym nice . average well clean . spa pool really quiet almost one ever . free guest . recommendation go spa pool main pool . one usually . also locker room great . hot tub amazing . Buffet- think lower price dramatically . breakfast ten lunch . steal . economic downturn , 20 dollar . good buffet expect Mirage buffet top line casino food . good value . overall , good place stay summerlin area . stay want go nature stuff Red Rock Canyon . good solid 4 maybe lean 4.5 possible improvement , upgrade customer experience . GVR . hotel strip , would stiff competition . would probably Paris MGM , on - line Mirage , venetian Bellagio . Suites Red Rock might even par Sky Lofts MGM huge accomplishment . good place , good value , can not go wrong plan ahead noise . 
 Oct 13 2009 	 relaxing location modern spacious room 	 nice location . away hustle bustle Vegas ... everything need . beautiful view either Red Rock Canyon Strip . room modern , spacious nice . can not wait come back stay . look special , room go 200 .... however deal . staff helpful nice . 
