great 	 great place stay . a unfortunate situation happen Jan 2008 force find place stay 5 year old , never plan stay year make decision truely awsome place never feel affraid woman 5 year old everyone go way help ever issue room 15 min . Bee , Tracy Kim well ! ! ! ! I m picky person expect good I m pay ! ! ! make great friend worker guest still speak till day . please listen think know place well since stay year reason leave condo finally do ! ! ! 
 Oct 29 2009 	 Cheap Stinky 	 stay hotel couple friend proximity Sam Boyd Stadium . general admission ticket rock concert , feel ideal place . the reason would recommend place bed rock hard , kitchen understocked , room stay stunk bad go buy big bottle Frebreeze . use whole bottle . there little thing like $ 7 ethernet cable ( wireless ) bug eat drapery , think cover main one . sense smell , not drink coffee ( coffee maker room ) , like sleep rock , place . would visit place really desperate need tighten purse string . want cheap alternative stay Main Strip , plenty place would better one . future , sure budget something nice . 
 Oct 26 2009 	 pleasant surprise high quality place 	 ticket see u2 town . ask , place we farth build close stadium . ( although mention go concert call day early check reservation . ) stadium five minute walk hotel . hotel plenty parking near room . the room huge clean two tv . bed firm comfy . stay make sure bring food stuff kitchen great prepare meal ; fridge , micro dishwasher , even pot pan . bring dish liquid dish cloth though intend use they . if ' mind stair , ask place top third floor ' hear guest . ' next door neighbor pretty quiet . check time noon plenty time sleep late night show room stay dark thank thick curtain . would definitely stay future go stadium . 
 Oct 20 2009 	 inexpensive nothing speical 	 two young son wife stay beautiful fall weather ( 80 sunny day ) go football game Sam Boyd Stadium ( walk distance room ) .this place look like huge apartment complex 14 three - floor building . landscape pleasant structure stucco . many guest actually long - term resident several pet room keep pile stuff door . two little dog poop bag stair climb three day there . our room large tile area surface clean carpet quite stained . two - bedroom top floor could not hear noise we could hear everything next door neighbor say . center room kitchen area small couch ( sofa bed ) . inexplicably , three chair small table ( chair room ) four we could never sit eat together . near table ethernet plug , plug computer get internet ( make sure bring ethernet cable ) . wireless service . occasionally , quit browser email service go reasonably reliable . there utensil cheap plastic plate bowl ( four ) . unit also feature dishwasher dishwashe soap , dish cloth automatic detergent . use hot water hope well . plenty cabinet space toaster small appliance like blender . the bed firm also kind noisy . pillow also lumpy . sheet prominent bleach smell , oddly comfort . towel thin rough . air conditioning work well . never attendant clean room save resource . the kid swam pool use hot tub , also strongly chlorinate . pool four foot deep . check - in slow three attendant try solve computer problem hardly notice wait . check - out service front desk also slow could not print receipt . sense highly train pay . all say , decent deal less $ 60 night though add $ 2 day long distance though never pick phone . 
 Oct 3 2009 	 well expect ! 	 spend many hour try figure go stay trip Las Vegas decide stay Siena Suites . drive 24 hr follow map print google map roll Siena Suites problem . hotel locate right Boulder HWY huge well light sign make almost impossible miss even tired blurred vision traveler like myself . it take 10 minute check lady counter knowledgeable , check breeze . lugged bag step 2 bedroom suite . honestly say suite stay good well picture view internet book stay . building well maintain ground clean . swim pool hot tub clean pretty nice opinion ! opinion hotel pretty good would definitely stay , not think Siena Suites everybody tell why.1 . wall paper thin ! try get suite 3rd floor would not hear people walk , end settle 2nd floor suite . people loud could still hear walk . could also hear people run water walk suite . noise not whole lot know wall thin , light sleeper could make uncomfortable stay . advice would get 3rd level suite possible not hear people walk . can not get 3rd level suite would suggest ask front desk put suite feel quiet , place potential loud family child young people tend stay late make noise.2 . ' m pretty tolerant understand thing happen , think would add also , part experience Siena Suites . maintenance opinion little bit slow , get job do ! get room remote tv not work . big deal , take 16 hrs maintenance come reprogram remote . toilet problem , lucky we two bedroom suite one work toilet . issue toilet float stick tank would flow . could happen toilet not hold Siena Suites , take 16 hour get maintenance come fix . tell not 24 hr maintenance . maintenance show 8:00 . come fix toilet late afternoon . be pretty lay back around Siena Suites want thing do right , might get irritated long take maintenance show up.3 . internet . rather impressed speed internet . able watch video computer check email would home , internet least 12 hour , get fix everything fine.4 . laundry coin operate . buy card purchase $ 5 large amount , laundry $ 3.00 load wash dry , not bad ! ! ! 5 . elevator outdoor entrance room pretty much like Motel , not like can not step could issue you.6 . plan walk casino be not even think ! ! ! think close casino could find would Cannery Boulder Hwy 3 mile away . car great place stay , take taxi 's could get pretty expensive . car like drive , work fine I . like say , overall pretty impressed . room clean . pot , pan , silver wear cup . bed top line , think plenty comfortable . spend $ 47 night 7 night 2 bedroom suite comfortable overlook pool . tolerant noise like good deal would recommend anybody ! ! ! 
 Sep 20 2009 	 Great Place stay 	 good value money extend stay hotel Vegas . the room clean , majority staff friendly & amp ; helpful . the pool & amp ; hot tub clean could new pool side furniture ! live nearly 3 year & amp ; find secure & amp ; comfortable . if intend stay 1 week October 23rd 2009 please contact moreforless1 @ gmail.com 
 Jun 8 2009 	 Inexpensive Extended Stay Issues 	 Sienna Suites look great distance microscope , be pretty . $ 45 per night 2 bedroom 2 bath , 's bargain . beware $ 2 per night & quot ; mandatory & quot ; fee add long distance phone service , whether use service . negotiable . hey , Orleans Vegas add similar & quot ; surcharge & quot ; call $ 5 per room , per day resort fee . stay Sienna Suites last 2 week May 's breakdown experience:1 ) cleaniness : reviewer praise cleaniness place say ground well keep , overlook cigarette butts contaminate red gravel landscaping . second floor build 1 small pile trash top stair outside room pick 6 day . Maids service people constantly walk pile nothing . remove fall first floor.2 ) Weekly maid service : inconsistent . maid assign clean room first week bring towel , remove dirty one , sweep vacuum even want re - make bed new sheet . feign lack understand English . maid clean room week two decent job.3 ) Trash : could find place empty trash container inbetween weekly maid service . Sienna Suites consist 14 building yet map complex indicate take trash . 4 ) cooking : full size stove unit pot pan cook . fortunately car camping kit we lame . 3 tv 's unit , one per room , pot utensil . stay PLACE like ... occassionally COOK MEAL.5 ) internet : good -- 's Wifi wire . plug wall guarantee guarantee consistent performance . first 6 day , decent enough surfing email . watch movies hulu youtube video buffer constantly . one T1 line ( 1.5 mb , speed DSL line ) come hotel everyone share math . 's bad internet : friday evening memorial day , place pack , internet go . be still saturday morning . , follow Wednesday morning , be , sporadically day . even be , receive email send . yes , internet complicate landline phone service give break , be around since late ' 90 be go shout free internet blink billboard front , well well reliable system . need depend email working business , stay here.6 ) location : 15 min drive Hoover Dam , amazing place . 7 ) overall room noise : second floor although appear flight path airport Suites , never hear anything . family occupy unit we , never hear outside noise . however , like inexpensive hotel , Sienna Suites construct poorly family sound like herd elephant warpath.8 ) amenity : 2 pool plenty parking . however , luggage cart . ok , elevator building walk park car room long one cart hold luggage would least help get stair . 9 ) laundry : Guess , be another & quot ; surcharge & quot ; laundry ... load money onto card 's one time set fee card . addition , load $ 5 $ 10 onto card ... multiple $ 1 . one load laundry end cost $ 5 . 
 may 11 2009 	 bad 	 hotel property maintain quite well , service Tracy Marcos office excellent . ( hope deal them- great ) ' m sure hot tub often look dirty much time . tell pool hot tub service 3 time week , can not true . look pic , filthy . reason need look bad . hot tub get tremendous amount use maintain well . ' ve never stay hotel hot tub look filthy . Yuck ! ( Believe , look bad even pic show ) 
 Mar 11 2009 	 great value location quiet 	 stay Siena Suites Hotel one week find good value price pay little $ 300 7 night compaire stay high price casino . hotel good location minute strip . the suite consist two room door bedroom living room area . bedroom , large enough king - sized bed , two bedside table , table lamp . bathroom bite small & amp ; toilet bath area 's door , well maintain . cleaning service come everyday , need extra towel toilet paper , around clean room go office get . livingroom bedroom tv hook cable . local station plus sport channel , HBO , kid channel , spanish channel . separate , independently controllable a / c & amp ; heater unit main room . kitchen area full size fridge , stove , microwave , dishwasher . enough plate glass two people , stay room may want pick paper plate plastic ware . 
 Mar 4 2009 	 reasonable rate 	 husband stay Siena Suites one occassion never experience problem . room always clean roomy . happened enjoy stay recommend hotel family friend . price great get convenient food location close strip . like home away home . 
 Feb 17 2009 	 Good Value 	 stay Siena Suites Hotel one night weekend February 14 - 15 find good value price pay , opinion . hotel new property , show . much thought appear go design , layout , landscaping . the suite consist two room -- three , include bathroom -- separate lockable door . full kitchen stove , oven , microwave , full refrigerator freezer , dishwasher . appliance appear immaculate . dish coffee cup supply , well ample cookware . coffee - maker also supply . the bedroom , large enough king - sized bed , two bedside table , table lamp , clean well - appoint . mirror two lighting sconce face bed . bathroom bite small , well maintain come hair dryer well standard towel , soap , shampoo . bathroom within bedroom toilet bath area door . two large color television cable , one main room . room also modern hotel - style telephone . the live area consist entertainment center , coffee table , small sofa . dining area next kitchen include sturdy dining table may easily use work desk . two chair complete dining suite . light throughout ample . separate , independently controllable HVAC unit main room . parking good noise reasonable , give two window suite open exterior hallway face parking lot . observation unit seem open unenclosed hallway directly outside , motel - style . unit third floor . I hope hotel maintain present level service value . hope , well , hotel expand beyond Las Vegas area , superior many hotel type think . 
