Good 	 overall good hotel enjoy stay . facility good staff helpful . we annoy 11 dollar charge use phone local call even connect second . outrageous price . not know food like , always eat even breakfast . 's plenty choice around . Wifi expensive payable day , though free internet terminal executive lounge . 
 Nov 19 2009 	 Great Location Concierge Service Useful 	 want make visit NYC easy , stay . reasonable NYC standard , centrally locate Rockefeller Center Radio City Music Hall . Use concierge service get transportation tourist advice , would not necessarily go restaurant suggestion . get free Hilton Points visit promo desk . the negative charge internet access . hear & quot ; Gouge Guest & quot ; ? 
 Nov 16 2009 	 LOVED Hilton . 	 3rd Hilton - own property stay within past year honestly say favourite hotel chain . good . service check - in maid service person come fix tv converter excellent . location could not beat -- right across Radio City Music Hall , one block north Rockefeller Center , block South Central Park , block North Times Square . hotel comfortable , quiet , convenient . wonderful ! word warn though , breakfast buffet expensive.at $ 86 include tip two people . yike ! ! break budget one meal ! ! 
 Nov 10 2009 	 Disappointing 	 regular frequenter Hilton business trip one disappointment . admittedly none enough big deal hotel perfect combination make overall unpleasant experience intend avoid hotel . laundry list issue : - 2 separate reservation ( first night business , second two night pleasure ) unable accomodate get we room , room available check previous room . despite multiple assurance staff would smoothly take care . top staff rude girlfriend even ask next day ( even though promise ) - girlfriend arrive hour could hotel tie meeting . despite add name reservation room prepay make put credit card unexplained reason call hotel get hold removed- elevator painfully slow wait least 3 4 come not fill brim- morning left run shower least 10 minute could get hot water appear . flight catch go without shower enough time call get checked- one elevator smell like vomit . call front desk reroute line not pick ( instead receptionist take action ) nothing fix there- hall mess - break glass room service tray leave 24 hours- room random unexplained hole wall 
 Nov 8 2009 	 Great Location around corner moma 	 Staying work really well fun long weekend NYC . location great want do- close moma , Times Square TKTS , top Rock close subway . room great- clean modern extremely comfortable bed . elevator work great little wait ( unlike Marriott Marquis ' ve stay previously . ) loved fact starbuck downstairs could get coffee muffin morning bring room . luggage drop convenient . 
 Nov 1 2009 	 nice location - Pricey 	 Location great . helpful staff . sell unit timeshare - get sick & quot ; time share shark & quot ; continually harass we . would go back could get deal - full price , worth . 
 Oct 31 2009 	 Great Location Priced 	 stay Hilton one night husband due conference need attend follow day . check treat Honors Members , staff go way assist we . reserve room one king bed instead give double . tell room brand new , appear newly remodel , however seem small . room 10th floor great view . problem elevator other report . side . hotel WiFi pay extra . almost $ 400 per night seem insulting . upon Check would like store bag $ 3.50 per bag charge also . realize New York City , however extra cost cost food inside hotel insane . hotel great area city easy access pretty much anywhere . would reccommend hotel friend wealthy . 
 Oct 28 2009 	 good holiday ever - top hotel - top location 	 husband travel back December 2006 NYE take we 2007 . ny really busy hotel not mad busy like review suggest . location spot - right in - between Central Park & amp ; Times Square ideal sight seeing . hotel pretty plush although much use facility . would recommend stay . get good price ( Expedia ) consider New Year . worth check pay budget hotel . NY fantastic – good place ' ever visit . ' much shop budget much see people really friendly . go 5 night could stay month ! could add million sightseeing photo include one hotel . 
 Oct 28 2009 	 room vary lot . enough elevator ! 	 like train station reliable . good new gym . enough elevator peak hour . long wait full car . room vary lot - unrenovated ask another . bed small . charge much business center use luggage storage . bit long walk Times Square . restaurant bad quality often close . laundry service weekend . 
 Oct 27 2009 	 great hotel albeit busy ! ! 	 stay afternoon performance Wicked , also ticket see New York Yankees Game 6 American League Championship ( Yankees pennant , way ) . book hotel short notice , surprised room available , give city busy ! ! hotel HUGE , almost 2000 room . evident lobby CONSTANTLY busy ; queue check , store luggage , even taxi . upgrade small fee Executive Level , access Club Lounge 44th Floor . Club floor occupy top 12 floor , set elevator . room locate 42nd Floor . great view Central Park , almost ablaze fall color . room bit small , New York , spaciousness hard come . bed comfortable . the Executive Lounge nicely appoint . however , often busy , give size & quot ; club level & quot ; hotel . offer assortment cheese finger food evening , well continental breakfast morning . hotel great location ; block Central Park , Times Square , Rockefeller Center . several subway station also within walking distance , hotel great base explore New York offer . ; satisfied Hilton New York . thing really like much busy place . however , large hotel New York , staff 's fault . fact , staff accomodate . 
 Oct 20 2009 	 fine busy hotel 	 room clean , cozy everything work . lobby bustle busy . parking car easy get luggage trial . space familiar , location central , good ... across street good street dine ny , two halal cart often call 53rd Chicken ( actually corner 6th . ) great food $ 6 meal . complain ? fast walk theatre , dining , midtown . 's NY Hilton , fine . 
