good 	 Stanford well situate Korea town , close Macy 's good shopping . although NYC business also downtime able enjoy delight city offer . room small side , one elevator present huge problem we . bathroom clean sheet towel smell freshly launder . back hotel overlook window present problem either quieter street side . crane neck could see sky able see weather dress accordingly . breakfast bagel , doughnut carby thing - bun , roll , toast etc , ok . staff helpful pleasant . mid - town struggle find restaurant korean one stay open late . 
 Nov 24 2009 	 great value great location 	 amazing location ! couple block Penn Station , 1 block subway , near lot shopping . right Korea Town great . hotel nice clean . room little small bathroom need renovate price location think great bargain . room nice view not noisy all . would stay ! 
 Nov 24 2009 	 perfect stay 	 spend 3 night hotel honestly say disappointed . ideal location , comfy bed , quiet safe , staff courteous . always helpful query . truly home home return . highly recommend . thank ! 
 Nov 22 2009 	 Decrepit room view brick wall 	 room furniture old bad condition , location excelent . Personnel front desk friendly - chinese - not solve problem breakfast . Rom mini bar empty Air conditioner not work heater . 
 Nov 6 2009 	 pleasant stay we 	 arrive oct 27th stay 3 nights.front desk kind well bellhop , room 308 roomy spotless , great location price well worth . 5 min walk penn station,1 min walk subway entrance , nyc rockin stanford cool vibe it.thank new york.hope return someday . 
 Nov 3 2009 	 Adequate accommodation New York 	 book one bedroom suite 2 Queen Beds , lounge area ( sofa bed poor condition unusable ) . room spacious bathroom recently renovate . location excellent - 34th St subway access 1 minute hotel ; Speedy 's salad bar opposite corner ( highly recommend healthy & amp ; cheap eat ) ; Macy 's , JC Penney ; Old Navy ; H & amp ; ; Gap ; & amp ; K - Mart around corner quick walk to . Room include complimentary breakfast although surprised $ 10 charge take breakfast room ! wi - fi offer $ 10 charge per day . 2 internet computer 2nd level - handy print boarding pass ( $ 0.25 per page ) .Overall , 's frill hotel New York . good price month October ( think pay around $ 330 per night ) , everywhere else want $ 400 + per night standard room . 
 Nov 1 2009 	 not Bother 	 read previous review , disappointed hotel . not expensive ever stay , New York , lift slow ( one time break ) , tea / coffee facility room , airconditione unsatisfactory , bad thing far lack natural light room . the room good size , window size bathroom window overlook giant black pipe , mean room permanently dark . the good point hotel location cleanliness . however , would definitely return 
 Oct 30 2009 	 great place stay New York City 	 stay many place NYC place return . convenient within walk distance Penn Station . clean , good condition , reasonably price . street Macy 's . 
 Oct 7 2009 	 Great Location - good price 	 first trip NYC & amp ; little uneasy decide place stay - turn great ! ( recommend friend stay couple year ago & amp ; like review read Trip Advisor . ) subway 2 minute away - easy get anywhere want ! 3rd floor , wait elevator not issue we mostly use stair . ( would definitely stay , would request 3rd floor ! ) queen - room small side , plenty room we ! ( not come NYC spend time hotel ! ) comfortable bed , desk & amp ; chair , 2 night stand bedside lamp , separate ceiling light fixture bright - really nice good lighting want ! also like window could open , weather nice ( view , not expect one ) . modern bathroom - good shower / tub combo , nice deep window ledge set toiletry , etc . room also refrigerator nice beverage / snack . large closet shelf & amp ; plenty room store suitcase . two internet - access computer station 2nd floor free use guest . basic continental breakfast include ( bagel , pastry , coffee & amp ; juice ) - nothing fancy , handy get day start . not & quot ; luxury & quot ; hotel , clean , everything need , reasonable price location , pleasant staff & amp ; feel safe . 
 Sep 14 2009 	 hotel good nice 	 great location - neare subway , Penn Ststion , Empire State Building , Times Squuare , 5 -th Ave . also noise , quiet . nice helpfull staff . clean room , rather small enought want sleepover . Breakfest rathesr french - sweet coffe , much room gest . one elevator 12 floor ! ; bad ! good hotel good price . 
 Sep 3 2009 	 Great Hotel ! 	 stay 9 night early August great stay ! friendly staff , nice room , small big enough , be especially important : clean ! bathroom look new spacious , safe work excellent , well fridge . our complaint would elevator , slow sometimes make dubious choice go , make fast walk floor . anyway , bed comfortable hardly noise city ( sleep rear end hotel ) . would recommend hotel anyone would definately stay , location perfect ! 
 Sep 2 2009 	 would definitely return 	 fantastic location , renovate spacious room , quiet , clean . staff easy talk go way helpful . free internet bonus . however , be 1 lift large large hotel bit wait time involve lift usually crowded . also queue breakfast queue seem move steady pace . last , towel replace daily necessary . hotel use environmental strategy use many hotel replace towel place floor . the advantage stay hotel however outweigh small negative mention . 
 Aug 27 2009 	 friendly budget hotel 	 friendly budget hotel close Penn station . great staff , clean room ( spacious ' ve pay twice much ) really close transport Empire State Building . I definitely stay . 
 Aug 22 2009 	 Excelent ! Great Location Good Value ! 	 stay Stanford Hotel 2 two Queen Beds room wife , sister hursband . check fast good hospitality desk people . room clean confortable bed . water pressure also good hot cold water . position great , step subway near many option eat ( recomend value healthy food go Sppedys , Deli across street ) . also Empire States Building , Victoria Secrets , Macys , gap hotel block . breakfast ok : Orange juice , cofee , milk , bagel cream chease . value ? think depend season lucky take promotion special package ; we research like one week many option not find anything well stuff ( position , breakfast , cleaness , value ) . definatelly would pleasure stay Stanford ! 
 Aug 9 2009 	 great hospitality great location great price ! 	 edge Koreatown , subway corner , one block away Empire State Building , continental breakfast , hotel hard beat . yes elevator small slow , yes breakfast cold doughnut , bagel , roll ( toaster available ) . yes tiny window view . staff exceptional , cleanliness helpfulness priority , upper floor completely quiet . small bar , bakery , attach restaurant ( beware tip seem include without notice ) . like asian food , surround option , , speedy deli across intersection open late . 2 computer available & quot ; business center . & quot ; bathroom shower completely modernize beautiful shiny tile glass enclose shower , Bath & amp ; body work toiletry . staff really exceptional wonderful stay : ) 
 Jul 26 2009 	 Nice hotel 	 bit worried kind hotel end . never know , eventually . always people either like dislike everything suite everyone . check ( ) fast easy . stuff friendly helpfulroom spacious tv , table + chair , closet refrigerator ( turn useful ) . like shower tap high least private bathroom : ) breakfast quite poor .. bagel , donut , juice , coffee tea . least get something eat leave hotel . feel easy something go somewhere else breakfast happy eat breakfast hotel . breakfast place tiny always queue . location great . overall nice place good choice want sure decent hotelroom . 
 Jul 19 2009 	 great find nyc 	 family stayd nyc nite lil worried hotel . friend tell we hotel say would perfect cause location room could sleep 5 we . room perfect 6th floor 2 queen pull couch . price also great midtown hotel . breakfast minimal good enough get start day city . clean room , friendly helpful staff entire hotel definatley use hotel trip next year 2 day city nearly enough time . stay 3 4 day next year . 
 Jul 17 2009 	 New York Gem 	 review spot . stay great location , good review mostly excellent price . hotel great location , busy safe New York 's attraction close . nice spacious room , bathroom bath add bonus . worried keep awake hustle & amp ; bustle NYC never hear noise , traffic etc . room alley way , away street noise perfect really ... would rather good night sleep . breakfast great , nice see hotel include price . staff extremely helpful . would highly recommend Hotel Stanford ..... actually enjoy old elevator ( operate handle - use main elevator break ) . wish courage operate main elevator & amp ; run next day . nice see building maintain 's old feature . 
 Jul 16 2009 	 definitely stay 	 nice people ever ! clean , spacious room , amazing bath . complaint - elevator slow room bit warm give we fan work great drowned noise street ( horn taxi , etc . ) ! great location - subway 5 min . away , 2 block Penn Station , 2 block Times Square ! 
 Jul 6 2009 	 Stanford ... great location ... great experience NYC .... 	 hotel great location 5 - 7 minute walk Times Square ... restaurant shopping center close .. suite room .... good spacious 4 person , 2king size bed 's , tv , big couch nice bathroom . staff helpful . not expensive , good New York city . 
 Jul 5 2009 	 Excellent location room so - so 	 stay 4 night . location ( hotel situate KoreaTown ) perfect , subway around corner . staff friendly . room ok , maintain well ( bed old sock previous guest ( ! ) keep awake ticking airco ( annoying ) . complimentary internet . ok price / quality . 
 Jun 23 2009 	 Great Location 	 Stayed hotel stanford one week would definately stay . stay new york choose hotel base location thought would compromise standard . polite helpful staff , clean room , need . 
 Jun 19 2009 	 quite basic great value 	 book room two single bed . upon arrival , upgrade two doble bed room . spacious little desk . window , face wall , close cold get room . good point : new bathroom spotless . breakfast free good . bagel , coffee orange juice . with two computer check mail little room . elevator slow always busy.not friendly reception : order taxi last day get us airport . chineese car driver not understand we ... 
 Jun 13 2009 	 great place great price great location . 	 husband , along 2 teenage daughter , stay 5 night hotel . one suit two queen bed , sofa bed , chair , desk , small refrigerator , flat screen tv , room safe , large closet . bathroom appear recently beautifully renovate , granite floor tile shower , separate bathtub . though decor room bit drab , comfortable clean . location great -- -a stone 's throw subway entrance use travel Manhattan . block lot korean restaurant business , give cool international feel place . right around corner deli , cafe , drug store , frozen yogurt place , couple block Macy 's Penn Station , block Empire State building . room 7th floor ; hear little street noise bad . hear hotel noise . mild complaint loud bathroom vent fan small slow elevator . bellman front desk staff helpful friendly . continental breakfast include , nice perk -- -however , light stock fridge breakfast item supplement . well , get great rate hotel website , include reduce rate 4th night . ton internet research hotel , great find -- spacious , good amenity , great location , excellent price . would stay definitely . 
 May 26 2009 	 clean friendly perfect location . 	 fifth time two year stay Hotel Stanford , time get well well . hotel , opinion perfect spot city wise ( locate 43 West 32nd Street , ) ' right Empire State Building , still good ten block away Times Square , ' close enough get want check show , far enough get away hustle bustle . the hotel little café attach , entitle free breakfast morning show room key . ' much , bagel donut , ' still delicious one place still offer . room include fridge , small walk closet , flat screen tv safe . the hotel process update room , great . what love hotel staff extremely friendly even remember go back , think say lot . admit ' bit princess come hotel , main thing clean – be . this hotel nothing fancy , ' lovely warm , comfortable place stay feel incredibly safe surround area – even night . also , room extremely quiet consider location . stay Times Square stay , ' never ! ! room stay ever view wall next door , become sort run joke friend stay , ' mind ( actually like make room nice dark we go sleep . ) walk distance Penn Station , Times Square , Manhattan Mall , Subway next door ... hotel Twitter , great way keep eye deal come . follow http : //twitter.com / hotelstanfordwould recommend hotel friend family . 
