small 	 second visit Hotel XIXe Siècle . locate Montreal 's old town block port block away tourist shop abound area . free on - street overnight parking weekend , meter day , valet parking also available . lobby hotel hold different interesting art exhibit time . staff accommodate , quick help restaurant suggestion direction . lovely meal restaurant recommend . room spacious appear even large 14 ' ceiling . furniture european well keep . nice art wall . bathroom provide everything need , include nice shower good lighting . lighting room also good . package include breakfast - dining room nice bright , food typical hotel breakfast buffet - cereal , toast , bagel , fruit , yogurt coffee . the location hotel great ; close sight old town bad walk downtown Montreal shopping . also bus run close . would highly recommend hotel romantic weekend getaway extend stay . 
 expectation meet 	 read review hotel expect boutique jewel wonderful city . hotel clean , neat room small - really mean solo traveler - breakfast include package price disappointing . hotel middle Montreal would expect french bread pastry , stale , tasteless croissant mediocre fruit coffee . staff attentive pleasant . restaurant recommend we first night arrive definitely one would choose end go elsewhere - want rely staff . also smell cigarette smoke last day know permit , ... definitely fill hall . see several room last day would much well - wonder hotel would let we know available , well suit couple . especially since many empty room . 
 Nov 24 2009 	 could not ask perfect stay 	 read wonderful review hotel book little skeptic . recent trip Montreal want stay old part visit museum close city 's history . hotel heart area classy . room fantastic , large super clean . service good helpful . cozy stay , especially spend time library bar . recommend research restaurant nearby one hotel . also not mini fridge either . bar tender nice enough bring tea every evening . thank stress - free vacation . 
 Oct 29 2009 	 will love place ! 	 wife recently stay three night . love . ' close Notre Dame Old Montreal . metro close . room clean . staff always ready suggestion really seem love beautiful city . pick one ! 
 Oct 23 2009 	 Charming Hotel beautiful room 	 late report - stay April 2009.we find hotel charming . outside , hotel beautiful . room well appoint nice linen bathroom clean . find room comfortable spacious . lobby give justice room . staff hotel always gracious cheerful . find service top - notch . ask water bottle need . : ) breakfast buffet hold downstairs decent spread . since banking district , several restaraunt close include Coffee shop across street . make sure dine & quot ; Eggspectations & quot ; right hotel . crepes meals wonderful ! second away Basilique Notre - Dame near underground entrance well . keep mind charge parking . valet car . not recall much ( possibly $ 19 cad / day ) . ' m certain private parking garage nearby . all , enjoy stay hotel . would consider stay return Montreal day ! 
 Oct 17 2009 	 excellent place stay 	 hotel well locate banking district edge old city . build attractive interior well decorate . pool exercise facility staff wonderful . wife numerous question desk staff always provide accurate helpful answer good English . suggest restaurant always good food reasonable price . valet park car one block away could easily access . compare fancy hotel neighborhood price great . rate room good thread loose paint error someone less fussy might miss . 
 Oct 12 2009 	 fabulous choice ! 	 7 room book hotel event . one junior suite , 2 single room ( = small double ) , 2 double room one queen bed , 1 double two queen bed . first , service fabulous . second , room great . particular note room 215 , double two bed , seem large . initially give junior suite 205 nice 4 window point directly build next door , little light . change 412 , FABULOUS - think 's one featured website . 's back hotel , generally room bad ( X12 - X15 ) nicer view think . note - suite jacuzzi , even thought tell we not - complain : ) overall , stay fantastic , everyone LOVED room ( since book people 's behalf choose hotel , cause concern ... ) . lobby spacious comfortable , little library cute , breakfast nice . elevator bit slow , big deal - stair work fine not mind stair : ) highly recommend place ! ! 
 Oct 5 2009 	 Great Hotel perfect location ! 	 love hotel . great stay staff helpful . do research find staff recommend site restaurant . close everything Old City easy get around . use Metro ( stop block away ) get Village Olympic Park . take walk tour Old City also see amazing light show Notre - Dame . river tour great . favorite hide gem house museum call Château Dufresne Museum near Olympic Park . also check underground city old Port area : Centre d'histoire de Montréal . museum also cool light video show explain history Montreal . walk building see actual ruin first building . great food Bonaparte , Boris Bistro Jardin Nelson . 
 Sep 23 2009 	 perfectly wonderful ! delightful place stay ! 	 husband love hotel - high ceiling , chandelier decor . clean staff warm inviting . anything ask ( i.e . towel , ice ) deliver within minute door helpful idea restaurant , walking tour etc . well situate edge Old Montreal still within 2 minute walk Palais de Congres ( conference take place ) 10 minute walk downtown shopping . perfect ! 
 Sep 14 2009 	 clean wonderful service great location 	 stay Hotel Xixe first anniversary . arrival car park ( return need price would cost park night anywhere city , forewarned parking include , extra ) give city map recommendation walk route , restaurant place interest . service friendly helpful . room clean comfortable . great night sleep bed ceiling high give whole place grand feel . Montreal Marathon day give map course could watch include road closure information head town . really lucke find place . 
 Aug 29 2009 	 great boutique hotel offer wonderful service good location . 	 really enjoy stay Xixe Siecle hotel . service outstanding room small nice . old bank transform hotel . overall , great place stay able walk around Old Montreal hotel . ' close Basilica front desk staff provide map information place area . one thing point first taxi driver ' know talk say Xixe Siecle . ' french 19th century figured take we right . would definitely stay . continental breakfast $ 12 remember correctly website include breakfast booking - really enjoy croissant . 
 Aug 28 2009 	 lovely hotel wonderful staff ! ! 	 stay Hotel XIXe Siecle Montreal two night . stay nice would definitely stay . room large high ceiling ; comfortable bed ; free internet ; bright light cuddly terry robe bathroom ( also telephone bathroom , ' m exactly sure , detail somehow speak thoroughness ) . staff exceptional -- cheerful , helpful , full smile ! really enjoy interaction . continental breakfast serve pleasant , european style breakfast room . hotel locate within walk distance taxi stand , subway , many restaurant , touristy part Old Montreal ( Vieux - Montréal ) water front , Basilique Notre Dame , City Hall , etc . , yet street quiet night , well - locate good night 's sleep . highly recommend hotel , especially want treat price per night slightly expensive side . 
 Aug 20 2009 	 elegant Choice without cost Fortune 	 say enough good thing hotel . extremely surprised pleased . the room spacious , clean elegant . staff extremely friendly kind . Breakfast mean generous filling . great location think price fair . I ' m happy recommend hotel . 
 Aug 9 2009 	 Charming 	 hotel great location explore Old Montreal . beautiful hotel outside , surround great architecture ambience . close subway route , . 
 Jul 20 2009 	 Great Hotel Great Location 	 stay XIX three night prior take cruise . room ready ahead time . love location -- short block Notre Dame shop restaurant Rue St. Paul . towel comp robe beyond soft . staff helpful restaurant direction . building maintain old charm decor date . 
 Jul 1 2009 	 Gem ! 	 family spend two night Hotel XIXe Siecle please . like location , couple block Basilica Notre - Dame . staff outstanding -- friendly helpful , maintain quiet air professionalism . build French Second Empire room lovely high ceiling big window . room quiet restful furnish rather elegantly . bed quite comfortable bath nice . one tiny , tiny problem -- temperature water seem vary shower . water always sufficiently warm , could become much warm quite suddenly -- suddenly drop back previous temperature . breakfast good valet parking handle efficiently . would stay hotel heartbeat highly recommend . 
 Jun 16 2009 	 great stay 	 great hotel , excellent location Vieux Montreal , close restaurant , shop old port . staff outstanding . room comfortable , private clean high ceiling . Valet parking must especially construction , narrow street , etc . walk around great dinner . be seek party night , part town well . 's business district , shop close early evening . satisfied choice would recommend hotel nice relaxing get - away . 
 Jun 13 2009 	 service .. 	 definitive hotel service , stay hotel . rather disappointing night Quebec City , arrival nothing short bliss . Valet parking , someone unload bag car , everyone smile ear ear mean , place lovely . quiet relax surrounding revive sightseeing etc . knowledgable staff point we firework display late evening , provide etxtensive list recommendation dinner . room spacious , well appoint , free wireless internet . perhaps wesre rosy glass dreadful night teh previous hotel feel though folk operate hotel love show .... iot . 
 May 9 2009 	 great stay 	 come hotel season Montreal tourism . pro con . pro - very quiet ! noise street ( exception roadwork start leave ) hotel clientele . -I order room service twice find food ok . still advise find restaurant . room service LAST resort.-friendly courteous staff speak perfect English . - conveniently locate 3 block Square - Victoria metro station 10 - minute walk near VIA Rail Canada station.-because be border downtown Old Montreal , lot tourist site close by.-Free Wi - fi - pretty , clean room - I get bed service even not request . Cons - Contrary hotel 's website say , HEART Old Montreal . be actually far nw corner , right border downtown Montreal proper . -Because hotel downtown , street dead work hour weekend . place shop eat time . -The free wi - fi network UNSECURE . user beware . also cut time . might wi - fi catcher act up.-i can not imagine great view hotel unless suite . could see little bit Basilique Notre - Dame de Montreal bedroom window though . -only one slow elevator . take stair . con little significance ( anyway ) , would highly recommend hotel . also suggest go Montreal late April / early May . lot folk around weather amazing . 
 May 4 2009 	 Classy comfortable 	 eld daughter travel Montreal bring back young daughter first year McGill University . one night squashed residence room ( try rough economize ! ) log computer search Montreal hotel ! phone Hotel XIX Siecle get last minute rate two night able check noon day . large room front hotel ( fourth floor ) two queen bed . heavenly . much space three us luggage ! bed comfortable linen warm cosy . like cool night able turn temperature overnight in - room control . like bathroom much . light nice sparkly tub nice deep . another comment read TripAdvisor say water not hot enough . wonder realize adjust temperature . handle turn on / off be another slider bar temperature . find location perfect . valet parking much appreciate . be $ 22 / day charge unlimited 's 's . park overnight university night charge $ 23 10 hour street parking campus much superior . enjoy walk around Old Montreal eat several great unique restaurant . breakfast breakfast room second morning . good wish go previous morning well . price $ 10 per person extremely reasonable beautiful selection . breakfast room beautiful server attentive pleasant . stay hotel save three - day Montreal visit disaster turn enjoyable experience . would definitely stay . 
 Apr 25 2009 	 excellent quality value prime location - real gem . 	 hotel complete delight , friendly , helpful staff , excellent location five minute walk metro underground city , ten minute walk Vieux Montreal . room ( book economy package ) extremely comfortable bed high quality bedding , good lighting furnishing clean commodious bathroom lovely toiletry generous size ( replace daily ) . breakfast one day , dining room almost empty , although breakfast fine . lot place immediate vicinity get continental cook breakfast sort price ( CD10 ) . middle - aged woman travel alone , feel safe comfortable . elegant bar area adjacent lobby , sofas magazine , well free internet access printer - useful want check - in online flight home . drink reasonably price ( expensive outside hotel bonus happy hour 5 - 7pm ) . guest hotel mostly middle - aged couple single , business people . although hotel not designate luggage room , look two huge suitcase basement , day day departure , make charge . staff hotel organise taxi airport ( flat rate CD38 ) take luggage taxi . could kinder helpful , speak good English make feel welcome . would certainly stay recommend hotel highly . 
 Apr 23 2009 	 good simple boutique hotel 	 would always want stay old town Montreal , finally make . hotel pretty old & quot ; hotel de ville & quot ; style house , lobby short staircase street . check efficient friendly . room large comfortable , good bathroom comfortable bedding . decor tasteful - keep period building , without pastiche fussy . internet work well . miss kettle room . breakfast morning restaurant - style room , good continental spread enough choice . the location ideal explore old town , close enough business district . I recommend good quality tourist hotel , mid - range business hotel road warrior tire big - box hotel . 
