lovely 	 Hubby & amp ; return 4 day trip LV . stay Tahiti could not well . staff friendly responsive ( fireplace not come arrive room think serviceman knock door would even hang phone front desk ! ) .Our room ( 1 BR LV , full size kitchen balcony overlook pool ) , clean locate have ask call front desk couple day arrival . location give quick access highway major road around city . shuttle service available , rental car . use shuttle pick Tropicana ride Treasure Island pick car spending afternoon work way strip foot . ( not miss ' perfect ' margarita Margaritaville Flamingo ! ) . ride pretty quick driver full great suggestion around town . overall , find major issue resort would definitely stay - 's big , huge resort , want access Vegas offer , also place chill - highly recommend Tahiti ( confused 's sister resort , Tahiti village locate south Mandalay Bay near airport South Las Vegas Blvd ) . 
 Oct 26 2009 	 CleanQuiet close strip . 	 stay ESPN golf tournament Paiute Golf club . we two guy early 60 . resort perfect need . outside strip easy we drive around town avoid traffic . resort BQ grill , Hot tub great ache back 36 hole golf day . Dennys restaurant next door Supermarkets , Pharmacy , many restaurant walk distance form resort . stay one bedroom pull couch living room area two nice size tv . work great we . airport 15/20 min away . resort close major highway . take trip Mesquite nevada/ Utah border near Zion National park . 88 mile away 90 min car . 
 Sep 8 2009 	 happy Tahiti : ) 	 husband stay Tahiti Labor Day Weekend . call ahead request pool - view room be get . one bedroom , bedroom king bed , nice sized tv plenty closet space . bathroom double sink , large glass enclose shower lot towel provide . main living area couch , chair , dining set chair four , kitchen area full sized fridge stove , microwave dishwasher . balcony small table two chair . the pool area nice people seem use . ( ? ? ) see 30 people spend two full day lounge ! one pool seem heated little cooler . not use hot tub , look nice waterfall beside . water clean , whole resort . bring food drink poolside not issue ( important we timeshare user ) .The free shuttle service strip great ( little behind schedule sometimes plan accordingly ) . drop Tropicana , NYNY , Orleans ( one block Tahiti ) . walk Orleans take around 5 - 10 minute . next door resort Starbucks , Quiznos , Taco something , Walgreens ( purchase milk , cereal , snack , etc . ) complimentary breakfast consist toast , coffee , juice - ok since free . only one complaint - pay WIFI.I would definitely stay ! 
 Aug 5 2009 	 Horrible Service Rude Staff Bad Location . 	 ok stay many hotel time property bad . arrive Las Vegas around 2:00pm get hotel way Tropicana past Orleans . room ready tell wait hour ready . ok leave hour come back ( good thing rental car ) check room . view even pool property lay like Motel 6 anything else . reserve smoking room . unpack realize ashtray room . call lobby ask ashtray . assure & quot ; problem ' will someone send one right . ok wait ...... wait ....... wait ....... 45 min pass decide go downstairs see ashtray . ( FYI property small , large like MGM Grand anything service quick anything ) . low behold reach lobby less 8 employee stand around nothing . chit chatting like . approach desk ask ashtray . act like could careless rude . complain front desk tell & quot ; do not like tone continue call Police & quot ; UNBELIEVEABLE.Ok leave hit strip . come back room note say please call front desk . inform room give really NON smoking would move tomorrow . point I m furious take grain salt say fine . next morning pack get new room key . look number room . two doors . kid move 2 door room also ashtray . HOTEL miserable would recommend anyone . call Consolidated Resorts owner hotel get form letter apology leave Vegas . want cheap hotel vegas ( eitther strip ! ! ! ) warning : avoid PLace cost ! ! ! 
 May 31 2009 	 Quiet easy cheap tahiti 	 first place stay trip state . not fuss game great place stay since casino fruit machine premise . hotel quite close strip certainly walk distance . say though , strip not pleasant walk experience especially heat except perhaps around Bellagio area . plus side free shuttle depart hotel strip every hour hour connect free shuttle part city . go around house could not complain much since free ! interior bit soulless cavernous corridor . however pool area middle pleasant room huge comfortable nice kitchenette even spa bath . stay less 7 day free maid service . be town bit , little noise . noise insulation room not great not disturb . a simple breakfast provide , particularly great pretty awful room . little else offer toast ! parking free shaded . - deluxe experience comfy room good base explore crazy city Vegas . 
 May 22 2009 	 absolutely wonderful ! 	 husband stay honeymoon . pleased . locate far enough strip chaotic outside property , yet minute away hussle bussle . staff great well room . husband private nice feel hotel staff watch every move , yet something need easy locate . cookout pool area one day take advantage , purchase ticket day front desk . pool nice , sand bottom unique . favorite part outdoor shower . hot hot lay sit lawn chair near shower every 10 minute would rinse cool . thing bit pathetic complimentary breakfast , try pretty much toast juice , quite like understand , really neat hula video playing . one day go hoover damn tour end decide go back area rent boat next day go onto Lake Mead , INCREDIBLE ! ! ! anyone chance visit magnificent place ! 
 Apr 22 2009 	 perfect oasis ! 	 arrive little concerned would find pay little . fact need worried . book family suite turn two adjone room give massive floor area , two en - suite bedroom , two kitchen lounge area - probably 100 sq metre area together . room well appoint kitchen include dishwasher , microwave , big cooker , washing machine , tumble drier etc - would excellent option want stay week Vegas . everything immaculate - think must recently refurbish . reception nice introduction , high quality remain throughout premise unlike many hotel . pool area superb . seem quiet many guest . staff friendly go way helpful . next door retail park supermarket various restaurant take - away include Dennys , Pizza , Mexican Chinese & amp ; Japanese . one thing aware - place strictly hotel . seem kind time - share venture . mean hotel bar restaurant , frequently hear potential client escort around rather loud over - keen salesman ! one drawback - standard check - in time late ( 4 pm ) check - out time early ( 10 am ) . however flexible us check - out time , also provide key card could sue hotel facility , pool etc could check - in . I would strongly recommend anyone stay Vegas - 's great quiet , relaxed contrast strip noise light ! 
 Apr 18 2009 	 place great ! 	 get back week Tahiti Resort Tropicana Ave . wonderful ! room ( one bedroom 2nd floor ) roomy , clean , update . washer / dryer convenient . resort perfect location- take couple minute get strip ! pretty cold week get use pool once- clean plenty seating . the staff friendly- call toilet paper arrive within 10 minute . this great , relax resort return long day strip ! 
 Apr 13 2009 	 pleased Tahiti ! 	 buy Tahiti last year without ever see resort base largely review site . spend week Tahiti end March 2009 love ! room nice . clean , comfortable & amp ; well equip . staff extremely friendly helpful . pool area excellent . bbq area lot room bbq 's large clean . we like security site parking gate lock 10:00 pm . the area drug store , coffee shop , 3 restaurant 2 gas station sell liquor within 1 block . the shuttle system handy , make sure tell front desk waiting shuttle ; get leave behind once . Taxi strip average approximately $ 15.00 / trip tip . any complaint minor , not worth mention . as other mention , nice get away strip relax pool cook meal instead eat restaurant time vacation . if look quiet , strip place stay , might look . 
 Mar 5 2009 	 Great Value Money 	 book place cheap quiet place stay Las Vegas NASCAR weekend . know advance Tahiti time share resort expect bugged buy . although ask attend presentation decline bother . property terriffic , nice place away hustle & quot ; Strip & quot ; . room kitchenette roomy comfortable . heated pool spa plus . hotel 2 mile strip shuttle . rental car real concern we . would great place family stay enjoy Las Vegas without hassle kids hotel Strip 
 Dec 15 2008 	 Perfect alternative ( expensive ) Strip 	 son stay Thanksgiving week . since town see sight , strip , perfect . use Interval & quot ; getaway & quot ; rent one bedroom . kitchen allow we eat cheaply nice . bathroom arrangement fabulous . could wake early stay bedroom , watch news , etc son sleep living area . concierge helpful receive selling pressure . shuttle strip lifesaver use several time . nearby shop eat place cheap good . room clean . would stay , . 
