nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Nov 20 2009 	 raise bar 	 spend last weekend Four Seasons , able stay anywhere else . yes , be expensive , appreciate removed glitz etc . Vegas , yet able enjoy everything Vegas offer term . Strip view worth upgrade . eat restaurant Mandalay Bay Casino area , impressed Border Grill Strip Steak . happy leave behind end night , slip back luxury Four Seasons . 
 Nov 15 2009 	 actually good value believe ! 	 stay three night end October , book American Express Fine Hotels & amp ; resort . package give we third night free , plus breakfast either room Verandah Restaurant , plus one free dinner Verandah . final per night cost $ 109 , unbelievable four Seasons . reason give 4 rather 5 star value internet access charge . really free level hotel . the room large , bed comfy really oasis calm ( advertise ) . actually experience culture shock open & quot ; secret & quot ; door bustle Mandalay Bay . forget Vegas ! 
 Nov 15 2009 	 New Las Vegas Experience 	 Took & quot ; staycation & quot ; super hotel . perhaps $ 145 rate pre - judges opinion , excellent . property offer low rate Nevada resident - must prove live state , otherwise go $ 200 night plus . service , service , service far good hotel Las Vegas . Front Desk staff beyond courteous - amazing . 33 year live Vegas ' ve stay many hotel . four Seasons sit atop Mandalay Bay , 's entrance , lobby , restuarant , spa pool . unless strip view - have never know & quot ; Sin City . & quot ; room comfortable ; bathroom ' soak tub ' wonderful . quiet . elevator go lobby bypass every floor 35 36 , nice . , offer smoking room , know rare Four Seasons hotel - perhaps still permit Las Vegas , except restuarant . look forward next & quot ; staycation & quot ; great hotel . 
 Nov 15 2009 	 oasis calm full - on Vegas strip . 	 traveller usually stay budget hotel bit treat . opportunity stay wonderful hotel use term lightly . admit get opportunity stay 5 + star hotel regular basis review base limited experience they . the hotel locate top Mandalay Bay complex locate floor 35 - 39 . 's independant lobby elevator ground level , need walk casino get hotel . begin welcome . arrival airport check swiftly courteously show elevator . get give cold bottled water refresh we journey . elevator go floor 35 - 39 access casino level wish . our room 39th floor strip view . room twin room two comfortable queen sized bed . well clean well decorate solid wood furniture soft furnishing . large screen television access many channel , movie , game internet . bedside table lamp , ipod dock bedside alarm clock . large comfortable chair footstool relax well desk two chair writing equipment . well - stock minibar snack drink plenty closet space . bathroom clean bright marble suite great shower bath . plenty clean towel bathroom product like L'Occitane soap shampoo . our room service super - efficient often return find bed make room clean . fresh fruit deliver one night well bottled water regular basis . lot service access not necessarily use like laundry service , in - room dining use business conference centre . colleague visit spa ground level full praise it . the hotel get steak house well contemporary italian restaurant call Verandah . will write seperate review that . I would definately recommend hotel anyone opportunity stay . oasis calm full - on sight sound Vegas strip . 
 Nov 15 2009 	 Awesome start finish 	 arrive oct 16 , book 6 night , check girlfriend ask room upgrade strip view , tell hotel full weekend monday 18th would strip view available , check find room 36th floor , beautiful room , expect four season hotel , 18th recieve message reception new room ready , within 15 minute new room , awesome view look straight strip , room would cost $ 100 night extra book form start complimentary , everybody come contact work hotel helpful really make stay Las Vegas great experience , stay wynn last year think want hotel Vegas ultimate luxury , comfortable bed , pleasant staff , great pool , four season , will return next year think already know will stay . well do four season Las Vegas . 
 Nov 13 2009 	 Four Seasons - five star 	 stay 2 night hotel recently love experience . book Wot - if get heavily discount rate- view base . room decent size , decorate Icall bland traditional america style fantastic view look right strip . -room service excellent . bed comfy bathroom beautifully appoint . enjoy atmosphere poolside restaurant fantastic service pool attendant set lounger cover towel buy iced water glass table . to clear confusion four season top 4 5 floor Hotel Mandalay Bay . this locate one end strip , close airport . 10 minute walk strip Belligio ( centre Vegas ) lift , restaurant pool casino . direct access Mandalay Bay casino . I 
 Nov 10 2009 	 truly outstanding - one well four season 	 Four season top - notch - one slightly well . service relaxed script ; room clean well maintain ; room service good , food service ; hotel delight stay . want frantic world Vegas , look elsewhere - , say , one place city find serenity . 
 Nov 9 2009 	 even demand meeting planner be flawless ! 	 one two - day meeting business owner , CEO 's president , 160 last 15 year , 30 U.S. state . tough rater , demonstrate many review . year go back Las Vegas Four Seasons base superb experience last year major client . one admit literally class meeting banquet category . not miss tiny beat . worth every penny cost differential . 
 Nov 7 2009 	 expect consistent service problem solving 	 go Vegas see U2 Sam Boyd , book room month ago 3 2 rate -- strip view . call crazy , bed face strip . room definitely clean , concierge part extremely friendly , food nummie restaurant tasty oh , not order room service . soggy pizza , burn pancack , sickenly sweet smoothy . base quick dinner downstairs well . encounter loud disco one night -- front desk try convince roof top , next night ( thank heaven ) . definitely nice side few wait thing . bathroom -- hairdryer blow fuse , bring new one die . hair thick . l'occidente product extremely dry -- not think remotely high end -- give good Fresh Rice bath Bergamot age delay body cream -- would fee like go extra country mile . so , would stay 350 night ? sure . appreciate concierge get we fountain view window olive . hey , be Vegas , one lighten go it . one aside -- balinese masage must - really know be be going transport another planet . go . be pretty planet ! ! u2 amazing , Valley Fire National Park . could camp -- look interesting . 
 Nov 6 2009 	 great usual 	 stay 3 night , staff really make stay . friendly ! husband leave cc staff willing call help locate . also , like quiteness hotel . not noisy crowd hall usually keep awake night . 
