great 	 stay 3 kid . connect room . spacious , quiet , comfortable , nice pool , nice restaurant , great location , good value . nothing complain . 
 nice accomodating 	 stay Park Lane 6 night business . proximity Tube outstanding . concierge front desk always helpful never overbear . stay Room 431 , standard room . view , could not care less . room probably 90 % size room would expect States . travel Europe , know pretty good sized room . everything clean . breakfast , ask conierge send little shop block away North Row . much cheap well breakfast . another review right . lot great restaurant around . enjoy go Marlborough Head pub standard English fare hand - pump beer . everyone nice there . only con : daily charge wireless internet . 2 - 3 extra fee tack roomservice ( delivery charge , tray pickup charge , etc . ) safe travel ! Mark 
 Nov 19 2009 	 feel much home hotel 	 compare early stay so - call boutique hotel ( even brand new one ) often airconditioning not work room terribly small service bad , really happy hotel . ( standard ) room spacious , well light , nicely furnish , minimalistic like office , comfortable inviting . good airconditioning . surprised quiet room saturday night . room face rear . bathroom small , clean , nicely heated . thing not like chrome appliance ( handle bathtub , towel rail plug bathtub ) polished , ' m sure wether wear tear lack cleaning , although rest clean . staff friendly , location could not well ( right next tube station Marble Arch ) . indoor swimming pool exceptional , cold well keep , nice girl Hungary reception . breakfast good , personnel accommodate well . Shame be quite expensive , favourable weekend rate feasable . would gladly return . 
 Nov 12 2009 	 Good Location . around corner Tube 	 stay hotel 1 night layover London . front desk accomodate since arrive morning , overnight flight . find room surprisingly big ... huge , roomy enough find central London . breakfast restaurant : kipper potatoe . delicious enough . room shower . door shower good condition ; fall several time try open . also , not many restaurant area ; wound charming italian restaurant across street hotel . overall , find staff friendly approachable . next visit , would look around equally luxurious hotel ... close choice fine dining . 
 Nov 3 2009 	 great location great stay 	 get terrific price Priceline name price 5 star Mayfair / Soho , location terrific , right next Marble Arch tube station walk distance Selfridge 's ! eat Marlborough Head pub street , great . check conveyor belt sushi Selfridge 's ! staff helpful , room great . would love stay ! 
 Oct 31 2009 	 Great London Hotel A+ Service Location 	 return reward - pay trip London Marriott Park Lane great spot . ' m frequent Marriott traveler ( 120 + night annually ) find hotel par good city hotel Marriott offer . combine business necessity great amenity leisure travel . enjoy large pool basement up - to - date fitness center . lobby bar good spot hang service outstanding ; also make mean turkey club sandwich . concierge staff outstanding booking airport car service get we shipper box pack champagne buy France . 
 Oct 29 2009 	 great hotel great location ! 	 stay phenomenal . room beautiful amazing view Hyde Park . London standard , room large . one good thing hotel great pool steam room . nice long day run around London go back hotel enjoy nice swim steam room . staff great - nice always willing help anything . restaurant great , location great , everything hotel great . highly recommend ! 
 oct 22 2009 	 great location large clean comfortable room . 	 stay 2 night impressed aspect hotel . close marble arch tube station corner Oxford street . room large comfortable . staff helpful . 
 Oct 12 2009 	 Great Hotel 	 love hotel , great location , staff friendly helpful . would stay ! 
 Oct 6 2009 	 Marriott - Excellent 	 beautiful room , walk distance Tube , love ! 
 Sep 23 2009 	 great Stay ! 	 arrive early morning flight , arrive Park Lane . though noon room ready yet , quickly arraign clean relaxed lounge . within hour room great stay begin ! bag already bring ! room comfortable clean . though tight , plenty big two people , though not ton room spread . grip 15pound room daily internet fee . luckily free Wi - fi executive lounge , would nice get in - room . overall , great stay ! ( oh , hotel directly next Marble Arch tube station , be plan get around way fantastic place stay ! ) 
 Sep 21 2009 	 Great Hotel great location ........ Great Marriott Hotel 	 stay friend weekend base explore Ctiy . must say hotel clean staff friend always give eye contact hotel . never exprience food dirnk great good sevice form bar staff . visitng London could stay would . 
 Sep 15 2009 	 Pleasant Stay 	 stay four night late Aug 2009 . like another traveler approach stay trepidation pleased experience . get room Priceline Negotiator think might affect room nice large king size bed . third floor street noise morning turn room ' fan block noise . it ' close transportation eatery . never eat hotel ' comment food . small hole wall snack shop main door leave N row call Cardinals . one doorman tell nice snack pastry . pastry good become breakfast bar along one visit McDonalds . big breakfast almost tiresome point trip simple pastry junk food welcome relief , yeah , ' tacky , know . we enjoy stay would definitely come . 
 Sep 11 2009 	 great location - wonderful staff 	 stay three night . great location . room wonderful . staff friendly helpfull . restaurant great excellent food . morning departure breakfast room open yet provide we coffee pastry . defenitely see . 
 Aug 29 2009 	 good overall great location 	 enjoy stay location excellent majority staff extremely courteous helpful . hotel well present immaculately clean . thank everyone make stay enjoyable ; impressed . one member staff , bald man door age 30s-40s , rude . need assistance get taxi Paddington Station try get attention ask question . however guy world , texting , idea even present . ask twice , second time partner speak loudly order hear . man interpret rudeness roll eye we . view customer service thing , not take job hotel doorman . one individual however although affect opinion hotel , type incident easy remember since keep rest staff great . show high standard hotel must maintain order retain good customer impression . overall hotel well recommend , great spot . 
 Aug 23 2009 	 good quality Marriott 	 stay Park Lane Marriott business read early Trip Advisor review approach stay trepidation . however , pleasantly surprised . excellent quality staff doorman , receptionist restaurant wait staff - eager please , friendly welcoming . see kid run round hotel feel establishment well manage . basement meeting room well supply coffee nibble staff deal promptly efficiently request conference phone . bedroom high standard - typical Marriott furnishing resaonable size central London . right next door Hyde Park opposite Marble Arch tube station well locate . stay number substandard central London hotel past month , would definately consider return Park Lane Marriott . 
 Aug 6 2009 	 Disappointed overall 	 stay wife Reward Points . since suppose one nice Marriotts London , think set expectation high . incredibly familiar London choose . location next Hyde Park perfect morning run , far tourist thing want . would stay pay regular rate . room decent , nice fitness center pool , nothing & quot ; wowed & quot ; hotel . the executive lounge un - relaxing lounge ever experience . early morning late night , use playground child mother ( nanny ? ) . kid ride razor scooter lounge run around constantly . staff rarely anything , even let family access card . strange setup . sure typical , hit bad week . 
 Jul 25 2009 	 ok not list 5 star 	 go night spouse quick getaway , not expect much , although 5 - star London expect certain level hotel . the room spacious clean , although take room smoking floor rather musty smell , tell room available . mini bar empty , ask restock . problem minor , upon arrival decide make use ' all one ' entertainment package flat fee movie , high speed internet tv channel - internet husband check work . try connect laptop internet , inform would another fee , internet within package ' tv internet ' - slow difficult service almost impossible use . speak hotel ask could reverse charge so - call ' all ' package tell difficult . point package rather mislead never issue hotel , tell ' if refuse pay charge , suppose hotel pick ' . suggestion try get pay bill , respond money , rather principle treat suppose 5 star hotel . on check charge indeed remove , go little way make issue check - in , marriott leave we rather sour taste particularly way treat . 
 Jul 24 2009 	 Excellent hotel 	 room spacious , clean comfortable . also quiet face inside courtyard building . look onto Hyde Park lovely also noisy . location good , public transport easily accessible , top Park Lane adjacent Oxford Street , shopping . go West End twice see show one occcasion walk back hotel , far concerned , everything within easy reach . staff friendly . eat hotel . breakfast expensive get deal breakfast include would big plus . get good deal hotels.com three night price two . would definitely recommend hotel 
 Jul 21 2009 	 beware thief - 's duty care hotel ? 	 run training course Hyde Park Suite hotel . last week . act associate training company . we ( 10 participant ) break coffee adjacent coffee lounge first morning ; room would lock also fire exit . within 10 minute period thief enter room stole bank card , drive licence , passport delegate . theft discover one participant evening - other next day , next evening . one steal debit card use within 15 minute start break . I leave strand London ( though British currently live France ) 2 week take replace passport . debit credit card also steal . Marriott hotel refuse take responsibility ; arrange accommodation , basically , do nothing . speak director level not help ( discover loss Friday evening en route travel home ) . call first thing Saturday morning . take 4 hour go chain command till call . justification offer support hotel full ; Marriott hotel act independent business , offer accommodation Marriott brand hotel . prepare ask colleague hotel . prepared raise issue high - weekend not want disturb other within & quot ; brand & quot ; .infIn record conversation someone commission training company ( room hire contract Marriott ) everyone busy duck responsibility liability . leave ? immense complication personal professional lif , let client . many hundred pound pocket . so think buy brand - 's problem . think buy brand value customer service - 's problem . expect duty care - be leave strand tell claim travel insurance would not actually cover sort instance . we think hotel venue holiday . hotel make lot money , business business , conference meeting venue . what right ? right ? anyone actually care ? attend meet hotel - careful . righrt ? hotel 's responsibility ? run meet hotel - question ariseif stuck middle - ? 
 Jun 8 2009 	 Great Location OK Hotel 	 hotel fabulous Hyde Park / Oxford Street area , could not convenient . take bus Tube almost anywhere staff helpful get we situate map public transport . hotel room spacious right amenity -- hair dryer , iron , iron board , retractable line hang laundry , towel warming rack , lot hook space bathroom , ample seating , great view Hyde Park , nice pool sauna . price steep , location could not beat . 
 Jun 4 2009 	 enjoy would go back 	 Service wonderful ! moment taxi pull moment leave , everyone exceptional . bag bring room promptly , person ask ice bucket could fill , show everything room , etc . location great easily get around bus tube 5 min walk Gordon Ramsey 's restaurant , Maze . Park across street great afternoon stroll picnic ( go food level Selfridges & amp ; Harrods - close ) . bathroom awesome . robe , heat towel rack - long airplane ride , feel wonderful stand shower wash & quot ; airplane & quot ; . concierge give wonderful direction map plus suggestion . love pamper service everyone give . 
