far 	 great fortune stay Intercontinental Park Lane Hotel , London , last 2 day . Medical Conference , stay hotel ( well cost conference ) pay Abbott Pharmaceuticals ( ' thank ' help produce drug protocol ) . Conference hold ExCel ; 10 stop DLR another 5 underground - leave Conference grumbling distance travel get hotel ! well .... would travel twice distance hotel ! arrive Reception 7 pm , horrible queue check - in , meet smile face lady book . make absolutely reference fact give luxury suite - simply give room ( suite ) key , informed 1st floor ask require anyone carry bag . decline offer carrier ( bag not posh , not want embarrassed ! ) take lift . say , wonder door say ' spa Intercontinental ' get , exhausted throw body door . open door expect see exactly one find every hotel - bed close door , tray near door kettle , trouser press etc . .. oh . actually greet open door opulence ! ! shine black tile floor , gleam wooden door . put light , still sure look , see door front , assume door leave bedspace - , ... ! stunning walk - in wardrobe , bar - area prior ! loo large standard downstairs toilet - area 1st close door . .... open heavy double - door face , find ENORMOUS bedroom , beautiful bed , curve sofa one end , chaisse - longue . Glass finishing everywhere , , think have see , another door huge bathroom illuminate Spa , wet room rainforest shower another loo ! view window ParkLane Picadilly Hyde Park ( splendid German Xmas Market ! ) one main reason write review stay lot place lifetime ; ' ve stun 5 - star hotel SWitzerland skiing , across Europe , Americas wide world . hotel profess probably aspire , none quite deliver , opinion , profess . intercontinental seem play description ! know not expect opulent stay ( 3 - day conference work ! ) expectation fairly low ; however , since ' ve return home find description Spa suite website ! room , incidentally , 106 . really lucky , believe Pharm Co over - subscribe , therefore upgrade . however , seem wonderful staff take enormous pride ensure stay match luxury stay thereafter ! not grumpy face amongst ! lovely lady offer ' turn ' , cheerful Kimberley sort extra night - ( ! ) yes , stay hotel staff see remain ! HUGELY impress night security man , John . unfortunate temporary ' loss ' handbag bar one evening like shot , despite incident hotel . scrutinise CCTV find bag ; remember perfect gentleman ( tell ex - military ; - however think impeccable manner credit personality , rather military background , well hotel ) oh , way , bag mislay - course ! finally , We d 25th Nov , beautifully relax illuminated Jacuzzi bathroom , come ever - so - reluctant check , could believe lovely lady behind desk ( wish have get name - think French ) offer help carry bag outside , also insist leave post come outside walk end road could show Tube Station ! never care attention yet , say , stay high quality hotel life , generally ski leisure . I highly impress wonderful place would give eye - tooth return one day . however , sadly , not think would ever able stay Spa Suite , room 106 ! memory ! thank Intercontinental Park Lane unmatchable hospitality . would love could put picture 106 site , , great staff , really proud ! kind regardslouanne mccabewinchesterhampshireuk 
 Nov 24 2009 	 Classic Hotel Ruined Modernisation ... poor Value Money . 	 ' ve IC Ambassador many year include top tier Royal Ambassador . prior upgrade / modernisation hotel classic appearance refurbishment would require immediately , indeed much charm hotel lose builder skip honesty really can not see major improvement room upgrade aesthetic change lobby area . what strike change management style , obvious new management bring hotel match new modern appearance nothing impolite arrogant . clear , write review third stay hotel since refurbishment stay quite time prior closure year ago ... welcome smile invite club lounge , get exactly entitle one level upgrade discretion reception could stomach room hotel special , ... particularly rate charge nothing short attitude , & quot ; ... well know rich cat pay let cream sod ... & quot ; one start stay elsewhere London . as comparisson stay Intercontinetal Miami three day stay night day , problem not IC group 's hotel mind seem think little bit special . my suggestion , save money stay close town comaprable hotel quality style numerous . ic London outclass ever even finish refurbishment ... truly sad waste hotel . 
 Nov 22 2009 	 great hotel location 	 stay hotel go Patriots @ Buccaneers game . London many time 's always thing : expensive hotel small room . time different . stay 4 night : 3 night friend & amp ; familiy rate ( 135 pound ) one night Priceline ( 130 pound ! ! ) . room get big , certainly London standard , comfortable . corner room look Hyde Park . even tough mean lot traffic , not hear anything . bed great , bathroom wonderful ( love shower ) , room great ! breakfast good ( buy advance , save 50 % . help otherwise ridiculously expensive ) . not dinner hotel ( btw , Hard Rock Cafe around corner , be ) .The bar small ok . the lobby small , , give ' cosy ' atmosphere hotel . location hotel excellent . be right next Hyde Park . Exford street 10 minute away , Mayfair next door , Buckingham Palace 10 minute away , Harrods . subway station nearby well . , location - wise be ok here . a special thank concierge : get we reservation Fifteen , even tough full . even well : find Monty Python going play Royal Albert Hall stay . ' m big Python fan , want go , course sell . ask concierge could magic guess : get us ticket face value . excellent seat ! ! ! perfect ! ! pleasant stay ! 
 Nov 19 2009 	 Lovely Hotel wonderful service 	 stay Intercontinental recently comment lovely stay warm welcome receive staff . having long day road arrive tired flustered greet reception Dominic obviously see stress make feel welcome kindly upgrade suite . the room lovely luxurious quiet quite possibly one comfortable bed ever sleep . good quality Elemis toiletry bathroom everything could ask for . we eat italian restaurant evening food delicious , service quick without rush London hotel think reasonably price . the one thing comment particular staff willingness help . arrive back home realise leave glass hotel experience hotel assume would never see . could not wrong staff went find post back within day cost . 5 * hotel worthy accolade , would hesitate return strongly recommend give try . 
 Nov 17 2009 	 beautiful location good restaurant 	 happy location ( close great shopping , eating , site interest ) , staff helpful amenity hotel good , particularly Cookbook restaurant . room also well - equip tasteful . 
 Nov 17 2009 	 WOW ! make mind . 	 read review go prepared dissappointe . wrong , hotel fantastic , especially upgrade club lounge 7th floor . take partner romantic weekend break overwhelm every aspect hotel . staff friendly helpful , room , whilst compact , well appoint comfotable king size bed lovely big soft pillow . minibar well stock ( know expensive , hey , live ! ) . also close Hyde Park underground wonderfully position exploring . ( 5 min walk Buckingham Palace ) . not recommend many thing put list place stay ! 
 Nov 16 2009 	 Ab Fab ! 	 come back weekend London stay Intercontinental Hotel Park Lane want say abolutely fantastic hotel . use stay 5 star hotel realise expectation high however say Interconti exceed .... reason ... staff service ! many time big hotel faceless however could not different . nothing much trouble never find everyone friendlt teh whetehr reception , doorman , concierge , restaurant housekeeping . actually seem take pleasure pride job rare day . be not cheap get pay - case hotel actually get hope receive . do not eat teh main restaurant sample breakfast cookbook cafe lobby lounge outstanding . can not recommend hotel high enough . 
 Nov 8 2009 	 nice stay would recommend 	 good stay Intercontinental Park Lane . we arrive early non smoking room not ready , give card access club lounge decide go walk leave luggage reception ask mobile phone number call room ready . we sit Green Park call say room ready , key need collect luggage already wait room . the superior room book large nice view , bose sound system B & amp ; TV.As club lounge something add want sure vegeterian would cater , contact lounge advance . the staff helpful arrange vegeterain option we , call confirm time would like canope ensure fresh arrive wait vegeterian option buy table along many alcholic drink want . the follow morning 's breakfast lounge nice , lot buffet option also hot food . opt waffle nice , word warn waffle huge , make mistake buffet food waffle arrive . all staff encounte pleasent could not enough we . I would definately recommend hotel other . 
 Nov 8 2009 	 excellent location good breakfast 	 get good price room two night November . booked last minute dot com . great location , service good , breakfast morning excellent . criticism hotel room little small side ... room face inner courtyard , possibly one cheap room call & quot ; classic room & quot ; . room face Park Lane look big . twin room , two small single bed ... usual 2 x double get place like marriott ... however get great rate room , overall though good hotel excellent location . would stay . 
 Nov 7 2009 	 good great 	 always good choice great location . however , always feel something missing . sort vanilla feeling place . good choice find fair rate special splurge . 
 Nov 1 2009 	 happy stay Intercontinental 	 ' ve stay 1 night must say really happy . hotel location great , next Hyde Park Green Park , close Mayfair picaddilly Circus next bus stop , tube station Hard Rock Café London . staff nice helpful . can not compain service . easy check - in check - out concierge service convenient . the room ' ve book website 5th floor Hyde Park view . large , comfy King size bed , non - smoking ( request ) , B & amp ; flat screen tv , desk , sofa / chair . marble bathroom well appoint luxurious power shower large towel . the complain make 's free internet access room Business Center access fee . include rate 5 * hotel ! housekeeping wake twice 7.30am not put & quot ; disturb & quot ; sign door . all , highly recommend 5 * hotel get affordable rate . 
