wonderful 	 completely satisfied hotel . room amazing , love kitchen area complete fridge , microwave , stove , dishwasher . everything spotless clean loved huge bathroom . location quite nice ( ten minute walk heart downtown ) Harry Carey 's House Blues across street . staff kind helpful . free breakfast , evening appetizer , evening drink excellent bonus . stay ! 
 Nov 24 2009 	 Outstanding 	 never wonderful experience hotel . bring dog we trip moment arrive greet warmly staff bend backwards help we dog crate , luggage , help we room , etc . dog receive much attention staff , resident want pet coo . room comfortable sound proof . also appreciate fact hotel secure - use pass key elevator get floor . also patch grass block half away hotel dog relieve . happen next Chicago Fire Department , make we feel safe . go Chicago see Addams Family . walk dinner Harry Carrey 's ( one block away ) Oriental Theatre ( seven block away ) . cab need . also , walk Whole Foods ( seven block ) . definitely come back bring dog . oh way , hotel charge $ 100 non - refundable pet fee , worth . 
 Nov 15 2009 	 Amazing Hotel Heart Chicago 	 book room hotel get great online rate . since rate low expect much hotel worry turn popular ( expensive ) 4 star hotel stay ... completely wrong . first brand new hotel mean new sheet , furniture , kitchen , bathroom , lobby etc . room extremely clean , spacious , impressive . go middle week receive free hot breakfeast buffet morning , free dinner buffet night , honest selection food excellent . hotel also free wifi lobby room , also free business center case forget laptop . exercise room , pool hot tub top floor overlook city ( perfect long day ) . one aspect hotel stand amazing service friendliness employee . morning greet , come back welcome , need help know exactly everything , need extra towel sheet come door less 2 minute ! ! hotel make marriot hotel stay seem like 2 star hotel . each hotel stay find lest one con ( even minor ) hotel 100 % perfect ! stay hotel Chicago , even rate double pay . 
 Oct 31 2009 	 great hotel value location serve friendly courteous staff . 	 son 's entry Chicago Marathon present opportunity short visit Chicago . four day reservation arrange cheerfully without difficulty . arrival O'Hare International two day prior marathon give adequate time settle - in gain perspective hotel facility navigation around city . catch train O'Hare deliver we within three block hotel . hotel prove ideal location launch pad tour city short foot - bind excursion many nearby attraction . hotel within block ground transportation short distance many critical waypoint along marathon route . come & quot ; home & quot ; hotel always receive friendly courteous greeting hotel staff . room service equally cordial helpful . room spacious sparkle clean . hotel 's breakfast buffet great extended facility . would recommend hotel family friend return early convenience . 
 Oct 21 2009 	 great family great location great service ! 	 arrive Minneapolis Thu Oct 15 leave Sun Oct 18.We able & quot ; social hour & quot ; dinner Thursday ( serve M - TH 1800 - 1930 ) . nothing special , self serve buffet style , salad , Grille chck breast sandwich , brown bean , chip brownie . serve pop , water , wine beer . nice save money go eat trip sightseeing ready early dinner time indoor pool ( 27th floor ) .Our kid ( 6 8 ) love pool hot tub . crowd great view . include breakfast also great : make waffle , sausage , potato , egg , cereal , fruit , coffee , juice , yogurt , etcThe service hotel staff 5 star . everyone really his / her good make stay enjoyable . upon check , give bottle wine chip conversation come fact weed anniversary weekend ! nice gesture . the location could well . close CTA system . ride cab 4 people ride $ 10.00 . CTA buy single pass would $ 7.00 , brainer . the room spacious . worried comment hear space pull sofa , still good 3 foot space bed pull bed . issue we . great microwave ( free mwave popcorn provide , next coffee packet ) , full fridge sooo convenient ( bring cool full snack ) . full dishwasher , sink , silverware dinnerware four , 2 burner stove ( oven ) .We lot room stretch , furniture confy , never feel crowd . we stay 24th floor city noise issue occasional siren emergency vehicle occasional honk . never hear anything night . very happy room , service , location price . park $ 45.00 / night std . price Chi Hotel . 1 block West self park 1/2 price do . free wi - fi everywhere , lobby , room , dining area , etcOur rate $ 139.00 / night stay . I try hard get hotel next time Chicago . family , extra space else mention , brainer . Hope help next person research great hotel . Diego 
 Oct 20 2009 	 Love Love Love 	 second year row girlfriend stay . love , awesome location shopping , restaurant bar . get 2 bedroom privacy enough room fantastic view city . use stay Residence Inn Walton ok , soooo much well .. new well location get everything . back next year ! ! ! 
 Oct 19 2009 	 good hotel price downtown Chicago 	 arrive Chicago stay first night Hilton Garden Inn impress . next day go Residence Inn total opposite experience . staff extremely pleasant helpful . even though extremly busy work fast efficiently get everyone room . room spotless everything cozy comfortable . kitchenette great Chicago great place eat bring food back store reheat . bed comfortable chaise lounge even well kick foot upon . would recommend hotel staff , price , location cleanliness anyday . 
 Oct 19 2009 	 Great Hotel Chicago 	 Residence Inn Chicago Downtown / River North beautifully decorate Art Deco sty.e . comfortable sit business area lobby . suite kitchen dining table , living room area separate bedroom bathroom . free breakfast include delicious waffle . hotel locate near many excellent restaurant within walk distance Magnificent Mile . travel easy museum , shopping venue . highly recommend wonderful hotel plan stay downtown Chicago . 
 Oct 14 2009 	 great location great facility 	 Hotel great location shopping , lake walk view architecture . love kitchen facility would plan use future particularly useful supermarket beside hotel give good excuse go Charlie Trotters go ! staff great , friendly helpful breakfast , although simple , need get day good start . first stay Suite hotel plan return next year . 
 oct 8 2009 	 Excellent service great room breakfast boot ! 	 pleasantly surprised quality room price pay . suite amazing , upgrade corner suite $ 10 check - in . child absolutely fascinated view , floor ceiling window , spend large portion time room curtain open could look . staff friendly , especially folk breakfast buffet .. manager come around little prize kid treat pay lot room ! breakfast treat , waffle , fixin 's complimentary dinner lobby nice touch well . we use pool although bit small , perfect bit relaxing . hotel within walk distance nice resturant millenium park ( also not - so - nice place , 's big city , be expect ! ) . next time head Chicago , first choice . 
 oct 4 2009 	 great Location Amazing Service . 	 wife check weekend two son . laura front desk put we floor friend . throughout weekend , greet name remember room number even though hotel busy . extremely impressed . breakfast area well run well . attendant , whose name escape , originally Bosnia , extreme friendly thoughtful . great experience great hotel . 
 Sep 30 2009 	 Great Location 	 friendly , helpful staff . woman help Saturday breakfast buffet phenomenal - extremely busy personally thank everyone meet & quot ; stay Residence Inn & quot ; . work hard waitress ' ve see , yet probably rarely get tip . tip - hope other remember , folk certainly deserve it . do get hotel PriceLine . quote one rate internet call 2 minute later , jack rate $ 40.00 . use ! valet parking expensive . 
 Sep 11 2009 	 great hotel staff accomodation ... 	 travel lot business hotel work ANYBODY ! ! ! centrally locate near great restaurant , place interest , type store ... nothing far hotel ... staff great manager cleaning staff ... well - run hotel reasonable cost ... 
 Aug 28 2009 	 pefect hotel stay 	 stay hotel four night mid - august . hotel stay excellent . staff friendly helpful . location beat . not think kitchenette would useful really enjoy convenience refrigerator small kitchen suite . ' ve stay 10 hotel downtown chicago area last year far good ( especially consider reasonable rate ) . 
 Aug 18 2009 	 good hotel nice location need . 	 great hotel . big room , two different one , one & quot ; normal room & quot ; huge , see photo . kitchen corner need want make food dishwasher . sleep sofa sit area , close bed room privacy ! also book junior suite - come king bed sleep sofa room . Door . full size kitchen sit area . great travel teenager . tv room . lot towel every thing clean , new fresh . Maid service good , kitchen work : - ) breakfast good , tend bit crowded towards end serve time . good idea arrive time ! like hot oatmeal cranberry , almond .... healthy nice ! could also egg , potato , waffle , - normal stuff . breakfast maid , Ismeta daily joy , always smile , helping look everything . manage make every problem disappear help everyone . generally impression staff , attentive , smile willing help . gym nice , good size . pool also , great view ! easy walk magnificent mile , downtown - sort want see . several restaurant around corner . do not miss Rock Bottom , brewery good food lot local beer . cab easy cheap save foot long distance walking ! $ 22 science industry museum , far away great museum ! Zoo free good . favorite Millennium Park , lot fun totally free ! goo back stay ! 
