nice 	 agree great service nice room . upgrade one bedroom suite feel like apartment NYC . nice apartment . everyone helpful . now onto opinion side thing . great hotel want residential part NYC close big attraction . want party , stay meatpacke district . party hotel . nice bar downstairs , get night stay . rooftop dissapointment enclose stuffy much view . wan na party , stay Standard . want rooftop , check Gansevoort . hotel seem dark stuffy . W - Union Square , close close hustle bustle , look airy people hang lobby . I think look little bit fun hotel . hotel good place want quiet getaway NYC want stay room . not know look ? Celebs not want paprazzi ? & quot ; nice hotel & quot ; look time NYC . 
 oct 22 2009 	 impeccable . 	 stay Gramercy Park Hotel October 4 night experience truly amazing . upon arrival upgrade suite pleasant surprise great start stay . front desk staff polite helpful , concierge always hand assist question , big help unfamiliar locale . eclectic design hotel second none , everything carefully think amazing artwork wall beautiful furniture . soon walk front door , hotel ambience let unwind busy day cruise around New York City . Rose Bar popular late night bar hotel guest also favourite among New Yorkers , ' Diamonds Pearls ' cocktail must . far incredible space Private Rooftop Terrace , amazing drink , chill music , uninterrupted view New York City cool design rooftop garden ever see . addition room spot , egyptian cotton sheet , plasma tv 's , stunning furniture plenty space rare commodity New York hotel . next visit New York , one place stay .. GPH . 
 Oct 20 2009 	 beautiful unique hotel experience 	 wonderful time Gramercy Park Hotel . stay Superior King , two kid 4 , adult & amp ; two teenager travel we . turn great . lot storage space room , great bathroom . quiet ! relax ! ( unlike NY hotel experience ' ve . ) extra fridge request kid ' need well crib . definitely not typical clientele , suit we fine . great location - 's quiet pocket great destination . several park close kid . ( although many & quot ; rule & quot ; Gramercy Park make great destination kid - Madison Square Park well wee one . ) concierge great help reservation , etc . we get really great deal quikbook - sure would ' ve go otherwise . therefore , in - hotel dining bit price range , unfortunately . also shock wi - fi charge check - out . apart , beautiful , unique experience - great close great art decor . 
 Oct 20 2009 	 incredible ! 	 Gramercy Park Hotel stunning , sexy hotel stay long time . lobby welcome , serene hip , room , suite ( upgrade ) divine . magnificent furniture , beautiful color , great product huge bathroom , comfortbale bed , lovely lighting . restaurant roof top beat ( price ! ) view , mood , artwork - A1.The staff pleasant , respectful , knowledgable , clearly , please customer . lot cool vibe reservation bar , even sawe celebrity . 
 Oct 16 2009 	 Definately ' standard ' 	 perhaps experience color tad fact abysmal time Standard , could happy Gramercy Park Hotel . the area trendy permeate designer store , find location preferable get around , great access to / from plenty restaurant nice place drink close . importantly , though , room much comfortable Standard , everything work , actual space clothe luggage , quality around far superior - much actual price difference two room . sure elevator bite slow , guest perhaps posh mix hipster / tourist / bridge tunnel Meatpacking District , hotel really make vacation provide relaxation ( actual sleep ) stint run around nyc.take one star due overall high price along fact apparently allow smoking room smell make rather apparent night spite ventilation . would return well prepare that . PS : need laugh GPH check $ 70 tee shirt sale , yowza ! 
 Oct 12 2009 	 entertain bad work terrible service 	 decide give property try despite previous bad experience try organize event . property well expect not place would repeat . the plus : - great location- entertaining decor / design- passable room ( i.e. , closet enough space 2 ) - hip bar good people watch / attractive clientele - free internet / wireless room- Mario Badescu amenity - good mobile reception inside room- reservation make concierge result complementary dessert Craftbar ( brunch ) minus : - service rooftop restaurant ( least brunch ) bad get . food forgettable overprice . not staff not friendly , forgetful , unattentive , inconsistent not seem really know doing- dark . fun 5 - 8 year ago time turn light back type properties- hallway bit loud middle night try sleep . guest not rowdy opening close door might keep folk awake- power outlet inconvenient ( 1 desk , 2 bathroom ) . other not easily accessible , i.e. , require move furniture- understaffe friendly bell service ( seem like 1 guy duty ) - forgot include Tablet Plus bonus amenitiesentertaine enough stay night would pretty painful . staff friendly boutique place ( warm respectful helpful ) ; however , service level poor price point likely due understaffe poor training . 
 Aug 24 2009 	 interesting one - time experience 	 maybe be hip enough . appreciate artwork . Understand Bohemian decor . mind pay good service product . two day strain see elevator button , moodiness GPH wear thin . it almost seem though be try hard cool , calculatingly pricing & quot ; exclusive & quot ; category . food drink price top , even New York standard . having say , find service attentive snobbish , reviewer say . room ( though dark , course ) top - drawer appointment : crystal barware , fabulous duvet comfortable bed , opium - den - chic sofa chair artsy lamp wall decor . real wood fire stunning lobby fireplace surprise , arrive hot day year . historic neighborhood wonderful , Kensington ( London ) feel . channel Edith Wharton meander Gramercy Park ( escort pleasant hotel employee ) . enjoy two - night stay glad experience different , european feeling , hotel . future , would opt pedestrian - ok , boring - accommodation . 
 Aug 18 2009 	 Nice Bring Flashlight ! 	 really enjoy stay . refreshing change usual Upper - East - Side , formal place . gramercy fun stylish , hip still comfortable . location beautiful residential neighborhood right Gramercy Park good part -- quiet time , get enjoy New York without street noise . true , 's middle shopping street , area great strolling . as flashlight : darkest hotel ' ve ever stay ! decor dark brown , deep burgundy , forest green -- step elevator onto floor , light literally dim could barely make large number wall show direction go . hotel actually compensate room number weave hallway carpeting next room door ( white number deep burgundy carpet ) . pretty funny . upgrade roomy park - view suite comfortable furnishing . mini - bar gorgeous , cut crystal glass beautiful silver accessory . , decor dark color ( burgundy , royal blue ) , thank four window overlook Gramercy Park , suite good light homey . bathroom rather cramp , surprise , dark ! vanity area , despite artistic cluster light bulbs side mirror . realize 's style thing -- , Ian Shrager -- be nice able see be shave put makeup . the roof terrace ( open guest hotel ) great : sunny fill potted plant , seat sufficiently spread privacy even table occupy . detraction host aggressive insect ( large fruit fly , maybe ? ) descend whenever food appear , hover around buffet breakfast well . case even retractable roof close . service adequate , great ; breakfast order bungle take nearly hour , not hurry big problem . while staff encounter friendly helpful , strange placement concierge desk middle lobby -- concierge sit angle back front door never look away computer screen -- vaguely unwelcoming . otherwise lobby great , real wood fire burn ( August ! ) huge fireplace end room , huge contemporary artwork display . this hotel different fun , would return . 
 Aug 17 2009 	 Posh yet funky 	 NYC time , Heard Gramercy Park Hotel . I love , please Friendly StaffLoved Rose Bar , Roof Top Bar 
 Aug 11 2009 	 Trendy Nice Overpriced 	 check : arrive hotel around 1:30 p.m . tell upgrade twice , Superior Room ( $ 345 ) Loft . check online , actually Deluxe Loft ( $ 515 ) . front desk staff nice friendly . hotel / Room : ' ve difficulty explain hotel . 's modern , W modern . like weird , artsy modern . , dark . room big , corner room , almost seem like originally two room wall knock . decor bit matador theme . bathroom okay size , shower big enough two , , bad lighting . bed firm comfy , italian sheet disappoint . room quietest ever New York . Rooftop Terrace : rooftop terrace wonderful , glass enclosure could open close . weather fabulous Friday & amp ; Saturday , nice sit outside . Sunday warmer overcast , glass close . breakfast twice lunch . lunch breakfast menus limit , expensive . example , $ 30 contenental breakfast , $ 39 limited sunday brunch , etc . lunch order 2nd cheap bottle wine $ 95 retail $ 15 . athough expensive , food good service attentive . overall : enjoy stay Gramercy Park Hotel glad gift certificate offset cost . due quiet area , ' pick hotel , glad able check . service good overall , even close good ' ve ever receive . doubt would stay pay $ 350 + night . style . pet Peeve : Saturday night , return hotel around 1:30 a.m. want nightcap bed . go rooftop terrace , tell close private event . go lobby ask could drink Jade Bar . tell need reservation , could ask door man cancellation . although tell check would need reservation 9 p.m. ( even hotel guest ) , find pretty ridiculous difficult get drink . oh , drink Jade Bar day , $ 17 stoli club soda . 
 Aug 3 2009 	 gorgeous hotel amazing staff 	 comfortable , elegant , stylish room , great service - treat ! bar incredible - watermelon mint martini israeli barkeeper well ever ! 
