crime 	 say room ok , morning car 9 other break staff interested one laugh say 14 broken saturday ! ! ! ! ! ! good thing charge £ 5 secure parking , would well parking street . never stay ever never recommend . 
 Nov 25 2009 	 Probs Good Value Money ! 	 problem one well travelodge , nice size room lovely shower clean bed comfy ! Staff friendly go time ask question borrow thing ( extra pillow , hairdryer ask taxi book we ) do not see problem . bit worried read bad review reason pleasent saty do not put bad review ! yes location way 10 min walk Hanger Lane tube station - ( come station go left keep walk go underground subway keep walk pass oriental food supermarket one leave handside road ) £ 5 taxi ride . we stay go see Michael McIntyre Wembley Arena get taxi back £ 8 way good , ( ask reception get u taxi number ) food nice lot choice breakfast , cook , cereal , fruit , yogurt crossant fine ( coooke breakfast like travelodge like asda tesco one ! ) room duelcarrage way side do not hear anything do not disturb we ! hotel car park fence around buzzer locked gate get see trouble there . over good value money would stay go back Wembley Arena . 
 Nov 24 2009 	 warning ! ! ! ! stay ! ! ! ! 	 unless value car belonging go ahead stay 12 vehicle break morning , 12 ! ! ! ! one hear thing good part , sercurity camera , dont work ! ! ! joke try get hold member staff impossible ! never attend somewhere unprofessional right ignorant ! warn fellow traveler , stay hotel ! ! ! ! 
 Nov 23 2009 	 not come 	 middle nowhere . across road food processing plant ( smell little ) beside seem disuse warehouse . arrive 1.30pm . tell we check 3 pm would pay additional £ 10 . meet friend central London half two choice pay up . we come back evening bit food bar , ok . however , could see number hoodie congregate carpark - one go break car . try age get start manage get windscreen wiper go light flash . tell receptionist run outside one colleague . confront thief , rather come inside . guy still try steal car five minute later . police arrive . even call ? thankfully not car - otherwise would not got sleep . way , nowhere near Wembley stadium arena - would well stay somewhere close town double price take length time get there . the room fine breakfast ok ( although badly organise wife 's cup crack fork dirty ) . could decent 3 star hotel , appear badly run . would not dream come back . 
 Nov 21 2009 	 Gald several we together make good timethank Kasabian ! 	 dont arrive near station Stonebridge Park late night / Dark . walk let say little worry strange / maybe dodgy area . booked ldge say Wembley ! think near Stadium / Arena 's . got 6 seater cab lodge £ 12.00 . worth every penny get back Gig well . book stay make sure get room back hotel noise road really good . teenager front building acceptable , however room back fine . room large linen towel nice clean , make stay ok . lounge area friendly get back hotel people sit around drink coffee bar open till 1.00 . staff friendly make difficult really complain front room , room leave change . good value we deal £ 29.00 per room feel ok . hotel need SUPER double glazing ! ! ! ! 
 Nov 2 2009 	 poor hotel poorly locate . 	 stay travelodge find basic satisfactory . one , however poor standard . firstly , visit wembley arena stadium hope save parking , do not fool : hotel really Wembley proper , 1 hour walk rather frightening area , else two bus ride ( 92 112 ) short frightening walk away . secondly , hotel generally tatty , desk staff abrupt unhelpful . arrive rooom , go close window roar traffic noise north circular road outside , realise window fact already close . for cost parking wembley stadium , may well spend little spend night Premiere Inn next Wembley Park Tube station . that s , far impressed . 's first time ever check hotel pay , spend even half hour room . 
 Oct 20 2009 	 excellent value good standard accommodation 	 stay £ 19 Travelodge special offer impressed room value . ask room rear build high floor notice little road noise . use restaurant , take oiur breakfast . £ 5 day parking excellent value London . use hotel base visit central London . easy 15 minute walk Hangar Lane Station distance number 18 bus ( Harrow Road near Stonebridge Park ) go way Baker Street Euston . room recently decorate , shower great staff polite helpful . use hotel . 
 Sep 24 2009 	 think twice stay ! 	 book one night daughter Coldplay concert Wembley , unfortunately book look review here . the location although 5 minute drive stadium horrendous North circular middle old industrial estate . double glaze mean reasonable night sleep front room spot gap around window mean noise change jet taking , luckily daughter room back mean least get decent night sleep . reception staff ok room reasonable standard litle ' tired' . the disappointing breakfast confirm travelodge not food - cold undercooked bacon , sausage , cold scrambled egg , cold bean , cold tomato cold mushroom not really satisfy breakfast requirement . two domestic 2 - slot toaster mean longish wait make toast ( least hot ! ) wash decent cup coffee , sorry forgot coffee machine not work , make cup Nescafe . in conclusion bad travelodge experience 
 Sep 2 2009 	 not stay ! ! ! 	 upon arrival shocking site car window glass car park floor set alarm bell ring head . everywhere , not personally car burgle one guy site work ipod leather jacket steal day stay . book hotel thru website fairplay warn sleepless night face . noise unbearable could not sleep window shut hot opened noise incredible . food dry obviously cook microwave . cheeseburger time would eaten half hard sound rock like bit charcoal drop plate . honest ' ve never write hotel review feel particular one . terrible . please not put thru . 
 Sep 2 2009 	 one bad hotel ' ve stay london 	 pay £ 49 room expect reasonably nice . fact truly awful . 5 hole wall make nervous people could see next room smell like somebody wet bed ask different room staff extremely rude query would shower ' dirty ' room think unreasonable could not give room somebody even tho change towel . much complain say have ring head office agree . next room slightly well 4 hole wall sock smoke detector . lovely ! ! ! decide stay food come around £ 10 taste awful inedible microchef put second much . top noise dual carriageway next hotel loud have well sleep crash barrier . never ! ! ! ! avoid ! ! ! ! 
 Aug 22 2009 	 Brilliant 	 stay 2 boy 9 & amp ; 8 week use base sight see London love . service staff excellant , friendly helpful . room like suite , large sitting room archway lead double bedroom . Room clean daily towel change too . food lovely good value travelodge reduce price food . really compete vacinity exception ' biker cafe ' 5 min walk away bike / car enthusiast get together every evening . although car crime blackspot car break damage whilst , even one Man U scarf back window Community Shield . Stonbridge Park Tube station 10 min walk away easy find , leave hotel keep go , biker cafe half way . tube 23 min central London . downside oneside hotel North Circular road refridgeration depot , little noisy . 
 Aug 18 2009 	 Noisy Tatty 	 Stayed Travelodge see u2 Wembley . hotel good 30mins stadium not - very - nice area . easy find pleasant enough staff local area pretty industrial . room fair enough size cleanish however carpet badly stain , one bedside lamp miss completely shade wall light . tv remote health hazard . bad thing incredible noise . ask room back hotel avoid A406 North Circular , even window close , excessive noise night refrigerator Halal meat business directly behind hotel . we breakfast ok though bacon sausage merely fat mixed bread scramble egg fine . overall ok value money ( depite cose £ 29 + £ 12 2 breakfast ) lack sleep mean mark hotel poor . 
 Aug 8 2009 	 Great Value Money 	 stay 3 night August bit worried read terrible review check find Travelodge good one stop .Our room excellent clean sheet fluffy towel location 10 min walk tube 30 min central London . walk back night never feel threaten even 11.00p.m . good breakfast Ace Cafe . I think bad report Travelodge unfounded would stop ! ! ! 
 Aug 2 2009 	 impressed ! 	 stay hotel simply cheap area . hotel situate next dual carriageway , noisy throughout day . much ventillation room . even open window , noise level high 's difficult sleep . the room clean ok . light work impossible read night . staff friendly helpful . 
 Jul 28 2009 	 clean pleasant friendly hotel 	 book hotel need somewhere stay watch football match Wembley stadium . think £ 60 price room quite reasonable compare price hotel area bear mind major sporting event on . the staff pleasant helpful arrival room well present comfy . yes situated busy noisy main road state quite clearly book website . I notice comment warn car break in , although do not go car , entrance gate warning sign car crime high area . although breakfast little pricey £ 7.50 eat buffet go back help much want . my complaint Travelodge website state Hanger Lane near tube station fact Stonebridge Park near , get tube Hanger Lane direction station hotel awful , street area not clearly sign end walk round hour overhead thunderstorm look hotel eventually flag cab take we . have know Stonebridge Park near tube would made life much easy ..... yes 10 - 15 min walk that s nothing ! think hotel nice though well price , would definately stay . 
