LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Nov 24 2009 	 everything expect touch . 	 stay Pod Hotel business partner NY day conference . stay one bunk bed room lark ( every room city 2 bed seem $ 500 ) find work quite well . hotel exactly seem : pro : * super inexpensive * great location midtown * Friendly & amp ; helpful staff * clean - aesthetic cleanliness facility Cons : * small room * small bathroom * wi - fi not available roof decki would absolutely stay find $ 300 plus save night help make trip New York much well since use saving enjoy everything New York offer . 
 Nov 21 2009 	 Pod Hotel NYC 	 great budget hotel - completely refurbish . shared bathroom excellent great overhead shower . room flatscreen tv & amp ; ipod docking speaker thing , hairdryer - basic superb value money 
 Nov 20 2009 	 nice 	 small really nice clean , also strategically situate tourist ! 
 Nov 15 2009 	 fantastically tiny 	 stay 6th 9th November 2009 book base review post Tripadvisor . room double shower toilet . really make good space available basis sleep hotel perfect . room small practical clean . central , close Grand Central Rockefeller Centre . staff excellent , self impose issue safe engineer really helpful . look clean , frill hotel ( - bar , restaurant , gym ) would recommend Pod . 
 Nov 15 2009 	 stealing ! ! ! ! 	 well , horrible theft day leave quite enjoy stay ! ! good thing location . room small though- opt double , bathroom basically room - very strange ! ! good stay , appart shopping bag get solen room . leave breakfast one morning , come back within hour ( clean clean room ) bag go . horrible shopping ruin last day / night . know cleaner take someone come room clean , management horrible deal situation badly spoil trip . do know recommend really pay quite bit small room , would expect price safe secure room . use safe like valuable , room bag etc . you warn 
 Nov 15 2009 	 nice clean hotel 	 Pod great alternative would like cheap clean hotel . I stay one room bunk bed share bath . room little functional least clean ; ) location good metro stop around corner . 
 Nov 7 2009 	 happy clean great location 	 pod neat tidy , room small practical . location great , subway road long nice walk central park . bunk bed great two single traveller could watch tv without disturb . share bathroom neat tidy . if want save money stay somewhere welcome clean place . 
 Nov 7 2009 	 great location cool place low budget 	 great place especially young traveller , 10 min times square un , every room there s docking station ipod , nice helpful staff , great people 
 Nov 7 2009 	 way small night 	 hotel really well locate clean sharing friend night two small . claustrophobic noisy . 
 Nov 6 2009 	 good travel duos 	 place great ! free wifi friendly atmosphere , combine gorgeous little room good central location . bathroom clean abundant . bunk room would highly recommend friend travel like privacy securlty still not need spend much ! ! ! ( not bother try use lift floor . lobby fine ) 
