room 	 arrive hotel properly greet take room . get room furniture inside stain really beat . bad part room bathroom door . bathroom fit slide door go wall alongside . door lock leave 2 - 3 inch gap walk could see someone toilet . concierge helpful suggestion restraunt nightlife . concierge tell we well staying room since & quot ; nothing chicago 10 pm & quot ; . last night order movie quality movie horrid ( movie pixelating blurry ) call argue person front desk credit us money back movie stop less 5 minute . full service hotel pay 10 buck anything everything . pay 12 dollar bring we extra glass since old one dirty maid switch . redeem thing trip fun friend hotel . 
 Nov 14 2009 	 Great Place stay 	 stay hotel twice past two month . south mile across park make much quieter place . minute cab ride walk action mile State . staff friendly helpful room nice . one nice thing small hotel ( compare Hilton next door convention size place ) make really nice stay without convention crowd lobby . 
 Nov 13 2009 	 lovely hotel convenience location depend traveler ... 	 stay Blackstone Renaissance Hotel two night short getaway . plan little sightseeing , shop , visit Harpo Studios audience member = ) . hotel lovely . build breathtaking ( though interior bit modern clash ) . room nice size huge marbled bathroom . bed comfortable , large flat panel tv , wireless ( free overpriced ) , Starbucks locate right hotel ( though staff know ' really much bonus ) . really beautiful hotel . service … well , honest check staff bit uppity . find female employee rather rude upon check , really ' feel like ask anything . doorman incredibly , wonderfully helpful kind cleaning staff . ' sure service fine Blackstone , really put tone arrive . however , make break person ' stay . think put w/ anything long ' clean room w/ good location . location something need seriously consider booking stay Blackstone . think get Harpo Studios location fine . ' $ 12 ( tip include ) cab ride show . ' visit Chicago Art Museum Millennium Grant Park ' ten minute walk . Chicago ' Hare airport ' good 30 minute taxi $ 40 ( tip include ) , 1 hour 20 minute metro ( recommend use day , change line first stop ) $ 2.00 . however , want middle thing ( think ! ) stay hotel . think traveler stay hotel locate Magnificent Mile , restaurant shop . hotel also ten minute walk park museum . blackstone , lovely comfortable , conveniently locate hotel rate low . night , two woman alone city , feel little weary location . also , normally trip prefer take city ' metro / subway – ' great way save money ! trip ' despite close location metro ( 5 minute walk ) . even walk metro hotel day feel little unsafe , sure ' go take night ! , reiterate , lovely hotel ' convenient enough location enough shop restaurant around . 
 Nov 10 2009 	 like hotel would see movie 	 blow away hotel . absolutely gorgeous ! taxi driver comment ( ' m sure true ) hotel completely remodel year ago , initially make feel bit skeptical . walk lobby , know like place . really like style room ( modern fun color scheme ) . bed comfortable quality linen . bathroom cool light great shower . back Chicago , would definitely stay . 
 Nov 4 2009 	 enjoyable stay . 	 stay Blackstone 5 night October . overall , pleased hotel . staff friendly facility still look fairly new . décor bowl ( taste ) clean 's main thingthe room face park lake , nice wake view morning . eat hotel restaurant room service . service prompt get automatic 20 % service charge . realise 's standard Marriott 's stay not like . room good size thing leave puzzle . assume room kitte people disability / mobility issue ( give size bathroom low hanging hook rail ) thing ( like bathtub ) make sense . like low hanging rail room could hang anything long . also think light switch pain . instead one switch , light 2 dial fiddle not obvious ( least ) control . keep press something happen . room also furnish low chair / high desk combo . might look good find practical either eat work . the thing acceptable cleanliness towel . everyday give new towel without fail , always least one pile stain . hotel within walk distance number attraction transport option . honesty , would probable stay centrally locate hotel future visit . 
 Nov 4 2009 	 great hotel South Loop - convenient Soldier 's Field 	 husband celebrate 1 - year anniversary Chicago . get ticket Bears - Browns game Nov. 1st . book Blackstone convenient soldier 's Field . previous trip Chicago , stay River North really like . locaion S. Michigan ave great South Loop attraction like Grant Park , Museums , could Gate , course , within walk distance soldier 's field . bit walk want go North Magnificent Mile , be pretty convenient subway line , include Loop . back side hotel bit lonely night , especially weekend . walk Lou Malnatti 's pizzeria late dinnerwhich 3 block away , street little eerie late night . day , fine though . be convenient short train ride Lou Mitchell 's well , wonderful place breakfast . hotel dimly - light refurbish lobby . hallway however , nice bright . tell staff upon check celebrate anniversary say upgrade room . 20th floor overlook South Loop . hope park view , oh well ! big deal . room king bed , super comfy . room average size . NYC use small space . bathroom wonderful modern , equip in - mirror tv , reason not get exact channel tv room . stand shower , rain shower head lovely . aveda toiletrie well . Room decorate modern , minimalist theme , overall , comfortable . service fine . not really hang around hotel much check check smooth . another great breakfast place block south S. Michigan Ave , Yolk . get really crowded , especially Bears game ! delish . overall , happy Blackstone , find rate hotel slightly high equal - star rate hotel River North . sure Bears game ( lot people attend game stay hotel ) , overall pleasant stay . would stay South Loop . btw , use gym modern equipment , large expect , great ! 
 Oct 29 2009 	 outstanding service accommodation 	 stay late October Chicago wedding . staff excellent , service orient friendly . city view room 19th floor . room clean cool contemporary look , glass wall shower , etc . bed luxurious . nice flat screen tv , etc . really make standout Sunday set go home , flight cancel . need stay another night . book room & quot ; cheap & quot ; rate internet . thought would really stick stay another night without internet rate . not . instead give lower rate upgraded room suite look Grant Park . unreal . turn bad thing ( get flight cancel ) enjoyable extra night Chicago . 
 Oct 21 2009 	 back ! 	 spend three day two night lovely hotel practically pry two child ( 6 10 ) crowbar . staff welcome gracious , room large beautiful firework Navy Pier night pretty much ensure would always pick lakeside room . pay amount per night tiny room view NYC real treat . eat breakfast cheaply Corner Bakery Chicago Carry - out next Travelodge enjoy fabulous tacos Flacos Tacos sadly try restaurant Blackstone , would unappreciated child anyway ! 
 Oct 19 2009 	 Solid Service 	 old hotel refurbish . staff work hard provide outstanding service . room nice small compare modern hotel . close Field Museum , Shed Aquarium , etc . good couple ! glad kid stay home . 
 Oct 18 2009 	 Awesome hotel great service 	 great hotel service world . great workout facility , excellent location near park , clean , room character . clincher .... wife go run morning . walk door , front desk person - Jordan , ask we hold minute . ran get us ice cold bottled water cold towel . later use intimate knowledge Chicago find place eat entertainment . fantastic property . 
 Oct 18 2009 	 Classic Renaissance 	 typical classic Renaissance hotel . refurbed old property . lobby little dark common old property . room great , clean modern . bathroom also large . inroom iPod radio plus . expect chain . friendly front desk . unique bar basement cool . good value business tourist long walk Miracle Mile . close stadium . overall great choice overnight business trip 
