Fantastic 	 stay hotel Nov. 24 - 26 room # 8 . fantastic location hotel , room spotless really impressed wife cleanliness washroom . room quite small north american standard sleep . special thank guy front desk , make stay enjoyable . back ... 
 Nov 24 2009 	 brilliant clean friendly family run hotel . exceptional well worth money 	 friend book hotel , follow good review trip advisor . impressed overal hotel , first impression hotel immaculatley clean , room ( twin bedded room ) nice , modern , clean , re - furbished bathroom . owner friendly really make we feel welcome . hotel little gem , owner proud build great hotel . really show ! ! certainly recommend hotel friend . 
 Nov 24 2009 	 EXCELLENT STAFF - AVERAGE HOTEL 	 yes ' m pleased Hotel close Victoria station . yes room clean bathroom renovate though tinyyes ' m completely pleased staff helpful ( even borowe we umbrella ! ) ... always but . room way small . could not fit there . room back area , calm , noise small window 's enough feel comfortablebreakfast average . tiny glass orangejuice , slice bacon egg 's say full breakfast . I think small addition someone could find something well though London always London not know get . I ' ve book review read 's probably expectation ' m little bit dissapointed . anyway would suggest Hotel budget solution , clean friendly staff not thing anyway tell gem . frankly 
 Nov 22 2009 	 good little Hotel Town 	 choose Hotel form recommendation Trip advisor please . good little Hotel Town .The room like , small perfectly form . decoration immaculate standard cleanliness exceptional . service excellent breakfast need start day . owner , business forty year exceptionally friendly helpful train son business well . offer good advice place eat bus outside door go Leicester Square 15 min Pimlico tube 5 min walk away Victoria 10 min walk . flat screen tv room freeview free internet downstairs . hate recommend place frighten full next time visit . half price big hotel area twice good . 
 Nov 22 2009 	 London Gem 	 great little hotel friendly helpful staff . respond promptly email love chat owner breakfast time . really start day well friendly smile good breakfast . 's full english Breakfast definitely enough get we go . 's close public transport ( bus right outside door take major sight ) , little difficult find , street change name time . there lift make difficult luggage guess need take stair . room small - actually small room Paris - clean bathroom modern clean . we would highly recommend quaint little , friendly clean hotel . 
 Nov 16 2009 	 wonderful owner homey helpful 	 stay hotel week two 10 year old boy tour London . love hote , breakfast recieve rave review fromt eh boy , location hotel make travel convenint . significantly , owner hotel take personal interest guest helpful direction , leave luggage check - out general warmth . room 3 twin main level decorate lovely blue yellow . quiet secure . free internet helpful well . we definitely return hotel . 
 Nov 14 2009 	 good location fairly good value 	 stay one night friend . room small clean bed quite comfortable . staff seem quite friendly do not spend much time hotel want get stuff see much London possible ! Breakfast serve 7 8.30 mean get early - not problem want get head soon rather later , breakfast finish later would made we lazy ! breakfast fine , taste good . get either corn flake toast , 2 rashe bacon , fry egg bean . tea coffee glass orange juice - one criticism glass orange juice TINY ! ! ! think could probably little bit generous ! location really good , surround area nice pub , literally 5 minute walk Victoria tube station . the stair pretty horrific hey , least keep blood flow ! ! room 3 flight think day shopping bit pain thigh . be unfit struggle stair do not recommend stay , make sure request ground floor room ! ! oh tv rediculously high be not really watchable ! would probably stay convenient quite good value . stair keep fit haha 
 Nov 12 2009 	 friendly comfortable immaculate inexpensive 	 hotel refreshing change compare huge tatty impersonal hotel stay previously London conference . particular good point really comfy bed , modern ensuite powerful hot shower cook English breakfast waiter serve . location quiet feel safe walk back hotel alone early evening , free computer internet access guest , staff courteous . true , room large lift , stairs shallow carpet big deal even though top floor , would not wish pay large room ! 
 Nov 11 2009 	 good SERVICE value money 	 leave paris Rome , husband stay hotel . london expensive , decide stay Hotel . good money . staff nice friendly find room clean . would stay London . 
 Nov 8 2009 	 fantastic place stay 	 back lovely trip London stay Luna Simone . book hotel see positive report trip advisor honestly say glad . hotel charge budget price deliver much . hotel perfect location quite safe well serve transport include bus tube . hotel good state repair absolutley spotless . room whilst small fine problem . good clean bathroom great hot power shower . breakfast lovely , bacon , fry egg bean lovely fresh hot toast . check normally 12 pm arrive 10 am want bag minded room ready , already work cleaning room room ready within 10 min . good thing hotel though staff . often London receive personal service , well Luna Simone . two owner great , chatty would anything . really deserve reputation get lovely hotel . receptionist even help we check flight online . definatley back next time London . 
 Nov 8 2009 	 not get rave review 	 stay business trip need easy access Victoria station . book pretty last minute phone , person speak ( believe Pete ) tell room first floor . when arrive give dingy room three single bed basement building iron bar window , help make feel uncomfortable . complain , tell hotel full . I stay one night - enough . base experience , stay . 
