great 	 stay imperial midweek couple day November . perfect location visit part London 's West end , go theatre shopping . hotel reception cosy relax . Staff superb ( repeat superb ) throughout , always hepful polite . twin room third floor overlook courtyard large good quality light rather 40 watt bulb provide hotel . breakfast hot cold food ( eat buffet ) serve 10 , staff come around tea coffee stops buffet area getting clog up . very clean hotel would definitely stay . way room air condition need London anyway . 
 Nov 26 2009 	 bit overprice great location 	 bit old fashioned hotel locate convenient location . usual overprice like everything central London . stay end November , 2009 tourist visit 3 day twin room along wife . although twin room , join bed easily ( bed roller bed comfortable ) make double bed . say decent one expensive city like London , room small clean , toilet shower hot water , good english breakfast limited choice menu every day , nice surrounding lot affordable restaurant eat . case toilet shower area completely separate , either side passage room , bit unusual uncomfortable sure every room . room equip tea / coffee making service small refrigerator . staff general helpful cordial . good thing hotel location . centrally locate Russell Square Bloomsbury area , two minute walk ( 5 min Luggage ) underground station close bus stop connect London . station Piccadilly line , direct connection Heathrow ( 1 hour journey underground ) , find great . major tourist attraction also close like British Museum ( 5 min walk ) Oxford Street ( 10 - 15 Min walk ) well connect underground . remember hotel air condition , therefore , please check go summer time . problem visit November . 
 Nov 20 2009 	 try look somehte well ... 	 plus side room clean functional , little basic . staff friendly helpful good job sub - standard hotel . location excellent not get room overlook Russell Square - view upper floor great , noise traffic unbearable . Windows draughty heating two setting - cremate . room show sign force entry , not inspire . wireless network break tv limited channel bit small . breakfast bit poor . would personally stay guess , push , ok one night . 
 Nov 15 2009 	 impressed whole package 	 stay Imperial August Bank Hol . use base sightseeing theatre . well place visit plan ; 1 stop king cross short walk Covent Garden . taxi theatre see Jersey Boys cost £ 8 -cheaper expect ! ! hotel reception lovely - date lovely . staff helpful , polite attentive . advise approximate taxi fare , tube station , place interest . offer call taxi save we effort hail one taxi appear shortly afterwards . room 5th floor good size . bathroom well appoint , great deep bathtub soaking ! lovely lounge front hotel first floor . breakfast serve buffet style second floor restaurant . swish room , date . food fine great variety egg , usual cook english breakfast fayre , cereal , juice etc etc . help little much want . hotel busy majority guest attend Rugby League final . only gripe room overlook lovely courtyard also share casino . disturb late night thoughtless individual shout scream argue leave casino - obviously have good night table ! ! however fault hotel could not really attribute blame . would stay ? certainly . look budget hotel clean bit character old style charm , conveniently situate Central London , hotel . 
 Nov 14 2009 	 perfectly adequate 	 good budget stay central London . 's bottom line : Location - Right across Russell Square , block British Museum , around corner tube station . 's Picadilly Line , get directly Heathrow hour . hotel - date , spartan common area . not update since day Austin Powers , would not stay even . mediocre institutional English breakfast seem tickle fancy middle age continental tourist group here . room - surprisingly good single . mean single - imagine standard european hotel room , cut half . little stark , decently appoint , ikeaish furniture small flat screen . small single bed , probably would not comfortable 6 foot . new bathroom real shower full tub real water pressure ( yes ) . hotel front busy street , back hotel look courtyard sort , serve parking lot front 24 hour casino . 's sound bad , room side , relatively quiet night . price - one & quot ; price price & quot ; place - post permanent plastic sign front hotel . want change price , order new sign . ( think 78 pound single ) . book website even throw voucher free dinner first night . ( get pay , save quid .... ) cheap many place Gower Street , think decent value high price low value hotel city . reviewer site complain hotel meet expectation business hotel , would agree assessment . , would stay , would not bring wife . 
 Nov 2 2009 	 would go hurry 	 stay 2 night B & amp ; B & amp ; first night evening meal . unfortunately decide use hotel nearby evening meal big mistake . President Hotel group hotel unfortunately reception staff understand English & amp ; restaurant staff idea customer service . show table & amp ; wait 15minute get someone take order even complain . eat main course wait 30minute get someone take order dessert . daughter want vanilla ice cream run inform strawberry come like frozen strawberry yoghurt even could eat laughingly call ice cream . see another couple leave restaurant meal advise restaurant manger service & quot ; Diabolical & quot ; couple leave manager & amp ; waiter could see laugh . wife go reception meal complaint form receptionist get somebody else deal incapable understand english reasonable standard . problem state relate President Hotel attach Imperial Hotel . staff hotel mainly oriental origin qualm would expect able converse english reasonable standard . 
 Oct 27 2009 	 good value PRIME LONDON LOCATION ! 	 frequent visitor 40 year , London never fail disappoint shabby , outdate often unclean hotel room value price range . imperial pleasant surprise ! Clean recently update room full bath , pleasant helpful staff , fun bar / restaurant late hour theatre . agree other include breakfast need help ! price location , Imperial offer good value solid choice . would stay never say London hotel ! ! 
 Oct 24 2009 	 Faulty tower go large 	 stay 4 night honesty would not recommend anyone . firstly staff unhelpful unfriendly . never see & quot ; date & quot ; hotel life . actually call Faulty Towers go large . room clean enough bed comfortable , bed wheel prepare roll every time move , toilet bathroom seperate ( weird ) noise outside hurrendous ( bring ear plug ) . wireless despite hotel claim . bring towel be not generous towel would lucky get anything big hand size towel . breakfast appauling . scramble egg powder make toast soggy . also difficult get tea coffee serve staff seem everything serve guest . also take key hotel come metal wand like thing annoying . positive hotel location . warn hotel standard claim overprice . 
 Oct 24 2009 	 good service breakfast horrid ! 	 like hotel . thing irritate , remind last visit stay round corner terrible B & amp ; b , room do not tv etc etc , say £ 20 expensive ultra budget london b & amp ; b 's fantastic . LOVED : nice little tv , large desk / dressing table , free WiFi , Room service good . staff helpfull good choice bar etc within hotel . good storage , 2 wardrobe . DIDNT like : 2 towel ? one , usual hotel surely ? also pillow like pancake ... toilet bathroom small clautrophobic . breakfast . pay £ 2 extra deliver room . I m usually fussy oh dear ! do not know possible egg obviously kind frozen one heat , sausage terrible ! coffee good though . the thing ... price location negative acceptable would return . 
 oct 22 2009 	 Great 	 visit Canada . stay 10 night . clean comfortable . breakfeast variation good . staff friendly helpful . bathroom spotless great soaker tub ! lot restaurant service nearby . Russell Tube convenient . thoroughly enjoy stay . 
 Oct 16 2009 	 imperial save weekend ! ! 	 hotel book line dirty unsafe take risk walk 10 pm nowhere stay - also end London Fashion ek really busy . round corner Imperial - reasonable rate , nice room , fabulously helpful staff , great bar , good food , great weekend . 
