3 	 stay wedding anniversarya great hotel .... good bedroom ... great fym /pool ... also thy spa ... spa treatment .... lift ok ....... prob ........ nice walk primrose hill regent park canal ... nice park area kid .... playground stuff ..... nice clean ....... fresh towel everyday .... staff good friendly ..... defo stay 10/10 ..... 
 Nov 19 2009 	 Excellent family stay ! 	 travel 2 5 year old ' m always picky stay say hotel great would definatly stay . room two big double bed lovely clean . breakfast lot choose great kid . stay Saturday night Sunday take advantage swimming pool , one ! location good , short walk tube Swiss Cottage . overall enjoyable stay ! one thing reception area small disney tv play kid movie great hang around reception one thing another . 
 Nov 17 2009 	 Good Hotel 	 partner stay weekend Hotel clean staff friendly . we take taxi west end rain hard tube run cost we £ 14.00 , expensive . do get chance use facitilie comment . £ 25 per night park hotel ground parking . 
 Nov 9 2009 	 enjoy stay - comfortable good location overprice . 	 review note hotel look worn outside , not let put , room service quite good , bed comfortable . not use pool health club also look good . wife enjoy stay , however , hotel miss mark price charge . little thing like tray material leave extended period hallway , seal not fit well balcony slide door , bathroom fitting need refurbishment etc . also access Executive Lounge , one basic executive lounge . overall impression not help one lift , three , action refurbishment . light sleeper also avoid room Adelaide St side hotel . traffic noise start early weekday . the hotel easy walk Swiss Cottage tube station Jubilee Line travel central London easy - although line often close part weekend . however , good replacement bus service also plenty normal bus route close travel surround area . we not eat hotel , nearby Finchley Rd several cafe numerous restaurant - particularly like Eriki ( indian ) Luigis - minute side Finchley Rd Singapore Gardens nearby Arches wine bar restaurant - extensive wine list . easy walk . 
 Oct 28 2009 	 nice enough hotel bad evening meal long time 	 Agree review good location ( near tube ) typically nice Marriott bedroom . would add minor gripe swimming pool - local lady child 's private swimming lesson ( ? ) pool excited group child jump pool take shout almost foot hit water - half term private pool , God forbid , people want use facility ! ! plus supervise child , would rather give opportunity reprimand ! sure pool use private lesson point ? aside , actually ruin stay evening meal dining room . return long day visit sight London look forward family meal . food awful . child 's main course arrive adult food good 15 minute . food arrive , mash potato packet , Beef Bourguignon use tin beef , vegetable arrive 15 minute main course service awful . fry child cold frozen packet . hotel like price menu would expect much . ask see chef come talk we initially lie mash potato , finally admit packet ! get food take bill ......... point , hungry ! 
 Oct 27 2009 	 good clean hotel excellent location 	 second time stay hotel family ( 9 14 year old ) last stay 7 year ago . pleased say satisfied time last . admittedly outside seem bit run room clean comfortable . breakfast good choice fine food . find plenty choice satisfy we . stay 3 night ( Friday - Monday ) never experience queue breakfast ( 7.30 ! ) . excellent transport link - Swiss cottage tube station minute away even close Saturday 25 min walk Chalk Farm tube station . main reason choose hotel parking pleased find plenty space . satisfactory visit definitely stay next time London 
 Oct 26 2009 	 nice location . not judge outside appearance . 	 thing hotel location . perfectly situate 3 minute walk swiss Cottage tube station . weekend Chalk Farm ( central ) short bus / cab ride away . judge hotel outside appearance probably never make inside . appear late 70 's early 80 's design update . however , inside mostly meet Marriott standard . nice restaurant nice little bar right inside door . sensitive strong smell beware . whatever use air freshener strong could smell come around corner tube station get strong get close . annoying never bother get room . room pretty standard . nice big king bed comfortable sheet comforter . apple water maid every day , turn service . internet fast enough expensive ( $ 150 / wk US ) . exec lounge average well . overall b+ 
 Oct 11 2009 	 comfortable accomodation close Swiss Cottage Primrose Hill 	 travel 16 year old grandson find hotel comfortable accomodation close Swiss cottage tube stop shop restaurant . like neighborhood rather center city . part joy visit London able use public transportation get city . enjoy London Eye , Victoria Albert Museum , Science Museum , British Museum walk around . friend live 3 block away great plus .. 
 Oct 3 2009 	 good hotel overprice 	 use hotel locate near family member party . otherwise , have stay centre London - probably much less expense . really annoyed room rate come £ 118 - add tax - bring around £ 135 - unheard experience UK . not even include breakfast . the room fine , nice big balcony . however , big gap patio door would probably freeze winter ! pool fine , although change room locate quite distance pool go set narrow step wet foot not ideal situation , especially kid . underground line Swiss Cottage closed weekend visit development work olympics , walk Finsbury Park - 10 minute walk , although take past quite number good restaurant . overall , stay ok - would not pay much money hotel . 
 Sep 28 2009 	 Outstanding Guest relation ! 	 nice hotel quiet street little outside Center . underground station 5 min walk , reach center easily . room furnish tastefully , bed comfortable will find everything need . on departure day problem luggage staff hotel , especially manager duty , outstanding job help we sort . will really find quality hotel guest relation problem solve , staff hotel really top . 
 Sep 24 2009 	 Good Marriott Hotel 	 sister stay point 3 night visit London . hotel center tourist destination , close touristy thing London Zoo . however , hotel locate less 10 minute walk Swiss Cottage stop Jubilee line get around not difficult . hotel room expect Marriott comfortable bed . platinum status , sister able make use Executive Lounge snack , beverage , light h'or d'oeuvres breakfast . hotel staff part welcome ... person not welcome elderly lady set nightly happy hour h'or d'oeuvres Executive Lounge ... always seem suspicious whether sister lounge definitely young look people make use lounge . always check sign - in book see sign whenever show , never people enter lounge we . overall good hotel , can not say be one would definitely return , be definitely hotel would use & quot ; back & quot ; not well option available ' m back London . 
