nice 	 spend Thanksgiving weekend hotel get good price ( much low normal rate ) . room nice pool exercise room . parking expensive , give 50 % discount hybrid car ( yea ! ) reasonable . not many place immediate vicinity eat , nothing far walk . 
 Nov 25 2009 	 impress even - disappoint ! 	 staff Swissotel particularly nice . not overtly rude , also never go way address guest . time wait counter staff ( checkin checkout - put bill door ) several minute wave desk upon turn hello anything , apology waiting line . tell need desk worker , statement even acknowledge . mediocre room service extravagant price . also , view good , many hotel locate close train , Michigan Ave , etc . 
 Nov 17 2009 	 swissotel one favorite hotel Chicago corner room fantastic view city . 	 stay Swissotel many time . accomodation support service phenomenal . staff member courteous go extra mile meeting need stay . would encourage everyone make Swissotel lodge destination next time go Chicago . will not regret return future trip windy city . 
 Nov 16 2009 	 great hotel 15 minute walk train 	 daughter book hotel Hotwire . staff great put we 30th floor view lake . room spacious , clean , comfortable . negative 's 15 minute walk train would inconvenient rainy cold day . 
 Nov 11 2009 	 impressed hope 	 stay 8 year ago , love . know recently remodel , expect bit . plus side , bed wonderful , room size adequate . bathroom good size , shower bit tight . location good - close Michigan Ave , far enough away make quiet . thing bother ... robe room , ice machine every floor ( not find look one ) , turn service night , housekeeping come , replace shower gel use totally empty . coffee lobby take away 6 a.m. Sunday morning . nice coffee maker room , provide awful powdered creamer . like cream coffee , lobby option important . offer lobby Monday morning . oh , newspaper deliver room either . thing routinely provide upscale hotel . concierge service fine need boarding pass print . day , present question & quot ; take backpack Soldier Field Bears game & quot ; , reply , & quot ; not information , website say ? & quot ; .I would expect little dig answer . FYI , take backpack stadium . .But find own . you long free access pool jacuzzi . find quite annoying ! long swiss chocolate sit counter check . small thing indeed , nice touch . I book discount rate , totally diappointe . pay full price , little thing bother would morph big thing . good aspect term trip location bedding . 
 Nov 9 2009 	 swissotel provide everything cold want make feel like important value guest 	 be go Chicago want great hotel stay worry , place . staff friendly knowledgeable town go way helpful . boyfriend andi try get Pedway , one hotel manager stop lead we go . long exhaust drive Tennessee , bed swiss incredibly welcoming . boyfriend currently try find make bed comfortable get one comforter feel amazing . get little toblerone ( one favorite ) chocolate pillow everynight nice touch add elegance evening matter stay . room look like remodled upgrade , HD tv nice ihome docking station put iPod could set alarm wake music instead radio . whole decor really taste , course help impeccibly clean whole time . explore chicago , blanket would bring home leave chair even fold neatly foot bed come back . ' m little bathroom phobic really nice , super clean , beautiful ( new looking ) tile . ' m really shower like big showerhead give rainfall style shower . not try tub though . also , know 's 24 hour exercise / fitness facility upstairs . walk go use pool jacuzzi ( talk pool view , try 42nd floor ! fun place swim ) . look like lot weight machine choose never get use they . we stay go sofa ( Sculptural Objects & amp ; Functional Art exposition ) Navy Pier . great hotel close proximity Navy Pier , central location downtown , gerat view Lake Michigan important . ( well great view not important , nice bonus ) . bar hotel lobby comfrotable feel , even though stylistically classy . see several group people sit around chat table pull together fireplace , bartender friendly helpful answer question chicago . whole stay feel like staff go way make sure good visit possible . Breakfast Geneva downstairs great well . love fresh fruit generally get apple banana , see fresh raspberry , blueberry strawberry ( among breakfast fruit staple ) surprising . great selection pastry , cereal , yogurt breakfast meat . many different thing breakfast ( plus could order menu ) would take long go , happy get variety option . I wish could mention every good thing stay ... many little thing make add great trip . downside leave . be already plan return trip swiss stay least week see part Chicago miss great experience really make we want come back . 
 Nov 2 2009 	 great room staff location extra overprice 	 wife get deal hotwire 4 star near michigan end hotel . hotel staff nice , moment drive . put 41st floor ( 43 ) nice view . sure expect since use Hotwire get great rate , please . the location perfect . couple block Michigan , walk short $ 5 taxi ride take shop would like . go Shedd Aquarium around $ 6 - 7 . also find take escalator hotel , dunkin donut many shop / restaurant eat . open week , close saturday . room service expensive hotel . remember $ 29 egg benedict . not quote exact price , pretty close . even amount save room , could justify spending amount list room service . find great place breakfast block away call South Water Kitchen - great meal spend $ 35 we . we pay parking hotel . expensive everyone say - $ 52 per day - feel save , not bad . would rather take car , need day work . save money next time car parking use go Airport Express to / from airport cab , use cab walk get around city . also , would like use Fitness center , $ 15 per day . would probably do $ 5 , would rather free . go check . totally empty . nice , totally empty . wonder lot people pay use . positive - great room , comfortable bedvery friendly staff , help way canInternet $ 9.95 per day - badalthough not eat , Palm Restaurant main lobby . close everything - underground eating , Michigan avenue shop - walk short cabNegatives- Room service expensive - ridiculously expensiveparke expensive - $ 52 per dayfitness center cost $ 15 per day 
 Oct 21 2009 	 Really Nice Business Hotel 	 wish review Swissotel Chicago fresh mind ! really enjoy hotel business travel . good : -room : recently rennovated . large , really comfortable bed . spacious bathroom nice ammenitie . every room view river - really lovely.-location : couple block Michigan Ave . shopping restaurant . -meete space : attend event hotel . add brand new Conference Center addition exist meeting space , experience . be beautiful . great view , really convenient space event . the okay : -staff : fine . nice , overly welcoming . & quot ; hello & quot ; & quot ; welcome back & quot ; walk lobby would go long way . the bad : -Business Center : close stay Swissotel . tough hotel catering business traveler . hope get run soon ! go sister hotel , Fairmont Chicago , use business center . kind . I would definitely return swissotel business Chicago . 
 Oct 18 2009 	 charge wireless not work 	 hotel nickel dim everything -- $ 15 use gym , $ 11 wireless internet . would not mind charge know advance fold bill would pay little ... 's irritate arrive front desk tell fork extra money basic hotel functionsand bad part wireless ; work except lobby . room , work occasionally ( enough frustrate ) use computer downstairs noisy lobby . serious minus business hotel -- wireless non - negotiable . will not stay hear upgrade service . 
 Oct 18 2009 	 fantastic view excellent service - top notch ! 	 husband & amp ; stay Chicago run marathon . stay standard room good size , clean quiet . view ... fantastic ! unobstructed view Navy Pier , Chicago River north loop . treat watch firework display Navy pier comfort hotel room . whether travel Chicago run Chicago Marathon , shop sightsee , location hotel perfect . staff professional , courteous friendly . 
 Oct 18 2009 	 great location great staff great everything ! 	 recently stay Swissotel Chicago business must say exceed expectation . staff terrific room business aspect event . room fantastic beautiful view city , large flat screen tv , comfortable king size bed . food event delicious . onsite restaurant pretty good bit overpriced . bit confusing get event room since original side building new addition . though great place stay want near heart Chicago . 
