Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 Nov 22 2009 	 plus Hotel Conrads never disappoint 	 superb hotel . room huge , include luxurious bathroom . clean service first rate . breakfast excellent ( complimentary Hilton Honors member ) . hotel good location , connect mall , imagine would great asset Chicago winter . next time go Chicago , stay sure . 
 Nov 10 2009 	 Conrad Chicago good choice 	 recently return two night stay hotel , town college visit son . hotel beautifully furnish . everything extremely clean . staff hotel could nice . every person encounter go way answer question help way possible . deluxe room two double bed . drawback bed pillowtop mattress tend dip edge try sleep towards middle feel like roll ede bed . people rather large , could little uncomfortable . pillow comfortable give lot . tv great - flat screen least 42 & quot ; maybe , BOSE sound system awesome . bathroom spacious separate space toilet sink area . location hotel can not beat . 's right heart everything convenient shopping , sightseeing restaurant . pleased Conrad would definitely recommend . 
 Nov 7 2009 	 Fantastic Hotel Great Location 	 return six day business trip Chicago stay Conrad Hotel . attach Nordstrom , be perfect location . staff wonderful . kind extremely professional . enjoy peaceful night pillow menu ( must ) . love complimentary slipper bottled water , especially work day . great business , would not recommend family little kid . hotel favorite list . will not disappoint . 
 Nov 6 2009 	 wonderful hotel ! 	 Conrad everything expect . staff friendly , efficient professional . room new , clean comfortable . bathroom spacious soak tub nice end chilly day city . bed extremely comfortable pillow menu - great ! try Relaxation pillow love ! rare find luxury hotel charge internet access - good job Conrad ! 
 Oct 25 2009 	 wondeful hotel - outstanding - would highly recommend 	 pleasure stay Conrad Chicago day October 2009 , business trip colleague client . let first stay ' ve stay Chicago property ( Westin , W , Allegro ) hotel far other . room bathroom significantly large comparable hotel , finish - out room wonderful . my room large 46 52 & quot ; LCD tv , Bose stereo system ( separate subwoofer ) , alarm clock iPod connection , separate bath & amp ; shower , wall - sized window city - truly excellent . the nice thing high - speed internet health club access complimentary - something lot property charge . would absolutely stay would recommend anyone visit Chicago . 
 Oct 23 2009 	 perfect stay 	 Conrad . say ? quiet atmosphere , rooftop lounge , large room stay top - notch . even well , will validate parking discount , compare hotel , rage bargain . make sure ask front desk . also , another tip would use elevator ( think ) face Rush St . use one inside shopping center take long time . I get deal stay Conrad summer , would willing pay full price next time ! highly recommend Conrad , 's light - year beyond nearby InterContinenal . 
 oct 22 2009 	 relaxing enjoyable experience . 	 service great . upon arrival greet entrance lot help luggage . wait check - in desk plenty pleasant service . 3 we stay overnight ; 2 double bed . room comfortable big screen tv , plenty storage , large shower separate commode area . up - to - date . concierge give we great information sight shopping . thumb hotel . 
 Oct 13 2009 	 Excellent Stay 	 room clean nice . street noise problem night , light sleeper . staff nice , formal , helpful . would definitely stay . appreciate connection small mall LEGO store . 
 Oct 11 2009 	 nice quiet 	 nice quiet place stay . great rate internet , central location 
 Oct 10 2009 	 Conrad Hotel -- great property ! 	 beautiful new room renovation , excellent service , friendly staff . would stay minute . great job Hilton ! ! 
 oct 9 2009 	 quiet luxury great location 	 stay Conrad 2 night friend reunion . room clean new feeling , nice city view , free bottled water room upon arrival . check breeze , room ready even though several hour early . staff friendly helpful , excellent breakfast . 
