Great 	 stay long & quot ; Thanksgiving Holiday & quot ; - first time London think charming , nice location hotel . could not happy . compare hotel stay Europe room not super small .... 
 Nov 23 2009 	 Fab Hotel 	 stay one week cavendish executive room , service top notch location exclusive , within walk distance Picadilly Mayfair . surround fabulous shop restaurant . ask room high floor , get view London Eye Big Ben . Hotel Service great accomodate . 
 Nov 20 2009 	 Great Location nice service small - ish room 	 Cavendish centrally locate - travel companion use Oyster card much rarely stay central London . 7 minute walk Trafalgar Sq . , Leicester Sq . , much ENO many theatre west end . two us share executive king room , overly large , little sparse storage space , otherwise quite comfortable . breakfast include rate , well average hotel level luxury . staff attentive - ate hotel dining room dinner , ask meal time serve , also next morning breakfast . niggle criticism hanger armoire could unfastened rod ( though design able ) , & quot ; joystick & quot ; control bathroom sink difficult calibrate temperature velocity water , & quot ; designer & quot ; bowl - shape sink practical , least experience . shower tub quite lovely - good water pressure , tub large enough lounge . 
 Nov 15 2009 	 Great Location Friendly Staff 	 hotel first hotel London win & quot ; Green Hotel & quot ; award lower impact environment travel important , accommodation consider . stay one night Cavendish shopping theatre visit . hotel tuck away nicely behind Fortnum Mason within easy walk distance West end theatre restaurant . room spotlessly clean room non - smoking deserve award . staff friendly willing assist query . breakfast include rate delicious ample varied selection . restaurant nicely decorate cheery - wait staff seem abound attend every need . the slight criticism room size small side expect London . robe room would nice touch . overall , highly recommend hotel ! ! ! 
 Nov 10 2009 	 well worth splurge ! 	 decide splurge five night London last July , end english family holiday . able get bit deal , reserve pay well advance . give package include breakfast , bad value overall . the hotel lovely - modern decore ideally situate Picadilly Green Park subway stop . short walk St. James Palace , Buckingham Palace far away . wary hotel near Picadilly , would tell could noisy , case would hesitate recommend Cavendish . market man 's shirt , Jermyn Street many choice ! book high - end room - believe junior suite . locate top floor . one take elevator top , go flight stair - via window fabulous view London . course , someone carry bag we . room large , great eastward view . comfortable king bed , full - size pull - out couch daughter . couch open , bit cosy , whole separate area raise step two another lounge chair lamp , small table . pull - out couch fine - bit lumpy . however , ask second duvet , one bring we immediately . pad underneath , daughter quite content . the bathroom exquisite - large soaker tub , separate shower , large vanity lot room put thing . two large closet drawer adequate room hang clothe three we . the breakfast buffet plentiful , good choice variety day - to - day . although would hideously expensive buy , make room reasonably good deal . breakfast room quite busy weekend , service still cheerful competent . genearlly , find staff accommodate . our complaint elevator . one service couple day , hotel fully book , get bit slow get around , especially breakfast . however , nothing dampen enthusiasm nice hotel . well worth splurge ! 
 Nov 6 2009 	 Excellent centrally situate hotel 	 stay Cavendish thoroughly enjoy . time stay Superior room , say well worth extra extra bit room . staff excellent , hotel excellent , general stay excellent . love come hotel , centrally base & quot ; retail therapy & quot ; well park car ( underneath hotel ) overnight reasonable rate . wait go back stay . truly . thank staff Cavendish . 
 Nov 2 2009 	 great stay cavendish .... 	 book Cavendish Hotel husband 30th birthday surprise .. great hotel ! hotel great location , modern , spotless welcoming . stay double superior room spacious mod com . arrive rang hotel ask could room view husband birthday ... room give we 10th floor amazing view London eye , aslo hotel big chocolate cake birthday card deliver room .. think lovely . would definatley recommend hotel ! ! ! great stay London ... ! ! ! 
 Oct 30 2009 	 Sleek Hotel Great Location 	 hard time choose hotel London - many decent one quite expensive , one price range far - off location . cavendish relatively low price four star hotel London , travel package come buffet breakfast , decide one glad . cavendish sleek , modern hotel locate near Picadilly Circus , location excellent . however , note hotel quiet little side street block away picadilly , get little bit lose little wind street couple time . room excellent , fourth floor not much view - look straight facade another building ( , accord London guide , actually good fancy department store ) . would say ask room high floor . bit hard control temperature , always seem bit cold , bed AMAZINGLY soft . hard get morning ! breakfast also good . buffet everyday come standard fare : tea , coffee , cereal , scramble egg , sausage , bacon , jam , bagel , etc . good breakfast , not come include vacation package , would recommend take 's 30 pound day ! definitely worth . one thing irk classy hotel feel justified charge internet , cavendish well . however , internet free lobby , cozy sitting area many outlet plug laptop . need print something , measly three computer lobby , free 15 minute use . overall , location awesome ( within walk distance touristy area picadilly even Trafalgar Square ) , room comfortable , breakfast good . 
 Oct 27 2009 	 nice hotel 	 stay cavendish three night . stay superior room 14th floor . room small , bathroom large well - appoint . view excellent , especially night . 's location top notch restaurant , pub theater . 's 5 minute walk tube stop 15 Thames Westminster . decor little trendy modern taste . not find particularly comfortable . bar particularly spartan , hence lack patron . lounge next floor comfortable , inconsistent service - wise . concierge service helpful , take care reservation , direction travel plan . 
 Oct 27 2009 	 good quality reasonable price great location 	 stay two night October classic room . location ideal we main theatre district , shop many major attraction within walking distance . immediately behind Fortnum & amp ; Mason Jermyn Street , location quiet almost perfect central London . room little small compare many upgrade . Decor modern facility good although be shower low end price range . tv distinguish complicated menu system ' ve experience 's hardly major issue . public area well appoint quiet . bar scene ' m afraid . breakfast main restaurant first floor table pleasant view Jermyn Street . breakfast room extra charge . recommend wait seat restaurant unacceptible morning go ( half full anyway ) . choice not vast good quality . staff pleasant - excellent . hotel great base leisure trip London . not destination stay still enhance trip . 
 oct 9 2009 	 great location great staff 	 Hotel really central , could walk Oxford Street , Bond Street , Regent Street , right main shopping district well able walk Buckingham Palace . major sightseeing attraction stop tube . room great , one cleanest ' ve stay . staff hotel really friendly ready offer help anything . overall really good stay really good hotel . 
 Oct 8 2009 	 great location excellent service room 	 great location excellent staff service ... negative teh room service & quot ; stay 11 night & quot ; never dust , ever .. apart definatley would stay London every time 
 Oct 6 2009 	 Cavendish Hotel Hotel Cavendish ? 	 dread stay hotel book read review - terrible ! say hotel wonderful - location , staff , food room fantastic . return home check review realise also Cavendish Hotel ( Hotel Cavendish ? ) Gower Street , Bloomsbury , hotel review read . surely must cause problem people book wrong hotel , revew , think must case . the staff Cavendish , Jermyn Street , really friendly welcoming room , although bit small , perfectly form ! comfiest bed ' ve ever sleep , beautiful bathroom lot soft fluffy towel . breakfast delicious also pre - theatre dinner food excellent . view London Eye window lovely see lit night . stay four night use tube - anywhere could possibly want go within walking distance central hotel . would stay hotel whenever London . 
 Sep 26 2009 	 BOOK ! 	 stay cavendish 9 day think worth every penny ! location great ( tube station , entertainment , food , shopping , theater ) , staff oh helpful amazing , room clean lovely , breakfast great freshly make . the hotel nice cute side street Piccadilly take 3 min get Piccadilly station 5 min Green park . different restaurant bar walking distance . since area somewhat touristy find lively till late night safe walk around . make sure walk everywhere since Regent street , Carnaby bond street club 5 - 15 min walk hotel . take advantage . hotel room clean bed comfortable bed every sleep . one great service offer order breakfast bed do not want wake early catch buffet hour morning . make sure fill form fr night hang 2 am . good wkend morning . internet 15 min pass free , 30 min think £ 5 60 min £ 10 . use computer lobby pretty much everyday use free 15min passes.i read reviews hotel say room small . superior room fine 2 people . London hotel usually small think location fact hotel new least room pretty good size.i can not think negative point hotel . book ! I m sure will like ! 
 Sep 22 2009 	 amazing location friendly staff . 	 stay week Cavendish truly enjoy stay . location can not beat , within walk distance two Tube stop , Soho West End , Buckingham Palace major tourist attraction well London 's good shopping . bed exceedingly comfy room quite roomy London standard . staff relentlessly cheerful helpful . downside : room communicate room one next door , voice travel trough door . however , would love stay cavendish . 
 Sep 21 2009 	 Fanatastic 	 return wonderful weekend stay Cavendish . book line get great deal , get upgrade suite .. use regular visitor hotel past , reason last time go , 5 year ago , something put we return untill weekend . mainly due positive review tp . cavendish great . location unbeatable , everything close walking distance . breakfast serve room , arrive spot 10 o'clock request . nice touch follow phone call check everything want . could fault hotel especially staff . return . PS lucky enough get suite ask face East think view probably well . 
 Sep 20 2009 	 LocationLocation Location ! 	 first trip London choose stay cavendish read great review Trip Advisor love . husband stay superior room reviewer complain small come on , stay London really not excuse spend much time room anyway ! superior room boast comfy queen size bed tall headboard small modern outfitted bathroom shower / bathtub heat towel rack . bed soft thick duvet problem fall asleep . anytime come back outing room always spotless smell fantastic , fact whole hotel smell awesome . everyone reception , concierge housekeep helpful friendly eager please . another plus hotel award 's sustainabilty effort , pretty cool . indulge breakfast many place close grab fast bite eat , like Tesco market pret manger cafe . also Fortnum Mason department store across Cavendish really great ice cream parlour fabulous ! can not say enough convenient location two tube station Piccadilly Circus Green Park really within walking distance many attraction . also much fantastic shopping close Oxford street Bond street able frequently drop shopping parcel back room hide husband come back museum outing haha . one problem nightclub beside Fortnum 's loud reveler weekend little noisy , 's fault Cavendish though pretty quiet . overall really love stay Cavendish would definitely stay visit London . 
 Sep 13 2009 	 Short City Trip 	 visit Cavendish Hotel Jermyne Street book short notice decide go short city trip London . find hotel well locate ( St. James's / Mayfair ) , room good although bit small expect ( ' superior room ' ) excellent batchroom facility . nice touch see usual plastic keycard change similar plastic thing time old - fashioned key shape ; - ) hotel quiet side street Picadilly , without street noise go big city . room automatic airconditioning start enter room automatically - something not like manual switch every time . window could open 15 cm / 6 inch , like airco'ed hotel offer full open window nowadays ? book advanced payment include breakfast buffet , like . Coffee toast ask bring table buffet good - outrageous decent . oh - trouble coffee brewing though - either weak strong . the room furnish nice pillow / cushion , earth - coloured material . soft comfortable bed , wooden plank end ( ' m kinda tall ) plenty room . room contain standard coffee / tea brewer also electricity converter bring ourselves . overall good hotel , expensive give great spot city amidst good street shop ( main purpose short stay ) definitely would go back next time . 
 Sep 11 2009 	 quiet hotel heart city 	 hotel excellent location within posh area london thing within walking distance . room well present breakfast wide selection good quality . nice hotel short city break . 
 Sep 9 2009 	 Great Location Great Deal 	 able book hotel discount rate hotels.com include breakfast , convenient . room clean service great . concierge accommodate help make stay London seamless . 
 Sep 7 2009 	 Excellent Stay Cavendish 	 enjoy one night stay cavendish . would echo previous comment Hotel . Decor excellent , breakfast superb everywhere spotlessly clean . however room not exactly huge . book Executive room ok size wise basic room must squeeze . overall Cavendish highly recommend . 
 Sep 2 2009 	 room way small - great location 	 cavendish nice hotel conveniently locate however stay classic double room friend incredibly small . struggle get two suitcase room definitely could not open two bag time . even would little tight would able well deal . bring dissatification room size manager accomodate seem least bit interested saying . ' m Washington D.C. vacation first UK . far away home willing convenience comfort . not receive adequate comfort level select hotel future visit UK . 
 Sep 1 2009 	 highly recommend - love ! 	 stay one night end august - leisure partner business . can not fault hotel way - receive complimentary upgrade arrival offer drink discount bar . room ( superior ) lovely big flat screen tv , DAB radio cd player amazing view across London could see comfort bed . bed possibly comfiest ever fortune sleep bathroom beautiful importantly clean ! room right next lift however never hear noise whole time , fact not disturb anything give half chance could slept forever ! arrive breakfast seat straight away fault - egg benedict perfect service staff first class - not need eat dinnertime ! spend time lounge morning well look attentive waiter . all , Cavendish come highly recommend - central really enjoy stay - fact would stay least week ! 
 Aug 30 2009 	 Outstanding ! ! 	 stay junior suite faultless . service great , room spotless bed huge ! ! view city fantastic ! ! well worth go junior suite special occasion . 
 Aug 25 2009 	 great location great hotel 	 main reason stay hotel location - back door Fortnum Masons ( Piccadilly ) short walk away main site ( Regents St. , Oxford St , Leicester Square Shaftesbury Ave ) . entrance low key reception area modern . reception staff concierge helpful . stay birthday , put cake card room we , lovely touch certainly time happen ! room nice - exceptionally clean modern everything would need , plus little extra , like iron ironing board . 42 & quot ; tv CD player queen size bed make room luxurious . although room little small side , expect central London hotel , certainly adequate ample size . bathroom modern make feel like stay somewhere little bit special . pay £ 150 ish hotel breakfast ( quite average buffet serve - yourself affair ) disappointed get money . would go back . 
 Aug 24 2009 	 Luxury ? 	 hotel claim 4 star Luxury ' expect get Standard Double . bed room design people tall 5 ' 8 " entirely comfortable 6 ' 2 " tall . may room get past end bed narrow room . unfortunately spoilt would perfect stay hotel . hotel great location , staff pleasant helpful breakfast buffet good ( include room price ) .We stay Friday Saturday night even though hotel full Saturday ( try upgrade second night ) seem quiet . would stay would pay ensure get luxury decent bed . 
 Aug 24 2009 	 not choose ` ` classic room '' ! ! 	 hotel bad , room ... small . stay classic room choose hotel breakfast include read good review . choose hotel stay & quot ; classic room & quot ; . 
 Aug 23 2009 	 good value far 	 return another pleasant stay . much need say - continue good price / location / breakfast value hotel area London . 
 Aug 23 2009 	 Fine Central London Hotel ! 	 stay one night cavendish basis previous review agree many other excellent hotel . superbly situate St James ' within easy walk distance major attraction west end room 9th floor good open view . room excellent size well equip , particularly respect state art tv entertainment system . use hotel facility comment price ( book Expedia ) reasonable part London past experience . familiar moan though London hotel include breakfast cost pay £ 150 + accommodation ! 
 Aug 22 2009 	 fear bad 	 read many negative review hotel staff manager Ciaran particular , certain amount trepidation book hotel . choose proximity Trafalgar Square offer online reduce rate deal . location alone worth money fear not realise first class stay . concierge excellent house breakfast staff . reception staff porter though could done training civility . the room spotless quiet . order cot 1 year old advance arrive open futon not suitable . resolve within minute difficult tuning tv . word caution however . remove item minibar want use keep daughter food cool . next day notice charge every item , £ 74 . explained not drink content still room . receptionist inform we clench tooth minibar fridge . 9 degree c suitable prevent bacteria form milk baby food . fair point . not get charge end . breakfast £ 21 per head watch not include stay . tesco street amazing selection fresh food great drink require anything . also load award ' green ' credential . could write whole review alone . 
