Jun 	 comfortable stay 	 u wan na live delhi close airport close gurgaon good place stay ..... comfortable room . 
 Oct 13 2008 	 bad bad 	 hithis hotel quite close airport hotel really bad , customer service bad proper manner , standard 4 star hotel . hotel room bad . ho heater proper AC . bathroom really bad , small dirty . not bother clean . couldnot even open window passer see inside . ruin honeymoon trip not expect delhi 4 star hotel like worth even star . food bad . people hotel bad friendly . fulfill requirment even ask n number time . hotel horrible honeymoon rest hotel book turn excellent . 
 Aug 20 2007 	 try find another hotel 	 stay hotel 2 night wait transfer Cochin travelagent mistake 2 night way back Sweden . run , dirty bathroom sad look staff work . descrition hotel website far away true experience , prepaire unable sleep night stay . hotel build like echo chamber , every little noise room reception ( phone , staff make dish / clean middle nigth ) go straight room . bad smell room , window dark inside . actually feel ill staying , feel well soon possibilty leave hotel . staid monsoon season worried roof fall , huge amount water pour straight roof cover eco chamber outside room . advice : try find another hotel Delhi , favourible thing say hotel close airport , wich make possible make sure able cach departure even monsoon hit Delhi badly ( upon leave ) . 
 Apr 25 2007 	 basic hotel 	 Delhi go haywire hotel pricing , could get small budget even year ago find today . Westend Inn basic hotel . 's generally clean , make sure get renovate room side across pool . fixture ( like soap dish bathroom ) break , bed comfortable , sheet clean , phone work , 's tv , etc . westerner keep mind India , might get US go case here - no bathtub example . hotel staff speak limited english ( prepared India general ) want something complex , answer will get yes , will not really get want . wifi joke - it not work majority time , India issue general . room second floor well wifi reception . business center business center internet sometimes work . westend inn horrific review make , not expect 5 star experience , not expect US 3 star experience either matter either . regard mosquito , be India , go exist be rain recently , go force . not open window ask repellent plug see advertised India . the food pretty decent cheap . room service great - food terrible , buffet restaurant good several item order menu . , decent experience . 
 Mar 2 2007 	 stay away ! 	 bad experience . stay away . hotel employee keep ask tip would not leave room ' ve pay . specifically , call hotel desk arrange taxi airport think hotel arrange taxi would trustworthy . get airport , Taxi driver ask 300 r . know cost less 150rs domestic airport come night . give 200 r . next thing hear hotel charge additional 300 r roommate 's bill check taxi service . 
 Feb 17 2007 	 Favourable 	 recently return Delhi visit along 40 other part cricket tour . before leave alarmed report TripAdvisor . however stay 10 day report generally unfair . our party find Hotel clean well maintain ( build work porgress part building ) staff courteous helpful . the report airport noise clearly wrong . the downside location isolate facility involve adventure Delhi traffic . 
 Dec 23 2006 	 avoid possible 	 stay one night en route back UK . not pay room , aware much cost . price , say expect lot well . start positive : room spacious , marble floor give sense luxury . negative : furniture little bit worn , somewhat dusty . bathroom poor , wall patch mildew fitting cover limescale . toilet , even though & quot ; sanitary seal & quot ; , clearly clean toilet brush . window cover dust . however , bad problem noise . room overlook small internal courtyard use & quot ; utility & quot ; area , staff washing dish late night . put , despite woken noise 1230AM 115AM . happen , 230AM , call reception . attitude duty manager ( think ) helpful ; suggest imagine thing ( could see pile wash crockery window ) , said & quot ; socked & quot ; ( sic ) happen etc . 230AM , flight catch next day , come close & quot ; socking & quot ; : - ) see go , thing quieten , start 7AM.For 's worth , colleague stay hotel day early find fine . apparently & quot ; old & quot ; & quot ; new & quot ; room , maybe get old room . 
 Dec 11 2006 	 Nightmare 	 miss flight Delhi airport scramble place stay . airport staff pronounce & quot ; Westin & quot ; -- imagine surprise ! true nightmare . laugh call room get & quot ; super deluxe suite . & quot ; shower make three glass wall join inch gap CAULK . shower flood place entirely . internet work . guest hoodlum . food restaurant abysmal . ' m pretty sure flea bed . take 2h send car airport get , every time call say would 5 minute . stay away ! 
 Oct 17 2006 	 bad Service bad room avoid cost 	 stay travel agent book we say 4 star.1 . check pathetic , always give bad room first . change well room complain.2 . say payment make travel agent ; always case & amp ; make checkout long . there seem preferential treatment foreigner odd reason . 
 Oct 12 2006 	 few star might expect ! 	 part british group book hotel two night tour Delhi . change original hotel itinerary Delhi area -- somewhat disappointing . plus side , close airport . regard strong standard look four five star hotel . two three star Paris good ( yet far tourist site shop ) . dining room food adequate , although group go hungry ( like choice ) . breafast selection especially limited . pool fine lovely afternoon , sunset bring mosquito ( sure use spray ) . english language challenge staff , communication humorous frustrating . property bad potential . however , aspect room rundown need diligent regular ongoing maintenance . hotel three building . one lift , two ( two floor ) ( know ) . overall , hotel disappointing end week India -- hotel , Agra Jaipur , much nice , clean , well run . 
 Apr 22 2006 	 Nightmare . avoid cost 	 indian live US . extremely patriotic proud India . India , WARNING hotel . I transit via Delhi spend night . airport counter recommend hotel give ride place.- Check go well- Noticed party go one room loud music 50 guest call front desk know party would end . sound reverberate since room face open center area volume way powerful sound system.- Response : & quot ; not , party & quot ; . ( Hmm be odd response right ? ? ) - around 10:30 pm get loud child run around knock door wake people up.- trigger whole bunch guest ( mostly people transit spending one night weary tired ) come room complain.- staff say know schedule & quot ; Reception party & quot ; one room let people know check ask people reduce noise & quot ; since room & quot ; .For cry loud , 50 people spill room , loud music reverberate child run around knock door . its odd hotel would ignore guest party . may well got whole bunch money , not hotel standard live . party go till well 2:00 . spite guest complain simply tired travel walk hotel . now not even get start service & quot ; breakfast & quot ; , 8 staff help around 10 guest , two gang american guest take second cup coffee . apparently time take anything , need note put tab . Back airport , ask counter recommend place find lot people bad experience place force recommend place since owner politically connect . now truly believe & quot ; Stars & quot ; place may get , political connection . 
