luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Nov 18 2009 	 great value great location . 	 hotel ideal budget city break . frill , basic room , tv , air con en - suite . room clean daily maid service . room stay reasonable size ( 10th floor ) , view back building , quiet . like other say , 's ideal be go sleep somewhere quick change dinner . the cafe next door ideal breakfast - eat every morning . lovely , friendly staff . would definitely stay . 
 Nov 15 2009 	 disappointing dirty room 	 pleasantly encourage various trip advisor review hotel clean , pleasant , offer value money . Whilst 's location , particular Empire State building 5 minute walk deny , room service lacking . room clean , dirty sheet hair pillow . request new bedding give 3 pillow case cupboard . apology staff , one seem particularly bother . reception staff appear mostly bored , would answer query , not exactly enthusiasm . would stay recommend . 
 Nov 9 2009 	 great hotel worth price location 	 stay 5 day September . cheap pretty much would expect- small room basic amenity , small lift , real view .................. hey , New York . plan spend time room get change sleep , want lot sightseeing , perfect . several subway stop nearby close every line . literally around corner Empire State Building short walk away Macy 's , Grand Central Station Crysler flat iron building . despite hotel basic , staff lovely everything make stay pleasurable possible ( within limitation cheap hotel ) would stay 
 Nov 2 2009 	 Got pay .. 	 pro : great location ; cheapcons : dingy lift ; small poorly ventilate bathroom ; room 's heater could turn ( even help hotel staff ) a / c well order sleep & quot ; comfortably & quot ; 
 Nov 2 2009 	 Excellent Location Sightseeing 	 impressed soon arrive hotel . staff friendly helpful , allow we immediate access room . room clean , decor neat . layout room exactly need . not many hanger , take , would like able make drink room . also not state hairdryer room . window open service yard , mean natural daylight , good side noise night . close subway Empire State Building . 's 20 minute walk Time Square . Macy 's close . would not hesitate stay hotel . 
 Nov 1 2009 	 Excellent Hotel Friendly Helpful Staff Great Location 	 Great Hotel , friendly staff . excellent location , Broadway . room clean newly decorate . would definitely stay . great Diners Coffee Shops within couple minute walk . 
 Oct 30 2009 	 Excellent value money ! 	 arrive back second visit New York . last year treat wife stay town & quot ; posh & quot ; ( expensive ) hotel 60th . year , take two daughter ( 20 's ) equally great time . hotel completely different trick . room quadruple . rear therefore not view , care ? come hard day sight - seeing , want sleep .... room clean , great shower , towel change every day bed make . hotel yard near metro subway , walk Times square 15 min . breakfast place close reasonable ! staff consistently friendly helpful . would certainly use hotel next trip . 
 Oct 29 2009 	 Cheap Cheerful 	 Midtown hotel fine solo traveller buget . staff quiet helpful . room big enough 1 2 adult clean tidy hotel relax enjoy amenity somewhere rest head that s . location good close Empire state building , Macys short trip Times Square ( AMAZING ) . want visit area city always cab subway . enjoy short stay hotel next time visit NYC intend splash stay one hotel Times Square central park alot expensive . 
 oct 22 2009 	 ok short stay 	 room clean , bedding worn replace . check whether room face street wish . noisy hardly sleep , take ear plugs case . staff friendly helpful . 's location not bad . take approximately 30 min walk hotel Radio City Music Hall . would recommend hotel fuss want place sleep , short stay . 
 oct 4 2009 	 Great Hotel Great Location 	 stay 5 night although room small clean comfortable . staff nice , friendly helpful , laugh oblige loan wine opener , LoL ! location unbeatable subway munute away ESB Macy 's literally 5 min walk .. use little cafe attach hotel everyday breakfast coffee great , helpful friendly . next time visit New York definitely stay . 
