Weekend 	 excellent hotel Chicago weekend not mind take MTA City ( 30 - 40 minute $ 2 ) . fly , frequent shuttle pick ORD . driving - in weekend , hotel adjacent Blue Line Station get city . traffic maddening . they good fitness room basement pool area adjacent family . caution would recommend room end # # 14 , away freeway room set 1 bedroom . many room tv lazy Susan / dresser separate sleep area living area . thing , bathroom modern walk - in shower -- tub ... 
 Nov 21 2009 	 absolute favoriate area modern 	 stay several different hotel area include Hilton , Intercontinental , Renaissance absolute favorate ! suite spacious , comfortable modernly decorate . free internet available hotel lobby well executive lounge . 's 20 minute drive Chicago downtown , 5 minute Rosemont convention center , 10 minute O'Hara airport . hotel rate good weekend expensive hotly seek - after expo event . 
 Nov 20 2009 	 Watch Wallet 	 architecture food Chicago two thumb ! Renaissance Hotel - O'Hare beautiful room light sleeper hear plane taking . shuttle driver helpful friendly . Carlucci 's italian Restaurant nearby get 10 food , service atmosphere . shoeless Joe Jackson 's huge sport bar - huge portion , bar atmosphere . the downside commute downtown . train usually pack end stand 40 minute ride downtown . one friend wallet steal Red Line . crowded forgot take backpack purse . the wait see Sears Tower 1 1/2 hour get ticket 1 1/2 hour get sky deck plan ahead . water taxis great way get full view downtown building . pier something everyone restroom far apart . Frank Lloyd Wright tour available weekend . howl Moon great entertainment ! unfortunately , server ( know town ) bartender add 6 beer bill not catch next day . contact basically say bad . CHECK FOOD / BAR tabs pay ! ! ! Chicago interesting theft keep return . 
 Oct 24 2009 	 luxury affordable price 	 check hotel hour ago write review . 99 dollar , not think get much well . hotel clean . room large ( suite hotel ) . decor modern ( exception flat screen tvs ) . staff friendly helpful . quiet -- hear single airplane . breakfast tasty . step away CTA train , complimentary shuttle airport . think 9.95 24 hour internet much ask . would definitely stay . 
 Oct 19 2009 	 Excellent Hotel Overpriced Parking 	 two room hotel weekend Chicago Marathon -- one room wife , , young child , one room parent . hotel nice , suit roomy enough family , huge bathroom fantastic . location good planning take train town everything ( be right next Cumberland Station ) , long not mind 30 - minute train ride . I know park $ 20 night , read review online say could avoid park free lot around hotel . not free lot around hotel -- every lot sign say not permit , will get tow . not want take risk , park hotel garage . lovely hotel , $ 20 per night parking overprice location . also , free wifi room . kind surprising . 
 Oct 15 2009 	 Excellent Hotel 	 stay early Oct long flight Ireland . ( complimentary ) shuttle driver courteous helpful bag . hotel locate quite near airport noise never issue , sound - proof good . check quick efficient . nice front desk staff , extremly helpful . room fabulous , extremely clean comfortable bed , massive bathroom really nice smellie plenty fluffy towel . eat restaurant 2 occasion happy quality food service . hot food ( omlette , pancake etc ) cook order always fresh . also sandwich bar , top class also . would recommend hotel anyone . choose read review Trip Advisor glad stay 
 Oct 14 2009 	 hotel okay amazing hope would 	 pro : room clean great Aveda shampoo / soap ( plus since forget stuff ) . bed comfortable , plenty channel . hotel great value , give we affordable place stay Chicago Marathon . room service prompt , food pretty good . particularly enjoy fry . nice pool hot - tub well , towel way . breakfast pretty standard hotel breakfast , make - to - order omelette station ( not get try mixed omelette ( meat ) someone else 's ( lot ham bacon ) ) . look good ... keep eye food . con : get room , one shade & quot ; living room & quot ; break , door deadlock would occasionally get stuck locked position . never ask staff fix problem may unfair complain . ALWAYS wait front desk , matter time day go . really feel like hotel understaffe , maybe busy weekend . ask towels morning tell could take time not need afternoon . not realize would result 8 hour delay , call towel . promptly send point . concierge lounge nice quiet , not public computer printer use . upon check - out , little upset ask woman desk hold bag day ( could ask late checkout , think would convenient hotel ) , cram marathon poster bag , wheeled wall bent half . shocked lack care personal belonging , would recommend utilize service . 
 Oct 14 2009 	 Great Hotel Perfect Price 	 everything wonderful ! must stay want save buck ! good deal Chicago ! 
 Oct 14 2009 	 Great Hotel Great Price ! 	 Renaissance Suites hotel great always . second time hotel nice remember . staff friendly helpful . stay room parent . large enough two couple private space . take comfortable sleeper sofa take bedroom king bed . short walk train station . save lot money ! ! ! 
 Oct 13 2009 	 Decent Hotel Near Airport Subway 	 property nice . room modern design like mini suite separate living room bedroom . room tv – flat screen living room old fashion one bedroom . bathroom nice modern glass shower , tub . room include nice modern desk ergonomic chair . restaurant bar offer good food , nice ' stick property hour downtown Chicago subway . drive rush hour take two hour go fifteen mile downtown loop . ' normally stay Renaissance downtown , decide stay one meeting area . property decent fitness center modern equipment . ' competitive recreational swimmer ' hate 20 yard lap pool water temperature 87 degree . one swim lap 87 degree water temperature . well name would wade pool , great kid . the hotel post note room minor exterior work building week day 9 - 5 , not notice not hotel time . 
 Oct 5 2009 	 need long flight UK 	 stay one night , close O'Hare need recharge battery set long road trip . perfect , fast , efficient check , big comfortable room , spotlessly clean , even big , comfortable bed . room quiet staff helpful recommendation local restaurant . excellent value money convenient airport . highly recommend ! pay parking , expect not surprise we . 
