nice 	 comfortable room always chain . however , stay last 6 month , restaurant service deteriorate rapidly . order pizza 2 3 time last 2 week quick bite eat ..... advice - not bother ! ! ! need take annual leave order food either take room restaurant . whole operation disjoint staff openly argue . no - one bother , manner staff appalling . smile cost nothing . resort order food deliver hotel , quick ! 2 hour make pizza ? ? ? ! ! ! come ! that s insane , especially local delivery firm 25 minute ! company spend excess £ 8000 stay last 6 month , total waste ! loyalty hotel chain far look regular last week stay . Adam Biscoe , Room 117 , 30th November 2009 , total utterly fed ! 
 Nov 3 2009 	 fantastic family hotel 	 stay husband 7 - year - old twin one night , mid week half - term . hotel short walk Prince Regent station , kid think travel DLR great fun . hotel excellent , feel like large average family room Premier Inn . dinner breakfast restaurant , good quality value . good aspect stay staff - everyone encounter extremely helpful make real fuss kid . side noise pass DLR train aircraft , major issue . all , excellent value not mind slightly centre London . 
 Oct 28 2009 	 hide gem ... 	 get back night stay hotel hubby two child . ' ve stop area london , know centre . child love train ride , ( 15 minute tower hill ) come along every 8/10 min . the room clean tidy , freshly decorate , side people we young child run around room ( fault hotel , parent ) .the staff friendly helpful , ask for . the breakfast great , think get right time leave people wait table , however plenty choice plenty go round . this hotel great do not mind travel centre enjoy peace quiet.defo booking , long next time 
 Oct 2 2009 	 Excellent ! 	 hotel excellent ! room clean , food delicious . 
 oct 2 2009 	 complaint 	 read noise issue site arrange & quot ; quiet & quot ; room advance . amazed quiet room ! staff exeptionally friendly welcoming seem genuinly pleased stay they . the room large London standard perfectly adequately equip budget hotel . I stay two night whilst attend event Excel adjacent . 's pub next door chinese restaurant across road ( ever eat hotel last resort ) attend Excel place take lot beating . 
 Sep 30 2009 	 ideal location O2 	 recently stay go concert O2 arena . convenient location . poor soul traipse back main London station go home crow train , transfer Docklands Light Railway drink bar time ! hotel clean comfortable , staff excellent . welcoming , friendly helpful . bedroom bathroom spotless . we meal deal offer time - dinner eat breakfast £ 20 ! food good . the downside noise Dockland Light Railway room right next , not run night really complaint . ask room side hotel would problem . would certainly go go O2 . 
 Sep 29 2009 	 problem 	 stay one night whilst London convention work . welcome warmly reception staff explain dinner breakfast option direct we room . room large clean , bathroom fine . dinner hotel bar ... nothing outstanding , certainly edible good service . breakfast next morning little disappointing cooked breakfast be not really hot , large selection cereal plenty bread toast etc . price pay ( £ 68 night 2 people ) certainly could complain . 
 Aug 28 2009 	 Disappointing compare Premier Inns stayed 	 check late greet personable friendly reception manager . give key room 407 getting room well make . charge room 88 Pounds night . there internet access computer reception . the parking free 5 pm 9.30 intend lie still get early go feed parking meter outside . whilst affect early , see issue different circumstance . I surprise find though room press iron ironing board , unlike Premier Inns stay at . the room terribly noisy traffic noise , train noise aircraft noise even window shut . room 407 4th floor train go past elevate bridge practically level window . add onto low fly aircraft take Docklands Airport ensure comfortable night sleep really possible . I really unimpressed soundproof one would expect hotel high noise location like this . I stay many Premier Inns UK never issue like . infact usually stay know standard guarantee , every one stay bar one , standard good excellent , staff always friendly courteous always good night rest . the next morning complain receptionist noise . state call reception tell room noisy . get quite irritated speak extremely offhanded manner . ask could done stop traffic noise aircraft train go past hotel complain . really due attitude , tell aware good night rest guarantee Premier Inns stay could see mention Premier Inn reception . ask see Manager . he call Manager . despite fact could see call 5 min come , completely ignore proceeded deal delivery driver . really pleased , particularly get 9.30 concerned would get parking ticket . once deal delivery driver tell company policy complain noise happen . ask good night sleep guarantee literature , none seem available . she really offhand receptionist impress Customer Care here . I finally get refund , one Premier Inn back , would much rather good night sleep without hassle ' attitude ' morning staff . 
 may 19 2009 	 good place stay ExCel 	 perhaps intimate Premier Inns , fine night 's stay attend exhibition ExCel . new wing centre open , situate much close ExCel moment 's one stop DLR 10 minute walk - fine day certainly recommend dark , especially be lone female traveller . use free exhibition shuttle bus instead ( check time beforehand ) get back hotel early . you may well get offer special & quot ; Meal Deal & quot ; arrival . beware , although seemingly cheap , food basic mostly deep fry ( deep fry mushroom , deep fried fish , chip etc ) boil - in - the - bag type fayre . little nutritional value . must even run salad garnish miniscule bit lettuce ever see ! get inclusive glass wine , be tiny amount ( 125 ml ? ) huge glass - presumably marketing ploy get buy . work ! breakfast much well dinner early day staff superbly polite helpful . there security guard around outside tell perhaps area wander around explore posh suit . indeed , stark contrast modern hotel surround run area reminds - sadly - still area massive social deprivation . 
 Apr 26 2009 	 great hotel excellent service good 02 	 stop hotel April 2009 see AC / DC 02 arena . arrive DLR Docklands Light Railway minute walk away . staff arrival helpful map extra tea bag sugar etc . hotel appear clean room certainly . everything would expect Premier Inn . good shower plenty pillow etc . dlr run side hotel start fairly early morning also City Airport close say noise issue . do not eat hotel can not comment . guy follow morning checkout say nice reception person I ve meet hotel year young I m sure go far . would use sure gig 02 Excel . 
 Apr 16 2009 	 Excellent Service superb child clean good room 	 hotel close dlr , link London frequent two young child ( age 2 6 ) love ride DLR , especially dark . immediate area limit , choose hotel could drive London , go across Woolwich Ferry get great fun free . the family room good size comfortably fitting good size double two single bed two child . room clean , right number towel , cup etc we . room quieter expect close airport dlr bed comfortable ; two good night sleep . we impress service friendly welcome staff , feel well look , nothing seem much trouble staff encounter without exception lovely two boy . love stay not want leave . have restaurant hotel great two young child , food fine , nothing excited trick . breakfast great hit boy seem eat well , fact good meal day trip London . it unfortunate pay parking , know arrive parking plentiful immediately outside hotel . 
