third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Nov 25 2009 	 Suite Wonderful - Casino Marginal 	 stay nice suite - lot room , great furniture & amp ; decor . casino downstairs marginal . parking nightmare get . 
 Nov 24 2009 	 worth trouble 	 many issue hotel . want location course would rather stay away center strip deal hotel . comp we try make . room dirty ( bed even make blanket floor ) could get two room together 2nd night . sink , tub clog someone come work room . luggage assistance take hour three phone call two manager move we new room . birthday even worse always one thing one else care make problem even bad . 
 Nov 24 2009 	 Entrance Fee Gym ? ? 	 appreciate , since have already pay stay . even per person usage fee jacuzzi . cool ! ! ! 
 Nov 23 2009 	 nice ! 	 Quiet compare casino strip . nicely decorate , clean , great service ! 
 Nov 21 2009 	 excellent value 	 stay monte carlo many time , good value , good bar restaurant site , easy access i-15 , would recommend stay . 
 Nov 20 2009 	 LOVED ! 	 friend Devyn stay leave dreadddedddd imperial palace . relax lounge area WAVE pool .. cool . room clean , place beautiful , feel like royalty pay $ 59.00 night . plus , right next NY NY get 2 ride roller coaster . Monte Carlo every possible amenity , amazing staff , amazing view room ( like brick wall ' imperial palace ' , seriously joke , perfect place murder mystery ) . anyway , back Monte Carlo ... would stay every time could . 
 Nov 16 2009 	 fantastic vacation ! 	 stay basic room four night . excellent rate part special fall travel package , also give we discount coupon . location fantastic right heart strip , close MGM New York , New York , often eat . room clean everything expect rate pay . service great part , however concierge alot suggestion activite , know ask , able help . also , book spa treatment , level service bit overprice . nothing wrong , felt not go hefty price charge . we one evening pub , burger specialty alcholic milkshake absolutely fantastic . would def recommend try casual dining experience . eat restaurant . open hour great , could get seat Brand steakhouse one evening try . concern . could not get much way late night food . even pub close early week . instead , eat mostly MGM NYNY.As casino , much small other . gambler , not know plus , small . 
 Nov 15 2009 	 great value strip ! 	 stay Monte Carlo August 2009 good friend . first time Vegas ! book tripcentral.ca fly Toronto via sunwe . include package free ticket KA.The Monte Carlo may big strip hotel , upon first glance appreciate understate elegance . lobby lovely fresh flower arrangement . check relatively painless procedure . the room clean quiet . two double bed decent bathroom . cut & quot ; get ready & quot ; time use shower gym / spa friend could bathroom . deal ! ! ! pay $ 39 3 - day pass include use gym , sauna , whirlpool & amp ; cool plunge , sit room complimentary juice / bottled water / fruit , etc . use shampoo , conditioner , soap , shaving gel , razor , hair dryer , curl iron , hairspray , etc . like private little peace heaven middle Vegas . relax . gym good selection cardio equipment weight busy . really great way start crazy Vegas day ! pool area nice . usual towel / reservation thing happen . not gamble much , casino fun . problem get drink first night , give . lack waitress floor one complaint . feel bad really try keep demand . buffet good . breakfast buffet twice $ 18 / person make ! ! ! try grit first time ! , not think beat value Monte Carlo . location great facility nice . duece stop right outside Monte Carlo make get around strip lot easy poor tired foot ( abandon vanity wear comfortable shoe ! ! ! ! ) . 
 Nov 14 2009 	 good quality hotel ` ` strip '' price ! 	 stay 5 night hotel would stay . next door Hotel New York New York across road Coca Cola bottle ( 20feet high ) Tix4today office half price show ticket . tix4today place buy show ticket except Caesars Palace . monorail bit walk MGM Grand Hotel much quick especially use go Fremont experience ( miss ! ) . deuce bus , outside Cola Cola bottle $ 7 day take 45 min get Fremont experience although see lots bus . trolley bus long operate ! food cafe restaurant Hotel Monte Carlo excellent reasonable price standard . ( time try buffet ) well know large hotel disappointment food overprice . good buffet Bellagio Hotel note dinner price start 3 pm ! not get catch Gelato $ 16 Caesars Palace ! hotel offer $ 5 upwards join Players Clubs casino . free join , get card money play point add card prize even room rate special , spend alot . Las Vegas something everyone , hotel mini & quot ; Disneyworld & quot ; allow plenty time good pair comfortable shoe ! 
 Nov 13 2009 	 Monte Carlo 	 get suite , MUCH well standard room include fridge . still kettle though , common Las Vegas , buy pharmacy across road less $ 10 . in - room internet service terrible business centre close weekend . hotel great location though $ 18 ( plus tax ) dinner buffet absolutely fantastic . tariff week almost half weekend . 
