excellent 	 hotel ideally locate king Cross Station underground doorstep . easily walk Euston station mere 10 minute along road . also note burger king next ( make lot easy find ) . room lovely maintain high standard . room come free tv internet ( via tv ) morning supply newspaper choice also nice touch . bed 's comfortable shower excellent . slight problem heat room soon solve ask reception turn air conditioning . also luggage room handy late flight / train . would definitely recommend hotel also Starbucks , Costa Tesco nearby . 
 Nov 21 2009 	 handy 	 great location opposite king cross we northern type . shower amazing thing ' ve see jacuzzi build . proper coffee machine . seem bargain consider location extra freebie . bed super confortable ! 
 Nov 20 2009 	 lovely hotel ideally locate 	 stay partner daughter hotel long weekend . really pleasantly suprise . great value money ideally locate , almost opposite king Cross . we family room extremely modern clean . internet access via tv - really useful checking place visit . restaurant excellent great value money . particularly like friendly atttitude staff ahd warm feel fairly small sized hotel . I normally write review impress , feel ! ! 
 Nov 16 2009 	 Perfect Eurostar 	 stay Megaro Hotel Friday 13th November . perfect position connect Eurostar . room excellent , bed super comfy , little noisy night London expect . expresso machine room degree need operate ' m clever enough . like previous reviewer small flood . need use Eurostar want perfect place sleep Megaro . book rate via hotel booking site , direct hotel . 
 Nov 9 2009 	 Excellent excellent excellent 	 find .. thank Trip Advisor ! Superconvenient location across king Cross St Pancras place upscale nice . get great weekend rate include full english Breakfast really fantastic . never think would find hotel room London conveniently locate amenity place , will not stay anywhere else . king cross pretty much get anywhere want go . upon leave able walk across street , get tube Heathrow luggage ride way £ 3 . priceless : ) 
 Nov 6 2009 	 hide gem right across tube station . 	 Luckily know ahead time hotel locate next Burger King else may find , ' m glad find . hotel staff friendly helpful . room big european standard . problem wireless keyboard access internet television . dinner one night hotel 's restaurant -- great ! 
 Nov 3 2009 	 cute clean 	 -a family 2 adults,1 child 1 infant - spend 4 day London way back Scotland , get good review trip advisor hotel book directly ...... wonderfully place beside king 's cross tube . it clean , beautufully manage hotel important size room quite big ( rare London city ) .... hotel main road full shop & amp ; restaurant .... every item room proper work condition thoroughly clean / serviced.like hotel location much ..... 
 Nov 2 2009 	 great hotel fantastic location 	 sit hotel elast month need travel London work regularly . will not stay anywhere else Megaro . perfect location feel safe despite hustle buslte Kings Cross . great room comfy bed . ameneitie need include tv , great bathroom , etc however mini bar newsagent right next door . last visit updgraded free charge tp suite big witha great veiw London . great hotel . 
 Oct 17 2009 	 great value convenience London 	 Location convenient King 's Cross St Pancras . hotel update modern – almost swedish , wood floor glass door . bonus internet thru tv screen – check ton cd play thru tv music . refrig room . ton space ( 6th floor ) . get great 2 - day weekend deal include full breakfast , good . security terrific – everything behind key access , be safe . 
 Oct 10 2009 	 good hotel reasonably price - not book Expedia 	 nice hotel , right next step come tube / station king Cross . everything hotel modern clean staff friendly helpful . room lovely shower great . colleague worried stay Kings Cross say not safe female alone business trip , hotel right top tube step , find absolutely fine . I worry might noisy hotel base right main road , hotel well soundproof find fine . super - sensitive noise , would ask room back hotel . the issue book Expedia . expedia quote price , look like total actually not include taxis . reference make say ' taxis may may included total ' . completely mislead less happy go check price come £ 125 rather £ 108 list Expedia confirmation . understand hotel 's fault however , hotel 's documentation Expedia , list much clearly , issue encounter time . as result already book stay hotel next week - book directly hotel time avoid use Expedia misleading . 
 Oct 7 2009 	 nice little surprise King 's Cross 	 husband pick hotel three night 's stay location . want Northern Line Underground could easily visit daughter son - in - law Tufnell Park -- stop away . King 's Cross udnergoe enormous rehab , noisy busy , hotel oasis comfort quiet . room , although small side , nice bed really comfortable . bathroom roomy modern -- shower take little getting use 's fine thereafter . first - floor restaurant sweet bar 's open late . one complaint in - room computer , use television wireless keyboard , problem . still , satisfied , especially give reasonable price . 
